	31700	530451	31328	S28Hp	S15Hp	S4Hp	S22Hp	530075	31750	31071	31267	F1H1	S1Hp	w18pp	f7pp	w26pp	31232	f16ppA	w20pp	530227	f1pp	S19H1	w8pp	31160	530154	530055	31519	530315	530177	31333	530444	530258	31236	530331	S7Hp	31723	31600	530295	530119	F32H1	530368
31267	0.2834576315247432	0.3022570244628863	0.3057187503697914	0.24040959175657747	0.21629599596608567	0.2718998051661522	0.2761793807841002	0.24900606719747945	0.24432498204205794	0.23758069403835397	0.0	0.2437213083417994	0.19212309218563434	0.2291911501141549	0.2125611343016744	0.2271532961580054	0.2642942059540099	0.22579244057548709	0.2227306569301905	0.28868610497091785	0.22049950484762673	0.27146521102075816	0.2296517393717018	0.28051103334290317	0.3161357004173303	0.2537757364470585	0.25706349978262366	0.28171668406814604	0.28290557536783734	0.24020577496436682	0.27032058852360374	0.28093379262953416	0.29077049524620247	0.26820693845097376	0.25572942697670975	0.3277944365013603	0.33893559337612505	0.3308813673401307	0.30992248101264996	0.30238345217802315	0.2978721054405717
F1H1	0.2813535608787833	0.30015295381692647	0.30361467972383155	0.23830552111061762	0.21419192532012582	0.26979573452019234	0.27407531013814035	0.2469019965515196	0.24222091139609808	0.2354766233923941	0.2437213083417994	0.0	0.176629889041744	0.22708707946819504	0.21045706365571454	0.22504922551204554	0.26219013530805	0.22368836992952723	0.22062658628423065	0.286582034324958	0.21839543420166688	0.2693611403747983	0.22754766872574195	0.2784069626969433	0.31403162977137045	0.2516716658010986	0.2549594291366638	0.2796126134221862	0.2808015047218775	0.23810170431840696	0.2682165178776439	0.2788297219835743	0.2886664246002426	0.2661028678050139	0.2536253563307499	0.32569036585540045	0.3368315227301652	0.32877729669417083	0.3078184103666901	0.3002793815320633	0.29576803479461183
S1Hp	0.22975534472261827	0.24855473766076142	0.2520164635676665	0.18670730495445256	0.16259370916396076	0.21819751836402732	0.2224770939819753	0.19530378039535454	0.19062269523993303	0.18387840723622906	0.19212309218563434	0.176629889041744	0.0	0.17548886331203	0.15885884749954948	0.17345100935588048	0.21059191915188497	0.17209015377336218	0.1690283701280656	0.23498381816879294	0.16679721804550185	0.2177629242186333	0.1759494525695769	0.22680874654077823	0.2624334136152054	0.20007344964493357	0.20336121298049878	0.22801439726602113	0.2292032885657124	0.1865034881622419	0.2166183017214788	0.22723150582740925	0.23706820844407753	0.21450465164884885	0.20202714017458487	0.27409214969923534	0.28523330657400014	0.2771790805380058	0.2562201942105251	0.24868116537589824	0.2441698186384468
w18pp	0.231370171927681	0.25016956486582415	0.2536312907727292	0.1883221321595153	0.1642085363690235	0.21981234556909007	0.22409192118703805	0.20626735405694407	0.2015862689015226	0.20607267157774362	0.2291911501141549	0.22708707946819504	0.17548886331203	0.0	0.05463851385674685	0.06923067571307784	0.1234443477855417	0.08494258240701891	0.09470322790903099	0.16065867594975833	0.09247207582646723	0.1434377819995987	0.1096110951029963	0.228423573745841	0.2640482408202681	0.2016882768499963	0.20497604018556154	0.22962922447108386	0.23081811577077516	0.18811831536730467	0.21823312892654156	0.22884633303247198	0.23868303564914028	0.21611947885391158	0.20364196737964763	0.27570697690429813	0.2868481337790629	0.2787939077430685	0.25783502141558784	0.25029599258096097	0.24578464584350954
f7pp	0.21474015611520053	0.23353954905334365	0.23700127496024873	0.1716921163470348	0.147578520556543	0.20318232975660955	0.20746190537455755	0.1896373382444636	0.18495625308904207	0.18944265576526315	0.2125611343016744	0.21045706365571454	0.15885884749954948	0.05463851385674685	0.0	0.04429514577498486	0.10681433197306121	0.06831256659453842	0.07807321209655049	0.14402866013727783	0.07584206001398675	0.1268077661871182	0.0929810792905158	0.21179355793336047	0.24741822500778765	0.18505826103751583	0.188346024373081	0.2129992086586034	0.21418809995829463	0.17148829955482414	0.20160311311406104	0.2122163172199915	0.22205301983665976	0.19948946304143111	0.1870119515671671	0.2590769610918176	0.27021811796658235	0.26216389193058803	0.24120500560310731	0.23366597676848047	0.22915463003102904
w26pp	0.22933231797153153	0.24813171090967465	0.25159343681657975	0.1862842782033658	0.162170682412874	0.21777449161294055	0.22205406723088855	0.2042295001007946	0.19954841494537306	0.20403481762159414	0.2271532961580054	0.22504922551204554	0.17345100935588048	0.06923067571307784	0.04429514577498486	0.0	0.1214064938293922	0.08290472845086941	0.09266537395288149	0.15862082199360883	0.09043422187031772	0.1413999280434492	0.10757324114684678	0.22638571978969146	0.26201038686411865	0.19965042289384682	0.202938186229412	0.2275913705149344	0.22878026181462563	0.18608046141115514	0.21619527497039204	0.2268084790763225	0.23664518169299076	0.2140816248977621	0.2016041134234981	0.2736691229481486	0.2848102798229134	0.27675605378691903	0.2557971674594383	0.24825813862481147	0.24374679188736004
31232	0.266473227767536	0.28527262070567916	0.28873434661258424	0.2234251879993703	0.1993115922088785	0.2549154014089451	0.25919497702689304	0.2413704098967991	0.23668932474137755	0.24117572741759863	0.2642942059540099	0.26219013530805	0.21059191915188497	0.1234443477855417	0.10681433197306121	0.1214064938293922	0.0	0.09962441168438024	0.12980628374888598	0.1957617317896133	0.1275751316663222	0.17854083783945368	0.14471415094285128	0.26352662958569595	0.29915129666012313	0.2367913326898513	0.24007909602541652	0.2647322803109389	0.2659211716106301	0.22322137120715965	0.2533361847663965	0.263949388872327	0.27378609148899524	0.2512225346937666	0.2387450232195026	0.3108100327441531	0.3219511896189179	0.3138969635829235	0.29293807725544285	0.28539904842081604	0.2808877016833646
f16ppA	0.22797146238901322	0.24677085532715634	0.25023258123406145	0.1849234226208475	0.1608098268303557	0.21641363603042224	0.22069321164837025	0.2028686445182763	0.19818755936285476	0.20267396203907584	0.22579244057548709	0.22368836992952723	0.17209015377336218	0.08494258240701891	0.06831256659453842	0.08290472845086941	0.09962441168438024	0.0	0.09130451837036319	0.15725996641109052	0.08907336628779941	0.1400390724609309	0.10621238556432848	0.22502486420717316	0.26064953128160034	0.19828956731132852	0.2015773306468937	0.22623051493241608	0.22741940623210732	0.18471960582863683	0.21483441938787373	0.2254476234938042	0.23528432611047245	0.2127207693152438	0.2002432578409798	0.2723082673656303	0.2834494242403951	0.2753951982044007	0.25443631187692	0.24689728304229316	0.24238593630484173
w20pp	0.22490967874371665	0.24370907168185976	0.24717079758876484	0.1818616389755509	0.15774804318505908	0.21335185238512566	0.21763142800307367	0.1998068608729797	0.19512577571755818	0.19961217839377923	0.2227306569301905	0.22062658628423065	0.1690283701280656	0.09470322790903099	0.07807321209655049	0.09266537395288149	0.12980628374888598	0.09130451837036319	0.0	0.11450511042262752	0.06977207536155901	0.12073778153469046	0.10315060191903189	0.22196308056187658	0.25758774763630377	0.1952277836660319	0.19851554700159713	0.22316873128711948	0.22435762258681075	0.18165782218334026	0.21177263574257715	0.2223858398485076	0.23222254246517587	0.2096589856699472	0.19718147419568322	0.2692464837203337	0.28038764059509846	0.27233341455910415	0.25137452823162343	0.24383549939699659	0.23932415265954515
530227	0.29086512678444393	0.3096645197225871	0.31312624562949215	0.24781708701627825	0.22370349122578642	0.279307300425853	0.28358687604380095	0.265762308913707	0.2610812237582855	0.26556762643450654	0.28868610497091785	0.286582034324958	0.23498381816879294	0.16065867594975833	0.14402866013727783	0.15862082199360883	0.1957617317896133	0.15725996641109052	0.11450511042262752	0.0	0.13572752340228633	0.18669322957541779	0.16910604995975922	0.2879185286026039	0.32354319567703105	0.2611832317067593	0.26447099504232446	0.28912417932784684	0.2903130706275381	0.2476132702240676	0.2777280837833045	0.28834128788923497	0.2981779905059032	0.2756144337106745	0.26313692223641055	0.33520193176106106	0.34634308863582586	0.3382888625998315	0.3173299762723507	0.3097909474377239	0.30527960070027244
f1pp	0.22267852666115284	0.241477919599296	0.24493964550620106	0.17963048689298713	0.15551689110249534	0.21112070030256191	0.2154002759205099	0.19757570879041592	0.19289462363499443	0.19738102631121546	0.22049950484762673	0.21839543420166688	0.16679721804550185	0.09247207582646723	0.07584206001398675	0.09043422187031772	0.1275751316663222	0.08907336628779941	0.06977207536155901	0.13572752340228633	0.0	0.10446235072773535	0.10091944983646814	0.21973192847931283	0.25535659555373996	0.19299663158346814	0.19628439491903338	0.2209375792045557	0.222126470504247	0.1794266701007765	0.2095414836600134	0.22015468776594382	0.22999139038261213	0.20742783358738343	0.19495032211311947	0.2670153316377699	0.2781564885125347	0.27010226247654034	0.24914337614905968	0.2416043473144328	0.23709300057698138
S19H1	0.27364423283428435	0.29244362577242744	0.2959053516793325	0.23059619306611862	0.2064825972756268	0.26208640647569337	0.2663659820936414	0.24854141496354737	0.2438603298081259	0.2483467324843469	0.27146521102075816	0.2693611403747983	0.2177629242186333	0.1434377819995987	0.1268077661871182	0.1413999280434492	0.17854083783945368	0.1400390724609309	0.12073778153469046	0.18669322957541779	0.10446235072773535	0.0	0.1518851560095996	0.2706976346524443	0.30632230172687147	0.24396233775659962	0.24725010109216483	0.27190328537768715	0.27309217667737845	0.23039237627390796	0.26050718983314486	0.2711203939390753	0.2809570965557436	0.25839353976051493	0.24591602828625092	0.3179810378109014	0.32912219468566617	0.32106796864967185	0.30010908232219113	0.2925700534875643	0.28805870675011286
w8pp	0.23183076118522794	0.2506301541233711	0.25409188003027616	0.1887827214170622	0.1646691256265704	0.22027293482663696	0.22455251044458496	0.20672794331449101	0.20204685815906948	0.20653326083529056	0.2296517393717018	0.22754766872574195	0.1759494525695769	0.1096110951029963	0.0929810792905158	0.10757324114684678	0.14471415094285128	0.10621238556432848	0.10315060191903189	0.16910604995975922	0.10091944983646814	0.1518851560095996	0.0	0.22888416300338787	0.26450883007781506	0.20214886610754323	0.20543662944310842	0.2300898137286308	0.23127870502832204	0.18857890462485155	0.21869371818408845	0.22930692229001892	0.23914362490668717	0.21658006811145852	0.2041025566371945	0.276167566161845	0.2873087230366098	0.27925449700061544	0.2582956106731347	0.25075658183850785	0.24624523510105645
