	f25pp	w16pp	f16ppA	f16ppB	w29pp	w6pp	w11pp	f10pp	f24pp	w18pp	f13pp	w23pp	f20ppA	w26pp	w8pp	f2pp	S22Hp	S18H1	w12pp	f22ppA	S14Hp	w1pp	w14pp	F6H1	w13pp	w28pp	w10pp	f14ppB	S9H1	S26Hp	w24pp	f12ppB	f8pp	w2pp	S12Hp
S14Hp	0.5570160095091816	0.48328544624397207	0.5452730322577349	0.5058337443445131	0.5384794923781837	0.5637738378561075	0.47663530485028216	0.47157124698817265	0.4372189190260143	0.3261682030403631	0.4631431857278223	0.5002908675986492	0.4505994074128926	0.49040899151327555	0.4557947194800135	0.4127562805528646	0.54636856822495	0.5796931176687622	0.40856228054581467	0.3501063297573921	0.0	0.32497819719217846	0.23377733453151922	0.5025081328536717	0.4963070087194826	0.43495048279841797	0.4316387850405422	0.44748985184326984	0.5721034625623569	0.6500244433563269	0.48815987439114306	0.4492503737264891	0.44716099820375543	0.4309596856244755	0.5509025798908944
w1pp	0.535209284105169	0.46147872083995956	0.5234663068537224	0.48402701894050054	0.5166727669741713	0.541967112452095	0.45482857944626964	0.44976452158416014	0.41541219362200177	0.3043614776363506	0.4413364603238098	0.47848414219463664	0.4287926820088801	0.46860226610926303	0.43398799407600097	0.3909495551488521	0.5245618428209374	0.5578863922647497	0.38675555514180215	0.32829960435337957	0.32497819719217846	0.0	0.1547095626846159	0.48070140744965917	0.47450028331547006	0.41314375739440545	0.4098320596365297	0.4256831264392573	0.5502967371583445	0.6282177179523145	0.46635314898713054	0.4274436483224766	0.4253542727997429	0.409152960220463	0.529095854486882
w14pp	0.4440084214445097	0.37027785817930026	0.4322654441930631	0.3928261562798412	0.4254719043135119	0.45076624979143565	0.36362771678561034	0.3585636589235008	0.32421133096134247	0.21316061497569125	0.3501355976631506	0.38728327953397734	0.3375918193482209	0.37740140344860373	0.3427871314153418	0.29974869248819286	0.4333609801602782	0.46668552960409043	0.2955546924811429	0.23709874169272036	0.23377733453151922	0.1547095626846159	0.0	0.3895005447889999	0.3832994206548108	0.32194289473374627	0.3186311969758704	0.334482263778598	0.45909587449768513	0.5370168552916552	0.37515228632647124	0.3362427856618173	0.3341534101390836	0.31795209755980364	0.4378949918262226
F6H1	0.5825951944716878	0.5088646312064784	0.5708522172202413	0.5314129293070193	0.5640586773406902	0.5893530228186138	0.5022144898127885	0.497150431950679	0.4627981039885206	0.3517473880028694	0.48872237069032864	0.5258700525611555	0.47617859237539895	0.5159881764757819	0.4813739044425198	0.43833546551537095	0.5719477531874563	0.6052723026312685	0.434141465508321	0.41724862615725644	0.5025081328536717	0.48070140744965917	0.3895005447889999	0.0	0.3176975910198245	0.3833005933797622	0.45721797000304853	0.47306903680577617	0.5976826475248633	0.6756036283188334	0.5137390593536494	0.47482955868899546	0.47274018316626176	0.45653887058698184	0.5764817648534009
w13pp	0.5763940703374988	0.5026635070722892	0.5646510930860521	0.5252118051728303	0.5578575532065009	0.5831518986844246	0.4960133656785993	0.4909493078164898	0.4565969798543315	0.34554626386868026	0.4825212465561396	0.5196689284269663	0.4699774682412099	0.5097870523415927	0.47517278030833077	0.43213434138118184	0.5657466290532671	0.5990711784970795	0.4279403413741319	0.4110475020230674	0.4963070087194826	0.47450028331547006	0.3832994206548108	0.3176975910198245	0.0	0.377099469245573	0.45101684586885943	0.466867912671587	0.5914815233906742	0.6694025041846442	0.5075379352194602	0.4686284345548064	0.46653905903207266	0.4503377464527927	0.5702806407192116
w28pp	0.5150375444164341	0.4413069811512247	0.5032945671649875	0.4638552792517657	0.4965010272854364	0.5217953727633601	0.4346568397575348	0.42959278189542527	0.3952404539332669	0.28418973794761565	0.421164720635075	0.4583124025059018	0.4086209423201453	0.44843052642052816	0.41381625438726616	0.37077781546011723	0.5043901031322026	0.5377146525760148	0.3665838154530673	0.3496909761020028	0.43495048279841797	0.41314375739440545	0.32194289473374627	0.3833005933797622	0.377099469245573	0.0	0.3896603199477948	0.40551138675052245	0.5301249974696096	0.6080459782635796	0.44618140929839567	0.40727190863374174	0.40518253311100805	0.3889812205317281	0.5089241147981471
w10pp	0.42608273449225487	0.35235217122704543	0.41433975724080824	0.37490046932758636	0.40754621736125707	0.43284056283918076	0.3457020298333555	0.3406379719712459	0.30628564400908764	0.1952349280234364	0.34918998597628703	0.3863376678471138	0.33664620766135733	0.3764557917617402	0.3418415197284782	0.29880308080132933	0.47094362717147475	0.504268176615287	0.3331373394923395	0.34637927834412696	0.4316387850405422	0.4098320596365297	0.3186311969758704	0.45721797000304853	0.45101684586885943	0.3896603199477948	0.0	0.31655657682634314	0.44117018754543025	0.5190911683394003	0.3572265993742164	0.3183170987095625	0.3162277231868288	0.30002641060754875	0.4199693048739678
f14ppB	0.4089660494649622	0.33523548619975274	0.39722307221351555	0.3577837843002937	0.3904295323339644	0.4157238778118881	0.32858534480606283	0.3235212869439532	0.2994119497913804	0.20598403719978103	0.3650410527790146	0.4021887346498414	0.3524972744640849	0.3923068585644678	0.3576925865312058	0.31465414760405686	0.4867946939742024	0.5201192434180146	0.348988406295067	0.36223034514685454	0.44748985184326984	0.4256831264392573	0.334482263778598	0.47306903680577617	0.466867912671587	0.40551138675052245	0.31655657682634314	0.0	0.4014289506805054	0.4793499314744754	0.3174853625092915	0.2785758618446376	0.27648648632190387	0.28290972558025607	0.4028526198466751
S9H1	0.5335796601840492	0.4598490969188398	0.5218366829326027	0.4823973950193808	0.5150431430530515	0.5403374885309752	0.4531989555251499	0.4481348976630404	0.4240255605104675	0.3305976479188682	0.4896546634981017	0.5268023453689286	0.477110885183172	0.516920469283555	0.4823061972502929	0.439267758323144	0.6114083046932894	0.6447328541371018	0.47360201701415416	0.48684395586594165	0.5721034625623569	0.5502967371583445	0.45909587449768513	0.5976826475248633	0.5914815233906742	0.5301249974696096	0.44117018754543025	0.4014289506805054	0.0	0.31644228856385065	0.38161714242476125	0.3818897327951387	0.379800357272405	0.40752333629934323	0.5274662305657623
S26Hp	0.6115006409780193	0.5377700777128098	0.5997576637265727	0.5603183758133508	0.5929641238470216	0.6182584693249452	0.5311199363191199	0.5260558784570104	0.5019465413044375	0.4085186287128382	0.5675756442920717	0.6047233261628986	0.555031865977142	0.594841450077525	0.5602271780442629	0.517188739117114	0.6893292854872595	0.7226538349310718	0.5515229978081242	0.5647649366599117	0.6500244433563269	0.6282177179523145	0.5370168552916552	0.6756036283188334	0.6694025041846442	0.6080459782635796	0.5190911683394003	0.4793499314744754	0.31644228856385065	0.0	0.4595381232187312	0.45981071358910874	0.45772133806637505	0.48544431709331326	0.6053872113597323
w24pp	0.4496360720128354	0.37590550874762596	0.4378930947613888	0.3984538068481669	0.4310995548818376	0.45639390035976135	0.36925536735393605	0.3641913094918265	0.34008197233925364	0.24665405974765428	0.4057110753268879	0.44285875719771467	0.3931672970119582	0.432976881112341	0.39836260907907906	0.35532417015193013	0.5274647165220756	0.5607892659658879	0.3896584288429403	0.4029003676947278	0.48815987439114306	0.46635314898713054	0.37515228632647124	0.5137390593536494	0.5075379352194602	0.44618140929839567	0.3572265993742164	0.3174853625092915	0.38161714242476125	0.4595381232187312	0.0	0.2979461446239249	0.2958567691011912	0.32357974812812934	0.4435226423945483
f12ppB	0.4107265713481815	0.33699600808297203	0.3989835940967349	0.359544306183513	0.3921900542171837	0.4174843996951074	0.3303458666892821	0.3252818088271726	0.3011724716745997	0.20774455908300038	0.36680157466223395	0.4039492565330608	0.35425779634730425	0.39406738044768713	0.3594531084144251	0.31641466948727626	0.4885552158574217	0.5218797653012339	0.3507489281782864	0.3639908670300739	0.4492503737264891	0.4274436483224766	0.3362427856618173	0.47482955868899546	0.4686284345548064	0.40727190863374174	0.3183170987095625	0.2785758618446376	0.3818897327951387	0.45981071358910874	0.2979461446239249	0.0	0.18798396540246867	0.28467024746347547	0.40461314172989443
f8pp	0.4086371958254478	0.33490663256023834	0.3968942185740012	0.35745493066077927	0.39010067869445	0.41539502417237373	0.3282564911665484	0.32319243330443886	0.299083096151866	0.20565518356026666	0.36471219913950026	0.40185988101032705	0.35216842082457056	0.3919780049249534	0.35736373289169143	0.3143252939645425	0.486465840334688	0.5197903897785002	0.34865955265555265	0.3619014915073402	0.44716099820375543	0.4253542727997429	0.3341534101390836	0.47274018316626176	0.46653905903207266	0.40518253311100805	0.3162277231868288	0.27648648632190387	0.379800357272405	0.45772133806637505	0.2958567691011912	0.18798396540246867	0.0	0.2825808719407417	0.4025237662071607
w2pp	0.3672455082328375	0.2935149449676281	0.35550253098139095	0.316063243068169	0.3487089911018397	0.3740033365797635	0.2868648035739382	0.2818007457118286	0.28288178357258603	0.18945387098098668	0.3485108865602202	0.38565856843104707	0.3359671082452905	0.37577669234567346	0.3411624203124114	0.2981239813852625	0.47026452775540806	0.5035890771992203	0.33245824007627267	0.34570017892806015	0.4309596856244755	0.409152960220463	0.31795209755980364	0.45653887058698184	0.4503377464527927	0.3889812205317281	0.30002641060754875	0.28290972558025607	0.40752333629934323	0.48544431709331326	0.32357974812812934	0.28467024746347547	0.2825808719407417	0.0	0.36113207861455043
S12Hp	0.39725999160678216	0.3235294283415727	0.38551701435533553	0.34607772644211365	0.37872347447578436	0.44669119401564356	0.3595526610098183	0.38683505631208714	0.402824677839005	0.30939676524740567	0.46845378082663924	0.5056014626974661	0.45591000251170954	0.4957195866120924	0.4611053145788304	0.41806687565168155	0.590207422021827	0.6235319714656393	0.4524011343426917	0.4656430731944792	0.5509025798908944	0.529095854486882	0.4378949918262226	0.5764817648534009	0.5702806407192116	0.5089241147981471	0.4199693048739678	0.4028526198466751	0.5274662305657623	0.6053872113597323	0.4435226423945483	0.40461314172989443	0.4025237662071607	0.36113207861455043	0.0
