	S14Hp	31750	S7Hp	F23HpA	530394	S15Hp	F3H1	s24H1	531414	31700	S19H1	w19pp	w32pp	w23pp	w26pp	w16pp	w11pp	w22pp	f12ppB	w31pp	w14pp	w17pp	w10pp	w18pp	f16ppA	w13pp	w20pp	w9pp	w1pp	w24pp	w15pp	w28pp	S22Hp	31021	F7H1
S19H1	0.3491383409832429	0.30380001184076	0.2960335829181152	0.3229917495157215	0.32367783569320907	0.25345403633342334	0.32790470052133014	0.3333274445256481	0.32998609763763115	0.25860593106129437	0.0	0.37238823071282456	0.38646088494083053	0.38984021907094357	0.389109692453186	0.41289154255185945	0.3889652128931048	0.41251655177921	0.41482464981016154	0.4419010865122406	0.41269250947986924	0.406580310628208	0.40228370725953844	0.38959141392047203	0.3989724022054607	0.3799072469427211	0.3708998010888619	0.36395721043280477	0.36883399263866856	0.3634127036603292	0.35872436972830674	0.3325945773631387	0.3203887003464507	0.35696626677749016	0.34312189772134893
w19pp	0.4326291586470469	0.38729082950456395	0.37952440058191916	0.40648256717952547	0.407168653357013	0.3369448539972273	0.4113955181851341	0.41681826218945206	0.41347691530143516	0.3873846043661889	0.37238823071282456	0.0	0.09434692029973302	0.09772625442984609	0.0969957278120885	0.12077757791076196	0.09685124825200735	0.1204025871381125	0.12271068516906405	0.14978712187114304	0.12057854483877167	0.11446634598711047	0.1101697426184409	0.09747744927937453	0.1068584375643632	0.08779328230162362	0.07878583644776443	0.07184324579170727	0.09936572928758991	0.09394444030925053	0.10218345055822903	0.10540056960476885	0.36556219698273223	0.4404570844412941	0.4266127153851529
w32pp	0.4467018128750529	0.40136348373256997	0.39359705480992524	0.4205552214075315	0.421241307585019	0.3510175082252333	0.42546817241314006	0.430890916417458	0.4275495695294411	0.4014572585941949	0.38646088494083053	0.09434692029973302	0.0	0.09220497324220661	0.09147444662444901	0.11525629672312249	0.09132996706436786	0.114881305950473	0.11718940398142458	0.14426584068350357	0.1150572636511322	0.10894506479947097	0.1046484614308014	0.09195616809173504	0.1013371563767237	0.08227200111398414	0.07326455526012494	0.08295449350223474	0.11343838351559588	0.10801709453725652	0.11625610478623502	0.11947322383277481	0.37963485121073826	0.45452973866930013	0.44068536961315896
w23pp	0.45008114700516594	0.404742817862683	0.3969763889400383	0.42393455553764453	0.42462064171513203	0.35439684235534635	0.4288475065432531	0.43427025054757107	0.43092890365955416	0.40483659272430794	0.38984021907094357	0.09772625442984609	0.09220497324220661	0.0	0.07357306068323599	0.09735491078190947	0.07342858112315484	0.09697992000925998	0.09928801804021156	0.12636445474229052	0.09715587770991918	0.09104367885825795	0.0867470754895884	0.07405478215052202	0.0834357704355107	0.08107048286750036	0.07206303701364117	0.08633382763234781	0.11681771764570895	0.1113964286673696	0.11963543891634809	0.12285255796288788	0.3830141853408513	0.4579090727994132	0.444064703743272
w26pp	0.44935062038740836	0.40401229124492544	0.39624586232228065	0.42320402891988695	0.4238901150973745	0.3536663157375888	0.4281169799254956	0.43353972392981355	0.4301983770417966	0.4041060661065503	0.389109692453186	0.0969957278120885	0.09147444662444901	0.07357306068323599	0.0	0.075195026894342	0.05126869723558739	0.07482003612169252	0.07712813415264409	0.10420457085472307	0.07499599382235171	0.0688837949706905	0.08037391035653334	0.06768161701746697	0.07706260530245564	0.08033995624974277	0.07133251039588356	0.08560330101459022	0.11608719102795137	0.11066590204961199	0.1189049122985905	0.1221220313451303	0.38228365872309367	0.4571785461816556	0.4433341771255144
w16pp	0.4731324704860818	0.4277941413435989	0.42002771242095416	0.4469858790185604	0.4476719651960479	0.37744816583626223	0.451898830024169	0.45732157402848694	0.45398022714047004	0.4278879162052238	0.41289154255185945	0.12077757791076196	0.11525629672312249	0.09735491078190947	0.075195026894342	0.0	0.04858433439879582	0.08980046420308738	0.09210856223403893	0.1191849989361179	0.08997642190374655	0.08386422305208534	0.1041557604552068	0.09146346711614044	0.1008444554011291	0.10412180634841622	0.09511436049455704	0.10938515111326369	0.13986904112662482	0.13444775214828547	0.14268676239726397	0.14590388144380376	0.4060655088217672	0.48096039628032905	0.4671160272241879
w11pp	0.4492061408273272	0.40386781168484426	0.3961013827621995	0.4230595493598058	0.4237456355372933	0.3535218361775076	0.42797250036541434	0.4333952443697323	0.4300538974817154	0.4039615865464692	0.3889652128931048	0.09685124825200735	0.09132996706436786	0.07342858112315484	0.05126869723558739	0.04858433439879582	0.0	0.06587413454433276	0.06818223257528433	0.09525866927736329	0.06605009224499195	0.05993789339333073	0.08022943079645219	0.06753713745738582	0.07691812574237449	0.08019547668966162	0.07118803083580241	0.08545882145450907	0.11594271146787022	0.11052142248953084	0.11876043273850935	0.12197755178504915	0.38213917916301254	0.4570340666215744	0.44318969756543325
w22pp	0.47275747971343235	0.4274191505709494	0.4196527216483047	0.44661088824591094	0.44729697442339844	0.37707317506361276	0.4515238392515195	0.4569465832558375	0.4536052363678206	0.42751292543257435	0.41251655177921	0.1204025871381125	0.114881305950473	0.09697992000925998	0.07482003612169252	0.08980046420308738	0.06587413454433276	0.0	0.07627169576604109	0.10334813246812005	0.07413955543574871	0.07343407286000347	0.10378076968255733	0.09108847634349096	0.10046946462847962	0.10374681557576676	0.09473936972190755	0.10901016034061423	0.13949405035397536	0.13407276137563598	0.1423117716246145	0.1455288906711543	0.4056905180491177	0.4805854055076796	0.4667410364515384
f12ppB	0.4750655777443839	0.429727248601901	0.42196081967925625	0.4489189862768625	0.44960507245435	0.3793812730945643	0.45383193728247107	0.45925468128678903	0.45591333439877213	0.4298210234635259	0.41482464981016154	0.12271068516906405	0.11718940398142458	0.09928801804021156	0.07712813415264409	0.09210856223403893	0.06818223257528433	0.07627169576604109	0.0	0.0889837027090392	0.059775125676667845	0.07574217089095504	0.1060888677135089	0.09339657437444253	0.1027775626594312	0.10605491360671832	0.09704746775285913	0.11131825837156578	0.1418021483849269	0.13638085940658756	0.14461986965556606	0.14783698870210585	0.40799861608006927	0.48289350353863114	0.46904913448248997
w31pp	0.502142014446463	0.45680368530398	0.4490372563813353	0.47599542297894154	0.47668150915642904	0.40645770979664336	0.4809083739845501	0.4863311179888681	0.4829897711008512	0.45689746016560495	0.4419010865122406	0.14978712187114304	0.14426584068350357	0.12636445474229052	0.10420457085472307	0.1191849989361179	0.09525866927736329	0.10334813246812005	0.0889837027090392	0.0	0.06873964449222952	0.10281860759303402	0.13316530441558788	0.1204730110765215	0.12985399936151015	0.1331313503087973	0.12412390445493812	0.13839469507364477	0.1688785850870059	0.16345729610866655	0.17169630635764505	0.17491342540418486	0.4350750527821483	0.5099699402407102	0.496125571184569
w14pp	0.47293343741409155	0.4275951082716086	0.41982867934896384	0.44678684594657014	0.4474729321240577	0.37724913276427197	0.45169979695217877	0.45712254095649674	0.4537811940684798	0.42768888313323355	0.41269250947986924	0.12057854483877167	0.1150572636511322	0.09715587770991918	0.07499599382235171	0.08997642190374655	0.06605009224499195	0.07413955543574871	0.059775125676667845	0.06873964449222952	0.0	0.07361003056066266	0.10395672738321651	0.09126443404415015	0.10064542232913881	0.10392277327642593	0.09491532742256675	0.1091861180412734	0.13967000805463453	0.13424871907629518	0.14248772932527368	0.14570484837181347	0.40586647574977686	0.4807613632083388	0.46691699415219756
w17pp	0.4668212385624303	0.42148290941994737	0.4137164804973026	0.4406746470949089	0.44136073327239644	0.3711369339126107	0.4455875981005175	0.4510103421048355	0.4476689952168185	0.4215766842815723	0.406580310628208	0.11446634598711047	0.10894506479947097	0.09104367885825795	0.0688837949706905	0.08386422305208534	0.05993789339333073	0.07343407286000347	0.07574217089095504	0.10281860759303402	0.07361003056066266	0.0	0.0978445285315553	0.08515223519248893	0.0945332234774776	0.09781057442476473	0.08880312857090553	0.1030739191896122	0.13355780920297333	0.12813652022463395	0.13637553047361245	0.13959264952015227	0.39975427689811566	0.47464916435667753	0.4608047953005363
w10pp	0.46252463519376075	0.4171863060512778	0.40941987712863304	0.43637804372623934	0.4370641299037269	0.36684033054394116	0.44129099473184796	0.44671373873616593	0.443372391848149	0.41728008091290275	0.40228370725953844	0.1101697426184409	0.1046484614308014	0.0867470754895884	0.08037391035653334	0.1041557604552068	0.08022943079645219	0.10378076968255733	0.1060888677135089	0.13316530441558788	0.10395672738321651	0.0978445285315553	0.0	0.07562841668843062	0.08500940497341929	0.09351397105609516	0.08450652520223598	0.09877731582094262	0.12926120583430376	0.12383991685596438	0.1320789271049429	0.1352960461514827	0.39545767352944605	0.470352560988008	0.45650819193186676
w18pp	0.4498323418546944	0.40449401271221147	0.39672758378956674	0.423685750387173	0.4243718365646605	0.3541480372048748	0.42859870139278156	0.4340214453970995	0.4306800985090826	0.4045877875738364	0.38959141392047203	0.09747744927937453	0.09195616809173504	0.07405478215052202	0.06768161701746697	0.09146346711614044	0.06753713745738582	0.09108847634349096	0.09339657437444253	0.1204730110765215	0.09126443404415015	0.08515223519248893	0.07562841668843062	0.0	0.06572255083742319	0.0808216777170288	0.0718142318631696	0.08608502248187626	0.1165689124952374	0.11114762351689803	0.11938663376587653	0.12260375281241634	0.38276538019037976	0.45766026764894163	0.44381589859280046
f16ppA	0.459213330139683	0.4138750009972001	0.4061085720745553	0.4330667386721616	0.43375282484964917	0.36352902548986343	0.43797968967777023	0.4434024336820882	0.44006108679407124	0.413968775858825	0.3989724022054607	0.1068584375643632	0.1013371563767237	0.0834357704355107	0.07706260530245564	0.1008444554011291	0.07691812574237449	0.10046946462847962	0.1027775626594312	0.12985399936151015	0.10064542232913881	0.0945332234774776	0.08500940497341929	0.06572255083742319	0.0	0.09020266600201746	0.08119522014815828	0.09546601076686492	0.12594990078022605	0.12052861180188668	0.12876762205086517	0.131984741097405	0.3921463684753684	0.46704125593393025	0.45319688687778903
w13pp	0.44014817487694347	0.39480984573446054	0.38704341681181575	0.41400158340942206	0.4146876695869096	0.3444638702271239	0.4189145344150307	0.42433727841934865	0.4209959315313317	0.3949036205960854	0.3799072469427211	0.08779328230162362	0.08227200111398414	0.08107048286750036	0.08033995624974277	0.10412180634841622	0.08019547668966162	0.10374681557576676	0.10605491360671832	0.1331313503087973	0.10392277327642593	0.09781057442476473	0.09351397105609516	0.0808216777170288	0.09020266600201746	0.0	0.053161491948980705	0.07640085550412534	0.10688474551748649	0.10146345653914712	0.10970246678812562	0.11291958583466541	0.37308121321262877	0.4479761006711907	0.4341317316150495
w20pp	0.43114072902308426	0.38580239988060133	0.3780359709579566	0.40499413755556285	0.40568022373305035	0.33545642437326467	0.4099070885611715	0.41532983256548944	0.4119884856774725	0.38589617474222626	0.3708998010888619	0.07878583644776443	0.07326455526012494	0.07206303701364117	0.07133251039588356	0.09511436049455704	0.07118803083580241	0.09473936972190755	0.09704746775285913	0.12412390445493812	0.09491532742256675	0.08880312857090553	0.08450652520223598	0.0718142318631696	0.08119522014815828	0.053161491948980705	0.0	0.06739340965026616	0.09787729966362729	0.09245601068528793	0.10069502093426642	0.10391213998080623	0.3640737673587696	0.4389686548173315	0.4251242857611903
w9pp	0.42419813836702713	0.3788598092245442	0.3710933803018994	0.3980515468995057	0.3987376330769933	0.32851383371720755	0.40296449790511435	0.4083872419094323	0.40504589502141536	0.3789535840861691	0.36395721043280477	0.07184324579170727	0.08295449350223474	0.08633382763234781	0.08560330101459022	0.10938515111326369	0.08545882145450907	0.10901016034061423	0.11131825837156578	0.13839469507364477	0.1091861180412734	0.1030739191896122	0.09877731582094262	0.08608502248187626	0.09546601076686492	0.07640085550412534	0.06739340965026616	0.0	0.09093470900757014	0.08551342002923076	0.09375243027820926	0.09696954932474908	0.35713117670271244	0.43202606416127437	0.41818169510513314
w1pp	0.4290749205728909	0.383736591430408	0.3759701625077633	0.4029283291053695	0.403614415282857	0.33339061592307134	0.4078412801109781	0.41326402411529606	0.40992267722727915	0.38383036629203293	0.36883399263866856	0.09936572928758991	0.11343838351559588	0.11681771764570895	0.11608719102795137	0.13986904112662482	0.11594271146787022	0.13949405035397536	0.1418021483849269	0.1688785850870059	0.13967000805463453	0.13355780920297333	0.12926120583430376	0.1165689124952374	0.12594990078022605	0.10688474551748649	0.09787729966362729	0.09093470900757014	0.0	0.08144691092523308	0.09862921248407305	0.10184633153061284	0.3620079589085763	0.43690284636713816	0.423058477310997
w24pp	0.42365363159455155	0.3783153024520686	0.3705488735294239	0.39750704012703014	0.39819312630451764	0.32796932694473196	0.4024199911326387	0.4078427351369567	0.4045013882489398	0.37840907731369355	0.3634127036603292	0.09394444030925053	0.10801709453725652	0.1113964286673696	0.11066590204961199	0.13444775214828547	0.11052142248953084	0.13407276137563598	0.13638085940658756	0.16345729610866655	0.13424871907629518	0.12813652022463395	0.12383991685596438	0.11114762351689803	0.12052861180188668	0.10146345653914712	0.09245601068528793	0.08551342002923076	0.08144691092523308	0.0	0.09320792350573369	0.0964250425522735	0.3565866699302369	0.4314815573887988	0.4176371883326576
w15pp	0.4189652976625291	0.3736269685200462	0.3658605395974014	0.3928187061950077	0.39350479237249525	0.3232809930127095	0.3977316572006163	0.4031544012049343	0.3998130543169173	0.37372074338167105	0.35872436972830674	0.10218345055822903	0.11625610478623502	0.11963543891634809	0.1189049122985905	0.14268676239726397	0.11876043273850935	0.1423117716246145	0.14461986965556606	0.17169630635764505	0.14248772932527368	0.13637553047361245	0.1320789271049429	0.11938663376587653	0.12876762205086517	0.10970246678812562	0.10069502093426642	0.09375243027820926	0.09862921248407305	0.09320792350573369	0.0	0.09173670862025105	0.3518983359982144	0.42679322345677634	0.4129488544006351
w28pp	0.39283550529736105	0.3474971761548782	0.3397307472322334	0.3666889138298397	0.3673750000073272	0.29715120064754147	0.37160186483544827	0.37702460883976624	0.3736832619517493	0.34759095101650306	0.3325945773631387	0.10540056960476885	0.11947322383277481	0.12285255796288788	0.1221220313451303	0.14590388144380376	0.12197755178504915	0.1455288906711543	0.14783698870210585	0.17491342540418486	0.14570484837181347	0.13959264952015227	0.1352960461514827	0.12260375281241634	0.131984741097405	0.11291958583466541	0.10391213998080623	0.09696954932474908	0.10184633153061284	0.0964250425522735	0.09173670862025105	0.0	0.3257685436330464	0.4006634310916083	0.3868190620354671
S22Hp	0.38062962828067304	0.3352912991381901	0.3275248702155454	0.35448303681315163	0.3551691229906392	0.28494532363085345	0.35939598781876025	0.3648187318230782	0.3614773849350613	0.33538507399981504	0.3203887003464507	0.36556219698273223	0.37963485121073826	0.3830141853408513	0.38228365872309367	0.4060655088217672	0.38213917916301254	0.4056905180491177	0.40799861608006927	0.4350750527821483	0.40586647574977686	0.39975427689811566	0.39545767352944605	0.38276538019037976	0.3921463684753684	0.37308121321262877	0.3640737673587696	0.35713117670271244	0.3620079589085763	0.3565866699302369	0.3518983359982144	0.3257685436330464	0.0	0.38845755407492033	0.37461318501877905
31021	0.33136629649558347	0.3224063089051625	0.31463987998251775	0.341598046580124	0.3422841327576115	0.3018035856079186	0.37625424979582534	0.3816769938001433	0.3783356469121264	0.3719626404308545	0.35696626677749016	0.4404570844412941	0.45452973866930013	0.4579090727994132	0.4571785461816556	0.48096039628032905	0.4570340666215744	0.4805854055076796	0.48289350353863114	0.5099699402407102	0.4807613632083388	0.47464916435667753	0.470352560988008	0.45766026764894163	0.46704125593393025	0.4479761006711907	0.4389686548173315	0.43202606416127437	0.43690284636713816	0.4314815573887988	0.42679322345677634	0.4006634310916083	0.38845755407492033	0.0	0.32534985323368953
F7H1	0.2815552661726568	0.30856193984902125	0.30079551092637646	0.32775367752398277	0.3284397637014703	0.28795921655177736	0.36240988073968416	0.36783262474400213	0.3644912778559852	0.3581182713747133	0.34312189772134893	0.4266127153851529	0.44068536961315896	0.444064703743272	0.4433341771255144	0.4671160272241879	0.44318969756543325	0.4667410364515384	0.46904913448248997	0.496125571184569	0.46691699415219756	0.4608047953005363	0.45650819193186676	0.44381589859280046	0.45319688687778903	0.4341317316150495	0.4251242857611903	0.41818169510513314	0.423058477310997	0.4176371883326576	0.4129488544006351	0.3868190620354671	0.37461318501877905	0.32534985323368953	0.0
