	F14H1A	S10H1	S9H1	31300	31328	S16H2	530258	530451	31129	31379	530119	31537	531414	F23HpA	F22H1A	S27H1	S6Hp	S3Hp	530177	31112	31021	F16H1	530295	31749	S13Hp	530394	S31Hp	530050	31219	S4Hp	S11Hp	s24H1	S17H1
31021	0.5222799239628422	0.46932166518968454	0.3641103804647964	0.3842212509661941	0.405173021140219	0.49853870482712354	0.4601847443475017	0.402209466812565	0.4722233923059764	0.39290447044789134	0.38586350120488855	0.36206488809821963	0.3822751659022238	0.4417869645704118	0.47499832905702427	0.46313801133920535	0.4590669298675925	0.30289790829445795	0.49719316267744035	0.3559702824262131	0.0	0.2471896111970644	0.29681600548292897	0.4180148471531131	0.3519409124728675	0.3965964743376841	0.3977014729765293	0.42145270301746685	0.3892262076291805	0.4556551273850049	0.46733741491098973	0.47339521090697434	0.4436161970851974
F16H1	0.5598433762622044	0.5068851174890467	0.4016738327641586	0.4217847032655563	0.4427364734395812	0.5361021571264857	0.49774819664686387	0.4397729191119272	0.5097868446053386	0.43046792274725354	0.42342695350425075	0.3996283403975818	0.419838618201586	0.479350416869774	0.5125617813563865	0.5007014636385676	0.4966303821669547	0.34046136059382015	0.5347566149768026	0.3935337347255753	0.2471896111970644	0.0	0.3343794577822911	0.4555782994524753	0.3895043647722297	0.4341599266370463	0.4352649252758915	0.45901615531682904	0.4267896599285427	0.4932185796843671	0.5049008672103519	0.5109586632063365	0.4811796493845596
530295	0.5515290668928576	0.49857080811970006	0.39335952339481184	0.41347039389620965	0.4344221640702345	0.527787847757139	0.4894338872775172	0.4314586097425805	0.5014725352359919	0.4221536133779069	0.41511264413490406	0.39131403102823514	0.41152430883223934	0.4710361075004273	0.5042474719870398	0.49238715426922086	0.488316072797608	0.33214705122447347	0.5264423056074559	0.3852194253562286	0.29681600548292897	0.3343794577822911	0.0	0.4472639900831286	0.381190055402883	0.4258456172676996	0.4269506159065448	0.45070184594748236	0.418475350559196	0.4849042703150204	0.49658655784100525	0.5026443538369899	0.4728653400152129
31749	0.5039285319238804	0.4509702731507228	0.34575898842583463	0.36586985892723234	0.3868216291012573	0.4801873127881618	0.44183335230853993	0.4129503094677871	0.4829642349611985	0.40364531310311347	0.4143542361509839	0.39055562304431496	0.41076590084831915	0.4963513025005948	0.5295626669872073	0.5177023492693884	0.5136312677977755	0.35746224622464096	0.5517575006076234	0.4105346203563961	0.4180148471531131	0.4555782994524753	0.4472639900831286	0.0	0.31306013233273033	0.3577156941975469	0.3588206928363921	0.38257192287732966	0.3503454274890433	0.43730373534604317	0.448986022872028	0.4550438188680126	0.42526480504623565
S13Hp	0.43785459724363485	0.3848963384704772	0.279685053745589	0.29979592424698676	0.32074769442101164	0.41411337810791615	0.37575941762829435	0.3468763747875415	0.41689030028095286	0.3375713784228679	0.3482803014707383	0.3244816883640693	0.3446919661680735	0.4302773678203492	0.46348873230696164	0.4516284145891427	0.4475573331175299	0.2913883115443954	0.4856835659273777	0.3444606856761505	0.3519409124728675	0.3895043647722297	0.381190055402883	0.31306013233273033	0.0	0.24313741758351626	0.2655787908829118	0.2893300209238494	0.25710352553556304	0.3712298006657976	0.38291208819178235	0.388969884187767	0.35919087036599007
530394	0.4825101591084514	0.4295519003352938	0.3243406156104056	0.3444514861118033	0.36540325628582826	0.45876893997273277	0.4204149794931109	0.3915319366523581	0.4615458621457695	0.38222694028768445	0.39293586333555486	0.36913725022888594	0.38934752803289013	0.47493292968516576	0.5081442941717782	0.49628397645395933	0.4922128949823465	0.33604387340921194	0.5303391277921943	0.3891162475409671	0.3965964743376841	0.4341599266370463	0.4258456172676996	0.3577156941975469	0.24313741758351626	0.0	0.3102343527477284	0.33398558278866597	0.3017590874003796	0.41588536253061414	0.42756765005659897	0.4336254460525836	0.40384643223080663
S31Hp	0.48361515774729663	0.430656898974139	0.3254456142492508	0.3455564847506486	0.3665082549246734	0.459873938611578	0.42151997813195613	0.3926369352912033	0.4626508607846147	0.3833319389265297	0.3940408619744001	0.37024224886773116	0.39045252667173536	0.476037928324011	0.5092492928106235	0.49738897509280455	0.4933178936211917	0.33714887204805716	0.5314441264310396	0.3902212461798123	0.3977014729765293	0.4352649252758915	0.4269506159065448	0.3588206928363921	0.2655787908829118	0.3102343527477284	0.0	0.3175100251089724	0.28528352972068605	0.41699036116945937	0.4286726486954442	0.43473044469142885	0.40495143086965185
530050	0.5073663877882342	0.45440812901507655	0.3491968442901884	0.3693077147915861	0.390259484965611	0.48362516865251554	0.4452712081728937	0.41638816533214085	0.48640209082555225	0.4070831689674672	0.4177920920153376	0.3939934789086687	0.4142037567126729	0.4997891583649485	0.5330005228515611	0.5211402051337422	0.5170691236621292	0.3609001020889947	0.5551953564719772	0.41397247622074984	0.42145270301746685	0.45901615531682904	0.45070184594748236	0.38257192287732966	0.2893300209238494	0.33398558278866597	0.3175100251089724	0.0	0.14570458027499053	0.4407415912103969	0.45242387873638173	0.45848167473236634	0.4287026609105894
31219	0.4751398923999478	0.4221816336267902	0.316970348901902	0.3370812194032997	0.35803298957732466	0.45139867326422917	0.4130447127846073	0.3841616699438545	0.4541755954372659	0.37485667357918084	0.38556559662705125	0.36176698352038233	0.38197726132438653	0.46756266297666216	0.5007740274632746	0.4889137097454557	0.4848426282738429	0.32867360670070833	0.5229688610836907	0.38174598083246347	0.3892262076291805	0.4267896599285427	0.418475350559196	0.3503454274890433	0.25710352553556304	0.3017590874003796	0.28528352972068605	0.14570458027499053	0.0	0.40851509582211054	0.42019738334809537	0.42625517934407997	0.396476165522303
S4Hp	0.472985433688737	0.4200271749155794	0.36378656370960805	0.38389743421100575	0.4048492043850307	0.4982148880719352	0.45986092759231334	0.4505905896996789	0.5206045151930903	0.4412855933350053	0.4519945163828757	0.42819590327620677	0.44840618108021096	0.5339915827324866	0.5672029472190991	0.5553426295012802	0.5512715480296673	0.39510252645653277	0.5893977808395152	0.4481749005882879	0.4556551273850049	0.4932185796843671	0.4849042703150204	0.43730373534604317	0.3712298006657976	0.41588536253061414	0.41699036116945937	0.4407415912103969	0.40851509582211054	0.0	0.376904832597195	0.4241007206328692	0.39432170681109224
S11Hp	0.48466772121472185	0.4317094624415642	0.3754688512355928	0.39557972173699063	0.41653149191101546	0.50989717559792	0.47154321511829816	0.46227287722566374	0.5322868027190751	0.45296788086099016	0.4636768039088605	0.4398781908021916	0.4600884686061958	0.5456738702584714	0.5788852347450839	0.567024917027265	0.5629538355556521	0.4067848139825176	0.6010800683655	0.45985718811427273	0.46733741491098973	0.5049008672103519	0.49658655784100525	0.448986022872028	0.38291208819178235	0.42756765005659897	0.4286726486954442	0.45242387873638173	0.42019738334809537	0.376904832597195	0.0	0.43578300815885407	0.40600399433707707
s24H1	0.3167634609748131	0.37417908277171863	0.3815266472315775	0.4016375177329753	0.4225892879070001	0.5159549715939047	0.47760101111428277	0.46833067322164834	0.5383445987150598	0.4590256768569748	0.4697345999048451	0.44593598679817625	0.46614626460218045	0.551731666254456	0.5849430307410686	0.5730827130232496	0.5690116315516368	0.4128426099785022	0.6071378643614846	0.46591498411025734	0.47339521090697434	0.5109586632063365	0.5026443538369899	0.4550438188680126	0.388969884187767	0.4336254460525836	0.43473044469142885	0.45848167473236634	0.42625517934407997	0.4241007206328692	0.43578300815885407	0.0	0.23809973409716834
S17H1	0.2387994785687353	0.3444000689499417	0.35174763340980053	0.3718585039111983	0.3928102740852232	0.4861759577721277	0.4478219972925058	0.4385516593998714	0.5085655848932827	0.4292466630351978	0.4399555860830682	0.41615697297639925	0.43636725078040345	0.5219526524326791	0.5551640169192915	0.5433036992014726	0.5392326177298598	0.38306359615672525	0.5773588505397076	0.4361359702884804	0.4436161970851974	0.4811796493845596	0.4728653400152129	0.42526480504623565	0.35919087036599007	0.40384643223080663	0.40495143086965185	0.4287026609105894	0.396476165522303	0.39432170681109224	0.40600399433707707	0.23809973409716834	0.0
