	f16ppB	f13pp	S9H1	w25pp	w10pp	f20ppB	w23pp	f21pp	f14ppA	f31pp	f12ppB	f7pp	f24pp	f8pp	f30pp	f23ppA	w31pp	w24pp	w29pp	w27pp	f16ppA	w2pp	w16pp	f23ppB	w11pp	f10pp	w26pp	S14Hp	w12pp	w18pp	f6ppA	w32pp	w6pp	530451	S18H1	f2pp	f17ppB	f12ppA	w28pp	f11pp	f20ppA	w20pp	f14ppB	S12Hp	w3pp	w1pp	f19pp	w15pp	w19pp	f6ppB	f15pp	w13pp	w14pp	w22pp	w8pp	w17pp	f32pp
f12ppB	0.2537931531111252	0.21790634117523705	0.34930116861546057	0.3314843037931915	0.16504518901406248	0.1835262256615614	0.1463466502290967	0.11789745788598624	0.10451644065608279	0.060686402053377025	0.0	0.09896759328036529	0.06792562109694295	0.1504692121184389	0.11535965140084622	0.15446738398471418	0.13485058628253202	0.09112288364400623	0.1660022666851711	0.11407634591830909	0.1674482723822498	0.22798016691351036	0.13440697915185612	0.1722284023773269	0.16546328702197954	0.10794693285676007	0.17325318808452922	0.3829631114234831	0.23359257810434392	0.2292243338205343	0.29179748522503035	0.4027329359593443	0.32369257796250006	0.512019395784379	0.4490223642052774	0.24427920316604512	0.26342514800930866	0.35197819207302083	0.23452128861717947	0.1988801277961125	0.15716669214182682	0.2279261695825484	0.20642706057173837	0.38658088709010396	0.40292657519743486	0.318888011755589	0.2673822249011257	0.3958547299466002	0.3170350311932478	0.36574429791843927	0.260379455155035	0.3533183299600942	0.22723912649069672	0.15155531143163467	0.29313592347653294	0.2903776222418294	0.39497104425401713
f7pp	0.34448091867691133	0.3085941067410232	0.43998893418124674	0.42217206935897766	0.2557329545798486	0.2742139912273476	0.23703441579488285	0.20858522345177238	0.19520420622186896	0.15965199533274227	0.09896759328036529	0.0	0.1586133866627291	0.24115697768422503	0.20604741696663237	0.24515514955050033	0.22553835184831816	0.18181064920979237	0.2566900322509572	0.2047641114840952	0.2581360379480359	0.3186679324792965	0.22509474471764226	0.262916167943113	0.2561510525877657	0.19863469842254622	0.26394095365031534	0.4736508769892692	0.32428034367013003	0.3199120993863204	0.3824852507908165	0.4934207015251304	0.41438034352828623	0.6027071613501652	0.5397101297710636	0.3349669687318313	0.3541129135750948	0.44266595763880695	0.3252090541829656	0.28956789336189864	0.24785445770761294	0.3186139351483346	0.2971148261375245	0.4772686526558901	0.49361434076322097	0.4095757773213752	0.3580699904669118	0.4865424955123863	0.4077227967590339	0.4564320634842254	0.35106722072082114	0.44400609552588033	0.31792689205648283	0.24224307699742081	0.38382368904231906	0.38106538780761545	0.48565880981980325
f24pp	0.21436632362786037	0.17847951169197226	0.30987433913219575	0.2920574743099267	0.1256183595307977	0.1440993961782966	0.1069198207458319	0.1264782112159398	0.11309719398603633	0.1286100231493199	0.06792562109694295	0.1586133866627291	0.0	0.082545591022496	0.04743603030490334	0.0865437628887713	0.06692696518658914	0.05169605416074142	0.12657543720190628	0.07464951643504428	0.12802144289898498	0.18855333743024555	0.09498014966859132	0.13280157289406208	0.12603645753871473	0.06852010337349526	0.1338263586012644	0.3435362819402183	0.1941657486210791	0.1897975043372695	0.25237065574176554	0.36330610647607947	0.28426574847923525	0.4725925663011143	0.4095955347220126	0.2048523736827803	0.22399831852604385	0.312551362589756	0.19509445913391465	0.15945329831284769	0.11773986265856201	0.1884993400992836	0.16700023108847356	0.34715405760683915	0.36349974571417004	0.2794611822723242	0.22795539541786086	0.3564279004633354	0.27760820170998296	0.32631746843517445	0.2209526256717702	0.3138915004768294	0.1878122970074319	0.11212848194836986	0.25370909399326813	0.2509507927585646	0.3555442147707523
f8pp	0.29690991464935634	0.2610231027134682	0.3924179301536917	0.3746010653314226	0.2081619505522936	0.22664298719979253	0.18946341176732784	0.20902180223743572	0.1956407850075323	0.21115361417081585	0.1504692121184389	0.24115697768422503	0.082545591022496	0.0	0.07225950144538562	0.13558904155361526	0.1159722438514331	0.13423964518223735	0.20911902822340223	0.15719310745654022	0.21056503392048093	0.2710969284517415	0.17752374069008725	0.21534516391555802	0.20858004856021067	0.1510636943949912	0.21636994962276035	0.42607987296171423	0.27670933964257505	0.27234109535876544	0.3349142467632615	0.4458496974975754	0.3668093395007312	0.5551361573226102	0.49213912574350854	0.28739596470427625	0.3065419095475398	0.39509495361125196	0.2776380501554106	0.24199688933434363	0.20028345368005795	0.27104293112077954	0.2495438221099695	0.4296976486283351	0.446043336735666	0.36200477329382014	0.3104989864393568	0.43897149148483133	0.3601517927314789	0.4088610594566704	0.30349621669326615	0.39643509149832534	0.27035588802892785	0.1946720729698658	0.3362526850147641	0.33349438378006047	0.43808780579224826
f30pp	0.26180035393176365	0.22591354199587554	0.357308369436099	0.33949150461382993	0.17305238983470095	0.1915334264821999	0.15435385104973517	0.17391224151984308	0.16053122428993963	0.1760440534532232	0.11535965140084622	0.20604741696663237	0.04743603030490334	0.07225950144538562	0.0	0.1004794808360226	0.08086268313384044	0.09913008446464469	0.1740094675058096	0.12208354673894756	0.17545547320288823	0.2359873677341488	0.14241417997249461	0.18023560319796533	0.17347048784261804	0.11595413367739854	0.18126038890516766	0.39097031224412154	0.24159977892498236	0.23723153464117275	0.29980468604566884	0.4107401367799827	0.33169977878313855	0.5200265966050176	0.45702956502591585	0.2522864039866836	0.27143234882994716	0.3599853928936593	0.2425284894378179	0.20688732861675097	0.1651738929624653	0.2359333704031869	0.2144342613923768	0.3945880879107424	0.4109337760180733	0.3268952125762275	0.2753894257217641	0.40386193076723864	0.3250422320138862	0.3737514987390777	0.26838665597567346	0.36132553078073265	0.23524632731133516	0.15956251225227314	0.3011431242971714	0.29838482306246783	0.4029782450746556
f23ppA	0.3009080865156316	0.2650212745797435	0.396416102019967	0.37859923719769795	0.2121601224185689	0.23064115906606786	0.19346158363360313	0.21301997410371104	0.19963895687380756	0.21515178603709112	0.15446738398471418	0.24515514955050033	0.0865437628887713	0.13558904155361526	0.1004794808360226	0.0	0.019618797703182214	0.13823781704851265	0.21311720008967755	0.16119127932281552	0.2145632057867562	0.27509510031801676	0.18152191255636255	0.2193433357818333	0.21257822042648597	0.1550618662612665	0.22036812148903562	0.4300780448279895	0.2807075115088503	0.2763392672250407	0.3389124186295368	0.4498478693638507	0.3708075113670065	0.5591343291888855	0.4961372976097838	0.2913941365705516	0.31054008141381506	0.39909312547752723	0.28163622202168587	0.24599506120061893	0.20428162554633322	0.27504110298705486	0.2535419939762448	0.43369582049461036	0.45004150860194125	0.36600294516009546	0.3144971583056321	0.4429696633511066	0.36414996459775417	0.41285923132294566	0.3074943885595414	0.4004332633646006	0.2743540598952031	0.1986702448361411	0.3402508568810394	0.3374925556463358	0.44208597765852353
w31pp	0.28129128881344945	0.24540447687756134	0.37679930431778486	0.3589824394955158	0.19254332471638674	0.2110243613638857	0.17384478593142097	0.19340317640152888	0.1800221591716254	0.19553498833490895	0.13485058628253202	0.22553835184831816	0.06692696518658914	0.1159722438514331	0.08086268313384044	0.019618797703182214	0.0	0.11862101934633049	0.19350040238749538	0.14157448162063335	0.19494640808457403	0.2554783026158346	0.1619051148541804	0.19972653807965113	0.19296142272430383	0.13544506855908434	0.20075132378685345	0.41046124712580734	0.26109071380666815	0.25672246952285854	0.31929562092735464	0.4302310716616685	0.35119071366482435	0.5395175314867033	0.47652049990760165	0.2717773388683694	0.29092328371163295	0.37947632777534507	0.2620194243195037	0.22637826349843676	0.18466482784415109	0.2554243052848727	0.2339251962740626	0.4140790227924282	0.4304247108997591	0.3463861474579133	0.2948803606034499	0.42335286564892444	0.344533166895572	0.3932424336207635	0.28787759085735926	0.38081646566241845	0.25473726219302095	0.17905344713395893	0.32063405917885723	0.3178757579441536	0.42246917995634137
w24pp	0.2246517917897441	0.18876497985385599	0.3201598072940795	0.3023429424718104	0.13590382769268142	0.15438486434018034	0.11720528890771562	0.14967547376300308	0.13629445653309963	0.1518072856963832	0.09112288364400623	0.18181064920979237	0.05169605416074142	0.13423964518223735	0.09913008446464469	0.13823781704851265	0.11862101934633049	0.0	0.09969699065612585	0.047771069889263815	0.12126353723027712	0.18179543176153767	0.10526561783047504	0.14308704105594577	0.13632192570059848	0.07880557153537898	0.1441118267631481	0.353821750102102	0.2044512167829628	0.2000829724991532	0.2626561239036493	0.37359157463796316	0.294551216641119	0.482878034462998	0.4198810028838963	0.21513784184466406	0.2342837866879276	0.3228368307516397	0.20537992729579835	0.1697387664747314	0.12802533082044573	0.19878480826116735	0.17728569925035725	0.35743952576872284	0.37378521387605373	0.28974665043420794	0.23824086357974456	0.3667133686252191	0.28789366987186665	0.33660293659705814	0.2312380938336539	0.3241769686387131	0.1980977651693156	0.12241395011025358	0.2639945621551518	0.26123626092044827	0.36582968293263607
w29pp	0.29953117483090896	0.26364436289502086	0.3950391903352444	0.3772223255129753	0.21078321073384626	0.2292642473813452	0.1920846719488805	0.22455485680416795	0.2111738395742645	0.22668666873754806	0.1660022666851711	0.2566900322509572	0.12657543720190628	0.20911902822340223	0.1740094675058096	0.21311720008967755	0.19350040238749538	0.09969699065612585	0.0	0.07290640910429341	0.196142920271442	0.2566748148027026	0.18014500087163993	0.21796642409711067	0.21120130874176335	0.15368495457654388	0.218991209804313	0.42870113314326685	0.27933059982412767	0.2749623555403181	0.33753550694481416	0.44847095767912803	0.36943059968228387	0.5577574175041629	0.4947603859250612	0.29001722488582893	0.30916316972909247	0.39771621379280464	0.2802593103369633	0.24461814951589628	0.20290471386161063	0.2736641913023322	0.2521650822915221	0.43231890880988777	0.4486645969172186	0.3646260334753728	0.3131202466209094	0.441592751666384	0.3627730529130315	0.411482319638223	0.30611747687481883	0.39905635167987796	0.27297714821048047	0.19729333315141845	0.33887394519631675	0.33611564396161314	0.4407090659738009
w27pp	0.24760525406404696	0.21171844212815882	0.34311326956838234	0.32529640474611327	0.15885728996698426	0.17733832661448318	0.14015875118201848	0.17262893603730592	0.15924791880740247	0.17476074797068603	0.11407634591830909	0.2047641114840952	0.07464951643504428	0.15719310745654022	0.12208354673894756	0.16119127932281552	0.14157448162063335	0.047771069889263815	0.07290640910429341	0.0	0.14421699950457997	0.20474889403584054	0.1282190801047779	0.16604050333024864	0.15927538797490132	0.10175903380968185	0.16706528903745096	0.3767752123764049	0.22740467905726566	0.22303643477345605	0.2856095861779521	0.39654503691226606	0.31750467891542183	0.5058314967373009	0.44283446515819913	0.2380913041189669	0.25723724896223044	0.34579029302594255	0.22833338957010121	0.19269222874903424	0.1509787930947486	0.22173827053547018	0.20023916152466012	0.3803929880430257	0.39673867615035663	0.3127001127085108	0.26119432585404745	0.3896668308995219	0.31084713214616955	0.35955639887136104	0.25419155610795674	0.347130430913016	0.22105122744361846	0.14536741238455642	0.2869480244294547	0.2841897231947511	0.3887831452069389
