	s29pp	S19H1	s12pp	s18pp	s4pp	s26pp	S9H1	S13Hp	s27pp	S21H1	31300	S22Hp	530119	31360	530258	S30H1	31450	s15pp	31750	31232	S1Hp	S12Hp	S31Hp	S20H1	31723	F6H1	F16H1	s32pp	F22HpB	530163	31333	31112	31021	531414	31379	S29H1	530050	31343	s31pp	s10pp	31071	S28Hp	s22pp	S16H2	31519	531424	S23Hp	F8H1	S2Hp	S15Hp	31749	s7pp	s17pp	S17H1	F32H1	s21pp	s2pp	s30pp	w30pp	s19pp	s23pp	S3Hp	s28pp	S14Hp	s1pp	s16pp	s9pp	s14pp	31700	F22H1A	s6pp	530167	s3pp	s13pp
31300	0.22191566296549894	0.22003873370328164	0.21177796816839017	0.17738799782531225	0.17738799782531225	0.13598882824599584	0.19723716315411846	0.13886699136777858	0.13886699136777858	0.10869435265360487	0.0	0.22277846215701114	0.4095447771764733	0.3732381050496775	0.3390085752029257	0.31693921409637044	0.4018635187347903	0.36343504916897806	0.2593725974488286	0.2850912349636174	0.3195412075499518	0.26188907219608515	0.19422846581286274	0.3986147036916112	0.42466398314213555	0.2866388736834241	0.3126555370258009	0.2866378736829241	0.2191130505313674	0.3028146730897998	0.3684734090437319	0.3835188341687391	0.36849717006826926	0.4364841522262227	0.6703964038440854	0.5494999120262118	0.23646840219320747	0.2632930435520403	0.31475482265521715	0.3046254680338038	0.2636469986543209	0.16531624820508575	0.23639677470194603	0.22061332613315865	0.25793022635841717	0.23832846742503713	0.23832846742503713	0.11998505494139801	0.065602510359972	0.06938444401368833	0.1378695257814087	0.14834951091232051	0.1710155017363743	0.21065196575097028	0.21699277870700573	0.1556564230606312	0.09087223640276575	0.06136318060739514	0.06136318060739514	0.12200624956500992	0.23298084458203883	0.21814897778841505	0.20029472965914874	0.22883421744336468	0.17173026730713714	0.22698744936758006	0.1774155980471542	0.25093210027852497	0.28697244053028037	0.23602544931543365	0.0936954422966767	0.3003053631815307	0.17110046207985088	0.1754766232060816
S22Hp	0.4336642211571078	0.43178729189489046	0.423526526359999	0.38913655601692104	0.38913655601692104	0.34773738643760466	0.4089857213457273	0.3506155495593874	0.3506155495593874	0.3204429108452137	0.22277846215701114	0.0	0.18676831502046218	0.1504616428936664	0.11623411304791463	0.20062878200036943	0.2855530866387893	0.30048236980512155	0.19641991808497214	0.22213855559976092	0.25658852818609534	0.1989363928322287	0.13127578644900628	0.3356620243277547	0.3617113037782791	0.22368619431956768	0.24970285766194447	0.22368519431906767	0.156162371168511	0.23986399372694345	0.30552272968087546	0.3205681548058827	0.30554649070541284	0.3735334728633663	0.6074457244812291	0.48654923266335554	0.24724205878168265	0.2740667001405155	0.3255284792436923	0.315399124622279	0.31047578667108655	0.2121450362218514	0.2832255627187117	0.2674421141499243	0.3047590143751828	0.2851572554418028	0.2851572554418028	0.2897080472624906	0.2353255026810646	0.2811330022052972	0.3496180839730175	0.3600980691039294	0.3827640599279831	0.4224005239425791	0.4287413368986146	0.36740498125224	0.3026207945943746	0.27311173879900397	0.27311173879900397	0.33375480775661875	0.4447294027736477	0.4298975359800239	0.4120432878507576	0.4405827756349735	0.383478825498746	0.4387360075591889	0.38916415623876305	0.4626806584701338	0.49872099872188924	0.4477740075070425	0.30544400048828557	0.5120539213731395	0.38284902027145973	0.3872251813976904
530119	0.6204305361765701	0.6185536069143527	0.6102928413794613	0.5759028710363834	0.5759028710363834	0.5345037014570669	0.5957520363651896	0.5373818645788496	0.5373818645788496	0.5072092258646759	0.4095447771764733	0.18676831502046218	0.0	0.046349176658403934	0.30300042806737676	0.38739509701983155	0.4723194016582514	0.4872486848245837	0.3831862331044343	0.4089048706192231	0.4433548432055575	0.3857027078516908	0.31804210146846845	0.5224283393472169	0.5484776187977412	0.4104525093390298	0.4364691726814066	0.4104515093385298	0.3429286861879731	0.42663030874640556	0.4922890447003376	0.5073344698253448	0.49231280572487496	0.5602997878828284	0.7942120395006913	0.6733155476828176	0.43400837380114476	0.46083301515997754	0.5122947942631544	0.5021654396417411	0.4972421016905487	0.39891135124131355	0.46999187773817386	0.4542084291693864	0.491525329394645	0.47192357046126493	0.47192357046126493	0.4764743622819527	0.42209181770052673	0.4678993172247594	0.5363843989924797	0.5468643841233916	0.5695303749474454	0.6091668389620413	0.6155076519180768	0.5541712962717023	0.4893871096138368	0.4598780538184662	0.4598780538184662	0.520521122776081	0.6314957177931099	0.6166638509994862	0.5988096028702198	0.6273490906544358	0.5702451405182082	0.6255023225786511	0.5759304712582253	0.649446973489596	0.6854873137413515	0.6345403225265047	0.4922103155077478	0.6988202363926019	0.569615335290922	0.5739914964171527
31360	0.5841238640497742	0.582246934787557	0.5739861692526654	0.5395961989095875	0.5395961989095875	0.4981970293302711	0.5594453642383937	0.5010751924520538	0.5010751924520538	0.47090255373788015	0.3732381050496775	0.1504616428936664	0.046349176658403934	0.0	0.266693755940581	0.35108842489303577	0.43601272953145565	0.4509420126977879	0.3468795609776385	0.37259819849242726	0.4070481710787617	0.349396035724895	0.2817354293416726	0.48612166722042105	0.5121709466709454	0.37414583721223404	0.4001625005546108	0.37414483721173397	0.3066220140611773	0.3903236366196098	0.4559823725735418	0.47102779769854897	0.4560061335980792	0.5239931157560326	0.7579053673738955	0.6370088755560218	0.397701701674349	0.4245263430331818	0.47598812213635866	0.4658587675149453	0.4609354295637529	0.36260467911451777	0.433685205611378	0.4179017570425907	0.45521865726784916	0.43561689833446915	0.43561689833446915	0.440167690155157	0.38578514557373095	0.4315926450979636	0.500077726865684	0.5105577119965957	0.5332237028206496	0.5728601668352455	0.5792009797912809	0.5178646241449064	0.45308043748704097	0.42357138169167036	0.42357138169167036	0.48421445064928514	0.595189045666314	0.5803571788726902	0.562502930743424	0.59104241852764	0.5339384683914123	0.5891956504518553	0.5396237991314294	0.6131403013628002	0.6491806416145556	0.5982336503997089	0.45590364338095196	0.662513564265806	0.5333086631641262	0.5376848242903569
530258	0.5498943342030225	0.5480174049408051	0.5397566394059137	0.5053666690628358	0.5053666690628358	0.46396749948351934	0.525215834391642	0.4668456626053021	0.4668456626053021	0.4366730238911283	0.3390085752029257	0.11623411304791463	0.30300042806737676	0.266693755940581	0.0	0.31685889504628395	0.40178319968470383	0.4167124828510361	0.31265003113088663	0.33836866864567544	0.3728186412320099	0.3151665058781432	0.2475058994949208	0.4518921373736693	0.47794141682419355	0.3399163073654822	0.365932970707859	0.3399153073649822	0.2723924842144255	0.3560941067728579	0.4217528427267899	0.4367982678517972	0.4217766037513273	0.4897635859092808	0.7236758375271436	0.60277934570927	0.36347217182759717	0.39029681318642995	0.44175859228960684	0.4316292376681935	0.4267058997170011	0.32837514926776595	0.39945567576462626	0.3836722271958388	0.4209891274210974	0.40138736848771733	0.40138736848771733	0.4059381603084051	0.35155561572697913	0.3973631152512118	0.46584819701893215	0.47632818214984396	0.4989941729738978	0.5386306369884937	0.5449714499445292	0.48363509429815466	0.4188509076402892	0.3893418518449186	0.3893418518449186	0.4499849208025334	0.5609595158195623	0.5461276490259386	0.5282734008966722	0.5568128886808882	0.4997089385446606	0.5549661206051035	0.5053942692846777	0.5789107715160484	0.6149511117678039	0.5640041205529571	0.4216741135342002	0.6282840344190542	0.4990791333173744	0.5034552944436052
S30H1	0.5278249730964671	0.5259480438342499	0.5176872782993583	0.4832973079562804	0.4832973079562804	0.441898138376964	0.5031464732850867	0.44477630149874675	0.44477630149874675	0.41460366278457306	0.31693921409637044	0.20062878200036943	0.38739509701983155	0.35108842489303577	0.31685889504628395	0.0	0.08577907911596475	0.3946431217444809	0.2905806700243314	0.3162993075391202	0.3507492801254547	0.293097144771588	0.22543653838836558	0.42982277626711407	0.45587205571763834	0.31784694625892695	0.3438636096013038	0.317845946258427	0.2503231231078703	0.3340247456663027	0.3996834816202347	0.414728906745242	0.3997072426447721	0.4676942248027256	0.7016064764205884	0.5807099846027148	0.34140281072104195	0.36822745207987473	0.4196892311830516	0.4095598765616383	0.40463653861044585	0.3063057881612107	0.377386314658071	0.3616028660892836	0.3989197663145421	0.37931800738116206	0.37931800738116206	0.3838687992018499	0.32948625462042386	0.3752937541446565	0.4437788359123768	0.45425882104328863	0.4769248118673425	0.5165612758819385	0.5229020888379738	0.4615657331915993	0.3967815465337339	0.36727249073836327	0.36727249073836327	0.42791555969597805	0.5388901547130069	0.5240582879193831	0.5062040397901169	0.5347435275743329	0.47763957743810526	0.5328967594985482	0.48332490817812235	0.5568414104094931	0.5928817506612485	0.5419347594464018	0.39960475242764487	0.6062146733124989	0.4770097722108191	0.48138593333704977
31450	0.6127492777348871	0.6108723484726697	0.6026115829377783	0.5682216125947004	0.5682216125947004	0.526822443015384	0.5880707779235066	0.5297006061371666	0.5297006061371666	0.4995279674229929	0.4018635187347903	0.2855530866387893	0.4723194016582514	0.43601272953145565	0.40178319968470383	0.08577907911596475	0.0	0.47956742638290073	0.3755049746627513	0.4012236121775401	0.4356735847638745	0.3780214494100078	0.31036084302678546	0.5147470809055339	0.5407963603560582	0.40277125089734683	0.4287879142397236	0.4027702508968468	0.3352474277462901	0.41894905030472257	0.4846077862586546	0.4996532113836618	0.48463154728319197	0.5526185294411454	0.7865307810590083	0.6656342892411347	0.4263271153594618	0.45315175671829455	0.5046135358214714	0.4944841812000581	0.48956084324886573	0.39123009279963056	0.46231061929649087	0.4465271707277034	0.483844070952962	0.46424231201958194	0.46424231201958194	0.46879310384026973	0.41441055925884374	0.4602180587830764	0.5287031405507967	0.5391831256817086	0.5618491165057624	0.6014855805203583	0.6078263934763938	0.5464900378300193	0.4817058511721538	0.4521967953767832	0.4521967953767832	0.512839864334398	0.6238144593514269	0.6089825925578032	0.5911283444285368	0.6196678322127528	0.5625638820765252	0.6178210641369681	0.5682492128165423	0.641765715047913	0.6778060552996685	0.6268590640848217	0.4845290570660648	0.6911389779509189	0.561934076849239	0.5663102379754698
s15pp	0.5743208081690748	0.5724438789068576	0.564183113371966	0.5297931430288881	0.5297931430288881	0.4883939734495717	0.5496423083576943	0.49127213657135443	0.49127213657135443	0.46109949785718063	0.36343504916897806	0.30048236980512155	0.4872486848245837	0.4509420126977879	0.4167124828510361	0.3946431217444809	0.47956742638290073	0.0	0.171596066821609	0.1973147043363978	0.24575762865841488	0.1881054933045482	0.16921058335811542	0.3735968212368639	0.3996461006873882	0.2616209912286768	0.2876376545710536	0.2616199912281768	0.2968189581804779	0.3805205807389103	0.44617931669284233	0.46122474181784956	0.4462030777173797	0.5141900598753332	0.748102311493196	0.6272058196753224	0.3878986457936495	0.4147232871524823	0.4661850662556592	0.45605571163424585	0.4511323736830535	0.3528016232338183	0.4238821497306786	0.4080987011618912	0.44541560138714975	0.4258138424537697	0.4258138424537697	0.4303646342744575	0.3759820896930315	0.42178958921726417	0.4902746709849845	0.5007546561158963	0.5234206469399502	0.5630571109545461	0.5693979239105815	0.508061568264207	0.44327738160634156	0.41376832581097095	0.41376832581097095	0.47441139476858574	0.5853859897856146	0.5705541229919908	0.5526998748627245	0.5812393626469405	0.5241354125107129	0.5793925945711559	0.52982074325073	0.6033372454821008	0.6393775857338562	0.5884305945190095	0.44610058750025255	0.6527105083851066	0.5235056072834268	0.5278817684096575
31750	0.47025835644892533	0.468381427186708	0.46012066165181653	0.4257306913087386	0.4257306913087386	0.3843315217294222	0.44557985663754485	0.38720968485120494	0.38720968485120494	0.35703704613703124	0.2593725974488286	0.19641991808497214	0.3831862331044343	0.3468795609776385	0.31265003113088663	0.2905806700243314	0.3755049746627513	0.171596066821609	0.0	0.06926983603544366	0.14169517693826544	0.08404304158439878	0.06514813163796598	0.2695343695167144	0.29558364896723877	0.15755853950852738	0.18357520285090417	0.15755753950802737	0.19275650646032844	0.2764581290187609	0.3421168649726929	0.3571622900977001	0.3421406259972303	0.41012760815518373	0.6440398597730466	0.523143367955173	0.28383619407350014	0.3106608354323329	0.36212261453550976	0.35199325991409647	0.347069921962904	0.24873917151366887	0.3198196980105291	0.3040362494417418	0.34135314966700026	0.32175139073362025	0.32175139073362025	0.3263021825543081	0.27191963797288204	0.3177271374971147	0.386212219264835	0.3966922043957468	0.41935819521980067	0.4589946592343966	0.46533547219043203	0.4039991165440575	0.33921492988619206	0.30970587409082145	0.30970587409082145	0.37034894304843624	0.48132353806546513	0.4664916712718414	0.44863742314257504	0.47717691092679104	0.42007296079056344	0.4753301428510064	0.42575829153058053	0.4992747937619513	0.5353151340137068	0.48436814279886	0.34203813578010306	0.5486480566649571	0.41944315556327727	0.42381931668950795
31232	0.4959769939637141	0.49410006470149676	0.4858392991666053	0.45144932882352734	0.45144932882352734	0.41005015924421095	0.4712984941523336	0.4129283223659937	0.4129283223659937	0.38275568365182	0.2850912349636174	0.22213855559976092	0.4089048706192231	0.37259819849242726	0.33836866864567544	0.3162993075391202	0.4012236121775401	0.1973147043363978	0.06926983603544366	0.0	0.16741381445305425	0.10976167909918756	0.09086676915275477	0.2952530070315032	0.3213022864820275	0.18327717702331614	0.20929384036569296	0.18327617702281612	0.21847514397511722	0.30217676653354963	0.36783550248748165	0.38288092761248893	0.36785926351201903	0.43584624566997254	0.6697584972878353	0.5488620054699618	0.3095548315882889	0.33637947294712167	0.38784125205029857	0.3777118974288852	0.3727885594776928	0.2744578090284576	0.34553833552531793	0.32975488695653055	0.36707178718178907	0.347470028248409	0.347470028248409	0.35202082006909685	0.2976382754876708	0.34344577501190343	0.41193085677962377	0.4224108419105356	0.4450768327345894	0.48471329674918534	0.4910541097052208	0.42971775405884627	0.3649335674009808	0.3354245116056102	0.3354245116056102	0.396067580563225	0.5070421755802539	0.49221030878663014	0.4743560606573638	0.5028955484415798	0.4457915983053522	0.5010487803657951	0.4514769290453693	0.52499343127674	0.5610337715284954	0.5100867803136487	0.3677567732948918	0.5743666941797458	0.445161793078066	0.4495379542042967
