	530177	530074	S3Hp	31537	530075	F29H1	S18H1	S30H1	31232	S6Hp	31711	31328	S17H1	530215	31267	S27H1	S21H1	530451	530055	31129	f7pp	w20pp	531414	s24H1	F3H1	S10H1	31021	31766	31714	31343	31300	31519	31160	31749	31452	F14H1A	S29H1	530258	31512	530119	530315	31379	530394	31700	31333	31360	530052	31416	530364	31236	31219
31711	0.38734281194816644	0.32196494183516944	0.2967563963609213	0.3227685389999162	0.3185510158804955	0.3540792116354928	0.2792668624135659	0.29922750087740346	0.16723282552015706	0.12726686567611606	0.0	0.1055480240572229	0.22562589478359868	0.3602065948421714	0.3532109154117796	0.2972349103378151	0.3402150272331148	0.37784984768866237	0.3686015285830745	0.3472013304943484	0.3555092429084237	0.3594621939147754	0.33579421993978564	0.34446393856424146	0.27211498330350115	0.3336955069929468	0.37390129732069555	0.3931461471489514	0.4259504834768176	0.40679637145602504	0.29002062961731767	0.3440379590669732	0.2993268568855595	0.3432032471847821	0.2507621262217037	0.310653009826935	0.30984945860628477	0.3418281077739188	0.42285099687643124	0.4135106830735351	0.40689690371555604	0.41248616728883547	0.4125889151181265	0.40531717501272935	0.41660402636006255	0.3765529516567016	0.4114792714661334	0.37910561128511416	0.37184325186193357	0.28248191196669303	0.34816208885954936
31328	0.36603915306647394	0.30066128295347694	0.2754527374792289	0.3014648801182237	0.297247356998803	0.33277555275380033	0.2579632035318734	0.27792384199571096	0.14592916663846459	0.1059632067944236	0.1055480240572229	0.0	0.20432223590190624	0.33890293596047893	0.3319072565300871	0.2759312514561226	0.3189113683514223	0.35654618880696987	0.34729786970138204	0.3258976716126559	0.3342055840267312	0.3381585350330829	0.31449056105809314	0.323160279682549	0.25081132442180865	0.31239184811125437	0.35259763843900305	0.37184248826725896	0.40464682459512513	0.3854927125743326	0.26871697073562517	0.3227343001852807	0.278023198003867	0.3218995883030896	0.22945846734001119	0.2893493509452425	0.28854579972459227	0.3205244488922263	0.40154733799473874	0.3922070241918426	0.38559324483386354	0.39118250840714297	0.391285256236434	0.38401351613103685	0.39530036747837005	0.3552492927750091	0.3901756125844409	0.35780195240342166	0.35053959298024107	0.26117825308500053	0.32685842997785686
S17H1	0.24478591649251955	0.1794080463795225	0.15419950090527446	0.18021164354426927	0.17599412042484858	0.21152231617984585	0.15967874323041345	0.17963938169425103	0.20710529113755533	0.2078767798329174	0.22562589478359868	0.20432223590190624	0.0	0.18980225145040935	0.18280657202001757	0.12683056694605305	0.16981068384135276	0.2074455042969003	0.1981971851913125	0.1767969871025864	0.20022962084307527	0.204182571849427	0.18051459787443724	0.18918431649889306	0.12955808784785425	0.19113861153729994	0.23134440186504862	0.2505892516933045	0.28339358802117065	0.2642394760003781	0.14746373416167075	0.2014810636113263	0.1567699614299126	0.20064635172913522	0.10820523076605676	0.16809611437128807	0.16729256315063784	0.19927121231827188	0.2802941014207843	0.27095378761788824	0.2643400082599091	0.26992927183318854	0.2700320196624796	0.2627602795570825	0.2740471309044156	0.23399605620105468	0.2689223760104865	0.23654871582946724	0.22928635640628667	0.1399250165110461	0.2056051934039025
530215	0.3793666165510922	0.31398874643809516	0.28878020096384716	0.3147923436028419	0.3105748204834213	0.34610301623841855	0.2942594432889861	0.31422008175282373	0.341685991196128	0.3424574798914901	0.3602065948421714	0.33890293596047893	0.18980225145040935	0.0	0.2641175325988626	0.2510006524375689	0.29398076933286865	0.3316155897884162	0.32236727068282833	0.30096707259410227	0.334810320901648	0.3387632719079997	0.31509529793300994	0.32376501655746576	0.2641387879064269	0.32571931159587264	0.36592510192362127	0.3851699517518772	0.41797428807974335	0.3988201760589508	0.28204443422024345	0.336061763669899	0.29135066148848526	0.3352270517877079	0.24278593082462946	0.3026768144298608	0.30187326320921054	0.3338519123768446	0.41487480147935696	0.40553448767646094	0.3989207083184818	0.40450997189176124	0.4046127197210523	0.3973409796156552	0.4086278309629883	0.3685767562596274	0.4035030760690592	0.37112941588803994	0.36386705646485934	0.2745057165696188	0.3401858934624752
31267	0.3723709371207004	0.3069930670077034	0.28178452153345535	0.30779666417245016	0.3035791410530295	0.33910733680802674	0.28726376385859437	0.307224402322432	0.33469031176573627	0.3354618004610983	0.3532109154117796	0.3319072565300871	0.18280657202001757	0.2641175325988626	0.0	0.24400497300717713	0.28698508990247684	0.3246199103580244	0.3153715912524366	0.29397139316371046	0.32781464147125616	0.3317675924776079	0.30809961850261813	0.316769337127074	0.25714310847603516	0.31872363216548083	0.3589294224932295	0.37817427232148537	0.41097860864935154	0.391824496628559	0.27504875478985163	0.32906608423950723	0.2843549820580935	0.32823137235731614	0.23579025139423765	0.29568113499946896	0.29487758377881873	0.3268562329464528	0.40787912204896515	0.39853880824606913	0.39192502888809	0.39751429246136943	0.3976170402906605	0.39034530018526337	0.4016321515325965	0.36158107682923557	0.3965073966386674	0.3641337364576481	0.35687137703446753	0.267510037139227	0.3331902140320834
S27H1	0.3163949320467359	0.25101706193373885	0.2258085164594908	0.2518206590984856	0.24760313597906497	0.28313133173406224	0.23128775878462982	0.2512483972484674	0.2787143066917717	0.2794857953871338	0.2972349103378151	0.2759312514561226	0.12683056694605305	0.2510006524375689	0.24400497300717713	0.0	0.11054145291857137	0.14817627337411893	0.1389279542685311	0.117527756179805	0.27183863639729167	0.2757915874036434	0.25212361342865364	0.26079333205310945	0.2011671034020706	0.26274762709151633	0.30295341741926496	0.3221982672475209	0.35500260357538704	0.3358484915545945	0.21907274971588714	0.2730900791655427	0.22837897698412896	0.2722553672833516	0.17981424632027315	0.23970512992550444	0.23890157870485423	0.2708802278724883	0.35190311697500065	0.34256280317210464	0.3359490238141255	0.34153828738740494	0.341641035216696	0.33436929511129887	0.345656146458632	0.3056050717552711	0.3405313915647029	0.30815773138368363	0.30089537196050303	0.21153403206526247	0.2772142089581189
S21H1	0.3593750489420356	0.2939971788290386	0.26878863335479053	0.29480077599378535	0.2905832528743647	0.3261114486293619	0.27426787567992955	0.29422851414376716	0.32169442358707145	0.3224659122824335	0.3402150272331148	0.3189113683514223	0.16981068384135276	0.29398076933286865	0.28698508990247684	0.11054145291857137	0.0	0.15025589421928243	0.1410075751136946	0.11960737702496851	0.31481875329259135	0.3187717042989431	0.2951037303239533	0.3037734489484092	0.24414722029737032	0.305727743986816	0.3459335343145647	0.36517838414282056	0.3979827204706867	0.3788286084498942	0.2620528666111868	0.3160701960608424	0.2713590938794287	0.3152354841786513	0.22279436321557283	0.28268524682080415	0.2818816956001539	0.31386034476778796	0.39488323387030033	0.3855429200674043	0.3789291407094252	0.3845184042827046	0.38462115211199566	0.37734941200659855	0.3886362633539317	0.34858518865057075	0.3835115084600026	0.3511378482789833	0.3438754888558027	0.2545141489605622	0.32019432585341856
530451	0.39700986939758315	0.33163199928458614	0.3064234538103381	0.3324355964493329	0.32821807332991226	0.3637462690849095	0.3119026961354771	0.3318633345993147	0.359329244042619	0.36010073273798104	0.37784984768866237	0.35654618880696987	0.2074455042969003	0.3316155897884162	0.3246199103580244	0.14817627337411893	0.15025589421928243	0.0	0.0946196880382818	0.1083058237887885	0.3524535737481389	0.35640652475449064	0.3327385507795009	0.34140826940395674	0.2817820407529179	0.34336256444236357	0.38356835477011225	0.4028132045983681	0.4356175409262343	0.41646342890544175	0.2996876870667344	0.35370501651638997	0.30899391433497625	0.3528703046341989	0.2604291836711204	0.3203200672763517	0.31951651605570147	0.3514951652233355	0.4325180543258479	0.4231777405229519	0.41656396116497274	0.4221532247382522	0.4222559725675432	0.4149842324621461	0.42627108380947926	0.3862200091061183	0.42114632891555015	0.38877266873453087	0.38151030931135027	0.29214896941610974	0.3578291463089661
530055	0.3877615502919953	0.3223836801789983	0.29717513470475027	0.3231872773437451	0.3189697542243244	0.3544979499793217	0.3026543770298893	0.32261501549372684	0.35008092493703113	0.3508524136323933	0.3686015285830745	0.34729786970138204	0.1981971851913125	0.32236727068282833	0.3153715912524366	0.1389279542685311	0.1410075751136946	0.0946196880382818	0.0	0.09905750468320067	0.34320525464255114	0.3471582056489029	0.3234902316739131	0.33215995029836887	0.27253372164733003	0.33411424533677575	0.37432003566452443	0.39356488549278035	0.4263692218206465	0.407215109799854	0.29043936796114656	0.3444566974108021	0.2997455952293884	0.343621985528611	0.25118086456553257	0.3110717481707639	0.31026819695011365	0.3422468461177477	0.4232697352202601	0.413929421417364	0.4073156420593849	0.41290490563266435	0.4130076534619554	0.40573591335655823	0.41702276470389144	0.3769716900005305	0.4118980098099623	0.37952434962894305	0.37226199020576245	0.2829006503105219	0.34858082720337824
31129	0.36636135220326926	0.30098348209027226	0.27577493661602415	0.301787079255019	0.2975695561355983	0.3330977518905956	0.28125417894116317	0.3012148174050008	0.32868072684830507	0.32945221554366716	0.3472013304943484	0.3258976716126559	0.1767969871025864	0.30096707259410227	0.29397139316371046	0.117527756179805	0.11960737702496851	0.1083058237887885	0.09905750468320067	0.0	0.321805056553825	0.32575800756017675	0.302090033585187	0.3107597522096428	0.25113352355860397	0.31271404724804963	0.35291983757579837	0.37216468740405423	0.4049690237319204	0.38581491171112786	0.2690391698724205	0.32305649932207603	0.2783453971406623	0.32222178743988494	0.2297806664768065	0.2896715500820378	0.2888679988613876	0.32084664802902163	0.40186953713153406	0.39252922332863793	0.38591544397065886	0.3915047075439383	0.39160745537322933	0.38433571526783217	0.39562256661516537	0.3555714919118044	0.3904978117212362	0.358124151540217	0.3508617921170364	0.26150045222179585	0.3271806291146522
