	S23Hp	530295	31452	530315	31009	S20H1	31160	31700	S26Hp	S13Hp	f14ppB	S18H1	F32H1	530119	530215	S17H1	S16H2	S21H1	S28Hp	S31Hp	S19H1	F14H1B	S25Hp	31236	530167	S3Hp	31219	S1Hp	S22Hp	F8H1	S14Hp	31300	31267	31750	S6Hp	S7Hp	F23HpA	31328	F14H1A	530055	S9H1	F7H1
S19H1	0.3227076869738773	0.3561234111278212	0.32247054185076096	0.3824281598804356	0.3814386933931977	0.40597337508734055	0.3082405716693046	0.35139395663733436	0.34574561413581406	0.47778680131583073	0.37971257159850924	0.30883571612336413	0.32393077463692443	0.4114148475884172	0.40999052773125466	0.4145340908186067	0.28558970273048634	0.30283212297789763	0.0904524832039165	0.11918493941235606	0.0	0.1340353444230783	0.3622184693375133	0.36654352443520366	0.37497997390944054	0.3207659609010475	0.30902330438740777	0.27466818019927997	0.3502248206668951	0.3606213752363663	0.3479778441944517	0.2887035445043636	0.34198535720411116	0.32952846204777053	0.33587156478091784	0.4144489236173955	0.32448663879982664	0.42461818490428177	0.2819018258865674	0.4019661479876786	0.3189413136465465	0.340062380453646
F14H1B	0.25373834417983737	0.2871540683337813	0.25350119905672097	0.31345881708639567	0.3124693505991578	0.33700403229330056	0.23927122887526464	0.2824246138432944	0.2767762713417742	0.4088174585217908	0.31074322880446936	0.23986637332932417	0.25496143184288456	0.3424455047943773	0.34102118493721467	0.3455647480245667	0.2166203599364464	0.23386278018385773	0.0698841276594567	0.11438114458047605	0.1340353444230783	0.0	0.29324912654347335	0.29757418164116367	0.3060106311154006	0.25179661810700754	0.24005396159336778	0.20569883740523998	0.2812554778728551	0.2916520324423263	0.2790085014004118	0.21973420171032365	0.27301601441007123	0.2605591192537306	0.2669022219868779	0.34547958082335556	0.2555172960057867	0.35564884211024184	0.2129324830925275	0.3329968051936386	0.24997197085250655	0.27109303765960613
S25Hp	0.3714671113697202	0.4048828355236641	0.37122996624660387	0.4311875842762785	0.4301981177890406	0.45473279948318346	0.3569999960651475	0.40015338103317727	0.39450503853165697	0.5265462257116736	0.42847199599435215	0.35759514051920704	0.37269019903276734	0.4601742719842601	0.45874995212709757	0.4632935152144496	0.33434912712632925	0.35159154737374054	0.29806725257389166	0.34256426949491103	0.3622184693375133	0.29324912654347335	0.0	0.41530294883104657	0.42373939830528345	0.3695253852968904	0.3577827287832507	0.3234276045951229	0.398984245062738	0.4093807996322092	0.3967372685902946	0.3374629689002065	0.39074478159995407	0.37828788644361344	0.38463098917676075	0.4632083480132384	0.37324606319566955	0.4733776093001247	0.33066125028241034	0.4507255723835215	0.3677007380423894	0.388821804849489
31236	0.33572445726938804	0.369140181423332	0.3354873121462717	0.3954449301759464	0.3944554636887085	0.4189901453828513	0.32125734196481537	0.36441072693284515	0.35876238443132485	0.49080357161134147	0.39272934189402003	0.3218524864188749	0.33694754493243523	0.42443161788392797	0.4230072980267654	0.42755086111411744	0.2986064730259971	0.3158488932734084	0.30239230767158204	0.34688932459260136	0.36654352443520366	0.29757418164116367	0.41530294883104657	0.0	0.09886969860666348	0.1575207358254339	0.2782144010514848	0.243859276863357	0.31941591733097213	0.3298124719004433	0.3609946144899625	0.3017203147998744	0.3550021274996219	0.34254523234328127	0.34888833507642864	0.4274656939129063	0.3375034090953374	0.43763495519979256	0.29491859618207816	0.41498291828318934	0.3319580839420572	0.3530791507491568
530167	0.344160906743625	0.3775766308975689	0.34392376162050864	0.4038813796501833	0.40289191316294537	0.4274265948570882	0.32969379143905225	0.37284717640708204	0.36719883390556174	0.4992400210855784	0.4011657913682569	0.3302889358931118	0.3453839944066721	0.43286806735816485	0.43144374750100234	0.4359873105883544	0.307042922500234	0.3242853427476453	0.3108287571458189	0.3553257740668383	0.37497997390944054	0.3060106311154006	0.42373939830528345	0.09886969860666348	0.0	0.16595718529967085	0.2866508505257217	0.25229572633759395	0.327852366805209	0.3382489213746802	0.3694310639641994	0.31015676427411126	0.36343857697385884	0.3509816818175182	0.3573247845506655	0.43590214338714317	0.3459398585695743	0.44607140467402945	0.3033550456563151	0.4234193677574263	0.34039453341629416	0.36151560022339374
S3Hp	0.2899468937352319	0.32336261788917586	0.28970974861211557	0.3496673666417902	0.34867790015455236	0.37321258184869516	0.2754797784306592	0.31863316339868897	0.3129848208971687	0.4450260080771854	0.3469517783598639	0.27607492288471874	0.2911699813982791	0.37865405434977184	0.37722973449260927	0.3817732975799613	0.25282890949184095	0.2700713297392523	0.2566147441374259	0.3011117610584452	0.3207659609010475	0.25179661810700754	0.3695253852968904	0.1575207358254339	0.16595718529967085	0.0	0.2324368375173287	0.1980817133292009	0.273638353796816	0.2840349083662872	0.3152170509558063	0.25594275126571825	0.3092245639654658	0.2967676688091252	0.3031107715422725	0.38168813037875016	0.2917258455611813	0.3918573916656364	0.24914103264792203	0.36920535474903315	0.2861805204079011	0.30730158721500067
31219	0.27820423722159215	0.3116199613755361	0.2779670920984758	0.3379247101281505	0.3369352436409126	0.3614699253350554	0.2637371219170195	0.30689050688504926	0.30124216438352897	0.4332833515635456	0.33520912184622415	0.264332266371079	0.27942732488463934	0.3669113978361321	0.3654870779789695	0.37003064106632155	0.2410862529782012	0.25832867322561254	0.24487208762378615	0.28936910454480547	0.30902330438740777	0.24005396159336778	0.3577827287832507	0.2782144010514848	0.2866508505257217	0.2324368375173287	0.0	0.12571251770057704	0.20126915816819213	0.21166571273766333	0.3034743944421666	0.2442000947520785	0.297481907451826	0.2850250122954854	0.29136811502863275	0.3699454738651104	0.2799831890475415	0.3801147351519967	0.23739837613428227	0.35746269823539345	0.27443786389426134	0.29555893070136086
S1Hp	0.2438491130334644	0.27726483718740835	0.24361196791034803	0.3035695859400227	0.30258011945278485	0.3271148011469276	0.22938199772889167	0.27253538269692146	0.2668870401954012	0.39892822737541783	0.3008539976580964	0.2299771421829512	0.24507220069651156	0.33255627364800433	0.3311319537908417	0.33567551687819375	0.20673112879007344	0.22397354903748476	0.21051696343565834	0.25501398035667766	0.27466818019927997	0.20569883740523998	0.3234276045951229	0.243859276863357	0.25229572633759395	0.1980817133292009	0.12571251770057704	0.0	0.10554554047990766	0.11594209504937886	0.2691192702540388	0.20984497056395068	0.26312678326369826	0.25066988810735763	0.257012990840505	0.33559034967698265	0.24562806485941374	0.34575961096386887	0.20304325194615452	0.32310757404726564	0.24008273970613359	0.26120380651323316
S22Hp	0.31940575350107947	0.3528214776550234	0.3191686083779631	0.3791262264076378	0.3781367599203999	0.4026714416145427	0.3049386381965068	0.3480920231645366	0.3424436806630163	0.4744848678430329	0.37641063812571146	0.3055337826505663	0.32062884116412665	0.4081129141156194	0.4066885942584568	0.41123215734580887	0.2822877692576885	0.29953018950509985	0.28607360390327347	0.3305706208242928	0.3502248206668951	0.2812554778728551	0.398984245062738	0.31941591733097213	0.327852366805209	0.273638353796816	0.20126915816819213	0.10554554047990766	0.0	0.1357482720389056	0.34467591072165393	0.2854016110315658	0.3386834237313133	0.3262265285749727	0.33256963130812006	0.4111469901445977	0.3211847053270288	0.421316251431484	0.2785998924137696	0.39866421451488077	0.31563938017374865	0.33676044698084817
F8H1	0.32980230807055066	0.3632180322244946	0.3295651629474343	0.389522780977109	0.3885333144898711	0.4130679961840139	0.315335192765978	0.3584885777340078	0.3528402352324875	0.4848814224125041	0.38680719269518266	0.3159303372200375	0.33102539573359785	0.4185094686850906	0.417085148827928	0.42162871191528006	0.2926843238271597	0.30992674407457105	0.29647015847274466	0.340967175393764	0.3606213752363663	0.2916520324423263	0.4093807996322092	0.3298124719004433	0.3382489213746802	0.2840349083662872	0.21166571273766333	0.11594209504937886	0.1357482720389056	0.0	0.35507246529112513	0.295798165601037	0.3490799783007845	0.3366230831444439	0.34296618587759126	0.4215435447140689	0.3315812598965	0.4317128060009552	0.2889964469832408	0.40906076908435196	0.32603593474321985	0.34715700155031937
S14Hp	0.29072116635385237	0.32413689050779626	0.290484021230736	0.35044163926041066	0.34945217277317275	0.3739868544673156	0.27625405104927964	0.3194074360173094	0.3137590935157891	0.4458002806958058	0.3477260509784843	0.2768491955033392	0.2919442540168995	0.37942832696839224	0.3780040071112297	0.38254757019858177	0.2536031821104614	0.2708456023578727	0.2838266274308301	0.32832364435184946	0.3479778441944517	0.2790085014004118	0.3967372685902946	0.3609946144899625	0.3694310639641994	0.3152170509558063	0.3034743944421666	0.2691192702540388	0.34467591072165393	0.35507246529112513	0.0	0.23651978623797298	0.28980159893772056	0.27734470378137993	0.2836878065145273	0.36226516535100495	0.2925001181798017	0.39263166428425683	0.2499153052665425	0.36997962736765366	0.28695479302652155	0.30807585983362107
31300	0.23144686666376424	0.2648625908177082	0.2312097215406479	0.2911673395703226	0.2901778730830847	0.3147125547772275	0.21697975135919154	0.26013313632722135	0.25448479382570105	0.38652598100571767	0.28845175128839623	0.21757489581325107	0.23266995432681142	0.32015402727830417	0.3187297074211416	0.32327327050849364	0.19432888242037327	0.21157130266778462	0.22455232774074202	0.26904934466176134	0.2887035445043636	0.21973420171032365	0.3374629689002065	0.3017203147998744	0.31015676427411126	0.25594275126571825	0.2442000947520785	0.20984497056395068	0.2854016110315658	0.295798165601037	0.23651978623797298	0.0	0.2130402503223972	0.20058335516605658	0.2069264578992039	0.2855038167356816	0.2332258184897136	0.33335736459416876	0.19064100557645436	0.31070532767756553	0.22768049333643342	0.24880156014353297
31267	0.2847286793635118	0.31814440351745576	0.2844915342403954	0.3444491522700701	0.34345968578283226	0.367994367476975	0.2702615640589391	0.31341494902696887	0.3077666065254486	0.43980779370546524	0.3417335639881438	0.2708567085129986	0.285951767026559	0.37343583997805174	0.3720115201208891	0.37655508320824116	0.24761069512012085	0.2648531153675322	0.2778341404404896	0.32233115736150886	0.34198535720411116	0.27301601441007123	0.39074478159995407	0.3550021274996219	0.36343857697385884	0.3092245639654658	0.297481907451826	0.26312678326369826	0.3386834237313133	0.3490799783007845	0.28980159893772056	0.2130402503223972	0.0	0.24933785533769678	0.2556809580708441	0.3342583169073218	0.28650763118946115	0.3866391772939163	0.24392281827620194	0.36398714037731306	0.280962306036181	0.3020833728432806
31750	0.2722717842071712	0.30568750836111513	0.2720346390840548	0.3319922571137295	0.3310027906264916	0.3555374723206344	0.25780466890259846	0.30095805387062824	0.295309711369108	0.4273508985491246	0.3292766688318032	0.25839981335665796	0.27349487187021837	0.3609789448217111	0.3595546249645485	0.36409818805190053	0.23515379996378022	0.25239622021119157	0.26537724528414897	0.3098742622051682	0.32952846204777053	0.2605591192537306	0.37828788644361344	0.34254523234328127	0.3509816818175182	0.2967676688091252	0.2850250122954854	0.25066988810735763	0.3262265285749727	0.3366230831444439	0.27734470378137993	0.20058335516605658	0.24933785533769678	0.0	0.14756124573583884	0.2261386045723165	0.2740507360331205	0.37418228213757565	0.2314659231198613	0.3515302452209724	0.26850541087984037	0.28962647768693994
S6Hp	0.2786148869403185	0.31203061109426244	0.27837774181720215	0.3383353598468768	0.33734589335963894	0.36188057505378174	0.26414777163574577	0.30730115660377555	0.3016528141022553	0.433694001282272	0.3356197715649505	0.2647429160898053	0.2798379746033657	0.3673220475548584	0.36589772769769585	0.3704412907850479	0.24149690269692753	0.2587393229443389	0.2717203480172963	0.3162173649383156	0.33587156478091784	0.2669022219868779	0.38463098917676075	0.34888833507642864	0.3573247845506655	0.3031107715422725	0.29136811502863275	0.257012990840505	0.33256963130812006	0.34296618587759126	0.2836878065145273	0.2069264578992039	0.2556809580708441	0.14756124573583884	0.0	0.18891783131310913	0.2803938387662679	0.38052538487072296	0.23780902585300862	0.35787334795411974	0.2748485136129877	0.29596958042008725
