	f4pp	f7pp	w19pp	w26pp	w17pp	w10pp	f23ppB	w31pp	f16ppA	f25pp	w28pp	w1pp	w14pp	w23pp	S9H1	w16pp	w24pp	f24pp	f12ppA	f12ppB	w27pp	w22pp	f10pp	f17ppB	f20ppA	w20pp	f6ppA	w29pp	w8pp	f15pp	f11pp	w11pp	S3Hp	f2pp
w28pp	0.3500772064182178	0.3502702155680041	0.4429730912655657	0.3917657203430286	0.37499343778466065	0.34810124129412046	0.3055636580196824	0.28967515220468987	0.1706852018875008	0.13508271370534802	0.0	0.11826826506814889	0.12994641285031167	0.13805003552551443	0.19406435673581082	0.10346534573000316	0.24085103008251976	0.21043091569305988	0.42254415170380344	0.4108066886809051	0.42811613170093965	0.4545373024233293	0.29705794691538634	0.32067019424277843	0.4180954368590354	0.46627889167730197	0.45680165656368965	0.4384195514804061	0.4697520419795409	0.3994275565194296	0.42891607396650355	0.43903564580083965	0.47770175142236204	0.4022238775580982
w1pp	0.3981217918277043	0.3983148009774905	0.49101767667505225	0.43981030575251506	0.42303802319414713	0.39614582670360693	0.3536082434291689	0.3377197376141764	0.2187297872969873	0.18312729911483455	0.11826826506814889	0.0	0.10459906421760953	0.11270268689281229	0.18758479644132092	0.15150993113948966	0.28889561549200626	0.2584755011025464	0.47058873711328997	0.45885127409039156	0.4761607171104262	0.5025818878328158	0.3451025323248728	0.36871477965226496	0.46614002226852186	0.5143234770867885	0.5048462419731762	0.48646413688989265	0.5177966273890274	0.44747214192891616	0.4769606593759901	0.4870802312103261	0.5257463368318485	0.4502684629675847
w14pp	0.40979993960986705	0.4099929487596533	0.502695824457215	0.4514884535346778	0.4347161709763099	0.4078239744857697	0.36528639121133166	0.3493978853963391	0.23040793507915006	0.1948054468969973	0.12994641285031167	0.10459906421760953	0.0	0.105500380173973	0.19926294422348367	0.1631880789216524	0.300573763274169	0.27015364888470916	0.48226688489545266	0.4705294218725543	0.4878388648925889	0.5142600356149785	0.35678068010703556	0.38039292743442765	0.4778181700506846	0.5260016248689512	0.5165243897553389	0.49814228467205535	0.5294747751711901	0.4591502897110789	0.48863880715815283	0.49875837899248887	0.5374244846140113	0.46194661074974747
w23pp	0.4179035622850698	0.418096571434856	0.5107994471324178	0.4595920762098806	0.44281979365151264	0.41592759716097244	0.3733900138865344	0.3575015080715419	0.23851155775435282	0.20290906957220006	0.13805003552551443	0.11270268689281229	0.105500380173973	0.0	0.20736656689868643	0.17129170159685517	0.3086773859493718	0.2782572715599119	0.4903705075706555	0.478633044547757	0.49594248756779163	0.5223636582901813	0.3648843027822383	0.3884965501096304	0.4859217927258873	0.5341052475441539	0.5246280124305416	0.5062459073472582	0.5375783978463928	0.46725391238628167	0.4967424298333556	0.5068620016676917	0.545528107289214	0.4700502334249502
S9H1	0.4739178834953663	0.4741108926451525	0.5668137683427142	0.515606397420177	0.4988341148618091	0.4719419183712689	0.42940433509683085	0.4135158292818383	0.2945258789646492	0.2589233907824965	0.19406435673581082	0.18758479644132092	0.19926294422348367	0.20736656689868643	0.0	0.2273060228071516	0.36469170715966825	0.33427159277020835	0.546384828780952	0.5346473657580535	0.5519568087780882	0.5783779795004778	0.4208986239925348	0.4445108713199269	0.5419361139361838	0.5901195687544505	0.5806423336408382	0.5622602285575546	0.5935927190566894	0.5232682335965781	0.5527567510436521	0.5628763228779881	0.6015424284995106	0.5260645546352467
w16pp	0.27912093523874254	0.27931394438852875	0.3720168200860905	0.3208094491635533	0.30403716660518537	0.2771449701146452	0.23460738684020715	0.21871888102521464	0.09972893070802558	0.0929937144924909	0.10346534573000316	0.15150993113948966	0.1631880789216524	0.17129170159685517	0.2273060228071516	0.0	0.16989475890304453	0.13947464451358466	0.3515878805243282	0.3398504175014298	0.3571598605214644	0.383581031243854	0.22610167573591106	0.24971392306330317	0.3471391656795601	0.39532262049782674	0.3858453853842144	0.3674632803009309	0.3987957708000657	0.3284712853399544	0.3579598027870283	0.3680793746213643	0.4067454802428867	0.33126760637862296
w24pp	0.25903355911625814	0.25922656826604434	0.35192944396360604	0.3007220730410689	0.28394979048270097	0.25705759399216077	0.21452001071772273	0.23864707141398975	0.20166493839570668	0.23037939884500752	0.24085103008251976	0.28889561549200626	0.300573763274169	0.3086773859493718	0.36469170715966825	0.16989475890304453	0.0	0.08038758797795571	0.33150050440184375	0.3197630413789454	0.33707248439897997	0.3634936551213696	0.20601429961342665	0.22962654694081874	0.3270517895570757	0.3752352443753423	0.36575800926172997	0.34737590417844644	0.3787083946775812	0.30838390921746994	0.33787242666454387	0.34799199849887996	0.38665810412040236	0.3111802302561385
f24pp	0.22861344472679823	0.2288064538765845	0.3215093295741462	0.270301958651609	0.25352967609324106	0.2266374796027009	0.18409989632826285	0.20822695702452987	0.1712448240062468	0.19995928445554764	0.21043091569305988	0.2584755011025464	0.27015364888470916	0.2782572715599119	0.33427159277020835	0.13947464451358466	0.08038758797795571	0.0	0.3010803900123839	0.2893429269894855	0.3066523700095201	0.33307354073190976	0.17559418522396678	0.1992064325513589	0.2966316751676158	0.34481512998588243	0.3353378948722701	0.3169557897889866	0.34828828028812137	0.2779637948280101	0.307452312275084	0.31757188410942006	0.35623798973094245	0.28076011586667865
f12ppA	0.38852637401056145	0.3887193831603477	0.48142225885790935	0.4302148879353722	0.4134426053770043	0.3865504088864641	0.3641880840468362	0.4203401930352735	0.38335806001699035	0.4120725204662912	0.42254415170380344	0.47058873711328997	0.48226688489545266	0.4903705075706555	0.546384828780952	0.3515878805243282	0.33150050440184375	0.3010803900123839	0.0	0.05585380154069226	0.24116326902287002	0.2675844397452597	0.23681523672133892	0.26042748404873106	0.41725669269296756	0.4654401475112342	0.4559629123976219	0.43758080731433835	0.46891329781347313	0.4378767241117733	0.46736524155884723	0.47748481339318327	0.5161509190147057	0.44067304515044187
f12ppB	0.37678891098766304	0.37698192013744924	0.469684795835011	0.4184774249124738	0.40170514235410587	0.37481294586356567	0.35245062102393776	0.408602730012375	0.371620596994092	0.4003350574433928	0.4108066886809051	0.45885127409039156	0.4705294218725543	0.478633044547757	0.5346473657580535	0.3398504175014298	0.3197630413789454	0.2893429269894855	0.05585380154069226	0.0	0.2294258059999716	0.2558469767223613	0.2250777736984405	0.24869002102583265	0.40551922967006915	0.4537026844883358	0.44422544937472347	0.42584334429143994	0.4571758347905747	0.4261392610888749	0.4556277785359488	0.46574735037028486	0.5044134559918072	0.42893558212754346
w27pp	0.39409835400769766	0.3942913631574839	0.48699423885504556	0.4357868679325084	0.4190145853741405	0.3921223888836003	0.3697600640439724	0.42591217303240964	0.38893004001412657	0.4176445004634274	0.42811613170093965	0.4761607171104262	0.4878388648925889	0.49594248756779163	0.5519568087780882	0.3571598605214644	0.33707248439897997	0.3066523700095201	0.24116326902287002	0.2294258059999716	0.0	0.21963736996981442	0.24238721671847513	0.2659994640458672	0.4228286726901037	0.4710121275083704	0.4615348923947581	0.44315278731147456	0.47448527781060934	0.4434487041089095	0.47293722155598344	0.4830567933903195	0.5217228990118419	0.4462450251475781
w22pp	0.4205195247300873	0.4207125338798735	0.5134154095774353	0.46220803865489807	0.44543575609653013	0.41854355960598993	0.396181234766362	0.4523333437547993	0.4153512107365162	0.4440656711858171	0.4545373024233293	0.5025818878328158	0.5142600356149785	0.5223636582901813	0.5783779795004778	0.383581031243854	0.3634936551213696	0.33307354073190976	0.2675844397452597	0.2558469767223613	0.21963736996981442	0.0	0.26880838744086477	0.2924206347682569	0.4492498434124934	0.49743329823076005	0.48795606311714773	0.4695739580338642	0.500906448532999	0.46986987483129916	0.4993583922783731	0.5094779641127092	0.5481440697342315	0.4726661958699677
f10pp	0.2630401692221443	0.26323317837193055	0.35593605406949225	0.3047286831469551	0.2879564005885872	0.261064204098047	0.23870187925841907	0.2948539882468563	0.25787185522857325	0.28658631567787407	0.29705794691538634	0.3451025323248728	0.35678068010703556	0.3648843027822383	0.4208986239925348	0.22610167573591106	0.20601429961342665	0.17559418522396678	0.23681523672133892	0.2250777736984405	0.24238721671847513	0.26880838744086477	0.0	0.08590660317535181	0.2917704879045504	0.33995394272281704	0.3304767076092047	0.3120946025259212	0.343427093025056	0.31239051932335615	0.3418790367704301	0.3519986086047661	0.3906647142262885	0.3151868403620247
