	w15pp	f12ppA	w16pp	w18pp	w24pp	w10pp	w9pp	f14ppA	f19pp	f22ppA	f7pp	f21pp	f8pp	f30pp	f32pp	f12ppB	f6ppA	f14ppB	f1pp	f4pp	f6ppB	f16ppA	w3pp	f24pp	f2pp	f22ppB	f20ppA	f16ppB	w11pp	f18pp	f25pp	w13pp	S28Hp
f16ppA	0.19169586370050995	0.1964832774711867	0.3031318694519178	0.28869525696876164	0.23185611654181415	0.34099834660626543	0.12809067062303314	0.24667886574311765	0.2502591451981833	0.23540711451995477	0.21516542004400574	0.2861222516119427	0.09179049773569506	0.14436143577723656	0.192866821714848	0.16817480051710856	0.17062033992150802	0.05514091159543996	0.14149178024189837	0.09158964021307425	0.13965898384184053	0.0	0.14451046055203315	0.11312663863338587	0.15274728586506076	0.18192273248519006	0.1399400813954269	0.19268097321416433	0.2834446729195526	0.23394805636390442	0.17132220929412262	0.22711851297718788	0.3599242781313752
w3pp	0.24113022545468987	0.2459176392253666	0.35256623120609765	0.33812961872294156	0.2812904782959941	0.3904327083604453	0.17752503237721304	0.2961132274972975	0.2996935069523632	0.2848414762741347	0.26459978179818566	0.33555661336612264	0.16762181686073602	0.23277679542289526	0.2812821813605067	0.25659016016276726	0.2590356995671667	0.14355627124109865	0.22990713988755707	0.18000499985873297	0.22807434348749922	0.14451046055203315	0.0	0.14247288950331044	0.20218164761924065	0.23135709423936995	0.18937444314960683	0.24211533496834423	0.33287903467373253	0.2833824181180843	0.22075657104830254	0.2765528747313678	0.4093586398855551
f24pp	0.20974640353604262	0.21453381730671933	0.3211824092874504	0.3067457968042943	0.24990665637734677	0.35904888644179805	0.14614121045856576	0.26472940557865027	0.26830968503371594	0.2534576543554874	0.23321595987953836	0.30417279144747533	0.13623799494208874	0.20139297350424798	0.24989835944185942	0.22520633824411998	0.22765187764851944	0.1121724493224514	0.1985233179689098	0.1486211779400857	0.19669052156885194	0.11312663863338587	0.14247288950331044	0.0	0.17079782570059338	0.1999732723207227	0.15799062123095955	0.21073151304969695	0.3014952127550853	0.25199859619943704	0.18937274912965527	0.24516905281272056	0.3779748179669079
f2pp	0.22817325579747907	0.2329606695681558	0.3396092615488869	0.32517264906573073	0.26833350863878325	0.37747573870323453	0.16456806272000224	0.28315625784008674	0.2867365372951524	0.27188450661692387	0.25164281214097484	0.3225996437089118	0.17585864217376362	0.24101362073592286	0.2895190066735343	0.26482698547579486	0.2672725248801943	0.15179309655412626	0.23814396520058467	0.18824182517176058	0.23631116880052683	0.15274728586506076	0.20218164761924065	0.17079782570059338	0.0	0.21840012458215918	0.176417473492396	0.22915836531113343	0.31992206501652176	0.2704254484608735	0.20779960139109172	0.263595905074157	0.3964016702283443
f22ppB	0.2325237474798626	0.2499216063773533	0.35657019835808434	0.34213358587492826	0.28529444544798077	0.394436675512432	0.18152899952919976	0.3001171946492842	0.3036974741043499	0.2888454434261214	0.26860374895017236	0.33956058051810933	0.20503408879389293	0.2701890673560522	0.31869445329366364	0.29400243209592414	0.29644797150032365	0.1809685431742556	0.26731941182071395	0.21741727179188988	0.2654866154206561	0.18192273248519006	0.23135709423936995	0.1999732723207227	0.21840012458215918	0.0	0.1244019370559197	0.23350885699351692	0.32427255669890526	0.274775940143257	0.21215009307347524	0.26794639675654053	0.4007521619107278
f20ppA	0.19054109639009942	0.20793895528759015	0.3145875472683212	0.3001509347851651	0.2433117943582176	0.3524540244226689	0.13954634843943658	0.2581345435595211	0.26171482301458676	0.24686279233635822	0.22662109786040918	0.29757792942834616	0.16305143770412978	0.22820641626628901	0.27671180220390046	0.252019781006161	0.25446532041056047	0.1389858920844924	0.22533676073095082	0.17543462070212673	0.22350396433089298	0.1399400813954269	0.18937444314960683	0.15799062123095955	0.176417473492396	0.1244019370559197	0.0	0.1915262059037538	0.2822899056091421	0.2327932890534939	0.1701674419837121	0.22596374566677735	0.35876951082096464
f16ppB	0.22264229724225823	0.2606798471063275	0.3673284390870586	0.3528918266039025	0.296052686176955	0.40519491624140624	0.192287240258174	0.31087543537825846	0.31445571483332413	0.29960368415509564	0.2793619896791466	0.3503188212470836	0.2157923295228672	0.28094730808502644	0.3294526940226379	0.3047606728248984	0.3072062122292979	0.19172678390322984	0.2780776525496882	0.22817551252086415	0.27624485614963035	0.19268097321416433	0.24211533496834423	0.21073151304969695	0.22915836531113343	0.23350885699351692	0.1915262059037538	0.0	0.2838779879259396	0.23438137137029136	0.19033012679497835	0.24612643047804364	0.3908707116731235
w11pp	0.31340599694764654	0.35144354681171586	0.4580921387924469	0.44365552630929084	0.3868163858823433	0.4959586159467946	0.28305093996356234	0.4016391350836468	0.40521941453871246	0.3903673838604839	0.3701256893845349	0.44108252095247186	0.3065560292282555	0.3717110077904147	0.42021639372802616	0.3955243725302867	0.39796991193468617	0.28249048360861817	0.3688413522550765	0.31893921222625243	0.3670085558550187	0.2834446729195526	0.33287903467373253	0.3014952127550853	0.31992206501652176	0.32427255669890526	0.2822899056091421	0.2838779879259396	0.0	0.22171582836471707	0.2810938265003667	0.33689013018343195	0.4816344113785118
f18pp	0.2639093803919983	0.30194693025606767	0.40859552223679874	0.39415890975364265	0.33731976932669505	0.4464619993911464	0.2335543234079141	0.3521425185279986	0.3557227979830643	0.3408707673048357	0.32062907282888664	0.3915859043968236	0.2570594126726073	0.3222143912347665	0.3707197771723779	0.34602775597463853	0.34847329537903793	0.23299386705296993	0.31934473569942834	0.26944259567060425	0.3175119392993705	0.23394805636390442	0.2833824181180843	0.25199859619943704	0.2704254484608735	0.274775940143257	0.2327932890534939	0.23438137137029136	0.22171582836471707	0.0	0.23159720994471844	0.28739351362778376	0.4321377948228636
f25pp	0.20128353332221655	0.23932108318628587	0.34596967516701693	0.33153306268386085	0.2746939222569133	0.3838361523213646	0.1709284763381323	0.2895166714582168	0.2930969509132825	0.2782449202350539	0.2580032257591049	0.32896005732704187	0.1944335656028255	0.2595885441649847	0.30809393010259617	0.2834019089048567	0.2858474483092562	0.17036801998318812	0.25671888862964654	0.20681674860082244	0.2548860922295887	0.17132220929412262	0.22075657104830254	0.18937274912965527	0.20779960139109172	0.21215009307347524	0.1701674419837121	0.19033012679497835	0.2810938265003667	0.23159720994471844	0.0	0.20218948379665957	0.3695119477530818
w13pp	0.2570798370052818	0.29511738686935113	0.4017659788500822	0.3873293663669261	0.33049022593997857	0.43963245600442985	0.22672478002119759	0.34531297514128206	0.34889325459634773	0.3340412239181192	0.31379952944217016	0.38475636101010713	0.25022986928589075	0.31538484784805	0.36389023378566143	0.339198212587922	0.34164375199232144	0.22616432366625341	0.3125151923127118	0.2626130522838877	0.31068239591265395	0.22711851297718788	0.2765528747313678	0.24516905281272056	0.263595905074157	0.26794639675654053	0.22596374566677735	0.24612643047804364	0.33689013018343195	0.28739351362778376	0.20218948379665957	0.0	0.42530825143614703
S28Hp	0.23747411436276047	0.4279231520235385	0.5345717440042695	0.5201351315211135	0.46329599109416586	0.5724382211586172	0.3595305451753849	0.4781187402954694	0.4816990197505351	0.4668469890723065	0.44660529459635745	0.5175621261642944	0.38303563444007804	0.4481906130022373	0.4966959989398487	0.47200397774210934	0.47444951714650874	0.35897008882044074	0.44532095746689915	0.39541881743807505	0.4434881610668413	0.3599242781313752	0.4093586398855551	0.3779748179669079	0.3964016702283443	0.4007521619107278	0.35876951082096464	0.3908707116731235	0.4816344113785118	0.4321377948228636	0.3695119477530818	0.42530825143614703	0.0
