	w10pp	f16ppB	w9pp	s24pp	s1pp	f9pp	w3pp	f22ppA	f16ppA	w4pp	w30pp	f22ppB	f18pp	f24pp	w20pp	f14ppA	f19pp	s16pp	w18pp	w7pp	f20ppB	f4pp	f2pp	S15Hp	w21pp	f32pp	f21pp	f30pp	f25pp	f1pp	f7pp	f14ppB	w12pp	f17ppA	530295	w6pp
f20ppB	0.29577664852585295	0.28936409116970135	0.21230722811039768	0.3615984333084005	0.280460464376173	0.25391853623669375	0.30089490617024894	0.24763749606775465	0.23627789693874202	0.3108041518630338	0.35263738438216313	0.2277902091349014	0.2732453962356009	0.22581917034678212	0.2970817395134364	0.27479103761399076	0.2502652685947753	0.32957308745792235	0.2135736590775152	0.22292518573609002	0.0	0.14587669458037913	0.19009856760508223	0.2550382050097864	0.30411973263179237	0.28841393587891473	0.2759160446334309	0.27997981284221	0.274351620345874	0.2743230808410608	0.20839532269973118	0.15580750734239507	0.2440378110556986	0.3307162879236357	0.39259337441874287	0.3013628394551085
f4pp	0.24314112212765598	0.23672856477150436	0.1596717017122007	0.30896290691020356	0.227824937977976	0.20128300983849678	0.24825937977205195	0.19500196966955766	0.183642370540545	0.2581686254648368	0.30000185798396617	0.17515468273670437	0.22060986983740394	0.17318364394858515	0.24444621311523945	0.22215551121579377	0.19762974219657833	0.2769375610597254	0.16093813267931822	0.17028965933789303	0.14587669458037913	0.0	0.13746304120688527	0.20240267861158942	0.2514842062335954	0.23577840948071774	0.22328051823523393	0.22734428644401303	0.22171609394767705	0.22168755444286378	0.1557597963015342	0.10317198094419808	0.1914022846575016	0.2780807615254387	0.33995784802054585	0.24872731305691148
f2pp	0.2828439106983112	0.2764313533421596	0.19937449028285592	0.3486656954808588	0.2675277265486312	0.24098579840915202	0.28796216834270716	0.2347047582402129	0.22334515911120023	0.29787141403549205	0.3397046465546214	0.2148574713073596	0.26031265840805917	0.2128864325192404	0.2841490016858947	0.26185829978644903	0.23733253076723357	0.31664034963038057	0.20064092124997343	0.20999244790854826	0.19009856760508223	0.13746304120688527	0.0	0.24210546718224463	0.29118699480425064	0.27548119805137294	0.26298330680588916	0.2670470750146683	0.2614188825183323	0.26139034301351904	0.19546258487218943	0.1428747695148533	0.23110507322815685	0.31778355009609394	0.3796606365912011	0.2884301016275667
S15Hp	0.2706189257057105	0.2642063683495589	0.1871495052902552	0.3364407104882581	0.2553027415560305	0.2287608134165513	0.27573718335010644	0.22247977324761217	0.2111201741185995	0.28564642904289134	0.3274796615620207	0.2026324863147589	0.24808767341545845	0.20066144752663967	0.27192401669329397	0.2496333147938483	0.22510754577463285	0.32125368403152815	0.205254255651121	0.23627454461576153	0.2550382050097864	0.20240267861158942	0.24210546718224463	0.0	0.23777265086975993	0.2632562130587722	0.25075832181328844	0.25482209002206757	0.24919389752573157	0.2491653580209183	0.1832375998795887	0.1306497845222526	0.2188800882355561	0.3055585651034932	0.36743565159860037	0.276205116634966
w21pp	0.3197004533277165	0.3132878959715649	0.23623103291226122	0.3855222381102641	0.3043842691780365	0.2778423410385573	0.32481871097211246	0.27156130086961816	0.26020170174060553	0.33472795666489735	0.3765611891840267	0.2517140139367649	0.29716920103746447	0.24974297514864569	0.3210055443153	0.29871484241585433	0.2741890733966389	0.3703352116535341	0.254335783273127	0.28535607223776754	0.30411973263179237	0.2514842062335954	0.29118699480425064	0.23777265086975993	0.0	0.31233774068077824	0.29983984943529446	0.3039036176440736	0.2982754251477376	0.29824688564292434	0.23231912750159472	0.1797313121442586	0.2679616158575622	0.35464009272549923	0.4165171792206064	0.325286644256972
f32pp	0.29623632811588196	0.28982377075973037	0.2127669077004267	0.36205811289842954	0.280920143966202	0.25437821582672276	0.30135458576027796	0.24809717565778366	0.23673757652877103	0.3112638314530628	0.35309706397219215	0.2282498887249304	0.2737050758256299	0.22627884993681113	0.29754141910346543	0.2752507172040198	0.25072494818480434	0.35462941490065647	0.2386299865202493	0.26965027548488985	0.28841393587891473	0.23577840948071774	0.27548119805137294	0.2632562130587722	0.31233774068077824	0.0	0.20045530745745327	0.2193918474712132	0.21376365497487723	0.22962814612737742	0.19197692407216255	0.13938910871482646	0.24449749064572762	0.33117596751366474	0.3930530540087719	0.3018225190451375
f21pp	0.2837384368703982	0.2773258795142466	0.20026901645494288	0.34956022165294576	0.2684222527207182	0.24188032458123898	0.2888566945147941	0.23559928441229985	0.2242396852832872	0.298765940207579	0.34059917272670837	0.21575199747944657	0.26120718458014613	0.21378095869132735	0.28504352785798165	0.262752825958536	0.23822705693932053	0.34213152365517263	0.22613209527476547	0.25715238423940606	0.2759160446334309	0.22328051823523393	0.26298330680588916	0.25075832181328844	0.29983984943529446	0.20045530745745327	0.0	0.2068939562257294	0.20126576372939342	0.21713025488189364	0.17947903282667876	0.12689121746934265	0.2319995994002438	0.3186780762681809	0.38055516276328805	0.2893246277996537
f30pp	0.28780220507917725	0.28138964772302566	0.20433278466372198	0.35362398986172483	0.2724860209294973	0.24594409279001805	0.29292046272357325	0.23966305262107895	0.22830345349206632	0.30282970841635815	0.34466294093548744	0.2198157656882257	0.2652709527889252	0.21784472690010642	0.2891072960667608	0.26681659416731507	0.24229082514809963	0.34619529186395176	0.2301958634835446	0.2612161524481852	0.27997981284221	0.22734428644401303	0.2670470750146683	0.25482209002206757	0.3039036176440736	0.2193918474712132	0.2068939562257294	0.0	0.16603704856274154	0.2211940230906727	0.18354280103545784	0.13095498567812175	0.2360633676090229	0.32274184447695997	0.3846189309720672	0.2933883960084328
f25pp	0.2821740125828413	0.2757614552266897	0.198704592167386	0.3479957973653889	0.2668578284331613	0.2403159002936821	0.28729227022723725	0.23403486012474298	0.22267526099573032	0.29720151592002214	0.3390347484391515	0.2141875731918897	0.25964276029258926	0.21221653440377047	0.2834791035704248	0.2611884016709791	0.23666263265176365	0.34056709936761576	0.2245676709872086	0.2555879599518492	0.274351620345874	0.22171609394767705	0.2614188825183323	0.24919389752573157	0.2982754251477376	0.21376365497487723	0.20126576372939342	0.16603704856274154	0.0	0.21556583059433676	0.1779146085391219	0.12532679318178577	0.23043517511268694	0.317113651980624	0.37899073847573117	0.2877602035120968
f1pp	0.282145473078028	0.2757329157218764	0.19867605266257274	0.3479672578605756	0.26682928892834806	0.2402873607888688	0.287263730722424	0.2340063206199297	0.22264672149091708	0.2971729764152089	0.3390062089343382	0.21415903368707645	0.25961422078777596	0.21218799489895718	0.28345056406561153	0.2611598621661658	0.23663409314695039	0.3405385598628025	0.22453913148239535	0.25555942044703595	0.2743230808410608	0.22168755444286378	0.26139034301351904	0.2491653580209183	0.29824688564292434	0.22962814612737742	0.21713025488189364	0.2211940230906727	0.21556583059433676	0.0	0.1778860690343086	0.12529825367697248	0.23040663560787367	0.3170851124758107	0.37896219897091793	0.28773166400728356
f7pp	0.21621771493669845	0.2098051575805468	0.13274829452124315	0.282039499719246	0.20090153078701847	0.17435960264753925	0.22133597258109441	0.16807856247860012	0.15671896334958746	0.23124521827387928	0.27307845079300863	0.14823127554574683	0.1936864626464464	0.14626023675762762	0.21752280592428191	0.19523210402483623	0.1707063350056208	0.2746108017214729	0.15861137334106573	0.18963166230570633	0.20839532269973118	0.1557597963015342	0.19546258487218943	0.1832375998795887	0.23231912750159472	0.19197692407216255	0.17947903282667876	0.18354280103545784	0.1779146085391219	0.1778860690343086	0.0	0.052589815358336164	0.16447887746654405	0.25115735433448116	0.3130344408295883	0.22180390586595394
f14ppB	0.16362989957936233	0.1572173422232107	0.08016047916390703	0.22945168436190988	0.14831371542968236	0.12177178729020312	0.1687481572237583	0.115490747121264	0.10413114799225136	0.17865740291654317	0.2204906354356725	0.09564346018841073	0.14109864728911026	0.09367242140029149	0.1649349905669458	0.14264428866750012	0.11811851964828468	0.2220229863641368	0.10602355798372963	0.1370438469483702	0.15580750734239507	0.10317198094419808	0.1428747695148533	0.1306497845222526	0.1797313121442586	0.13938910871482646	0.12689121746934265	0.13095498567812175	0.12532679318178577	0.12529825367697248	0.052589815358336164	0.0	0.11189106210920796	0.19856953897714502	0.2604466254722522	0.16921609050861786
w12pp	0.24759185784675164	0.24117930049060005	0.16412243743129637	0.3134136426292992	0.2322756736970717	0.20573374555759247	0.25271011549114764	0.19945270538865334	0.1880931062596407	0.26261936118393253	0.3044525937030618	0.17960541845580008	0.22506060555649962	0.17763437966768084	0.24889694883433516	0.22660624693488945	0.20208047791567402	0.31025329007744035	0.19425386169703315	0.22527415066167375	0.2440378110556986	0.1914022846575016	0.23110507322815685	0.2188800882355561	0.2679616158575622	0.24449749064572762	0.2319995994002438	0.2360633676090229	0.23043517511268694	0.23040663560787367	0.16447887746654405	0.11189106210920796	0.0	0.2825314972445344	0.34440858373964156	0.2531780487760072
f17ppA	0.28255207774175545	0.27613952038560385	0.23539624747019344	0.38468745266819626	0.3035494837359688	0.2770075555964895	0.32398392553004474	0.2707265154275504	0.25936691629853775	0.3338931712228296	0.37572640374195887	0.2508792284946971	0.29633441559539664	0.24890818970657788	0.3201707588732322	0.2978800569737865	0.27335428795457106	0.39693176694537746	0.28093233856497024	0.31195262752961084	0.3307162879236357	0.2780807615254387	0.31778355009609394	0.3055585651034932	0.35464009272549923	0.33117596751366474	0.3186780762681809	0.32274184447695997	0.317113651980624	0.3170851124758107	0.25115735433448116	0.19856953897714502	0.2825314972445344	0.0	0.34503183435607776	0.28813826867101094
530295	0.3444291642368626	0.338016606880711	0.2972733339653006	0.44656453916330346	0.36542657023107594	0.3388846420915967	0.3858610120251519	0.3326036019226576	0.32124400279364496	0.3957702577179367	0.4376034902370661	0.3127563149898043	0.35821150209050384	0.31078527620168506	0.38204784536833936	0.3597571434688937	0.33523137444967827	0.4588088534404846	0.3428094250600774	0.373829714024718	0.39259337441874287	0.33995784802054585	0.3796606365912011	0.36743565159860037	0.4165171792206064	0.3930530540087719	0.38055516276328805	0.3846189309720672	0.37899073847573117	0.37896219897091793	0.3130344408295883	0.2604466254722522	0.34440858373964156	0.34503183435607776	0.0	0.35001535516611815
w6pp	0.23836045820720564	0.23194990085205408	0.20604279900166622	0.3553340041996691	0.2741960352674416	0.24765410712796232	0.2946304770615175	0.24137306695902322	0.23001346783001056	0.30453972275430236	0.3463729552734317	0.22152578002616993	0.2669809671268695	0.2195547412380507	0.290817310404705	0.26852660850525933	0.2440008394860439	0.36757831847685024	0.251578890096443	0.2825991790610836	0.3013628394551085	0.24872731305691148	0.2884301016275667	0.276205116634966	0.325286644256972	0.3018225190451375	0.2893246277996537	0.2933883960084328	0.2877602035120968	0.28773166400728356	0.22180390586595394	0.16921609050861786	0.2531780487760072	0.28813826867101094	0.35001535516611815	0.0
