	w1pp	w23pp	f19pp	w14pp	S18H1	S19H1	F3H1	S3Hp	S23Hp	S30H1	S25Hp	S16H2	S1Hp	F14H1A	S17H1	S13Hp	F22H1A	w32pp	w3pp	w10pp	w16pp	w29pp	f24pp	w17pp	s28pp	f20ppA	f12ppB	w24pp	w11pp	w8pp	f2pp	w19pp	w26pp
w17pp	0.14218573809148544	0.12581174510705898	0.12612495352272662	0.15005347313452433	0.4026642024434258	0.41286380601236666	0.5306424702326815	0.5439330509323854	0.5289087936351758	0.4805176681612399	0.5442800834503503	0.5901911878040262	0.4266661591316158	0.43239994689023764	0.6754492087048316	0.482955488711135	0.4855576085950279	0.14903381013489908	0.13996917113937757	0.13686404876616592	0.1531904455243612	0.0854589405460128	0.10168902849765957	0.0	0.08462291824730994	0.10048341476551115	0.09442177332471219	0.08741752401454944	0.1048696423856072	0.09942495193650719	0.10263400893922753	0.14762561481358755	0.10391996924698622
s28pp	0.13624857452414457	0.11987458153971811	0.12018778995538576	0.14411630956718346	0.39672703887608496	0.4069266424450258	0.5247053066653407	0.5379958873650446	0.522971630067835	0.47458050459389906	0.5383429198830094	0.5842540242366854	0.42072899556427495	0.4264627833228968	0.6695120451374907	0.4770183251437941	0.479620445027687	0.14309664656755822	0.1340320075720367	0.13092688519882506	0.14725328195702034	0.07952177697867194	0.0957518649303187	0.08462291824730994	0.0	0.09454625119817028	0.08848460975737132	0.08148036044720858	0.09893247881826633	0.09348778836916632	0.09669684537188666	0.14168845124624668	0.09798280567964536
f20ppA	0.13435995722085528	0.11798596423642882	0.11829917265209647	0.14222769226389417	0.3948384215727957	0.4050380251417365	0.5228166893620513	0.5361072700617552	0.5210830127645457	0.47269188729060974	0.53645430257972	0.582365406933396	0.41884037826098564	0.4245741660196075	0.6676234278342015	0.4751297078405048	0.4777318277243977	0.14120802926426892	0.13214339026874744	0.12903826789553574	0.14536466465373105	0.07763315967538266	0.09386324762702943	0.10048341476551115	0.09454625119817028	0.0	0.08257113186782716	0.07959174314391929	0.09704386151497704	0.09159917106587703	0.09480822806859737	0.1397998339429574	0.09609418837635607
f12ppB	0.12829831578005632	0.11192432279562986	0.1122375312112975	0.13616605082309519	0.3887767801319967	0.3989763837009375	0.5167550479212524	0.5300456286209563	0.5150213713237467	0.4666302458498108	0.5303926611389211	0.5763037654925971	0.4127787368201867	0.4185125245788085	0.6615617863934026	0.46906806639970583	0.47167018628359875	0.13514638782346994	0.12608174882794845	0.12297662645473678	0.1393030232129321	0.07157151823458369	0.08780160618623045	0.09442177332471219	0.08848460975737132	0.08257113186782716	0.0	0.0735301017031203	0.09098222007417806	0.08553752962507806	0.0887465866277984	0.1337381925021584	0.0900325469355571
w24pp	0.0938349071503718	0.07746091416594533	0.07777412258161298	0.10170264219341069	0.3543133715023122	0.364512975071253	0.4822916392915678	0.4955822199912717	0.4805579626940622	0.4321668372201263	0.4959292525092366	0.5418403568629125	0.3783153281905022	0.384049115949124	0.627098377763718	0.43460465777002133	0.43720677765391425	0.10068297919378544	0.09161834019826394	0.08851321782505227	0.10483961458324756	0.05673525683022395	0.07296534478187072	0.08741752401454944	0.08148036044720858	0.07959174314391929	0.0735301017031203	0.0	0.05651881144449354	0.05107412099539354	0.05428317799811389	0.0992747838724739	0.05556913830587258
w11pp	0.10394710311019684	0.08757311012577038	0.08788631854143802	0.11181483815323573	0.3644255674621372	0.37462517103107806	0.49240383525139286	0.5056944159510968	0.49067015865388725	0.4422790331799513	0.5060414484690616	0.5519525528227376	0.3884275241503272	0.39416131190894904	0.6372105737235431	0.4447168537298464	0.4473189736137393	0.11079517515361048	0.10173053615808898	0.09862541378487731	0.1149518105430726	0.07418737520128171	0.09041746315292848	0.1048696423856072	0.09893247881826633	0.09704386151497704	0.09098222007417806	0.05651881144449354	0.0	0.047130035073394055	0.06439537395793893	0.10938697983229895	0.06568133426569762
w8pp	0.09850241266109683	0.08212841967667037	0.08244162809233802	0.10637014770413572	0.3589808770130372	0.36918048058197805	0.48695914480229285	0.5002497255019968	0.48522546820478724	0.4368343427308513	0.5005967580199616	0.5465078623736376	0.3829828337012272	0.38871662145984903	0.631765883274443	0.43927216328074636	0.4418742831646393	0.10535048470451047	0.09628584570898897	0.0931807233357773	0.10950712009397259	0.0687426847521817	0.08497277270382847	0.09942495193650719	0.09348778836916632	0.09159917106587703	0.08553752962507806	0.05107412099539354	0.047130035073394055	0.0	0.058950683508838926	0.10394228938319894	0.060236643816597615
f2pp	0.08384948374287683	0.06747549075845037	0.067788699174118	0.09171721878591571	0.34432794809481726	0.35452755166375804	0.47230621588407284	0.48559679658377675	0.4705725392865673	0.4221814138126313	0.4859438291017416	0.5318549334554176	0.3683299047830072	0.3740636925416291	0.617112954356223	0.42461923436252635	0.42722135424641927	0.09069755578629046	0.08163291679076896	0.0785277944175573	0.09485419117575258	0.07195174175490204	0.08818182970654881	0.10263400893922753	0.09669684537188666	0.09480822806859737	0.0887465866277984	0.05428317799811389	0.06439537395793893	0.058950683508838926	0.0	0.07033437578312156	0.036228215175813996
w19pp	0.12884108961723684	0.11246709663281038	0.11278030504847802	0.13670882466027573	0.3893195539691772	0.39951915753811806	0.5172978217584329	0.5305884024581368	0.5155641451609273	0.4671730196869913	0.5309354349761016	0.5768465393297776	0.4133215106573672	0.41905529841598904	0.6621045602305831	0.4696108402368864	0.4722129601207793	0.13568916166065048	0.12662452266512897	0.12351940029191731	0.1398457970501126	0.11694334762926206	0.13317343558090883	0.14762561481358755	0.14168845124624668	0.1397998339429574	0.1337381925021584	0.0992747838724739	0.10938697983229895	0.10394228938319894	0.07033437578312156	0.0	0.081219821050174
w26pp	0.08513544405063553	0.06876145106620907	0.0690746594818767	0.0930031790936744	0.34561390840257594	0.3558135119715168	0.4735921761918316	0.4868827568915355	0.47185849959432596	0.42346737412039004	0.48722978940950035	0.5331408937631762	0.36961586509076594	0.37534965284938776	0.6183989146639817	0.4259051946702851	0.428507314554178	0.09198351609404916	0.08291887709852766	0.07981375472531599	0.09614015148351128	0.07323770206266074	0.0894677900143075	0.10391996924698622	0.09798280567964536	0.09609418837635607	0.0900325469355571	0.05556913830587258	0.06568133426569762	0.060236643816597615	0.036228215175813996	0.081219821050174	0.0
