	F7H1	S17H1	S4Hp	S18H1	S21H1	S20H1	F22HpB	S12Hp	F3H1	S16H2	31300	S6Hp	530055	f8pp	f21pp	w1pp	f1pp	f26pp	w14pp	w19pp	f14ppA	f10pp	f2pp	w16pp	f13pp	w4pp	f4pp	w3pp	f12ppA	S9H1	31452	S15Hp
f10pp	0.3875865551174503	0.39210258591592956	0.38396584494780606	0.3861253370530978	0.38206795736814037	0.37574461339319054	0.3793472561828996	0.30714170778293365	0.3900082040713841	0.3885294470865157	0.5197310079589669	0.6147515752421644	0.5593975140985354	0.026306004844517956	0.03658558403302852	0.06458430681096271	0.04408390449151154	0.04728455371311096	0.055705706030923466	0.0485314275801311	0.0369851672334196	0.0	0.025618915339701023	0.02868862935682727	0.03212202347149978	0.061021686344165285	0.05254615501754181	0.04884979565330187	0.04255873109680712	0.3459624950439537	0.36284111246329775	0.37113138305016535
f2pp	0.4015867628899379	0.4061027936884171	0.3979660527202936	0.4001255448255854	0.3960681651406279	0.3897448211656781	0.39334746395538717	0.3211419155554212	0.40400841184387165	0.40252965485900327	0.5337312157314544	0.628751783014652	0.5733977218710229	0.040306212617005524	0.05058579180551609	0.07858451458345028	0.05808411226399911	0.06128476148559853	0.06970591380341104	0.06253163535261866	0.05098537500590716	0.025618915339701023	0.0	0.04268883712931484	0.04612223124398735	0.07502189411665285	0.06654636279002939	0.06285000342578943	0.05655893886929469	0.35996270281644127	0.3768413202357853	0.3851315908226529
w16pp	0.39894024611939294	0.40345627691787217	0.39531953594974867	0.39747902805504043	0.393421648370083	0.38709830439513315	0.3907009471848422	0.31849539878487626	0.4013618950733267	0.3998831380884583	0.5310846989609095	0.626105266244107	0.5707512051004779	0.037659695846460575	0.04793927503497114	0.07593799781290533	0.05543759549345416	0.05863824471505358	0.06705939703286609	0.05988511858207372	0.048338858235362214	0.02868862935682727	0.04268883712931484	0.0	0.0434757144734424	0.0723753773461079	0.06389984601948444	0.060203486655244484	0.05391242209874974	0.3573161860458963	0.37419480346524037	0.38248507405210797
f13pp	0.38754004594112074	0.39205607673959997	0.3839193357714764	0.38607882787676817	0.3820214481918107	0.37569810421686095	0.37930074700657	0.30709519860660406	0.3899616948950545	0.3884829379101861	0.5196844987826372	0.6147050660658349	0.5593510049222058	0.03515409837058458	0.045433677559095144	0.07343240033702933	0.05293199801757817	0.05613264723917759	0.06455379955699009	0.05737952110619772	0.045833260759486225	0.03212202347149978	0.04612223124398735	0.0434757144734424	0.0	0.05483745986830231	0.04636192854167885	0.0426655691774389	0.04251222192047752	0.3459159858676241	0.36279460328696816	0.37108487387383576
w4pp	0.4164397088137863	0.4209557396122655	0.41281899864414195	0.4149784907494337	0.41092111106447626	0.4045977670895265	0.40820040987923556	0.3359948614792696	0.41886135776772004	0.41738260078285166	0.5485841616553028	0.6436047289385003	0.5882506677948713	0.06405376124325007	0.07433334043176064	0.10233206320969482	0.08183166089024366	0.08503231011184309	0.09345346242965558	0.08627918397886322	0.07473292363215173	0.061021686344165285	0.07502189411665285	0.0723753773461079	0.05483745986830231	0.0	0.022152879638711293	0.06622327667109215	0.07141188479314302	0.3748156487402896	0.3916942661596337	0.3999845367465013
f4pp	0.4079641774871628	0.412480208285642	0.40434346731751847	0.40650295942281023	0.4024455797378528	0.396122235762903	0.3997248785526121	0.3275193301526461	0.41038582644109656	0.4089070694562282	0.5401086303286793	0.6351291976118768	0.5797751364682477	0.055578229916626615	0.06585780910513718	0.09385653188307136	0.0733561295636202	0.07655677878521962	0.08497793110303212	0.07780365265223975	0.06625739230552825	0.05254615501754181	0.06654636279002939	0.06389984601948444	0.04636192854167885	0.022152879638711293	0.0	0.05774774534446869	0.06293635346651955	0.3663401174136661	0.3832187348330102	0.3915090054198778
w3pp	0.40426781812292284	0.40878384892140207	0.4006471079532785	0.4028066000585703	0.3987492203736128	0.39242587639866305	0.3960285191883721	0.32382297078840616	0.4066894670768566	0.4052107100919882	0.5364122709644393	0.6314328382476369	0.5760787771040079	0.05188187055238666	0.062161449740897226	0.0901601725188314	0.06965977019938024	0.07286041942097968	0.08128157173879216	0.07410729328799981	0.06256103294128831	0.04884979565330187	0.06285000342578943	0.060203486655244484	0.0426655691774389	0.06622327667109215	0.05774774534446869	0.0	0.059239994102279606	0.36264375804942617	0.37952237546877027	0.38781264605563787
f12ppA	0.3819260752160216	0.38644210601450085	0.37830536504637735	0.3804648571516691	0.37640747746671166	0.37008413349176184	0.3736867762814709	0.30148122788150494	0.3843477241699554	0.382868967185087	0.5140705280575382	0.6090910953407357	0.5537370341971066	0.045590805995891916	0.05587038518440248	0.08386910796233665	0.06336870564288549	0.06656935486448493	0.07499050718229741	0.06781622873150506	0.056269968384793555	0.04255873109680712	0.05655893886929469	0.05391242209874974	0.04251222192047752	0.07141188479314302	0.06293635346651955	0.059239994102279606	0.0	0.340302015142525	0.35718063256186905	0.36547090314873665
S9H1	0.2737606960215327	0.2782767268200119	0.27013998585188836	0.2722994779571801	0.2682420982722227	0.2619187542972729	0.26552139708698197	0.193315848687016	0.27618234497546645	0.2747035879905981	0.4446724174957942	0.5396929847789917	0.4843389236353628	0.3489945699430385	0.3592741491315491	0.38727287190948323	0.36677246959003207	0.36997311881163153	0.378394271129444	0.3712199926786517	0.3596737323319401	0.3459624950439537	0.35996270281644127	0.3573161860458963	0.3459159858676241	0.3748156487402896	0.3663401174136661	0.36264375804942617	0.340302015142525	0.0	0.24901525336738012	0.2573055239542477
31452	0.2570771701911969	0.26159320098967614	0.2534564600215526	0.25561595212684435	0.2515585724418869	0.24523522846693713	0.2488378712566462	0.17663232285668024	0.2594988191451307	0.2580200621602623	0.4615510349151383	0.5565716021983358	0.5012175410547068	0.36587318736238256	0.37615276655089314	0.40415148932882733	0.38365108700937617	0.3868517362309756	0.3952728885487881	0.38809861009799573	0.3765523497512842	0.36284111246329775	0.3768413202357853	0.37419480346524037	0.36279460328696816	0.3916942661596337	0.3832187348330102	0.37952237546877027	0.35718063256186905	0.24901525336738012	0.0	0.19459568604586264
S15Hp	0.2653674407780645	0.26988347157654374	0.26174673060842024	0.263906222713712	0.25984884302875455	0.2535254990538047	0.2571281418435138	0.18492259344354783	0.2677890897319983	0.2663103327471299	0.4698413055020059	0.5648618727852035	0.5095078116415744	0.37416345794925016	0.38444303713776073	0.4124417599156949	0.39194135759624377	0.39514200681784317	0.4035631591356557	0.39638888068486333	0.3848426203381518	0.37113138305016535	0.3851315908226529	0.38248507405210797	0.37108487387383576	0.3999845367465013	0.3915090054198778	0.38781264605563787	0.36547090314873665	0.2573055239542477	0.19459568604586264	0.0
