	f1pp	f30pp	f3pp	f8pp	f28pp	f12ppA	f12ppB	f22ppA	f22ppB	f31pp	f24pp	f26pp	f29pp	f11pp	f25pp	f16ppA	f16ppB	f2pp	f7pp	f23ppA	f23ppB	f18pp	f32pp	f6ppB	f20ppB	f6ppA	f10pp	f4pp	f13pp	f15pp	f21pp	f14ppB	f19pp	f14ppA	f9pp	f17ppA	w17pp
f18pp	0.20386123377907484	0.1960348557245245	0.17591574377921795	0.1336636385798414	0.10321541941067705	0.28861763283548814	0.2829036161591362	0.24676350736451869	0.24676350736451869	0.2219578485078207	0.21165692994484292	0.42364918137629104	1.1789463526332917	1.47048602414482	1.4286820006934577	1.427211699691377	1.4364955535920514	0.1665430303307543	0.2173479468800964	0.21588689658089005	0.21714306095336894	0.0	0.010564978846228664	0.010565978846728694	0.010565978846728694	0.012260746163804914	0.19220709339194503	0.19057581013055064	0.2047678577974994	0.20550863614595266	0.1953985210142231	0.20912590898357514	0.20864813486135098	0.1988092526154361	0.19700260690641608	0.19700260690641608	0.20051125060269176
f32pp	0.19771016440880063	0.1898837863542503	0.16976467440894374	0.12751256920956716	0.09706435004040281	0.2824665634652139	0.2767525467888619	0.24061243799424448	0.24061243799424448	0.21580677913754648	0.2055058605745687	0.4174981120060168	1.1727952832630175	1.464334954774546	1.4225309313231835	1.4210606303211029	1.4303444842217772	0.16039196096048006	0.21119687750982216	0.20973582721061584	0.2109919915830947	0.010564978846228664	0.0	3.00000150008727e-06	3.00000150008727e-06	0.0016997673195763656	0.18605602402167082	0.18442474076027643	0.1986167884272252	0.19935756677567845	0.18924745164394888	0.20297483961330093	0.20249706549107677	0.1926581832451619	0.19085153753614187	0.19085153753614187	0.19436018123241755
f6ppB	0.19771116440930064	0.1898847863547503	0.16976567440944376	0.12751356921006718	0.09706535004090285	0.28246756346571394	0.2767535467893619	0.2406134379947445	0.2406134379947445	0.2158077791380465	0.20550686057506873	0.4174991120065168	1.1727962832635177	1.464335954775046	1.4225319313236837	1.421061630321603	1.4303454842222774	0.16039296096098007	0.21119787751032218	0.20973682721111586	0.21099299158359472	0.010565978846728694	3.00000150008727e-06	0.0	2.00000100005818e-06	0.0017007673200763948	0.18605702402217084	0.18442574076077645	0.1986177884277252	0.19935856677617847	0.1892484516444489	0.20297583961380095	0.20249806549157678	0.19265918324566192	0.1908525375366419	0.1908525375366419	0.19436118123291757
f20ppB	0.19771116440930064	0.1898847863547503	0.16976567440944376	0.12751356921006718	0.09706535004090285	0.28246756346571394	0.2767535467893619	0.2406134379947445	0.2406134379947445	0.2158077791380465	0.20550686057506873	0.4174991120065168	1.1727962832635177	1.464335954775046	1.4225319313236837	1.421061630321603	1.4303454842222774	0.16039296096098007	0.21119787751032218	0.20973682721111586	0.21099299158359472	0.010565978846728694	3.00000150008727e-06	2.00000100005818e-06	0.0	0.0017007673200763948	0.18605702402217084	0.18442574076077645	0.1986177884277252	0.19935856677617847	0.1892484516444489	0.20297583961380095	0.20249806549157678	0.19265918324566192	0.1908525375366419	0.1908525375366419	0.19436118123291757
f6ppA	0.19940593172637688	0.19157955367182655	0.17146044172652	0.12920833652714342	0.09876011735797907	0.2841623307827902	0.27844831410643817	0.24230820531182073	0.24230820531182073	0.21750254645512274	0.20720162789214497	0.41919387932359303	1.1744910505805939	1.4660307220921223	1.42422669864076	1.4227563976386792	1.4320402515393535	0.1620877282780563	0.2128926448273984	0.2114315945281921	0.21268775890067093	0.012260746163804914	0.0016997673195763656	0.0017007673200763948	0.0017007673200763948	0.0	0.18775179133924708	0.1861205080778527	0.20031255574480145	0.2010533340932547	0.19094321896152514	0.20467060693087719	0.20419283280865302	0.19435395056273816	0.19254730485371813	0.19254730485371813	0.1960559485499938
f10pp	0.016402471560388564	0.008576093505838227	0.023557802502421073	0.0668915964248334	0.09090123178875072	0.3566714740067134	0.3509574573303614	0.31481734853574395	0.31481734853574395	0.29001168967904595	0.2797107711160682	0.49170302254751624	1.2470001938045172	1.5385398653160456	1.4967358418646832	1.4952655408626025	1.5045493947632769	0.2345968715019795	0.2854017880513216	0.2839407377521153	0.28519690212459414	0.19220709339194503	0.18605602402167082	0.18605702402217084	0.18605702402217084	0.18775179133924708	0.0	0.0031170479118643917	0.017309095578813154	0.018049873927266397	0.007939758795536829	0.02166714676488889	0.02118937264266473	0.011350490396749867	0.0095438446877298	0.0095438446877298	0.013052488384005492
f4pp	0.013760161536202076	0.005933783481651741	0.021926519241026697	0.06526031316343903	0.08926994852735634	0.355040190745319	0.349326174068967	0.31318606527434956	0.31318606527434956	0.28838040641765156	0.2780794878546738	0.49007173928612185	1.2453689105431227	1.536908582054651	1.4951045586032887	1.493634257601208	1.5029181115018824	0.2329655882405851	0.2837705047899272	0.2823094544907209	0.28356561886319975	0.19057581013055064	0.18442474076027643	0.18442574076077645	0.18442574076077645	0.1861205080778527	0.0031170479118643917	0.0	0.014666785554626666	0.015407563903079909	0.005297448771350343	0.019024836740702405	0.018547062618478244	0.008708180372563379	0.006901534663543313	0.006901534663543313	0.010410178359819004
f13pp	0.02465450158249188	0.016828123527941545	0.036118566907975456	0.07945236083038779	0.1034619961943051	0.36923223841226777	0.36351822173591575	0.3273781129412983	0.3273781129412983	0.3025724540846003	0.29227153552162255	0.5042637869530706	1.2595609582100715	1.5511006297216	1.5092966062702375	1.5078263052681569	1.5171101591688312	0.24715763590753387	0.297962552456876	0.2965015021576697	0.2977576665301485	0.2047678577974994	0.1986167884272252	0.1986177884277252	0.1986177884277252	0.20031255574480145	0.017309095578813154	0.014666785554626666	0.0	0.0007427783494533011	0.010377321234649194	0.02991717678599215	0.02943940266376799	0.019600520417853123	0.01779587470983312	0.01779587470983312	0.021304518406108808
f15pp	0.025395279930945123	0.017568901876394788	0.0368593452564287	0.08019313917884102	0.10420277454275834	0.369973016760721	0.36425900008436896	0.3281188912897515	0.3281188912897515	0.3033132324330535	0.29301231387007576	0.5050045653015238	1.2603017365585247	1.551841408070053	1.5100373846186907	1.50856708361661	1.5178509375172844	0.24789841425598713	0.2987033308053292	0.2972422805061229	0.2984984448786017	0.20550863614595266	0.19935756677567845	0.19935856677617847	0.19935856677617847	0.2010533340932547	0.018049873927266397	0.015407563903079909	0.0007427783494533011	0.0	0.011118099583102437	0.030657955134445393	0.03018018101222123	0.020341298766306366	0.018536653058286362	0.018536653058286362	0.02204529675456205
f21pp	0.015285164799215557	0.007458786744665222	0.026749230124699135	0.07008302404711146	0.09409265941102878	0.3598629016289914	0.3541488849526394	0.318008776158022	0.318008776158022	0.293203117301324	0.2829021987383462	0.4948944501697943	1.2501916214267952	1.5417312929383236	1.4999272694869612	1.4984569684848805	1.5077408223855548	0.23778829912425756	0.28859321567359963	0.28713216537439334	0.2883883297468722	0.1953985210142231	0.18924745164394888	0.1892484516444489	0.1892484516444489	0.19094321896152514	0.007939758795536829	0.005297448771350343	0.010377321234649194	0.011118099583102437	0.0	0.02054784000271583	0.020070065880491667	0.010231183634576804	0.008426537926556794	0.008426537926556794	0.011935181622832487
f14ppB	0.029012552768567616	0.021186174714017285	0.040476618094051196	0.08381041201646353	0.10782004738038084	0.3735902895983435	0.3678762729219915	0.33173616412737406	0.33173616412737406	0.30693050527067606	0.2966295867076983	0.5086218381391463	1.2639190093961472	1.5554586809076756	1.5136546574563132	1.5121843564542325	1.5214682103549069	0.2515156870936096	0.3023206036429517	0.3008595533437454	0.30211571771622425	0.20912590898357514	0.20297483961330093	0.20297583961380095	0.20297583961380095	0.20467060693087719	0.02166714676488889	0.019024836740702405	0.02991717678599215	0.030657955134445393	0.02054784000271583	0.0	0.020559428629349476	0.013938099443566335	0.022153925895908855	0.022153925895908855	0.025662569592184544
f19pp	0.028534778646343455	0.020708400591793123	0.039998843971827035	0.08333263789423936	0.10734227325815668	0.37311251547611934	0.3673984987997673	0.3312583900051499	0.3312583900051499	0.3064527311484519	0.29615181258547413	0.5081440640169221	1.263441235273923	1.5549809067854514	1.513176883334089	1.5117065823320084	1.5209904362326827	0.25103791297138545	0.30184282952072755	0.30038177922152126	0.3016379435940001	0.20864813486135098	0.20249706549107677	0.20249806549157678	0.20249806549157678	0.20419283280865302	0.02118937264266473	0.018547062618478244	0.02943940266376799	0.03018018101222123	0.020070065880491667	0.020559428629349476	0.0	0.013460325321342174	0.021676151773684694	0.021676151773684694	0.025184795469960383
f14ppA	0.018695896400428593	0.010869518345878258	0.030159961725912173	0.0734937556483245	0.09750339101224181	0.36327363323020445	0.35755961655385243	0.321419507759235	0.321419507759235	0.296613848902537	0.28631293033955924	0.4983051817710073	1.2536023530280083	1.5451420245395366	1.5033380010881743	1.5018677000860936	1.511151553986768	0.24119903072547058	0.29200394727481266	0.29054289697560637	0.2917990613480852	0.1988092526154361	0.1926581832451619	0.19265918324566192	0.19265918324566192	0.19435395056273816	0.011350490396749867	0.008708180372563379	0.019600520417853123	0.020341298766306366	0.010231183634576804	0.013938099443566335	0.013460325321342174	0.0	0.01183726952776983	0.01183726952776983	0.015345913224045521
f9pp	0.01580033874486196	0.007973960690311624	0.028353316016892106	0.07168710993930444	0.09569674530322175	0.3614669875211844	0.3557529708448324	0.31961286205021494	0.31961286205021494	0.29480720319351694	0.2845062846305392	0.49649853606198724	1.2517957073189883	1.5433353788305166	1.5015313553791543	1.5000610543770736	1.509344908277748	0.23939238501645055	0.2901973015657926	0.2887362512665863	0.28999241563906514	0.19700260690641608	0.19085153753614187	0.1908525375366419	0.1908525375366419	0.19254730485371813	0.0095438446877298	0.006901534663543313	0.01779587470983312	0.018536653058286362	0.008426537926556794	0.022153925895908855	0.021676151773684694	0.01183726952776983	0.0	2.00000100005818e-06	0.0035126436982758076
f17ppA	0.01580033874486196	0.007973960690311624	0.028353316016892106	0.07168710993930444	0.09569674530322175	0.3614669875211844	0.3557529708448324	0.31961286205021494	0.31961286205021494	0.29480720319351694	0.2845062846305392	0.49649853606198724	1.2517957073189883	1.5433353788305166	1.5015313553791543	1.5000610543770736	1.509344908277748	0.23939238501645055	0.2901973015657926	0.2887362512665863	0.28999241563906514	0.19700260690641608	0.19085153753614187	0.1908525375366419	0.1908525375366419	0.19254730485371813	0.0095438446877298	0.006901534663543313	0.01779587470983312	0.018536653058286362	0.008426537926556794	0.022153925895908855	0.021676151773684694	0.01183726952776983	2.00000100005818e-06	0.0	0.0035126436982758076
w17pp	0.01930898244113765	0.011482604386587315	0.0318619597131678	0.07519575363558012	0.09920538899949743	0.36497563121746013	0.3592616145411081	0.3231215057464907	0.3231215057464907	0.2983158468897927	0.2880149283268149	0.5000071797582629	1.255304351015264	1.5468440225267923	1.50503999907543	1.5035696980733493	1.5128535519740236	0.24290102871272623	0.29370594526206834	0.29224489496286205	0.2935010593353409	0.20051125060269176	0.19436018123241755	0.19436118123291757	0.19436118123291757	0.1960559485499938	0.013052488384005492	0.010410178359819004	0.021304518406108808	0.02204529675456205	0.011935181622832487	0.025662569592184544	0.025184795469960383	0.015345913224045521	0.0035126436982758076	0.0035126436982758076	0.0
