	w9pp	f26pp	f2pp	f12ppA	f1pp	w12pp	f7pp	f21pp	w8pp	f29pp	f16ppA	f19pp	f8pp	s23pp	f6ppA	f30pp	f4pp	w3pp	S15Hp	f9pp	w10pp	w21pp	f16ppB	f24pp	f22ppA	f17ppA	w6pp	f25pp	f14ppB	f14ppA
w10pp	0.2994773890224284	0.37646677806423823	0.3764816750027103	0.42273445942571974	0.43524008574528394	0.4333850927900914	0.3873004493858776	0.387848621585954	0.4912738655618787	0.40411757688087113	0.35558829520962904	0.36348786990241905	0.39271195572436013	0.5814190445585382	0.3887770162697225	0.34058344804157126	0.34649685819206044	0.3389434864463655	0.5387829106132425	0.24125490333343608	0.0	0.280818848376549	0.32986536601614563	0.3366836116998972	0.3091275585784919	0.3506912369985552	0.3411071613313674	0.3338119085105222	0.26877399877524744	0.464633255340507
w21pp	0.2103442835935674	0.2873336726353773	0.28734856957384936	0.3336013539968588	0.34610698031642306	0.34425198736123047	0.2981673439570167	0.2987155161570931	0.4021407601330178	0.3149844714520102	0.26645518978076815	0.2743547644735581	0.3035788502954992	0.49228593912967733	0.29964391084086156	0.2514503426127103	0.25736375276319956	0.24981038101750463	0.4496498051843816	0.19268359956315892	0.280818848376549	0.0	0.24073226058728472	0.24755050627103628	0.21999445314963095	0.2615581315696943	0.25197405590250654	0.2446788030816613	0.17964089334638655	0.37550014991164604
f16ppB	0.19835515721164954	0.2753445462534594	0.2753594431919315	0.3216122276149409	0.3341178539345052	0.33226286097931257	0.28617821757509887	0.28672638977517517	0.39015163375109996	0.3029953450700923	0.25446606339885025	0.26236563809164026	0.2915897239135813	0.4802968127477595	0.28765478445894366	0.23946121623079245	0.24537462638128166	0.23782125463558676	0.43766067880246373	0.24173011720275556	0.32986536601614563	0.24073226058728472	0.0	0.22285491380039232	0.195298860678987	0.23686253909905036	0.2272784634318626	0.21998321061101733	0.16765176696446865	0.3635110235297282
f24pp	0.2051734028954011	0.28216279193721094	0.28217768887568306	0.32843047329869246	0.34093609961825677	0.3390811066630641	0.2929964632588504	0.29354463545892673	0.3969698794348515	0.30981359075384385	0.2612843090826018	0.2691838837753918	0.29840796959733284	0.48711505843151104	0.2944730301426952	0.246279461914544	0.2521928720650332	0.24463950031933832	0.4444789244862153	0.2485483628865071	0.3366836116998972	0.24755050627103628	0.22285491380039232	0.0	0.1759911162761157	0.2269059968047103	0.21732192113752252	0.21002666831667727	0.1744700126482202	0.37032926921347975
f22ppA	0.1776173497739958	0.25460673881580564	0.25462163575427776	0.30087442017728716	0.3133800464968514	0.3115250535416588	0.26544041013744507	0.26598858233752143	0.36941382631344616	0.28225753763243855	0.2337282559611965	0.24162783065398652	0.27085191647592755	0.4595590053101057	0.2669169770212899	0.21872340879313867	0.22463681894362791	0.217083447197933	0.41692287136480993	0.2209923097651018	0.3091275585784919	0.21999445314963095	0.195298860678987	0.1759911162761157	0.0	0.19934994368330497	0.1897658680161172	0.18247061519527197	0.1469139595268149	0.34277321609207445
f17ppA	0.21918102819405913	0.296170417235869	0.29618531417434113	0.3424380985973505	0.3549437249169148	0.3530887319617222	0.30700408855750844	0.3075522607575848	0.4109775047335095	0.3238212160525019	0.2752919343812599	0.2831915090740499	0.3124155948959909	0.501122683730169	0.3084806554413533	0.26028708721320204	0.2662004973636912	0.25864712561799635	0.4584865497848733	0.2625559881851651	0.3506912369985552	0.2615581315696943	0.23686253909905036	0.2269059968047103	0.19934994368330497	0.0	0.21218802285324492	0.2048927700323997	0.18847763794687827	0.38433689451213776
w6pp	0.20959695252687136	0.28658634156868124	0.28660123850715336	0.33285402293016275	0.345359649249727	0.3435046562945344	0.29742001289032066	0.297968185090397	0.40139342906632175	0.31423714038531414	0.2657078587140721	0.2736074334068621	0.30283151922880314	0.4915386080629813	0.2988965797741655	0.25070301154601426	0.25661642169650345	0.24906304995080858	0.4489024741176855	0.25297191251797735	0.3411071613313674	0.25197405590250654	0.2272784634318626	0.21732192113752252	0.1897658680161172	0.21218802285324492	0.0	0.19530669436421183	0.1788935622796905	0.37475281884495
f25pp	0.2023016997060261	0.279291088747836	0.27930598568630804	0.3255587701093175	0.33806439642888175	0.33620940347368916	0.2901247600694754	0.29067293226955176	0.3940981762454765	0.3069418875644689	0.25841260589322684	0.2663121805860168	0.2955362664079579	0.484243355242136	0.29160132695332025	0.243407758725169	0.24932116887565822	0.24176779712996332	0.44160722129684027	0.24567665969713212	0.3338119085105222	0.2446788030816613	0.21998321061101733	0.21002666831667727	0.18247061519527197	0.2048927700323997	0.19530669436421183	0.0	0.17159830945884524	0.36745756602410473
f14ppB	0.08029404129103837	0.15728343033284825	0.18112674804926998	0.22737953247227943	0.2398851587918437	0.2380301658366511	0.19194552243243734	0.1924936946325137	0.29591893860843843	0.20876264992743082	0.16023336825618878	0.16813294294897874	0.19735702877091982	0.38606411760509796	0.1934220893162822	0.16178518202302422	0.1676985921735134	0.16014522042781854	0.3599846445946955	0.18063874996185736	0.26877399877524744	0.17964089334638655	0.16765176696446865	0.1744700126482202	0.1469139595268149	0.18847763794687827	0.1788935622796905	0.17159830945884524	0.0	0.245449907609117
f14ppA	0.2593249484635253	0.3363143375053352	0.37698600461452947	0.4232387890375389	0.4357444153571032	0.4338894224019106	0.38780477899769683	0.3883529511977732	0.4917781951736979	0.4046219064926903	0.35609262482144827	0.3639921995142382	0.3932162853361793	0.5819233741703574	0.3892813458815417	0.3576444385882837	0.36355784873877295	0.356004476993078	0.555843901159955	0.37649800652711685	0.464633255340507	0.37550014991164604	0.3635110235297282	0.37032926921347975	0.34277321609207445	0.38433689451213776	0.37475281884495	0.36745756602410473	0.245449907609117	0.0
