	f21pp	w24pp	f24pp	f11pp	S1Hp	s24pp	S9H1	w27pp	s25pp	s2pp	S18H1	f1pp	w10pp	S15Hp	w3pp	f4pp	f13pp	f2pp	f8pp	f18pp	f14ppB	f12ppA	f6ppA
S18H1	0.40187696810298884	0.4518672508291761	0.2555763109835696	0.3468666566302947	0.4593382936956506	0.49125221426615717	0.397501668531614	0.3848011368004707	0.3728149365179826	0.22026528517826288	0.0	0.3022625157371587	0.37511755113503686	0.49248732356755665	0.39000902339371646	0.4124953889897053	0.5713580183870446	0.3833956566781288	0.3608503504408746	0.44607379004397296	0.40069769650049103	0.41429772954916944	0.4441123691964891
f1pp	0.3135958632214654	0.3635861459476526	0.16729520610204612	0.28837118038201737	0.40084281744737327	0.43275673801787984	0.33900619228333667	0.39302748274849686	0.38104128246600877	0.228491631126289	0.3022625157371587	0.0	0.2777755791110843	0.3951453515436042	0.30172791851219294	0.3242142841081818	0.4830769135055211	0.2951145517966053	0.27256924555935114	0.35779268516244944	0.3124165916189676	0.3260166246676459	0.35583126431496565
w10pp	0.38645089861934356	0.4364411813455308	0.2401502414999243	0.36122621577989555	0.47369785284525145	0.505611773415758	0.4118612276812148	0.46588251814637505	0.45389631786388696	0.3013466665241672	0.37511755113503686	0.2777755791110843	0.0	0.40570039898054633	0.3745829539100711	0.39706931950605995	0.5559319489033993	0.36796958719448347	0.34542428095722927	0.43064772056032763	0.38527162701684575	0.3988716600655241	0.4286862997128438
S15Hp	0.5038206710518633	0.5538109537780507	0.35752001393244415	0.47859598821241534	0.5910676252777713	0.6229815458482779	0.5292310001137347	0.5832522905788948	0.5712660902964068	0.41871643895668703	0.49248732356755665	0.3951453515436042	0.40570039898054633	0.0	0.491952726342591	0.5144390919385798	0.6733017213359191	0.48533935962700336	0.46279405338974916	0.5480174929928475	0.5026413994493656	0.516241432498044	0.5460560721453637
w3pp	0.2947565336824425	0.3447468164086297	0.1691620720323475	0.37611768803857515	0.48858932510393105	0.5205032456744376	0.4267526999398945	0.48077399040505464	0.46878779012256655	0.3162381387828468	0.39000902339371646	0.30172791851219294	0.3745829539100711	0.491952726342591	0.0	0.20259624155736777	0.3614588709547071	0.17349650924579124	0.19861928047091953	0.2838427200740179	0.23846662653053602	0.25206665957921437	0.30996438244665137
f4pp	0.3172428992784313	0.3672331820046185	0.19164843762833633	0.39860405363456397	0.5110756906999199	0.5429896112704264	0.44923906553588333	0.5032603560010436	0.4912741557185554	0.3387245043788356	0.4124953889897053	0.3242142841081818	0.39706931950605995	0.5144390919385798	0.20259624155736777	0.0	0.34766857158475883	0.159706209875843	0.22110564606690838	0.3063290856700067	0.2609529921265249	0.2745530251752032	0.3324507480426402
f13pp	0.4761055286757706	0.5260958114019578	0.35051106702567564	0.5574666830319033	0.6699383200972593	0.7018522406677659	0.6081016949332226	0.6621229853983828	0.6501367851158948	0.4975871337761749	0.5713580183870446	0.4830769135055211	0.5559319489033993	0.6733017213359191	0.3614588709547071	0.34766857158475883	0.0	0.2761504662237377	0.37996827546424766	0.465191715067346	0.41981562152386415	0.4334156545725425	0.4913133774399795
f2pp	0.2881431669668548	0.33813344969304204	0.16254870531675986	0.3695043213229875	0.4819759583883434	0.51388987895885	0.42013933322430685	0.474160623689467	0.4621744234069789	0.30962477206725914	0.3833956566781288	0.2951145517966053	0.36796958719448347	0.48533935962700336	0.17349650924579124	0.159706209875843	0.2761504662237377	0.0	0.19200591375533188	0.27722935335843024	0.23185325981494836	0.24545329286362672	0.3033510157310637
f8pp	0.2655978607296006	0.31558814345578784	0.14000339907950565	0.3469590150857333	0.45943065215108925	0.4913445727215958	0.39759402698705265	0.45161531745221284	0.43962911716972475	0.28707946583000493	0.3608503504408746	0.27256924555935114	0.34542428095722927	0.46279405338974916	0.19861928047091953	0.22110564606690838	0.37996827546424766	0.19200591375533188	0.0	0.1697000074887996	0.12432391394531772	0.19547604791862327	0.2808057094938095
f18pp	0.350821300332699	0.4008115830588862	0.225226838682604	0.43218245468883165	0.5446540917541876	0.5765680123246941	0.482817466590151	0.5368387570553111	0.524852556772823	0.3723029054331033	0.44607379004397296	0.35779268516244944	0.43064772056032763	0.5480174929928475	0.2838427200740179	0.3063290856700067	0.465191715067346	0.27722935335843024	0.1697000074887996	0.0	0.1970035100258265	0.28069948752172164	0.36602914909690787
f14ppB	0.30544520678921705	0.3554354895154043	0.17985074513912214	0.3868063611453497	0.49927799821070573	0.5311919187812123	0.4374413730466691	0.4914626635118293	0.47947646322934123	0.3269268118896214	0.40069769650049103	0.3124165916189676	0.38527162701684575	0.5026413994493656	0.23846662653053602	0.2609529921265249	0.41981562152386415	0.23185325981494836	0.12432391394531772	0.1970035100258265	0.0	0.23532339397823976	0.32065305555342594
