	F32H1	S22Hp	S10H1	S26Hp	S7Hp	s14pp	s24pp	s1pp	s25pp	s28pp	s23pp	s17pp	S1Hp	S19H1	S12Hp	F7H1	S6Hp	F14H1A	S25Hp	F8H1	S31Hp	S13Hp	F29H1	S17H1	S9H1	S29H1	S21H1	S3Hp	S20H1	s24H1	S4Hp	F6H1	S28Hp	S8Hp	S11Hp	F23HpA	S2Hp	530394	F14H1B	S15Hp	F1H1
s23pp	0.8760591985007582	0.8684128229445573	0.8121148677161418	0.4461090067727259	0.357683464991359	0.4454532420250047	0.4508424194719296	0.1872764389094002	0.12722751974890087	0.1620152822535872	0.0	0.16236396044106075	0.5293095428808161	0.6448572358434503	0.7041131420667093	0.6780610742924552	0.600578275593735	0.626265657638822	0.5830651020072617	0.6856683745147496	0.5984339642900037	0.6789686714605175	0.6796578598681587	0.7555696708048176	0.6865200064769849	0.6635800041047722	0.7271621431577522	0.6651730272547982	0.6156112398133211	0.6495770926167502	0.7174213966823173	0.6862964864958881	0.655347300863726	0.7343688353010254	0.6539315504086369	0.5630975520278008	0.6766199841453081	0.8780658713822611	0.8892166196366686	0.8834841631123749	0.999112010316695
s17pp	0.8426995127909749	0.835053137234774	0.7787551820063585	0.4127493210629425	0.3243237792815756	0.4120935563152212	0.41748273376214606	0.20488562261656434	0.144836703456065	0.19832706587564042	0.16236396044106075	0.0	0.4959498571710326	0.6114975501336668	0.6707534563569258	0.6447013885826718	0.5672185898839516	0.5929059719290386	0.5497054162974782	0.6523086888049662	0.5650742785802203	0.6456089857507341	0.6462981741583753	0.7222099850950343	0.6531603207672014	0.6302203183949888	0.6938024574479689	0.6318133415450148	0.5822515541035377	0.6162174069069668	0.6840617109725339	0.6529368007861047	0.6219876151539425	0.7010091495912418	0.6205718646988535	0.5297378663180174	0.6432602984355248	0.8447061856724778	0.8558569339268853	0.8501244774025916	0.9657523246069117
S1Hp	0.5220670942591221	0.5144207187029213	0.4581227634745058	0.13986983934101035	0.1716280778904571	0.565017119283834	0.570406296730759	0.5718312050563197	0.5117822858958203	0.5652726483153958	0.5293095428808161	0.4959498571710326	0.0	0.29086513160181415	0.35012103782507314	0.32406897005081914	0.24658617135209887	0.2722735533971859	0.2290729977656255	0.3316762702731135	0.2444418600483676	0.3249765672188814	0.32566575562652267	0.40157756656318155	0.3325279022353488	0.3095878998631361	0.3731700389161161	0.31118092301316214	0.261619135571685	0.29558498837511415	0.36342929244068123	0.332304382254252	0.3013551966220898	0.3803767310593892	0.2999394461670008	0.20910544778616472	0.32262787990367203	0.524073767140625	0.5352245153950326	0.5294920588707388	0.645119906075059
S19H1	0.5743242456210924	0.5666778700648916	0.510379914836476	0.2554175323036446	0.2871757708530913	0.6805648122464683	0.6859539896933933	0.6873788980189539	0.6273299788584545	0.68082034127803	0.6448572358434503	0.6114975501336668	0.29086513160181415	0.0	0.20861917204500252	0.18256710427074857	0.17305287894321705	0.19874026098830405	0.15553970535674372	0.2581429778642317	0.1709085676394858	0.2514432748099996	0.2521324632176408	0.3280442741542997	0.25899460982646694	0.261340334999113	0.324922474052093	0.26293335814913904	0.21337157070766188	0.24733742351109106	0.31518172757665813	0.2840568173902289	0.2531076317580667	0.3597864665714916	0.2793491816791033	0.26136259914813503	0.3748850312656423	0.5763309185025953	0.5874816667570029	0.5817492102327091	0.6973770574370293
S12Hp	0.6335801518443513	0.6259337762881505	0.569635821059735	0.31467343852690355	0.3464316770763503	0.7398207184697273	0.7452098959166522	0.746634804242213	0.6865858850817136	0.740076247501289	0.7041131420667093	0.6707534563569258	0.35012103782507314	0.20861917204500252	0.0	0.17796556515691817	0.232308785166476	0.257996167211563	0.21479561158000265	0.3173988840874906	0.23016447386274475	0.31069918103325855	0.31138836944089976	0.38730018037755864	0.3182505160497259	0.32059624122237196	0.38417838027535195	0.322189264372398	0.2726274769309208	0.30659332973435	0.37443763379991707	0.34331272361348786	0.31236353798132566	0.4190423727947506	0.3386050879023622	0.32061850537139397	0.43414093748890126	0.6355868247258543	0.6467375729802618	0.641005116455968	0.7566329636602882
F7H1	0.6075280840700974	0.5998817085138965	0.543583753285481	0.2886213707526496	0.3203796093020963	0.7137686506954732	0.7191578281423981	0.7205827364679589	0.6605338173074595	0.7140241797270349	0.6780610742924552	0.6447013885826718	0.32406897005081914	0.18256710427074857	0.17796556515691817	0.0	0.206256717392222	0.23194409943730904	0.18874354380574868	0.29134681631323667	0.20411240608849074	0.28464711325900455	0.2853363016666458	0.3612481126033047	0.2921984482754719	0.294544173448118	0.35812631250109794	0.29613719659814397	0.24657540915666687	0.280541261960096	0.34838556602566306	0.3172606558392339	0.2863114702070717	0.3929903050204966	0.3125530201281082	0.29456643759714	0.4080888697146473	0.6095347569516003	0.6206855052060078	0.6149530486817141	0.7305808958860343
S6Hp	0.5300452853713771	0.5223989098151762	0.46610095458676076	0.2111385720539293	0.24289681060337603	0.636285851996753	0.6416750294436779	0.6430999377692387	0.5830510186087393	0.6365413810283147	0.600578275593735	0.5672185898839516	0.24658617135209887	0.17305287894321705	0.232308785166476	0.206256717392222	0.0	0.14292857990847638	0.09972802427691602	0.202331296784404	0.11509688655965811	0.19563159373017192	0.19632078213781318	0.27223259307447206	0.20318292874663926	0.21706137474939768	0.2806435138023777	0.2186543978994237	0.1690926104579466	0.20305846326137572	0.2709027673269428	0.23977785714051358	0.20882867150835138	0.3155075063217763	0.23507022142938794	0.2170836388984197	0.330606071015927	0.53205195825288	0.5432027065072875	0.5374702499829938	0.6530980971873139
F14H1A	0.5557326674164641	0.5480862918602633	0.4917883366318478	0.23682595409901633	0.26858419264846306	0.66197323404184	0.667362411488765	0.6687873198143257	0.6087384006538263	0.6622287630734017	0.626265657638822	0.5929059719290386	0.2722735533971859	0.19874026098830405	0.257996167211563	0.23194409943730904	0.14292857990847638	0.0	0.09986086698926158	0.20246413949674957	0.11522972927200364	0.19576443644251745	0.19645362485015871	0.2723654357868176	0.20331577145898483	0.2427487567944847	0.3063308958474647	0.24434177994451073	0.1947799925030336	0.22874584530646275	0.2965901493720298	0.2654652391856006	0.2345160535534384	0.34119488836686335	0.26075760347447496	0.24277102094350672	0.356293453061014	0.557739340297967	0.5688900885523744	0.5631576320280808	0.6787854792324008
S25Hp	0.5125321117849039	0.5048857362287029	0.44858778100028746	0.19362539846745597	0.2253836370169027	0.6187726784102796	0.6241618558572046	0.6255867641827653	0.5655378450222659	0.6190282074418414	0.5830651020072617	0.5497054162974782	0.2290729977656255	0.15553970535674372	0.21479561158000265	0.18874354380574868	0.09972802427691602	0.09986086698926158	0.0	0.14122192462503333	0.0539875144002874	0.1345222215708012	0.13521140997844247	0.21112322091510138	0.14207355658726858	0.19954820116292438	0.26313034021590437	0.2011412243129504	0.15157943687147324	0.1855452896749024	0.2533895937404695	0.22226468355404028	0.19131549792187807	0.29799433273530296	0.2175570478429146	0.19957046531194636	0.3130928974294537	0.5145387846664067	0.5256895329208142	0.5199570763965204	0.6355849236008406
F8H1	0.6151353842923917	0.6074890087361908	0.5511910535077754	0.296228670974944	0.3279869095243907	0.7213759509177676	0.7267651283646925	0.7281900366902533	0.6681411175297539	0.7216314799493293	0.6856683745147496	0.6523086888049662	0.3316762702731135	0.2581429778642317	0.3173988840874906	0.29134681631323667	0.202331296784404	0.20246413949674957	0.14122192462503333	0.0	0.15303993324749768	0.23357464041801151	0.23426382882565275	0.31017563976231166	0.24112597543447886	0.30215147367041234	0.36573361272339233	0.30374449682043836	0.25418270937896126	0.2881485621823904	0.35599286624795745	0.32486795606152824	0.29391877042936604	0.400597605242791	0.3201603203504026	0.3021737378194344	0.4156961699369417	0.6171420571738946	0.6282928054283021	0.6225603489040084	0.7381881961083285
