	530331	31749	31557	S31Hp	S2Hp	S19H1	F14H1B	F29H1	S3Hp	530075	530119	31379	S30H1	31300	530052	31009	31236	S10H1	31021	S28Hp	530364	31750	530315	S13Hp	F6H1	S17H1	530444	530055	31071	S16H2	31600	530451	31512	31700	F7H1	31452	31714	31360	f4pp	f20ppA	f1pp	S22Hp	31112	530215	F32H1	S15Hp	531414	530258	31637	31519	S27H1	31333	S18H1	S7Hp	31537
530119	0.23907056534062332	0.25356179225579	0.25997132942721823	0.17782674178930136	0.24265351576293642	0.25186845935421864	0.25809324381654286	0.20379930202889285	0.1590010009937366	0.16943847040828633	0.0	0.2166625980660599	0.24925949668629868	0.27434475802701574	0.2654062554839477	0.24041336520354847	0.253497289892303	0.2574780551591892	0.2823005709663444	0.21662440425766372	0.2756128971067374	0.2749639064672893	0.31052965396632504	0.24369123748366686	0.2799158736215692	0.2718804078524356	0.28515966562329265	0.29981771885637254	0.19138478060735567	0.28578589386108155	0.19262236336285987	0.31741649729543586	0.35189680158337633	0.2221639187343344	0.29325597540599957	0.3534176549192758	0.3885437925813652	0.31219877649665817	0.3791943555030115	0.3760292051634896	0.39150678452437604	0.3036676280802598	0.21348845918145362	0.18135166353878268	0.17495768100957326	0.2550540589642239	0.2651913365902917	0.22892732354099438	0.25437520514180445	0.2859152942542448	0.27148242708229087	0.24575623172051742	0.19786546071664807	0.22137898005263767	0.17857153716321167
31379	0.28626318750671675	0.30075441442188344	0.30716395159331167	0.22501936395539482	0.28984613792902986	0.29906108152031213	0.3052858659826363	0.2509919241949863	0.22198149409354417	0.2658248045444195	0.2166625980660599	0.0	0.21311791965810645	0.26740638792344196	0.2584678853803739	0.23347499509997466	0.24655891978872926	0.2505396850556154	0.27536220086277063	0.20968603415408987	0.28099227763081974	0.28034328699137173	0.31590903449040747	0.24907061800774927	0.2852952541456516	0.27725978837651793	0.290539046147375	0.305197099380455	0.19676416113143808	0.29116527438516393	0.19800174388694225	0.3227958778195182	0.3572761821074587	0.22754329925841676	0.2986353559300819	0.35879703544335817	0.39392317310544755	0.3175781570207405	0.38457373602709394	0.381408585687572	0.3968861650484584	0.3090470086043422	0.218867839705536	0.1867310440628651	0.18033706153365564	0.2750627095079081	0.2851999871339759	0.24893597408467857	0.2743838556854887	0.30592394479792895	0.29149107762597504	0.2801715516260824	0.23228078062221305	0.2685716022187311	0.2257641593293051
S30H1	0.31886008612695554	0.33335131304212223	0.33976085021355046	0.25761626257563364	0.32244303654926865	0.3316579801405509	0.33788276460287514	0.2835888228152251	0.25457839271378296	0.29842170316465827	0.24925949668629868	0.21311791965810645	0.0	0.30000328654368075	0.29106478400061275	0.26607189372021345	0.2791558184089681	0.28313658367585426	0.3079590994830095	0.24228293277432872	0.31358917625105853	0.3129401856116105	0.34850593311064626	0.28166751662798806	0.3178921527658904	0.3098566869967567	0.3231359447676138	0.33779399800069376	0.22936105975167687	0.3237621730054028	0.23059864250718107	0.355392776439757	0.38987308072769755	0.26014019787865555	0.3312322545503207	0.391393934063597	0.42652007172568634	0.3501750556409793	0.4171706346473327	0.4140054843078108	0.4294830636686972	0.34164390722458104	0.2514647383257748	0.2193279426831039	0.21293396015389446	0.30765960812814686	0.3177968857542147	0.28153287270491734	0.30698075430572747	0.33852084341816774	0.3240879762462139	0.31276845024632116	0.26487767924245187	0.3011685008389699	0.2583610579495439
31300	0.3439453474676726	0.35843657438283927	0.3648461115542675	0.2827015239163506	0.3475282978899857	0.35674324148126796	0.3629680259435921	0.3086740841559421	0.2796636540545	0.3235069645053753	0.27434475802701574	0.26740638792344196	0.30000328654368075	0.0	0.26221796740520487	0.2425845859543193	0.2556685106430739	0.2839471593890731	0.30876967519622833	0.24309350848754757	0.3386744375917756	0.33802544695232756	0.3735911944513633	0.3067527779687051	0.3429774141066074	0.3349419483374738	0.34822120610833085	0.3628792593414108	0.2544463210923939	0.34884743434611976	0.2556839038478981	0.38047803778047407	0.41495834206841453	0.2852254592193726	0.3563175158910378	0.416479195404314	0.4516053330664034	0.3752603169816964	0.44225589598804976	0.43909074564852785	0.45456832500941424	0.366729168565298	0.27654999966649185	0.24441320402382094	0.2380192214946115	0.33274486946886395	0.3428821470949317	0.3066181340456344	0.3320660156464445	0.3636061047588848	0.34917323758693086	0.33785371158703825	0.28996294058316885	0.32625376217968693	0.28344631929026093
530052	0.3350068449246046	0.3494980718397713	0.3559076090111995	0.2737630213732827	0.3385897953469177	0.34780473893819996	0.3540295234005242	0.2997355816128741	0.270725151511432	0.3145684619623073	0.2654062554839477	0.2584678853803739	0.29106478400061275	0.26221796740520487	0.0	0.23364608341125132	0.2467300081000059	0.27500865684600506	0.2998311726531603	0.23415500594447958	0.3297359350487076	0.32908694440925956	0.3646526919082953	0.2978142754256371	0.33403891156353943	0.32600344579440577	0.33928270356526286	0.3539407567983428	0.2455078185493259	0.3399089318030518	0.2467454013048301	0.371539535237406	0.4060198395253466	0.2762869566763046	0.3473790133479697	0.40754069286124606	0.4426668305233354	0.3663218144386283	0.43331739344498177	0.43015224310545985	0.44562982246634625	0.3577906660222301	0.26761149712342386	0.23547470148075295	0.2290807189515435	0.3238063669257959	0.33394364455186376	0.2976796315025664	0.3231275131033765	0.3546676022158168	0.3402347350438629	0.3289152090439702	0.2810244380401009	0.31731525963661894	0.27450781674719293
31009	0.31001395464420534	0.324505181559372	0.33091471873080025	0.2487701310928834	0.31359690506651844	0.3228118486578007	0.3290366331201249	0.27474269133247486	0.24573226123103276	0.28957557168190806	0.24041336520354847	0.23347499509997466	0.26607189372021345	0.2425845859543193	0.23364608341125132	0.0	0.16255400405456377	0.2500157665656058	0.27483828237276103	0.2091621156640803	0.3047430447683083	0.30409405412886026	0.339659801627896	0.2728213851452378	0.3090460212831402	0.3010105555140065	0.3142898132848636	0.3289478665179435	0.22051492826892663	0.3149160415226525	0.22175251102443083	0.34654664495700677	0.3810269492449473	0.25129406639590535	0.3223861230675705	0.38254780258084675	0.41767394024293614	0.3413289241582291	0.40832450316458246	0.40515935282506055	0.420636932185947	0.3327977757418308	0.24261860684302455	0.21048181120035364	0.20408782867114422	0.2988134766453967	0.30895075427146446	0.2726867412221672	0.29813462282297726	0.32967471193541753	0.3152418447634636	0.303922318763571	0.2560315477597016	0.2923223693562197	0.24951492646679369
31236	0.3230978793329599	0.3375891062481266	0.34399864341955483	0.261854055781638	0.326680829755273	0.3358957733465553	0.3421205578088795	0.28782661602122944	0.25881618591978733	0.30265949637066264	0.253497289892303	0.24655891978872926	0.2791558184089681	0.2556685106430739	0.2467300081000059	0.16255400405456377	0.0	0.2630996912543604	0.2879222070615156	0.2222460403528349	0.3178269694570629	0.3171779788176149	0.35274372631665063	0.2859053098339924	0.32212994597189476	0.3140944802027611	0.3273737379736182	0.34203179120669813	0.23359885295768124	0.32799996621140715	0.23483643571318544	0.35963056964576134	0.3941108739337019	0.2643779910846599	0.33547004775632505	0.3956317272696014	0.4307578649316907	0.35441284884698365	0.4214084278533371	0.4182432775138152	0.4337208568747016	0.3458817004305854	0.2557025315317792	0.22356573588910827	0.21717175335989883	0.3118974013341512	0.3220346789602191	0.2857706659109217	0.31121854751173184	0.3427586366241721	0.32832576945221825	0.31700624345232553	0.26911547244845624	0.30540629404497427	0.26259885115554826
S10H1	0.3270786445998461	0.3415698715150128	0.347979408686441	0.2658348210485242	0.3306615950221592	0.33987653861344147	0.3461013230757657	0.2918073812881156	0.2627969511866735	0.3066402616375488	0.2574780551591892	0.2505396850556154	0.28313658367585426	0.2839471593890731	0.27500865684600506	0.2500157665656058	0.2630996912543604	0.0	0.2464910134358905	0.21262885902293513	0.3218077347239491	0.32115874408450107	0.3567244915835368	0.2898860751008786	0.3261107112387809	0.31807524546964727	0.3313545032405043	0.3460125564735843	0.23757961822456738	0.33198073147829327	0.2388172009800716	0.3636113349126475	0.39809163920058804	0.26835875635154605	0.33945081302321123	0.3996124925364875	0.43473863019857684	0.35839361411386983	0.4253891931202233	0.42222404278070136	0.4377016221415877	0.34986246569747154	0.2596832967986653	0.2275465011559944	0.22115251862678498	0.3158781666010374	0.32601544422710527	0.2897514311778079	0.315199312778618	0.3467394018910583	0.33230653471910443	0.3209870087192117	0.2730962377153424	0.30938705931186045	0.26657961642243444
31021	0.3519011604070013	0.366392387322168	0.3728019244935962	0.2906573368556794	0.3554841108293144	0.3646990544205967	0.3709238388829209	0.31662989709527084	0.28761946699382873	0.33146277744470404	0.2823005709663444	0.27536220086277063	0.3079590994830095	0.30876967519622833	0.2998311726531603	0.27483828237276103	0.2879222070615156	0.2464910134358905	0.0	0.23745137483009035	0.3466302505311043	0.3459812598916563	0.38154700739069203	0.3147085909080338	0.3509332270459361	0.3428977612768025	0.3561770190476595	0.37083507228073953	0.26240213403172263	0.3568032472854485	0.2636397167872268	0.38843385071980274	0.42291415500774326	0.29318127215870127	0.36427332883036645	0.42443500834364273	0.45956114600573206	0.38321612992102505	0.4502117089273785	0.4470465585878566	0.4625241379487429	0.37468498150462676	0.28450581260582053	0.2523690169631496	0.2459750344339402	0.3407006824081926	0.3508379600342605	0.3145739469849631	0.34002182858577323	0.3715619176982135	0.35712905052625965	0.34580952452636693	0.29791875352249764	0.33420957511901567	0.29140213222958966
S28Hp	0.28622499369832055	0.30071622061348724	0.30712575778491547	0.22498117014699864	0.2898079441206337	0.299022887711916	0.30524767217424015	0.25095373038659013	0.22194330028514803	0.2657866107360233	0.21662440425766372	0.20968603415408987	0.24228293277432872	0.24309350848754757	0.23415500594447958	0.2091621156640803	0.2222460403528349	0.21262885902293513	0.23745137483009035	0.0	0.2809540838224236	0.28030509318297553	0.31587084068201127	0.24903242419935306	0.2852570603372554	0.2772215945681218	0.2905008523389788	0.30515890557205877	0.19672596732304187	0.2911270805767677	0.19796355007854607	0.32275768401112204	0.3572379882990625	0.22750510545002056	0.29859716212168574	0.35875884163496197	0.39388497929705135	0.31753996321234434	0.38453554221869773	0.3813703918791758	0.3968479712400622	0.309008814795946	0.21882964589713982	0.1866928502544689	0.18029886772525947	0.2750245156995119	0.2851617933255797	0.2488977802762824	0.2743456618770925	0.30588575098953275	0.2914528838175789	0.2801333578176862	0.23224258681381688	0.2685334084103349	0.22572596552090893
