	f23ppA	f8pp	w8pp	f12ppA	f13pp	S9H1	w1pp	S14Hp	w14pp	f24pp	w23pp	S18H1	f18pp	w3pp	S1Hp	f6ppA	f6ppB	w13pp	w28pp	f2pp	f4pp	f1pp	F8H1	f30pp	f28pp	f11pp	f14ppA	F22HpB	f10pp	f21pp	f31pp
w23pp	0.405033563445403	0.29568505013016333	0.38904201116746273	0.28229979270696315	0.3787451663537796	0.46772444466930696	0.4018881503696841	0.4384345004516073	0.4324199965754332	0.3047345223601269	0.0	0.2644955513250008	0.32832631053328565	0.3600944512281996	0.33948587803256347	0.39350414093750796	0.4152572864079652	0.33553091900339826	0.4563988891890297	0.39309815024512496	0.36311711470038005	0.36508268009651	0.526395357732353	0.4026548215127671	0.3897831839902224	0.4629258313361971	0.4295930969669028	0.5284337268593442	0.40197818404132707	0.378816682746973	0.3972497890022927
S18H1	0.3625128132446741	0.2531642999294344	0.3465212609667338	0.23977904250623427	0.33622441615305065	0.42520369446857803	0.3593674001689552	0.3959137502508784	0.3898992463747043	0.262213772159398	0.2644955513250008	0.0	0.2858055603325568	0.31757370102747073	0.2969651278318346	0.3509833907367791	0.37273653620723635	0.29301016880266934	0.41387813898830084	0.3505774000443961	0.3205963644996512	0.32256192989578114	0.48387460753162415	0.36013407131203823	0.3472624337894935	0.42040508113546815	0.38707234676617386	0.4859129766586152	0.35945743384059814	0.3362959325462441	0.3547290388015638
f18pp	0.3433432125578499	0.23399469924261018	0.3273516602799096	0.22060944181941003	0.31705481546622644	0.4060340937817538	0.34019779948213097	0.37674414956405416	0.37072964568788	0.2831266612960516	0.32832631053328565	0.2858055603325568	0.0	0.27675824814861877	0.25614967495298263	0.3318137900499548	0.3535669355204121	0.2738405681158451	0.39470853830147656	0.3314077993575718	0.3014267638128269	0.30339232920895687	0.4647050068447999	0.34096447062521396	0.32809283310266923	0.40123548044864393	0.36790274607934964	0.466743375971791	0.3402878331537739	0.31712633185941985	0.3355594381147396
w3pp	0.37511135325276385	0.26576283993752414	0.35911980097482354	0.252377582514324	0.34882295616114045	0.4378022344766678	0.371965940177045	0.4085122902589682	0.40249778638279404	0.31489480199096553	0.3600944512281996	0.31757370102747073	0.27675824814861877	0.0	0.27261499126739486	0.3635819307448688	0.38533507621532603	0.3056087088107591	0.4264766789963906	0.3631759400524858	0.3331949045077409	0.33516046990387083	0.49647314753971383	0.3727326113201279	0.3598609737975832	0.43300362114355795	0.39967088677426366	0.498511516666705	0.37205597384868794	0.34889447255433387	0.3673275788096536
S1Hp	0.3545027800571277	0.245154266741888	0.3385112277791874	0.23176900931868788	0.3282143829655043	0.41719366128103164	0.35135736698140885	0.38790371706333204	0.3818892131871579	0.2942862287953294	0.33948587803256347	0.2969651278318346	0.25614967495298263	0.27261499126739486	0.0	0.34297335754923264	0.3647265030196899	0.28500013561512294	0.40586810580075444	0.3425673668568497	0.3125863313121048	0.3145518967082347	0.4758645743440777	0.3521240381244918	0.33925240060194706	0.4123950479479218	0.3790623135786275	0.4779029434710689	0.3514474006530518	0.3282858993586977	0.3467190056140175
f6ppA	0.3217642404463365	0.23694353408861746	0.33030049512591686	0.2614599134604246	0.37303426896525527	0.4620135472807826	0.3961772529811598	0.432723603063083	0.42670909918690886	0.3483044917002739	0.39350414093750796	0.3509833907367791	0.3318137900499548	0.3635819307448688	0.34297335754923264	0.0	0.2914592603874255	0.21173289298285852	0.3731295661899632	0.3098288272460584	0.2798477917013135	0.2818133570974435	0.4431260347332865	0.31938549851370057	0.30651386099115585	0.37965650833713055	0.34632377396783626	0.4451644038602776	0.31870886104226054	0.29554735974790647	0.3139804660032262
f6ppB	0.34351738591679376	0.2586966795590747	0.3520536405963741	0.28321305893088183	0.3947874144357125	0.48376669275123985	0.41793039845161706	0.45447674853354025	0.4484622446573661	0.37005763717073115	0.4152572864079652	0.37273653620723635	0.3535669355204121	0.38533507621532603	0.3647265030196899	0.2914592603874255	0.0	0.21610489477502487	0.39488271166042044	0.3315819727165157	0.3016009371717708	0.30356650256790074	0.46487918020374375	0.34113864398415783	0.3282670064616131	0.4014096538075878	0.3680769194382935	0.46691754933073487	0.3404620065127178	0.3173005052183637	0.33573361147368347
w13pp	0.2637910185122268	0.17897031215450773	0.2723272731918071	0.20348669152631488	0.31506104703114557	0.4040403253466729	0.3382040310470501	0.3747503811289733	0.36873587725279916	0.2903312697661642	0.33553091900339826	0.29301016880266934	0.2738405681158451	0.3056087088107591	0.28500013561512294	0.21173289298285852	0.21610489477502487	0.0	0.3151563442558535	0.2518556053119487	0.22187456976720382	0.2238401351633338	0.3851528127991768	0.2614122765795909	0.24854063905704615	0.32168328640302085	0.28835055203372656	0.3871911819261679	0.26073563910815084	0.23757413781379677	0.2560072440691165
w28pp	0.3704885224288135	0.2998382823401392	0.3931952433774386	0.3243546617119464	0.435929017216777	0.5249082955323043	0.45907200123268155	0.49561835131460474	0.48960384743843066	0.41119923995179564	0.4563988891890297	0.41387813898830084	0.39470853830147656	0.4264766789963906	0.40586810580075444	0.3731295661899632	0.39488271166042044	0.3151563442558535	0.0	0.2628061859202719	0.27920110103629203	0.3305376390799205	0.4918503167157635	0.3681097804961776	0.3552381429736329	0.42838079031960763	0.39504805595031334	0.4938886858427547	0.3674331430247376	0.34427164173038355	0.3627047479857033
f2pp	0.30718778348490877	0.23653754339623445	0.32989450443353385	0.2610539227680416	0.37262827827287226	0.4616075565883996	0.3957712622887768	0.4323176123707	0.4263031084945259	0.3478985010078909	0.39309815024512496	0.3505774000443961	0.3314077993575718	0.3631759400524858	0.3425673668568497	0.3098288272460584	0.3315819727165157	0.2518556053119487	0.2628061859202719	0.0	0.2159003620923873	0.26723690013601575	0.42854957777185876	0.30480904155227284	0.2919374040297281	0.3650800513757029	0.3317473170064086	0.43058794689884994	0.30413240408083286	0.28097090278647874	0.29940400904179854
