	31749	31219	S28Hp	S14Hp	S6Hp	S29H1	31236	31360	31519	w8pp	f16ppA	w20pp	S8Hp	f7pp	f14ppB	w9pp	F29H1	31232	F14H1A	S26Hp
f16ppA	0.5341650672014288	0.46972498009879676	0.4821635586899972	0.5107387918036228	0.49356826814007915	0.5311936469208762	0.5658963682160357	0.5432954144716025	0.49328407344869074	0.08700620019841523	0.0	0.056701492939644466	0.1664014812268126	0.08424320512501955	0.09398075482099422	0.11026752955974425	0.16495075452703084	0.5023759678553399	0.4575070761723204	0.5378043939696264
w20pp	0.5260630290636898	0.4616229419610579	0.47406152055225836	0.5026367536658839	0.48546623000234024	0.5230916087831374	0.5577943300782968	0.5351933763338637	0.48518203531095183	0.07890416206067634	0.056701492939644466	0.0	0.15829944308907368	0.07614116698728066	0.08587871668325532	0.10216549142200534	0.15684871638929196	0.4942739297176011	0.44940503803458154	0.5297023558318876
S8Hp	0.5961659907465358	0.5317259036439037	0.5441644822351042	0.5727397153487298	0.5555691916851861	0.5931945704659833	0.6278972917611427	0.6052963380167096	0.5552849969937977	0.15778482169649208	0.1664014812268126	0.15829944308907368	0.0	0.1081975425135717	0.1391142806477842	0.1554010553865342	0.21008428035382082	0.564376891400447	0.5195079997174274	0.5998053175147335
f7pp	0.5140077146447427	0.4495676275421107	0.46200620613331117	0.49058143924693676	0.4734109155833931	0.5110362943641902	0.5457390156593497	0.5231380619149164	0.4731267208920047	0.07562654559469906	0.08424320512501955	0.07614116698728066	0.1081975425135717	0.0	0.056956004545991146	0.07324277928474118	0.1279260042520278	0.4822186152986539	0.4373497236156344	0.5176470414129404
f14ppB	0.5237452643407174	0.4593051772380854	0.47174375582928585	0.5003189889429114	0.4831484652793678	0.5207738440601649	0.5554765653553244	0.5328756116108911	0.48286427058797937	0.08536409529067372	0.09398075482099422	0.08587871668325532	0.1391142806477842	0.056956004545991146	0.0	0.0717099807392652	0.1263932057065518	0.4919561649946286	0.447087273311609	0.5273845911089151
w9pp	0.5400320390794674	0.4755919519768354	0.48803053056803586	0.5166057636816614	0.4994352400181178	0.5370606187989149	0.5717633400940744	0.5491623863496411	0.4991510453267294	0.10165087002942375	0.11026752955974425	0.10216549142200534	0.1554010553865342	0.07324277928474118	0.0717099807392652	0.0	0.11543462926983604	0.5082429397333785	0.46337404805035903	0.5436713658476651
F29H1	0.594715264046754	0.5302751769441221	0.5427137555353225	0.5712889886489481	0.5541184649854044	0.5917438437662015	0.626446565061361	0.6038456113169277	0.553834270294016	0.15633409499671036	0.16495075452703084	0.15684871638929196	0.21008428035382082	0.1279260042520278	0.1263932057065518	0.11543462926983604	0.0	0.5629261647006651	0.5180572730176456	0.5983545908149517
31232	0.5743783702861776	0.5099382831835455	0.522376861774746	0.5509520948883715	0.5337815712248279	0.571406950005625	0.6061096713007845	0.5835087175563513	0.5334973765334394	0.49375930832501946	0.5023759678553399	0.4942739297176011	0.564376891400447	0.4822186152986539	0.4919561649946286	0.5082429397333785	0.5629261647006651	0.0	0.4977203792570692	0.5780176970543753
F14H1A	0.4795106364022276	0.41507054929959564	0.4530475013449989	0.4816227344586244	0.46445221079508076	0.502077589575878	0.5367803108710374	0.5141793571266042	0.46416801610369235	0.4488904166419999	0.4575070761723204	0.44940503803458154	0.5195079997174274	0.4373497236156344	0.447087273311609	0.46337404805035903	0.5180572730176456	0.4977203792570692	0.0	0.48314996317042536
S26Hp	0.5160326259438361	0.4515925388412041	0.5333448191423049	0.5619200522559304	0.5447495285923869	0.5823749073731841	0.6170776286683435	0.5944766749239103	0.5444653339009984	0.529187734439306	0.5378043939696264	0.5297023558318876	0.5998053175147335	0.5176470414129404	0.5273845911089151	0.5436713658476651	0.5983545908149517	0.5780176970543753	0.48314996317042536	0.0
