	530394	s3pp	s7pp	s15pp	S6Hp	S15Hp	S25Hp	s26pp	s27pp	s23pp	s14pp	s1pp	s31pp	s25pp	s6pp	S28Hp	s21pp	s16pp	s30pp	w30pp	s28pp	s4pp	s10pp	s29pp	s9pp	s19pp	s17pp	s12pp	s13pp	s32pp	s20pp	530215	s2pp	S7Hp
s6pp	0.4469104025180299	0.3499282409280213	0.3968871372750177	0.3774615443846965	0.3868598191140319	0.3888702280291553	0.4169455538227539	0.4090083221128024	0.4101737440002743	0.4087626414277665	0.40951395901772414	0.12385218297953084	0.09700312318679541	0.021639124997530932	0.0	0.0034686079188125827	0.002742527296013545	0.029469418474855298	0.0035540142456390233	0.030100819091688942	0.3137309707291774	0.4064788945366704	0.4225308515533408	0.36370733624920243	0.37036800777123274	0.37714326619927047	0.3761092260671095	0.2902431227270571	0.3209389436969776	0.37357447753864625	0.4049940711057647	0.4427553299793777	0.4947693225665637	0.4129424460986669
S28Hp	0.44489795584681546	0.34791579425680685	0.39487469060380326	0.37544909771348206	0.38484737244281747	0.3868577813579409	0.41493310715153947	0.406995875441588	0.4081612973290599	0.40675019475655216	0.4075015123465098	0.12183973630831645	0.09499067651558102	0.01962667832631654	0.0034686079188125827	0.0	0.0007280806237990959	0.027456971803640907	0.0015415675744246328	0.02808837242047455	0.31171852405796296	0.404466447865456	0.42051840488212644	0.361694889577988	0.3683555611000183	0.37513081952805605	0.37409677939589514	0.28823067605584274	0.3189264970257632	0.3715620308674319	0.4029816244345503	0.4407428833081633	0.4927568758953493	0.4109299994274525
s21pp	0.4441718752240164	0.34718971363400786	0.3941486099810042	0.374723017090683	0.3841212918200184	0.38613170073514186	0.4142070265287404	0.406269794818789	0.40743521670626087	0.40602411413375306	0.40677543172371067	0.12111365568551741	0.09426459589278198	0.018900597703517503	0.002742527296013545	0.0007280806237990959	0.0	0.02673089118084187	0.0008154869516255951	0.027362291797675513	0.31099244343516397	0.40374036724265694	0.41979232425932733	0.360968808955189	0.36762948047721933	0.37440473890525705	0.3733706987730961	0.2875045954330437	0.31820041640296415	0.37083595024463284	0.4022555438117512	0.44001680268536425	0.4920307952725502	0.41020391880465346
s16pp	0.4708967664018581	0.37391460481184957	0.4208735011588459	0.4014479082685247	0.41084618299786013	0.4128565919129836	0.44093191770658213	0.4329946859966307	0.4341601078841026	0.43274900531159477	0.4335003229015524	0.14783854686335912	0.12098948707062368	0.04562548888135921	0.029469418474855298	0.027456971803640907	0.02673089118084187	0.0	0.02591740423021633	0.054087182975517206	0.3377173346130057	0.43046525842049865	0.44651721543716905	0.3876937001330307	0.39435437165506104	0.40112963008309876	0.4000955899509378	0.3142294866108854	0.34492530758080586	0.39756084142247455	0.42898043498959293	0.46674169386320596	0.5187556864503919	0.43692880998249517
s30pp	0.44498136217264184	0.34799920058263323	0.39495809692962963	0.37553250403930843	0.38493077876864384	0.3869411876837673	0.41501651347736584	0.40707928176741437	0.4082447036548863	0.40683360108237854	0.40758491867233615	0.12192314263414283	0.0950740828414074	0.019710084652142922	0.0035540142456390233	0.0015415675744246328	0.0008154869516255951	0.02591740423021633	0.0	0.028171778746300932	0.31180193038378934	0.40454985419128237	0.4206018112079528	0.3617782959038144	0.3684389674258447	0.3752142258538824	0.3741801857217215	0.2883140823816691	0.3190099033515896	0.37164543719325827	0.4030650307603767	0.4408262896339897	0.49284028222117565	0.4110134057532789
w30pp	0.4495457773886188	0.3525636157986102	0.3995225121456065	0.3800969192552853	0.38949519398462074	0.39150560289974423	0.41958092869334274	0.4116436969833913	0.41280911887086325	0.41139801629835543	0.41214933388831304	0.12648755785011973	0.09963849805738431	0.024274499868119834	0.030100819091688942	0.02808837242047455	0.027362291797675513	0.054087182975517206	0.028171778746300932	0.0	0.3163663455997663	0.40911426940725926	0.4251662264239297	0.36634271111979133	0.37300338264182165	0.37977864106985937	0.37874460093769846	0.292878497597646	0.32357431856756647	0.3762098524092352	0.4076294459763536	0.44539070484996657	0.49740469743715254	0.41557782096925583
s28pp	0.4496705165953823	0.3526883550053737	0.3996472513523701	0.3802216584620489	0.3896199331913843	0.3916303421065077	0.4197056679001063	0.41176843619015485	0.4129338580776267	0.41152275550511896	0.4122740730950766	0.1948857381784827	0.2794564238654532	0.2920938457326465	0.3137309707291774	0.31171852405796296	0.31099244343516397	0.3377173346130057	0.31180193038378934	0.3163663455997663	0.0	0.3843070019924893	0.42529096563069324	0.36646745032655487	0.3731281218485852	0.3799033802766229	0.37886934014446194	0.29300323680440954	0.32369905777433006	0.3763345916159987	0.4077541851831171	0.44551544405673016	0.49752943664391613	0.41570256017601936
s4pp	0.5424184404028753	0.44543627881286674	0.4923951751598631	0.4729695822695419	0.4823678569988773	0.4843782659140008	0.5124535917075993	0.5045163599976479	0.5056817818851198	0.5042706793126119	0.5050219969025695	0.28763366198597573	0.3722043476729462	0.3848417695401395	0.4064788945366704	0.404466447865456	0.40374036724265694	0.43046525842049865	0.40454985419128237	0.40911426940725926	0.3843070019924893	0.0	0.5180388894381863	0.4592153741340479	0.4658760456560782	0.47265130408411593	0.471617263951955	0.3857511606119026	0.4164469815818231	0.4690825154234918	0.5005021089906102	0.5382633678642232	0.5902773604514091	0.5084504839835124
s10pp	0.5053071777118808	0.4083250161218722	0.45528391246886857	0.43585831957854737	0.4452565943078828	0.4472670032230063	0.4753423290166048	0.46740509730665336	0.4685705191941253	0.4671594166216175	0.4853564952310817	0.3036856190026461	0.38825630468961664	0.40089372655680994	0.4225308515533408	0.42051840488212644	0.41979232425932733	0.44651721543716905	0.4206018112079528	0.4251662264239297	0.42529096563069324	0.5180388894381863	0.0	0.40860272476082227	0.4152633962828526	0.4220386547108903	0.4210046145787294	0.33513851123867694	0.3658343322085974	0.41846986605026615	0.4498894596173845	0.4876507184909975	0.5396647110781835	0.4713392212925179
s29pp	0.44648366240774245	0.34950150081773385	0.39646039716473025	0.37703480427440905	0.38643307900374446	0.38844348791886785	0.41651881371246646	0.408581582002515	0.40974700388998686	0.4083359013174791	0.42653297992694333	0.24486210369850775	0.32943278938547826	0.34207021125267156	0.36370733624920243	0.361694889577988	0.360968808955189	0.3876937001330307	0.3617782959038144	0.36634271111979133	0.36646745032655487	0.4592153741340479	0.40860272476082227	0.0	0.05080557916747325	0.05758083759551098	0.056546797463350035	0.2391727377401935	0.26986855871011395	0.3225040925517827	0.35392368611890107	0.39168494499251405	0.4436989375797	0.4125157059883795
s9pp	0.45314433392977277	0.35616217233976416	0.40312106868676056	0.38369547579643937	0.3930937505257748	0.39510415944089816	0.4231794852344968	0.4152422535245453	0.4164076754120172	0.4149965728395094	0.43319365144897365	0.25152277522053806	0.3360934609075086	0.3487308827747019	0.37036800777123274	0.3683555611000183	0.36762948047721933	0.39435437165506104	0.3684389674258447	0.37300338264182165	0.3731281218485852	0.4658760456560782	0.4152633962828526	0.05080557916747325	0.0	0.007152069426778117	0.006118029294617178	0.2458334092622238	0.27652923023214426	0.329164764073813	0.3605843576409314	0.39834561651454437	0.45035960910173034	0.4191763775104098
s19pp	0.4599195923578105	0.3629374307678019	0.4098963271147983	0.3904707342244771	0.3998690089538125	0.4018794178689359	0.4299547436625345	0.422017511952583	0.4231829338400549	0.42177183126754714	0.43996890987701137	0.2582980336485758	0.3428687193355463	0.3555061412027396	0.37714326619927047	0.37513081952805605	0.37440473890525705	0.40112963008309876	0.3752142258538824	0.37977864106985937	0.3799033802766229	0.47265130408411593	0.4220386547108903	0.05758083759551098	0.007152069426778117	0.0	0.005128123568501709	0.2526086676902615	0.283304488660182	0.33594002250185073	0.3673596160689691	0.4051208749425821	0.45713486752976806	0.42595163593844754
s17pp	0.45888555222564953	0.3619033906356409	0.4088622869826373	0.3894366940923161	0.39883496882165154	0.400845377736775	0.42892070353037354	0.42098347182042206	0.422148893707894	0.42073779113538623	0.4389348697448504	0.2572639935164149	0.3418346792033854	0.3544721010705787	0.3761092260671095	0.37409677939589514	0.3733706987730961	0.4000955899509378	0.3741801857217215	0.37874460093769846	0.37886934014446194	0.471617263951955	0.4210046145787294	0.056546797463350035	0.006118029294617178	0.005128123568501709	0.0	0.2515746275581006	0.2822704485280211	0.33490598236968977	0.36632557593680815	0.4040868348104212	0.45610082739760716	0.4249175958062866
s12pp	0.3730194488855971	0.2760372872955885	0.3229961836425849	0.3035705907522637	0.31296886548159913	0.3149792743967226	0.34305460019032114	0.33511736848036966	0.3362827903678416	0.3348716877953338	0.353068766404798	0.17139789017636245	0.25596857586333294	0.26860599773052624	0.2902431227270571	0.28823067605584274	0.2875045954330437	0.3142294866108854	0.2883140823816691	0.292878497597646	0.29300323680440954	0.3857511606119026	0.33513851123867694	0.2391727377401935	0.2458334092622238	0.2526086676902615	0.2515746275581006	0.0	0.1636251145679884	0.2162606484096571	0.24768024197677552	0.28544150085038855	0.33745549343757447	0.3390514924662342
s13pp	0.4037152698555176	0.30673310826550904	0.3536920046125054	0.3342664117221842	0.3436646864515196	0.34567509536664304	0.3737504211602416	0.3658131894502902	0.36697861133776205	0.36556750876525423	0.3837645873747185	0.20209371114628294	0.2866643968332534	0.2993018187004467	0.3209389436969776	0.3189264970257632	0.31820041640296415	0.34492530758080586	0.3190099033515896	0.32357431856756647	0.32369905777433006	0.4164469815818231	0.3658343322085974	0.26986855871011395	0.27652923023214426	0.283304488660182	0.2822704485280211	0.1636251145679884	0.0	0.18265860648273877	0.21407820004985717	0.25183945892347015	0.3038534515106561	0.36974731343615463
