	S31Hp	S19H1	530055	w1pp	f10pp	w19pp	w15pp	w32pp	f28pp	f13pp	w21pp	f24pp	w25pp	w31pp	f11pp	w22pp	w28pp	f12ppB	w17pp	w29pp	w12pp	f30pp	f26pp	f2pp	w11pp	w18pp	w23pp	f15pp	w8pp	f17ppB	w13pp	w10pp	w3pp	w26pp	f14ppA	w27pp	w2pp	f12ppA	31009
w12pp	0.8863077801067992	0.9152346193259777	0.9277149934168588	0.048433429890174094	0.036758593513976194	0.05834309119919251	0.08658486163148515	0.07202469246671478	0.09268985478619288	0.07048910432168812	0.10872260550375185	0.05491972731936352	0.06482231203703528	0.056020721356651836	0.05071695293336165	0.03548374783169572	0.04940317652018409	0.05157837560696219	0.06285924771327903	0.040716025811412426	0.0	0.0682042354826359	0.02479929096135674	0.03450325964465326	0.06386886590463653	0.04984358811731132	0.02146593781238392	0.048031062828311405	0.04931545449228321	0.04152227907134143	0.037157464067931745	0.03593232375031291	0.05031207928844225	0.0371853884009158	0.04895772926478821	0.058818970551609534	0.07419789773782726	0.05739165101597937	0.8630124137327074
f30pp	0.9264289777477507	0.9553558169669292	0.9678361910578103	0.08855462753112561	0.07687979115492773	0.09846428884014405	0.1267060592724367	0.1121458901076663	0.13281105242714442	0.11061030196263964	0.14884380314470336	0.09504092496031505	0.10494350967798681	0.09614191899760337	0.09083815057431319	0.07560494547264726	0.08952437416113562	0.09169957324791372	0.10298044535423057	0.08083722345236397	0.0682042354826359	0.0	0.055460494541247775	0.07019923183385923	0.09956483809384249	0.08996478575826285	0.06158713545333545	0.08815226046926293	0.08943665213323473	0.08164347671229295	0.07727866170888327	0.07605352139126444	0.09043327692939378	0.07730658604186733	0.08907892690573974	0.09894016819256107	0.1143190953787788	0.0975128486569309	0.9031336113736589
f26pp	0.8830240332264715	0.91195087244565	0.9244312465365311	0.04514968300984646	0.03347484663364856	0.055059344318864875	0.08330111475115753	0.06874094558638713	0.08940610790586526	0.06720535744136047	0.1054388586234242	0.05163598043903589	0.06153856515670764	0.0527369744763242	0.04743320605303401	0.03220000095136809	0.046119429639856456	0.04829462872663456	0.05957550083295139	0.03743227893108479	0.02479929096135674	0.055460494541247775	0.0	0.02679428731258006	0.056159893572563326	0.04655984123698368	0.018182190932056284	0.044747315947983764	0.04603170761195557	0.03823853219101379	0.03387371718760411	0.03264857686998528	0.04702833240811462	0.033901641520588166	0.045673982384460576	0.0555352236712819	0.07091415085749964	0.05410790413565174	0.8597286668523797
f2pp	0.8927280019097681	0.9216548411289466	0.9341352152198277	0.05485365169314298	0.04317881531694508	0.0647633130021614	0.09300508343445404	0.07844491426968365	0.09911007658916177	0.076909326124657	0.11514282730672072	0.061339949122332406	0.07124253384000416	0.06244094315962072	0.05713717473633054	0.041903969634664605	0.05582339832315297	0.057998597409931074	0.06927946951624792	0.047136247614381316	0.03450325964465326	0.07019923183385923	0.02679428731258006	0.0	0.0518679828883123	0.0562638099202802	0.027886159615352804	0.05445128463128028	0.055735676295252085	0.047942500874310304	0.04357768587090062	0.042352545553281794	0.056732301091411134	0.04360561020388468	0.0553779510677571	0.06523919235457842	0.08061811954079615	0.06381187281894825	0.8694326355356763
w11pp	0.9220936081697513	0.9510204473889298	0.9635008214798109	0.08421925795312624	0.07254442157692835	0.09412891926214467	0.12237068969443732	0.10781052052966693	0.12847568284914504	0.10627493238464027	0.144508433566704	0.09070555538231567	0.10060814009998743	0.09180654941960399	0.08650278099631381	0.07126957589464789	0.08518900458313625	0.08736420366991435	0.09864507577623119	0.07650185387436459	0.06386886590463653	0.09956483809384249	0.056159893572563326	0.0518679828883123	0.0	0.08562941618026347	0.05725176587533607	0.08381689089126355	0.08510128255523536	0.07730810713429358	0.0729432921308839	0.07171815181326506	0.0860979073513944	0.07297121646386795	0.08474355732774036	0.0946047986145617	0.10998372580077942	0.09317747907893152	0.8987982417956595
w18pp	0.908066330381426	0.9369931696006045	0.9494735436914856	0.07019198016480098	0.05851714378860308	0.0801016414738194	0.10834341190611205	0.09378324274134166	0.11444840506081977	0.092247654596315	0.1304811557783787	0.0766782775939904	0.08658086231166216	0.07777927163127872	0.07247550320798854	0.05724229810632261	0.07116172679481098	0.07333692588158908	0.08461779798790592	0.06247457608603932	0.04984358811731132	0.08996478575826285	0.04655984123698368	0.0562638099202802	0.08562941618026347	0.0	0.028379650305927453	0.06214097291390097	0.06342536457787278	0.055632189156930995	0.05891601434255862	0.057690874024939796	0.07207062956306914	0.058943938675542686	0.0707162795394151	0.08057752082623643	0.09595644801245415	0.07915020129060625	0.8847709640073342
w23pp	0.8796886800764987	0.9086155192956772	0.9210958933865583	0.04181432985987358	0.03013949348367568	0.051723991168891995	0.07996576160118465	0.06540559243641425	0.08607075475589238	0.06387000429138759	0.10210350547345132	0.04830062728906301	0.05820321200673476	0.04940162132635132	0.04409785290306113	0.028864647801395207	0.042784076489883575	0.04495927557666168	0.05624014768297851	0.03409692578111191	0.02146593781238392	0.06158713545333545	0.018182190932056284	0.027886159615352804	0.05725176587533607	0.028379650305927453	0.0	0.03376332260897357	0.035047714272945375	0.027254538852003594	0.030538364037631226	0.029313223720012396	0.04369297925814174	0.030566288370615285	0.042338629234487696	0.05219987052130902	0.06757879770752676	0.05077255098567886	0.8563933137024069
f15pp	0.9062538050924261	0.9351806443116046	0.9476610184024857	0.06837945487580106	0.05670461849960316	0.07828911618481948	0.10653088661711213	0.09197071745234174	0.11263587977181985	0.09043512930731508	0.12866863048937882	0.07486575230499048	0.08476833702266225	0.0759667463422788	0.07066297791898862	0.05542977281732269	0.06934920150581106	0.07152440059258916	0.082805272698906	0.0606620507970394	0.048031062828311405	0.08815226046926293	0.044747315947983764	0.05445128463128028	0.08381689089126355	0.06214097291390097	0.03376332260897357	0.0	0.0232524522299892	0.025517798520342517	0.057103489053558706	0.05587834873593988	0.07025810427406923	0.05713141338654277	0.06890375425041519	0.07876499553723651	0.09414392272345423	0.07733767600160633	0.8829584387183343
w8pp	0.9075381967563979	0.9364650359755764	0.9489454100664575	0.06966384653977287	0.05798901016357497	0.07957350784879128	0.10781527828108393	0.09325510911631354	0.11392027143579166	0.09171952097128688	0.1299530221533506	0.0761501439689623	0.08605272868663405	0.07725113800625061	0.07194736958296043	0.056714164481294495	0.07063359316978286	0.07280879225656096	0.08408966436287779	0.061946442461011206	0.04931545449228321	0.08943665213323473	0.04603170761195557	0.055735676295252085	0.08510128255523536	0.06342536457787278	0.035047714272945375	0.0232524522299892	0.0	0.02680219018431432	0.05838788071753051	0.057162740399911684	0.07154249593804102	0.05841580505051457	0.07018814591438699	0.0800493872012083	0.09542831438742604	0.07862206766557814	0.8842428303823061
f17ppB	0.8997450213354562	0.9286718605546347	0.9411522346455158	0.061870671118831086	0.050195834742633186	0.07178033242784951	0.10002210286014215	0.08546193369537176	0.10612709601484988	0.0839263455503451	0.12215984673240883	0.06835696854802051	0.07825955326569227	0.06945796258530883	0.06415419416201865	0.048920989060352714	0.06284041774884108	0.06501561683561918	0.07629648894193602	0.054153267040069425	0.04152227907134143	0.08164347671229295	0.03823853219101379	0.047942500874310304	0.07730810713429358	0.055632189156930995	0.027254538852003594	0.025517798520342517	0.02680219018431432	0.0	0.05059470529658873	0.0493695649789699	0.06374932051709925	0.05062262962957279	0.06239497049344521	0.07225621178026653	0.08763513896648426	0.07082889224463636	0.8764496549613644
