	S2Hp	S8Hp	F14H1A	S17H1	S28Hp	S1Hp	S11Hp	S4Hp	S15Hp	S22Hp	530451	F23HpA	S12Hp	S19H1	S26Hp	31267	S14Hp	S23Hp	S27H1	F1H1	S7Hp	S31Hp	530295	S18H1	S9H1	31300	S30H1	F6H1	S20H1	S6Hp	F8H1	F16H1	w14pp	w11pp	S10H1	s24pp	s17pp	s12pp	s2pp	w2pp	s29pp	F29H1	w24pp	s24H1	F22HpB	S13Hp	S21H1	F14H1B	F7H1	S16H2	530167	S25Hp	S3Hp	S29H1
530451	0.4244094657022856	0.4295412799023108	0.279811318949456	0.4603666341202545	0.4802710483896628	0.34311025111755816	0.24865355650130921	0.16238839862649956	0.13631692882533186	0.0903509794067584	0.0	0.019452624525063886	0.03965332800822195	0.2002654776775521	0.19205247634845693	0.25652476122762485	0.2751928268206178	0.30988156875437	0.34147381113498715	0.28875558827633474	0.2577479115552694	0.23171540535517612	0.2689320403529523	0.24654244969334896	0.23574830187015813	0.3465811302088938	0.49355972767402956	0.3903807824480874	0.3656748621509762	0.37178727669818434	0.2998183006801076	0.5032657185967568	0.5476054982848618	0.5128350744121722	0.5500323873730225	0.508054705758731	0.5779916485015769	0.6075226178212907	0.6763899164882662	0.602279771516444	0.5786207410105517	0.5905411977344694	0.538092871478942	0.4550296803939984	0.3802196066015998	0.34326216563846423	0.4468513929128622	0.5009144373053052	0.4554427467772647	0.39292704457312205	0.5115568377904163	0.3617856435548145	0.34635151503949024	0.44262490008907107
F23HpA	0.42022148933917963	0.4253533035392048	0.27562334258635	0.45617865775714855	0.4760830720265568	0.3389222747544522	0.24446558013820327	0.15820042226339362	0.13212895246222595	0.08616300304365246	0.019452624525063886	0.0	0.035465351645115994	0.19607750131444615	0.18786449998535099	0.2523367848645189	0.2710048504575118	0.30569359239126404	0.3372858347718812	0.28456761191322877	0.2535599351921634	0.22752742899207018	0.26474406398984635	0.24235447333024301	0.2315603255070522	0.3423931538457879	0.4893717513109236	0.3861928060849814	0.36148688578787025	0.3675993003350784	0.29563032431700165	0.4990777422336509	0.5434175219217559	0.5086470980490663	0.5458444110099165	0.503866729395625	0.5738036721384709	0.6033346414581848	0.6722019401251602	0.598091795153338	0.5744327646474459	0.5863532213713635	0.533904895115836	0.4508417040308924	0.37603163023849384	0.3390741892753583	0.4426634165497563	0.4967264609421992	0.45125477041415873	0.38873906821001614	0.5073688614273103	0.35759766719170855	0.34216353867638427	0.4384369237259651
S12Hp	0.40303377915015953	0.4081655933501847	0.25843563239732986	0.4389909475681284	0.45889536183753665	0.32173456456543204	0.22727786994918311	0.14101271207437344	0.11494124227320576	0.06897529285463229	0.03965332800822195	0.035465351645115994	0.0	0.17888979112542597	0.1706767897963308	0.23514907467549873	0.25381714026849167	0.2885058822022439	0.320098124582861	0.26737990172420856	0.23637222500314325	0.21033971880305	0.2475563538008262	0.22516676314122286	0.21437261531803203	0.32520544365676773	0.47218404112190343	0.3690050958959613	0.3442991755988501	0.35041159014605827	0.2784426141279815	0.48189003204463077	0.5262298117327358	0.4914593878600461	0.5286567008208964	0.4866790192066049	0.5566159619494508	0.5861469312691646	0.6550142299361401	0.5809040849643179	0.5572450544584256	0.5691655111823433	0.516717184926816	0.4336539938418723	0.35884392004947374	0.32188647908633816	0.42547570636073606	0.47953875075317903	0.4340670602251386	0.3715513580209959	0.4901811512382902	0.34040995700268845	0.32497582848736417	0.421249213536945
S19H1	0.3695357299086365	0.37466754410866165	0.2249375831558068	0.4054928983266054	0.42539731259601365	0.288236515323909	0.19377982070766006	0.10751466283285041	0.13316760009377238	0.11910033877581094	0.2002654776775521	0.19607750131444615	0.17888979112542597	0.0	0.069492487474332	0.1339647723534999	0.15263283794649288	0.18732157988024506	0.2189138222608622	0.1661955994022098	0.13518792268114443	0.10915541648105119	0.14637205147882737	0.1916687138996998	0.18087456607650898	0.2917073944152447	0.4386859918803804	0.3355070466544382	0.31080112635732704	0.3169135409045352	0.24494456488645847	0.4483919828031077	0.4927317624912127	0.45796133861852306	0.4951586515793734	0.45318096996508184	0.5231179127079277	0.5526488820276416	0.621516180694617	0.5474060357227948	0.5237470052169027	0.5356674619408203	0.4832191356852929	0.4001559446003492	0.32534587080795063	0.2883884298448151	0.39197765711921306	0.446040701511656	0.4005690109836155	0.3380533087794729	0.4566831019967672	0.3069119077611654	0.2914777792458411	0.38775116429542195
S26Hp	0.3613227285795413	0.36645454277956646	0.21672458182671167	0.3972798969975102	0.41718431126691846	0.28002351399481384	0.1855668193785649	0.09930166150375523	0.12495459876467721	0.11088733744671578	0.19205247634845693	0.18786449998535099	0.1706767897963308	0.069492487474332	0.0	0.09991935400518522	0.11858741959817819	0.15327616153193038	0.18486840391254752	0.13215018105389512	0.10114250433282974	0.0751099981327365	0.11232663313051268	0.18345571257060464	0.17266156474741381	0.2834943930861495	0.4304729905512852	0.32729404532534306	0.3025881250282319	0.3087005395754401	0.2367315635573633	0.4401789814740126	0.48451876116211756	0.44974833728942787	0.48694565025027825	0.44496796863598664	0.5149049113788327	0.5444358806985464	0.6133031793655219	0.5391930343936997	0.5155340038878075	0.5274544606117251	0.47500613435619776	0.39194294327125406	0.3171328694788555	0.2801754285157199	0.38376465579011787	0.4378277001825608	0.39235600965452033	0.32984030745037773	0.448470100667672	0.2986989064320702	0.2832647779167459	0.37953816296632675
31267	0.4257950134587092	0.43092682765873436	0.28119686670587957	0.4617521818766781	0.48165659614608636	0.34449579887398174	0.2500391042577328	0.16377394638292314	0.18942688364384513	0.1753596223258837	0.25652476122762485	0.2523367848645189	0.23514907467549873	0.1339647723534999	0.09991935400518522	0.0	0.1253723305067919	0.1600610724405441	0.1916533148211612	0.1389350919625088	0.10792741524144345	0.0818949090413502	0.11911154403912638	0.24792799744977254	0.2371338496265817	0.3479666779653174	0.4949452754304531	0.39176633020451096	0.3670604099073998	0.373172824454608	0.3012038484365312	0.5046512663531805	0.5489910460412855	0.5142206221685958	0.5514179351294461	0.5094402535151545	0.5793771962580005	0.6089081655777143	0.6777754642446898	0.6036653192728676	0.5800062887669754	0.591926745490893	0.5394784192353657	0.45641522815042196	0.3816051543580234	0.3446477133948878	0.44823694066928577	0.5022999850617287	0.45682829453368823	0.39431259232954563	0.5129423855468399	0.3631711913112381	0.3477370627959138	0.44401044784549465
S14Hp	0.44446307905170207	0.44959489325172725	0.29986493229887246	0.480420247469671	0.5003246617390793	0.36316386446697463	0.26870716985072574	0.18244201197591609	0.20809494923683808	0.19402768791887665	0.2751928268206178	0.2710048504575118	0.25381714026849167	0.15263283794649288	0.11858741959817819	0.1253723305067919	0.0	0.052376499745149	0.0839687421257661	0.03125051926711371	0.030137933135890062	0.04875670044588299	0.08597333544365918	0.26659606304276545	0.2558019152195747	0.3666347435583103	0.513613341023446	0.41043439579750385	0.3857284755003927	0.39184089004760086	0.3198719140295241	0.5233193319461733	0.5676591116342784	0.5328886877615887	0.5700860007224391	0.5281083191081475	0.5980452618509935	0.6275762311707072	0.6964435298376828	0.6223333848658605	0.5986743543599682	0.6105948110838859	0.5581464848283586	0.47508329374341485	0.4002732199510163	0.36331577898788076	0.4669050062622787	0.5209680506547216	0.4754963601266812	0.4129806579225386	0.5316104511398327	0.381839256904231	0.3664051283889067	0.46267851343848754
S23Hp	0.4791518209854543	0.48428363518547946	0.33455367423262466	0.5151089894034232	0.5350134036728315	0.39785260640072684	0.303395911784478	0.2171307539096683	0.2427836911705903	0.22871642985262886	0.30988156875437	0.30569359239126404	0.2885058822022439	0.18732157988024506	0.15327616153193038	0.1600610724405441	0.052376499745149	0.0	0.10191816807365431	0.049199945215001914	0.06482667506964226	0.0834454423796352	0.12066207737741139	0.3012848049765177	0.2904906571533269	0.40132348549206254	0.5483020829571983	0.4451231377312561	0.4204172174341449	0.4265296319813531	0.3545606559632763	0.5580080738799256	0.6023478535680306	0.5675774296953409	0.6047747426561912	0.5627970610418997	0.6327340037847456	0.6622649731044594	0.7311322717714349	0.6570221267996127	0.6333630962937205	0.6452835530176382	0.5928352267621108	0.5097720356771671	0.43496196188476854	0.39800452092163296	0.5015937481960309	0.5556567925884739	0.5101851020604333	0.44766939985629073	0.566299193073585	0.4165279988379832	0.4010938703226589	0.49736725537223975
S27H1	0.5107440633660715	0.5158758775660965	0.3661459166132418	0.5467012317840403	0.5666056460534485	0.429444848781344	0.3349881541650951	0.24872299629028544	0.27437593355120743	0.260308672233246	0.34147381113498715	0.3372858347718812	0.320098124582861	0.2189138222608622	0.18486840391254752	0.1916533148211612	0.0839687421257661	0.10191816807365431	0.0	0.06288476552007966	0.09641891745025938	0.11503768476025232	0.1522543197580285	0.33287704735713486	0.32208289953394403	0.4329157278726797	0.5798943253378154	0.4767153801118732	0.45200945981476204	0.4581218743619702	0.38615289834389344	0.5896003162605428	0.6339400959486476	0.5991696720759581	0.6363669850368083	0.5943893034225168	0.6643262461653627	0.6938572154850766	0.762724514152052	0.6886143691802298	0.6649553386743376	0.6768757953982553	0.6244274691427278	0.5413642780577842	0.46655420426538563	0.4295967633022501	0.5331859905766481	0.587249034969091	0.5417773444410505	0.4792616422369079	0.5978914354542021	0.44812024121860033	0.43268611270327606	0.5289594977528569
F1H1	0.45802584050741896	0.46315765470744413	0.31342769375458934	0.4939830089253879	0.5138874231947961	0.3767266259226915	0.2822699313064426	0.196004773431633	0.221657710692555	0.20759044937459356	0.28875558827633474	0.28456761191322877	0.26737990172420856	0.1661955994022098	0.13215018105389512	0.1389350919625088	0.03125051926711371	0.049199945215001914	0.06288476552007966	0.0	0.04370069459160698	0.062319461901599905	0.09953609689937609	0.2801588244984824	0.26936467667529157	0.3801975050140272	0.5271761024791629	0.42399715725322074	0.3992912369561096	0.40540365150331775	0.33343467548524097	0.5368820934018903	0.5812218730899952	0.5464514492173056	0.5836487621781559	0.5416710805638644	0.6116080233067103	0.6411389926264242	0.7100062912933995	0.6358961463215773	0.6122371158156852	0.6241575725396028	0.5717092462840754	0.48864605519913173	0.41383598140673317	0.37687854044359764	0.4804677677179956	0.5345308121104385	0.48905912158239806	0.42654341937825546	0.5451732125955496	0.39540201835994787	0.3799678898446236	0.4762412748942044
S7Hp	0.4270181637863537	0.4321499779863789	0.2824200170335241	0.46297533220432263	0.4828797464737309	0.34571894920162627	0.2512622545853773	0.16499709671056767	0.19065003397148966	0.17658277265352823	0.2577479115552694	0.2535599351921634	0.23637222500314325	0.13518792268114443	0.10114250433282974	0.10792741524144345	0.030137933135890062	0.06482667506964226	0.09641891745025938	0.04370069459160698	0.0	0.03131178518053455	0.06852842017831073	0.24915114777741706	0.23835699995422624	0.3491898282929619	0.4961684257580976	0.3929894805321555	0.3682835602350443	0.3743959747822525	0.3024269987641757	0.505874416680825	0.55021419636893	0.5154437724962403	0.5526410854570907	0.5106634038427991	0.5806003465856451	0.6101313159053589	0.6789986145723343	0.6048884696005121	0.5812294390946199	0.5931498958185375	0.5407015695630102	0.4576383784780665	0.3828283046856679	0.34587086372253234	0.4494600909969303	0.5035231353893732	0.45805144486133276	0.39553574265719016	0.5141655358744844	0.3643943416388826	0.34896021312355835	0.4452335981731392
S31Hp	0.4009856575862605	0.40611747178628566	0.25638751083343087	0.4369428260042294	0.45684724027363766	0.31968644300153304	0.2252297483852841	0.1389645905104744	0.1646175277713964	0.15055026645343497	0.23171540535517612	0.22752742899207018	0.21033971880305	0.10915541648105119	0.0751099981327365	0.0818949090413502	0.04875670044588299	0.0834454423796352	0.11503768476025232	0.062319461901599905	0.03131178518053455	0.0	0.03721863499877625	0.22311864157732383	0.212324493754133	0.3231573220928687	0.4701359195580044	0.36695697433206226	0.3422510540349511	0.3483634685821593	0.2763944925640825	0.47984191048073177	0.5241816901688368	0.48941126629614706	0.5266085792569974	0.48463089764270584	0.5545678403855518	0.5840988097052656	0.6529661083722411	0.5788559634004189	0.5551969328945267	0.5671173896184443	0.514669063362917	0.43160587227797326	0.3567957984855747	0.3198383575224391	0.42342758479683706	0.47749062918928	0.4320189386612395	0.36950323645709693	0.4881330296743912	0.3383618354387894	0.3229277069234651	0.41920109197304595
530295	0.4382022925840366	0.44333410678406177	0.293604145831207	0.4741594610020055	0.49406387527141377	0.35690307799930915	0.26244638338306026	0.1761812255082506	0.2018341627691726	0.18776690145121117	0.2689320403529523	0.26474406398984635	0.2475563538008262	0.14637205147882737	0.11232663313051268	0.11911154403912638	0.08597333544365918	0.12066207737741139	0.1522543197580285	0.09953609689937609	0.06852842017831073	0.03721863499877625	0.0	0.26033527657509997	0.24954112875190917	0.36037395709064485	0.5073525545557805	0.40417360932983837	0.3794676890327272	0.3855801035799354	0.3136111275618586	0.5170585454785079	0.5613983251666128	0.5266279012939232	0.5638252142547735	0.521847532640482	0.5917844753833279	0.6213154447030418	0.6901827433700172	0.616072598398195	0.5924135678923028	0.6043340246162204	0.551885698360693	0.46882250727574937	0.3940124334833508	0.3570549925202153	0.46064421979461323	0.5147072641870561	0.4692355736590157	0.4067198714548731	0.5253496646721673	0.3755784704365655	0.36014434192124123	0.45641772697082206
S18H1	0.24195726012635424	0.2470890743263794	0.09735911337352458	0.27791442854432313	0.2978188428137314	0.16065804554162677	0.0840030518770134	0.12230081651802827	0.17944457210956927	0.1653773107916078	0.24654244969334896	0.24235447333024301	0.22516676314122286	0.1916687138996998	0.18345571257060464	0.24792799744977254	0.26659606304276545	0.3012848049765177	0.33287704735713486	0.2801588244984824	0.24915114777741706	0.22311864157732383	0.26033527657509997	0.0	0.05329609629422677	0.16412892463296244	0.31110752209809817	0.207928576872156	0.18322265657504483	0.18933507112225298	0.11736609510417623	0.3208135130208255	0.3651532927089305	0.33038286883624085	0.3675801817970912	0.3256025001827996	0.3955394429256456	0.42507041224535935	0.49393771091233485	0.4198275659405126	0.3961685354346204	0.40808899215853806	0.3556406659030107	0.272577474818067	0.19776740102566842	0.16080996006253287	0.2643991873369308	0.31846223172937377	0.2729905412013333	0.21047483899719066	0.32910463221448494	0.1793334379788831	0.16389930946355885	0.2601726945131397
S9H1	0.2130637050185537	0.21819551921857885	0.06846555826572404	0.2490208734365226	0.2689252877059308	0.1317644904338262	0.07320890405382259	0.11150666869483745	0.16865042428637844	0.15458316296841698	0.23574830187015813	0.2315603255070522	0.21437261531803203	0.18087456607650898	0.17266156474741381	0.2371338496265817	0.2558019152195747	0.2904906571533269	0.32208289953394403	0.26936467667529157	0.23835699995422624	0.212324493754133	0.24954112875190917	0.05329609629422677	0.0	0.1352353695251619	0.2822139669902976	0.17903502176435546	0.1543291014672443	0.16044151601445245	0.0884725399963757	0.29191995791302494	0.3362597376011299	0.3014893137284403	0.3386866266892906	0.29670894507499906	0.366645887817845	0.3961768571375588	0.4650441558045343	0.39093401083271206	0.3672749803268198	0.3791954370507375	0.3267471107952101	0.24368391971026646	0.1688738459178679	0.13191640495473234	0.23550563222913026	0.2895686766215732	0.24409698609353275	0.18158128388939013	0.3002110771066844	0.15043988287108256	0.13500575435575832	0.23127913940533915
31300	0.28614739406023443	0.29127920826025955	0.14154924730740476	0.3221045624782033	0.34200897674761155	0.20484817947550693	0.18404173239255828	0.22233949703357314	0.27948325262511414	0.26541599130715265	0.3465811302088938	0.3423931538457879	0.32520544365676773	0.2917073944152447	0.2834943930861495	0.3479666779653174	0.3666347435583103	0.40132348549206254	0.4329157278726797	0.3801975050140272	0.3491898282929619	0.3231573220928687	0.36037395709064485	0.16412892463296244	0.1352353695251619	0.0	0.25294183441472723	0.14976288918878505	0.20037078490645585	0.20648319945366403	0.13451422343558725	0.3379616413522365	0.3823014210403415	0.34753099716765185	0.38472831012850217	0.3427506285142106	0.4126875712570566	0.44221854057677035	0.5110858392437458	0.4369756942719236	0.4133166637660314	0.42523712048994905	0.3727887942344217	0.28972560314947804	0.21491552935707947	0.1779580883939439	0.28154731566834185	0.33561036006078476	0.29013866953274436	0.2276229673286017	0.3732947661483651	0.22352357191276329	0.20808944339743904	0.3043628284470199
S30H1	0.43312599152537007	0.43825780572539524	0.28852784477254045	0.469083159943339	0.48898757421274724	0.3518267769406426	0.331020329857694	0.36931809449870884	0.42646185009024984	0.4123945887722884	0.49355972767402956	0.4893717513109236	0.47218404112190343	0.4386859918803804	0.4304729905512852	0.4949452754304531	0.513613341023446	0.5483020829571983	0.5798943253378154	0.5271761024791629	0.4961684257580976	0.4701359195580044	0.5073525545557805	0.31110752209809817	0.2822139669902976	0.25294183441472723	0.0	0.1401374634943408	0.3473493823715915	0.35346179691879975	0.281492820900723	0.4849402388173722	0.5292800185054771	0.49450959463278754	0.5317069075936378	0.4897292259793463	0.5596661687221922	0.5891971380419061	0.6580644367088815	0.5839542917370593	0.5602952612311671	0.5722157179550847	0.5197673916995573	0.43670420061461374	0.36189412682221517	0.3249366858590796	0.42852591313347754	0.48258895752592046	0.43711726699788	0.3746015647937374	0.5202733636135007	0.370502169377899	0.3550680408625747	0.45134142591215554
