	S29H1	530119	31379	S4Hp	31300	F23HpA	S11Hp	S26Hp	F22H1A	S23Hp	530167	S31Hp	S22Hp	S6Hp	F14H1A	S17H1	F8H1	F32H1	31021	31328	31236	S28Hp	31749	F29H1	530258	F14H1B	s24pp	s2pp	31009	531414	31700	31750	530050	530364	S30H1	31219	S7Hp	S25Hp	31452	31343	S8Hp	S19H1	S3Hp	F22HpB	F1H1	31360	530394	31723	530055	S12Hp	S10H1	F6H1	530075	S16H2	S15Hp	F3H1
530167	0.4151420741319486	0.38829002800971624	0.40525592236968244	0.4255141778167725	0.4336099432157814	0.43806695308645893	0.3056195274042375	0.14253484487306384	0.15786585693286917	0.21035347522561926	0.0	0.19075695296362793	0.3550074338560083	0.294029117811664	0.28785121037878614	0.34179932946764735	0.3538092690877784	0.3429731328182391	0.48155362319807216	0.49025601290578114	0.572675740434468	0.567920375569219	0.5573609504053486	0.60457881974412	0.6444037833573648	0.5951557743161333	0.9559898969613847	0.9561965965397552	0.4054845696618343	0.3400924290143541	0.24535093747545395	0.26002999275247496	0.2580404084507744	0.2641195346036443	0.2795550332856874	0.31481833107980517	0.3016035691409404	0.26705408333881486	0.40230859563582394	0.44514263697762047	0.5154544837017874	0.5226024518491562	0.45199976147635984	0.456621697417422	0.48460883910534086	0.39037720101912915	0.39406063695433663	0.42884802544006123	0.4055760927733329	0.4345893509402906	0.4306194182537766	0.43586290607670736	0.401206847988283	0.4266412479154926	0.4095817806833985	0.413531420727715
S31Hp	0.3973192143558132	0.3704671682335809	0.3874330625935471	0.40769131804063713	0.41578708343964604	0.4202440933103236	0.28779666762810213	0.17495862000336163	0.19028963206316696	0.27700039104244767	0.19075695296362793	0.0	0.17429312249649673	0.11331480645215246	0.10713689901927455	0.19023139223623842	0.20224133185636944	0.19140519558683017	0.3299856859666632	0.3386880756743722	0.42110780320305913	0.41635243833781005	0.4057930131739397	0.453010882512711	0.49283584612595593	0.4435878370847244	0.8044219597299757	0.8046286593083462	0.2539166324304254	0.18852449178294514	0.22752807769931863	0.2422071329763396	0.2402175486746391	0.24629667482750897	0.26173217350955214	0.2969954713036699	0.28378070936480504	0.24923122356267952	0.3844857358596886	0.4273197772014851	0.497631623925652	0.5047795920730208	0.4341769017002245	0.4387988376412867	0.4667859793292055	0.3725543412429938	0.3762377771782013	0.4110251656639259	0.38775323299719755	0.41676649116415526	0.4127965584776413	0.418040046300572	0.3833839882121476	0.4088183881393573	0.39175892090726316	0.39570856095157964
S22Hp	0.5615696952481938	0.5347176491259614	0.5516835434859276	0.5719417989330176	0.5800375643320264	0.584494574202704	0.4520471485204825	0.339209100895742	0.3545401129555473	0.44125087193482804	0.3550074338560083	0.17429312249649673	0.0	0.20964789368962172	0.2034699862567438	0.3544818731286188	0.3664918127487498	0.35565567647921054	0.4942361668590436	0.5029385565667526	0.5853582840954394	0.5806029192301905	0.57004349406632	0.6172613634050914	0.6570863270183362	0.6078383179771047	0.968672440622356	0.9688791402007265	0.41816711332280576	0.35277497267532554	0.39177855859169897	0.40645761386872	0.40446802956701944	0.4105471557198893	0.4259826544019325	0.4612459521960502	0.4480311902571854	0.4134817044550599	0.548736216752069	0.5915702580938655	0.6618821048180323	0.6690300729654012	0.5984273825926049	0.6030493185336671	0.6310364602215859	0.5368048221353743	0.5404882580705818	0.5752756465563064	0.552003713889578	0.5810169720565357	0.5770470393700218	0.5822905271929525	0.5476344691045281	0.5730688690317378	0.5560094017996436	0.5599590418439602
S6Hp	0.5005913792038493	0.47373933308161703	0.49070522744158324	0.5109634828886733	0.5190592482876821	0.5235162581583598	0.3910688324761383	0.27823078485139774	0.2935617969112031	0.3802725558904838	0.294029117811664	0.11331480645215246	0.20964789368962172	0.0	0.052090533990761245	0.2935035570842745	0.30551349670440553	0.29467736043486625	0.4332578508146993	0.4419602405224083	0.5243799680510952	0.5196246031858461	0.5090651780219758	0.5562830473607471	0.596108010973992	0.5468600019327605	0.9076941245780118	0.9079008241563823	0.3571887972784615	0.29179665663098125	0.33080024254735474	0.3454792978243757	0.3434897135226752	0.3495688396755451	0.3650043383575883	0.40026763615170596	0.3870528742128412	0.35250338841071566	0.48775790070772473	0.5305919420495213	0.6009037887736881	0.608051756921057	0.5374490665482606	0.5420710024893228	0.5700581441772417	0.47582650609102994	0.4795099420262374	0.514297330511962	0.4910253978452337	0.5200386560121915	0.5160687233256774	0.5213122111486082	0.4866561530601837	0.5120905529873935	0.4950310857552993	0.4989807257996158
F14H1A	0.4944134717709715	0.46756142564873915	0.48452732000870535	0.5047855754557954	0.5128813408548043	0.5173383507254818	0.3848909250432604	0.27205287741851986	0.28738388947832516	0.37409464845760587	0.28785121037878614	0.10713689901927455	0.2034699862567438	0.052090533990761245	0.0	0.2873256496513966	0.29933558927152765	0.28849945300198837	0.4270799433818214	0.4357823330895304	0.5182020606182173	0.5134466957529682	0.5028872705890979	0.5501051399278691	0.5899301035411141	0.5406820944998826	0.9015162171451339	0.9017229167235044	0.3510108898455836	0.2856187491981033	0.32462233511447686	0.33930139039149787	0.33731180608979733	0.3433909322426672	0.35882643092471034	0.3940897287188281	0.3808749667799633	0.3463254809778378	0.48157999327484685	0.5244140346166434	0.5947258813408103	0.6018738494881791	0.5312711591153827	0.5358930950564449	0.5638802367443637	0.46964859865815206	0.47333203459335954	0.5081194230790842	0.4848474904123558	0.5138607485793135	0.5098908158927995	0.5151343037157303	0.4804782456273059	0.5059126455545155	0.4888531783224214	0.4928028183667379
S17H1	0.5483615908598328	0.5215095447376005	0.5384754390975667	0.5587336945446566	0.5668294599436654	0.5712864698143431	0.43883904413212155	0.32600099650738107	0.3413320085671864	0.4280427675464671	0.34179932946764735	0.19023139223623842	0.3544818731286188	0.2935035570842745	0.2873256496513966	0.0	0.0579146096526709	0.07544559096365941	0.35486877566179653	0.3635711653695055	0.4459908928981925	0.4412355280329434	0.430676102869073	0.47789397220784435	0.5177189358210893	0.4684709267798577	0.829305049425109	0.8295117490034795	0.2787997221255587	0.21340758147807848	0.378570454203338	0.393249509480359	0.3912599251786585	0.39733905133152836	0.41277455001357155	0.44803784780768924	0.43482308586882445	0.40027360006669893	0.535528112363708	0.5783621537055046	0.6486740004296714	0.6558219685770402	0.5852192782042439	0.5898412141453061	0.6178283558332249	0.5235967177470133	0.5272801536822208	0.5620675421679454	0.5387956095012171	0.5678088676681747	0.5638389349816608	0.5690824228045915	0.5344263647161671	0.5598607646433769	0.5428012974112827	0.5467509374555992
F8H1	0.5603715304799639	0.5335194843577316	0.5504853787176978	0.5707436341647876	0.5788393995637966	0.5832964094344741	0.45084898375225263	0.3380109361275121	0.35334194818731746	0.44005270716659817	0.3538092690877784	0.20224133185636944	0.3664918127487498	0.30551349670440553	0.29933558927152765	0.0579146096526709	0.0	0.08745553058379041	0.36687871528192756	0.37558110498963654	0.45800083251832346	0.4532454676530744	0.442686042489204	0.4899039118279753	0.5297288754412203	0.4804808663999887	0.84131498904524	0.8415216886236105	0.29080966174568973	0.2254175210982095	0.3905803938234691	0.40525944910049005	0.40326986479878957	0.40934899095165944	0.42478448963370263	0.4600477874278203	0.44683302548895554	0.41228353968683	0.5475380519838391	0.5903720933256356	0.6606839400498026	0.6678319081971713	0.597229217824375	0.6018511537654372	0.629838295453356	0.5356066573671444	0.5392900933023519	0.5740774817880765	0.5508055491213482	0.5798188072883059	0.5758488746017919	0.5810923624247226	0.5464363043362982	0.571870704263508	0.5548112370314138	0.5587608770757303
F32H1	0.5495353942104246	0.5226833480881923	0.5396492424481585	0.5599074978952483	0.5680032632942573	0.5724602731649349	0.44001284748271335	0.3271747998579728	0.3425058119177782	0.4292165708970589	0.3429731328182391	0.19140519558683017	0.35565567647921054	0.29467736043486625	0.28849945300198837	0.07544559096365941	0.08745553058379041	0.0	0.3560425790123883	0.36474496872009726	0.4471646962487842	0.4424093313835351	0.43184990621966474	0.47906777555843605	0.518892739171681	0.46964473013044944	0.8304788527757008	0.8306855523540713	0.27997352547615045	0.21458138482867023	0.3797442575539298	0.3944233128309508	0.3924337285292503	0.39851285468212017	0.41394835336416336	0.44921165115828104	0.43599688921941626	0.40144740341729074	0.5367019157142998	0.5795359570560963	0.6498478037802633	0.656995771927632	0.5863930815548357	0.5910150174958979	0.6190021591838167	0.5247705210976051	0.5284539570328126	0.5632413455185372	0.5399694128518089	0.5689826710187667	0.5650127383322526	0.5702562261551833	0.5356001680667589	0.5610345679939687	0.5439751007618745	0.547924740806191
31021	0.6881158845902576	0.6612638384680253	0.6782297328279915	0.6984879882750814	0.7065837536740903	0.7110407635447679	0.5785933378625463	0.4657552902378059	0.4810863022976112	0.5677970612768919	0.48155362319807216	0.3299856859666632	0.4942361668590436	0.4332578508146993	0.4270799433818214	0.35486877566179653	0.36687871528192756	0.3560425790123883	0.0	0.18693075137304213	0.2693504789017291	0.26459511403647995	0.25403568887260963	0.30125355821138095	0.3410785218246259	0.29183051278339434	0.7917397954618843	0.7919464950402548	0.33951934078128976	0.27412720013380953	0.5183247479337628	0.5330038032107838	0.5310142189090833	0.5370933450619532	0.5525288437439964	0.587792141538114	0.5745773795992493	0.5400278937971237	0.6752824060941328	0.7181164474359294	0.7884282941600962	0.795576262307465	0.7249735719346687	0.7295955078757309	0.7575826495636497	0.6633510114774381	0.6670344474126456	0.7018218358983702	0.6785499032316419	0.7075631613985995	0.7035932287120856	0.7088367165350163	0.6741806584465919	0.6996150583738017	0.6825555911417075	0.686505231186024
31328	0.6968182742979666	0.6699662281757343	0.6869321225357005	0.7071903779827904	0.7152861433817993	0.7197431532524768	0.5872957275702553	0.47445767994551485	0.48978869200532016	0.5764994509846009	0.49025601290578114	0.3386880756743722	0.5029385565667526	0.4419602405224083	0.4357823330895304	0.3635711653695055	0.37558110498963654	0.36474496872009726	0.18693075137304213	0.0	0.130809579423073	0.12605421455782392	0.11549478939395356	0.1627126587327249	0.20253762234596984	0.15328961330473825	0.8004421851695933	0.8006488847479638	0.34822173048899874	0.2828295898415185	0.5270271376414718	0.5417061929184928	0.5397166086167923	0.5457957347696621	0.5612312334517053	0.596494531245823	0.5832797693069582	0.5487302835048327	0.6839847958018418	0.7268188371436384	0.7971306838678052	0.804278652015174	0.7336759616423777	0.7382978975834399	0.7662850392713587	0.6720534011851471	0.6757368371203546	0.7105242256060792	0.6872522929393509	0.7162655511063085	0.7122956184197946	0.7175391062427253	0.6828830481543009	0.7083174480815106	0.6912579808494165	0.695207620893733
31236	0.7792380018266536	0.7523859557044212	0.7693518500643874	0.7896101055114774	0.7977058709104863	0.8021628807811638	0.6697154550989423	0.5568774074742018	0.5722084195340071	0.6589191785132879	0.572675740434468	0.42110780320305913	0.5853582840954394	0.5243799680510952	0.5182020606182173	0.4459908928981925	0.45800083251832346	0.4471646962487842	0.2693504789017291	0.130809579423073	0.0	0.1728625358618729	0.16230311069800255	0.20952098003677389	0.24934594365001883	0.20009793460878725	0.8828619126982802	0.8830686122766507	0.43064145801768566	0.36524931737020544	0.6094468651701588	0.6241259204471797	0.6221363361454793	0.6282154622983491	0.6436509609803923	0.6789142587745101	0.6656994968356452	0.6311500110335196	0.7664045233305288	0.8092385646723252	0.8795504113964923	0.886698379543861	0.8160956891710647	0.8207176251121269	0.8487047668000457	0.7544731287138341	0.7581565646490416	0.7929439531347662	0.7696720204680378	0.7986852786349956	0.7947153459484816	0.7999588337714123	0.7653027756829879	0.7907371756101976	0.7736777083781035	0.77762734842242
S28Hp	0.7744826369614045	0.7476305908391722	0.7645964851991384	0.7848547406462283	0.7929505060452372	0.7974075159159147	0.6649600902336932	0.5521220426089527	0.5674530546687581	0.6541638136480388	0.567920375569219	0.41635243833781005	0.5806029192301905	0.5196246031858461	0.5134466957529682	0.4412355280329434	0.4532454676530744	0.4424093313835351	0.26459511403647995	0.12605421455782392	0.1728625358618729	0.0	0.04800381813728083	0.15431913007773207	0.19414409369097702	0.14489608464974546	0.8781065478330311	0.8783132474114016	0.4258860931524366	0.36049395250495636	0.6046915003049097	0.6193705555819307	0.6173809712802302	0.6234600974331	0.6388955961151432	0.6741588939092609	0.6609441319703961	0.6263946461682706	0.7616491584652797	0.8044831998070763	0.8747950465312431	0.8819430146786119	0.8113403243058156	0.8159622602468778	0.8439494019347966	0.749717763848585	0.7534011997837925	0.7881885882695171	0.7649166556027888	0.7939299137697464	0.7899599810832325	0.7952034689061632	0.7605474108177388	0.7859818107449486	0.7689223435128544	0.7728719835571709
31749	0.7639232117975341	0.7370711656753017	0.7540370600352679	0.7742953154823579	0.7823910808813668	0.7868480907520443	0.6544006650698228	0.5415626174450823	0.5568936295048876	0.6436043884841683	0.5573609504053486	0.4057930131739397	0.57004349406632	0.5090651780219758	0.5028872705890979	0.430676102869073	0.442686042489204	0.43184990621966474	0.25403568887260963	0.11549478939395356	0.16230311069800255	0.04800381813728083	0.0	0.1437597049138617	0.18358466852710667	0.1343366594858751	0.8675471226691607	0.8677538222475312	0.4153266679885662	0.349934527341086	0.5941320751410393	0.6088111304180603	0.6068215461163597	0.6129006722692296	0.6283361709512728	0.6635994687453906	0.6503847068065257	0.6158352210044001	0.7510897333014093	0.7939237746432057	0.8642356213673728	0.8713835895147415	0.8007808991419452	0.8054028350830074	0.8333899767709262	0.7391583386847146	0.7428417746199221	0.7776291631056467	0.7543572304389183	0.7833704886058761	0.7794005559193621	0.7846440437422928	0.7499879856538684	0.7754223855810781	0.758362918348984	0.7623125583933005
F29H1	0.8111410811363055	0.7842890350140731	0.8012549293740393	0.8215131848211292	0.8296089502201381	0.8340659600908157	0.7016185344085941	0.5887804867838536	0.604111498843659	0.6908222578229397	0.60457881974412	0.453010882512711	0.6172613634050914	0.5562830473607471	0.5501051399278691	0.47789397220784435	0.4899039118279753	0.47906777555843605	0.30125355821138095	0.1627126587327249	0.20952098003677389	0.15431913007773207	0.1437597049138617	0.0	0.17175189076847835	0.12250388172724676	0.914764992007932	0.9149716915863025	0.4625445373273375	0.3971523966798573	0.6413499444798106	0.6560289997568316	0.6540394154551311	0.660118541608001	0.6755540402900442	0.7108173380841618	0.6976025761452971	0.6630530903431715	0.7983076026401806	0.8411416439819772	0.911453490706144	0.9186014588535129	0.8479987684807165	0.8526207044217787	0.8806078461096976	0.786376208023486	0.7900596439586934	0.824847032444418	0.8015750997776897	0.8305883579446474	0.8266184252581334	0.8318619130810642	0.7972058549926397	0.8226402549198495	0.8055807876877553	0.8095304277320718
530258	0.8509660447495504	0.824113998627318	0.8410798929872842	0.8613381484343742	0.8694339138333831	0.8738909237040606	0.7414434980218391	0.6286054503970986	0.643936462456904	0.7306472214361847	0.6444037833573648	0.49283584612595593	0.6570863270183362	0.596108010973992	0.5899301035411141	0.5177189358210893	0.5297288754412203	0.518892739171681	0.3410785218246259	0.20253762234596984	0.24934594365001883	0.19414409369097702	0.18358466852710667	0.17175189076847835	0.0	0.14194352491611795	0.954589955621177	0.9547966551995475	0.5023695009405824	0.43697736029310225	0.6811749080930556	0.6958539633700765	0.6938643790683761	0.6999435052212459	0.7153790039032891	0.7506423016974069	0.737427539758542	0.7028780539564164	0.8381325662534256	0.880966607595222	0.9512784543193891	0.9584264224667578	0.8878237320939615	0.8924456680350237	0.9204328097229425	0.8262011716367309	0.8298846075719384	0.864671996057663	0.8414000633909346	0.8704133215578924	0.8664433888713784	0.8716868766943091	0.8370308186058847	0.8624652185330944	0.8454057513010003	0.8493553913453168
F14H1B	0.8017180357083189	0.7748659895860865	0.7918318839460528	0.8120901393931427	0.8201859047921516	0.8246429146628291	0.6921954889806076	0.579357441355867	0.5946884534156723	0.681399212394953	0.5951557743161333	0.4435878370847244	0.6078383179771047	0.5468600019327605	0.5406820944998826	0.4684709267798577	0.4804808663999887	0.46964473013044944	0.29183051278339434	0.15328961330473825	0.20009793460878725	0.14489608464974546	0.1343366594858751	0.12250388172724676	0.14194352491611795	0.0	0.9053419465799455	0.905548646158316	0.4531214918993509	0.3877293512518707	0.6319268990518241	0.646605954328845	0.6446163700271446	0.6506954961800144	0.6661309948620576	0.7013942926561754	0.6881795307173105	0.653630044915185	0.7888845572121941	0.8317185985539906	0.9020304452781576	0.9091784134255263	0.83857572305273	0.8431976589937922	0.871184800681711	0.7769531625954994	0.7806365985307069	0.8154239870164315	0.7921520543497031	0.8211653125166609	0.8171953798301469	0.8224388676530776	0.7877828095646532	0.8132172094918629	0.7961577422597688	0.8001073823040853
