	f9pp	f22ppA	f26pp	f6ppA	w8pp	31160	w9pp	S9H1	S1Hp	w16pp	f2pp	f16ppB	w31pp	f18pp	w3pp	S20H1	w21pp	f15pp	w27pp	S18H1	w13pp	f28pp	w10pp	w11pp	w1pp	f1pp
f2pp	0.18837952055345414	0.23676822738064351	0.21423562505584848	0.2283722741747446	0.25896516302376366	0.3819814388833349	0.2779907436403023	0.42032139777606425	0.3288608177539602	0.14736393336794731	0.0	0.13206890074387345	0.22040325395629154	0.19487345706643924	0.19702760207941808	0.4375796808653176	0.2640215481552493	0.20842435936885453	0.22815853726022672	0.424691947079768	0.23893742089050515	0.2455925231677236	0.21529022182289836	0.25541475312993234	0.23086020732530876	0.20363224459559043
f16ppB	0.18114602159629603	0.22953472842348543	0.20700212609869037	0.2211387752175865	0.2517316640666055	0.37474793992617683	0.27075724468314416	0.4130878988189062	0.32162731879680206	0.1401304344107892	0.13206890074387345	0.0	0.21316975499913343	0.18763995810928114	0.18979410312225997	0.4303461819081595	0.2567880491980912	0.20119086041169643	0.2209250383030686	0.4174584481226099	0.23170392193334705	0.23835902421056548	0.20805672286574023	0.24818125417277426	0.22362670836815066	0.19639874563843232
w31pp	0.1660250303936803	0.2144137372208697	0.1983620871647836	0.2124987362836797	0.2430916251326988	0.36610790099227003	0.2621172057492374	0.40444785988499937	0.37009073371476897	0.18859384932875609	0.22040325395629154	0.21316975499913343	0.0	0.11569000060026832	0.15595398870073135	0.39650606748663086	0.22294793477656258	0.1673507459901678	0.18708492388154002	0.3836183337010813	0.19786380751181842	0.20451890978903686	0.17421660844421166	0.23306026297015853	0.20850571716553493	0.1812777544358166
f18pp	0.140495233503828	0.1888839403310174	0.1728322902749313	0.18696893939382742	0.2175618282428465	0.34057810410241773	0.23658740885938512	0.3789180629951471	0.3445609368249167	0.1630640524389038	0.19487345706643924	0.18763995810928114	0.11569000060026832	0.0	0.13042419181087905	0.37097627059677857	0.1974181378867103	0.14182094910031554	0.16155512699168773	0.358088536811229	0.17233401062196615	0.1789891128991846	0.14868681155435937	0.20753046608030623	0.18297592027568263	0.1557479575459643
w3pp	0.14264937851680684	0.19103808534399624	0.17498643528791014	0.18912308440680625	0.21971597325582534	0.34273224911539657	0.23874155387236395	0.3810722080081259	0.3467150818378955	0.16521819745188263	0.19702760207941808	0.18979410312225997	0.15595398870073135	0.13042419181087905	0.0	0.3593886291002459	0.1858304963901776	0.13023330760378285	0.14996748549515504	0.3465008953146963	0.16074636912543347	0.1674014714026519	0.13709917005782668	0.20968461109328507	0.18513006528866147	0.15790210255894313
S20H1	0.3832014573027064	0.43159016412989576	0.41553851407380965	0.42967516319270577	0.46026805204172483	0.583284327901296	0.47929363265826347	0.6216242867940254	0.587267160623795	0.40577027623778217	0.4375796808653176	0.4303461819081595	0.39650606748663086	0.37097627059677857	0.3593886291002459	0.0	0.29531944762514983	0.32609753070381564	0.3580902034778197	0.554623613297361	0.3688690871080981	0.37552418938531656	0.3452218880404913	0.4502366898791846	0.425682144074561	0.3984541813448427
w21pp	0.20964332459263807	0.25803203141982745	0.2419803813637414	0.2561170304826375	0.28670991933165657	0.40972619519122777	0.30573549994819516	0.4480661540839571	0.41370902791372677	0.23221214352771385	0.2640215481552493	0.2567880491980912	0.22294793477656258	0.1974181378867103	0.1858304963901776	0.29531944762514983	0.0	0.15253939799374736	0.18453207076775144	0.38106548058729267	0.19531095439802987	0.2019660566752483	0.17166375533042308	0.27667855716911627	0.2521240113644927	0.22489604863477436
f15pp	0.1540461358062433	0.2024348426334327	0.1863831925773466	0.2005198416962427	0.2311127305452618	0.354129006404833	0.2501383111618004	0.39246896529756237	0.35811183912733197	0.17661495474131908	0.20842435936885453	0.20119086041169643	0.1673507459901678	0.14182094910031554	0.13023330760378285	0.32609753070381564	0.15253939799374736	0.0	0.12893488198135666	0.3254682918008979	0.13971376561163512	0.14636886788885356	0.1160665665440283	0.22108136838272152	0.19652682257809792	0.16929885984837958
w27pp	0.17378031369761548	0.22216902052480486	0.2061173704687188	0.22025401958761492	0.250846908436634	0.37386318429620524	0.2698724890531726	0.4122031431889346	0.37784601701870413	0.19634913263269127	0.22815853726022672	0.2209250383030686	0.18708492388154002	0.16155512699168773	0.14996748549515504	0.3580902034778197	0.18453207076775144	0.12893488198135666	0.0	0.23920096302470323	0.11482907260631098	0.14954432493571881	0.11924202359089357	0.24081554627409368	0.2162610004694701	0.18903303773975177
S18H1	0.3703137235171568	0.4187024303443462	0.40265078028826007	0.4167874294071562	0.4473803182561753	0.5703965941157465	0.4664058988727139	0.6087365530084758	0.5743794268382454	0.39288254245223253	0.424691947079768	0.4174584481226099	0.3836183337010813	0.358088536811229	0.3465008953146963	0.554623613297361	0.38106548058729267	0.3254682918008979	0.23920096302470323	0.0	0.31136248242585224	0.34607773475526005	0.3157754334104348	0.437348956093635	0.4127944102890114	0.3855664475592931
w13pp	0.18455919732789391	0.23294790415508332	0.2168962540989972	0.23103290321789333	0.2616257920669124	0.38464206792648364	0.28065137268345103	0.422982026819213	0.3886249006489826	0.2071280162629697	0.23893742089050515	0.23170392193334705	0.19786380751181842	0.17233401062196615	0.16074636912543347	0.3688690871080981	0.19531095439802987	0.13971376561163512	0.11482907260631098	0.31136248242585224	0.0	0.16032320856599724	0.130020907221172	0.25159442990437214	0.22703988409974854	0.1998119213700302
f28pp	0.19121429960511235	0.23960300643230176	0.22355135637621565	0.23768800549511176	0.2682808943441308	0.3912971702037021	0.28730647496066947	0.4296371290964314	0.395280002926201	0.21378311854018814	0.2455925231677236	0.23835902421056548	0.20451890978903686	0.1789891128991846	0.1674014714026519	0.37552418938531656	0.2019660566752483	0.14636886788885356	0.14954432493571881	0.34607773475526005	0.16032320856599724	0.0	0.0789848585759044	0.2582495321815906	0.23369498637696698	0.20646702364724864
w10pp	0.16091199826028713	0.2093007050874765	0.19324905503139045	0.20738570415028657	0.23797859299930563	0.3609948688588769	0.25700417361584427	0.3993348277516062	0.36497770158137577	0.1834808171953629	0.21529022182289836	0.20805672286574023	0.17421660844421166	0.14868681155435937	0.13709917005782668	0.3452218880404913	0.17166375533042308	0.1160665665440283	0.11924202359089357	0.3157754334104348	0.130020907221172	0.0789848585759044	0.0	0.22794723083676532	0.20339268503214175	0.17616472230242342
w11pp	0.14201953082965663	0.21797011276065673	0.23337358633842442	0.24751023545732054	0.2781031243063396	0.40111940016591086	0.29712870492287824	0.4394593590586402	0.4051022328884098	0.22360534850239688	0.25541475312993234	0.24818125417277426	0.23306026297015853	0.20753046608030623	0.20968461109328507	0.4502366898791846	0.27667855716911627	0.22108136838272152	0.24081554627409368	0.437348956093635	0.25159442990437214	0.2582495321815906	0.22794723083676532	0.0	0.18450021760151125	0.15727225487179292
w1pp	0.1129363109771005	0.19341556695603312	0.20881904053380085	0.22295568965269696	0.253548578501716	0.3765648543612873	0.27257415911825467	0.4149048132540166	0.3805476870837862	0.1990508026977733	0.23086020732530876	0.22362670836815066	0.20850571716553493	0.18297592027568263	0.18513006528866147	0.425682144074561	0.2521240113644927	0.19652682257809792	0.2162610004694701	0.4127944102890114	0.22703988409974854	0.23369498637696698	0.20339268503214175	0.18450021760151125	0.0	0.07564717022869566
f1pp	0.08570834824738215	0.1661876042263148	0.1815910778040825	0.19572772692297863	0.2263206157719977	0.34933689163156895	0.2453461963885363	0.3876768505242983	0.3533197243540679	0.17182283996805497	0.20363224459559043	0.19639874563843232	0.1812777544358166	0.1557479575459643	0.15790210255894313	0.3984541813448427	0.22489604863477436	0.16929885984837958	0.18903303773975177	0.3855664475592931	0.1998119213700302	0.20646702364724864	0.17616472230242342	0.15727225487179292	0.07564717022869566	0.0
