	f12ppB	f4pp	f6ppB	f29pp	f9pp	f2pp	S6Hp	w6pp	S1Hp	S15Hp	f18pp	f1pp	f23ppA	f8pp	f12ppA	f15pp	f21pp	w3pp	w16pp	F14H1B	f16ppB	f16ppA	f32pp	w9pp	f22ppA	f31pp	S18H1	S13Hp	f30pp	f20ppB	f22ppB	f17ppA	f13pp	f6ppA	F7H1
f16ppB	0.32975039813203383	0.3521991566547913	0.4251345969638371	0.4216646961316012	0.3342387977616674	0.44835428996257165	0.4801936548042275	0.41852351787184217	0.47599556553198336	0.5073258437884807	0.3389495250960476	0.3068696734714323	0.3862611367106433	0.3108547601154329	0.2744306628614981	0.34548189344370955	0.23578545506904885	0.23984801387796237	0.2567237179141558	0.2414973997109012	0.0	0.20755046422110363	0.22093378329812735	0.28350421982897517	0.330408838047561	0.27031675219089696	0.35396587091767845	0.32482032783166803	0.38403333768998477	0.4195047966759539	0.39445675734853697	0.3423341719234907	0.3438369862211591	0.3438647640168555	0.3923819764267914
f16ppA	0.2890001429681237	0.3114489014908812	0.384384341799927	0.38091444096769106	0.29348854259775736	0.4076040347986616	0.4394433996403174	0.3777732627079321	0.43524531036807323	0.4665755886245705	0.2981992699321375	0.2661194183075222	0.34551088154673326	0.27010450495152283	0.23368040769758802	0.30473163827979943	0.19503519990513876	0.19909775871405228	0.24958475953678452	0.3085188694532087	0.20755046422110363	0.0	0.15717865603804476	0.24275396466506505	0.2896585828836509	0.2295664970269869	0.31321561575376833	0.28407007266775797	0.34328308252607465	0.3787545415120438	0.35370650218462685	0.30158391675958063	0.30308673105724904	0.30311450885294544	0.35163172126288134
f32pp	0.30238346204514743	0.32483222056790495	0.3977676608769507	0.3942977600447148	0.3068718616747811	0.4209873538756853	0.45282671871734115	0.3911565817849558	0.44862862944509696	0.4799589077015942	0.31158258900916125	0.27950273738454595	0.358894200623757	0.28348782402854655	0.24706372677461175	0.31811495735682316	0.20841851898216252	0.212481077791076	0.2629680786138083	0.3219021885302325	0.22093378329812735	0.15717865603804476	0.0	0.2561372837420888	0.3030419019606746	0.24294981610401062	0.32659893483079205	0.2974533917447817	0.35666640160309837	0.3921378605890675	0.3670898212616506	0.31496723583660435	0.31647005013427276	0.31649782792996917	0.36501504033990506
w9pp	0.3301296599920154	0.35257841851477284	0.42551385882381865	0.4220439579915827	0.334618059621649	0.4487335518225532	0.48057291666420904	0.4189027797318237	0.4763748273919649	0.5077051056484622	0.33932878695602914	0.30724893533141384	0.3866403985706249	0.31123402197541444	0.27480992472147964	0.3458611553036911	0.2361647169290304	0.24022727573794392	0.32553851514465604	0.38447262506108026	0.28350421982897517	0.24275396466506505	0.2561372837420888	0.0	0.33078809990754254	0.2706960140508785	0.35434513277766	0.3251995896916496	0.3844125995499663	0.41988405853593547	0.3948360192085185	0.3427134337834723	0.3442162480811407	0.344244025876837	0.39276123828677295
f22ppA	0.31770217381288834	0.3401509323356458	0.4130863726446916	0.40961647181245564	0.32219057344252194	0.43630606564342617	0.468145430485082	0.4064752935526967	0.46394734121283787	0.49527761946933513	0.3269013007769021	0.2948214491522868	0.37421291239149784	0.2988065357962874	0.2623824385423526	0.33343366912456407	0.2531393754504291	0.25720193425934257	0.37244313336324186	0.4313772432796661	0.330408838047561	0.2896585828836509	0.3030419019606746	0.33078809990754254	0.0	0.09794215163739549	0.2731953153693391	0.2440497722833287	0.3032627821416454	0.3387342411276146	0.31368620180019763	0.33028594760434526	0.3317887619020137	0.33181653969771	0.380333752107646
f31pp	0.2576100879562243	0.2800588464789818	0.3529942867880276	0.34952438595579166	0.26209848758585796	0.3762139797867622	0.408053344628418	0.3463832076960327	0.40385525535617384	0.4351855336126711	0.2668092149202381	0.23472936329562283	0.31412082653483386	0.23871444993962343	0.20229035268568862	0.27334158326790003	0.19304728959376508	0.1971098484026786	0.3123510475065779	0.37128515742300205	0.27031675219089696	0.2295664970269869	0.24294981610401062	0.2706960140508785	0.09794215163739549	0.0	0.21310322951267507	0.18395768642666468	0.2431706962849814	0.27864215527095054	0.2535941159435336	0.27019386174768123	0.27169667604534964	0.27172445384104604	0.32024166625098194
S18H1	0.3412592066830058	0.36370796520576326	0.43664340551480907	0.4331735046825731	0.3457476063126394	0.4598630985135436	0.49170246335519946	0.43003232642281414	0.4875043740829553	0.5188346523394526	0.35045833364701956	0.31837848202240426	0.3977699452616153	0.32236356866640486	0.28593947141247006	0.3569907019946815	0.27669640832054654	0.28075896712946	0.3960001662333593	0.45493427614978355	0.35396587091767845	0.31321561575376833	0.32659893483079205	0.35434513277766	0.2731953153693391	0.21310322951267507	0.0	0.10877381443423223	0.28389163381843574	0.3193630928044049	0.29431505347698794	0.3538429804744627	0.35534579477213113	0.3553735725678274	0.4038907849777634
S13Hp	0.3121136635969954	0.33456242211975284	0.40749786242879865	0.40402796159656273	0.316602063226629	0.4307175554275332	0.46255692026918904	0.4008867833368037	0.4583588309969449	0.48968910925344217	0.32131279056100914	0.28923293893639385	0.3686244021756049	0.29321802558039445	0.25679392832645964	0.3278451589086711	0.24755086523453612	0.25161342404344966	0.36685462314734896	0.42578873306377313	0.32482032783166803	0.28407007266775797	0.2974533917447817	0.3251995896916496	0.2440497722833287	0.18395768642666468	0.10877381443423223	0.0	0.2547460907324253	0.2902175497183945	0.2651695103909775	0.32469743738845225	0.32620025168612066	0.32622802948181706	0.37474524189175296
f30pp	0.3713266734553121	0.3937754319780696	0.4667108722871154	0.4632409714548794	0.3758150730849457	0.48993056528584994	0.5217699301275058	0.46009979319512045	0.5175718408552616	0.5489021191117589	0.3805258004193259	0.3484459487947106	0.4278374120339216	0.3524310354387112	0.3160069381847764	0.38705816876698784	0.30676387509285286	0.31082643390176634	0.42606763300566564	0.48500174292208986	0.38403333768998477	0.34328308252607465	0.35666640160309837	0.3844125995499663	0.3032627821416454	0.2431706962849814	0.28389163381843574	0.2547460907324253	0.0	0.3085013768315885	0.28345333750417157	0.38391044724676904	0.38541326154443745	0.38544103934013374	0.4339582517500697
f20ppB	0.4067981324412813	0.4292468909640388	0.5021823312730846	0.4987124304408487	0.4112865320709149	0.5254020242718191	0.557241389113475	0.49557125218108966	0.5530432998412309	0.5843735780977282	0.4159972594052951	0.3839174077806798	0.4633088710198908	0.3879024944246804	0.3514783971707456	0.422529627752957	0.342235334078822	0.3462978928877355	0.4615390919916348	0.520473201908059	0.4195047966759539	0.3787545415120438	0.3921378605890675	0.41988405853593547	0.3387342411276146	0.27864215527095054	0.3193630928044049	0.2902175497183945	0.3085013768315885	0.0	0.15972983166173246	0.4193819062327382	0.4208847205304066	0.420912498326103	0.4694297107360389
f22ppB	0.3817500931138643	0.4041988516366218	0.4771342919456676	0.4736643911134316	0.3862384927434979	0.5003539849444021	0.532193349786058	0.47052321285367266	0.5279952605138138	0.5593255387703111	0.3909492200778781	0.3588693684532628	0.4382608316924738	0.3628544550972634	0.3264303578433286	0.39748158842554004	0.31718729475140506	0.32124985356031854	0.43649105266421784	0.49542516258064206	0.39445675734853697	0.35370650218462685	0.3670898212616506	0.3948360192085185	0.31368620180019763	0.2535941159435336	0.29431505347698794	0.2651695103909775	0.28345333750417157	0.15972983166173246	0.0	0.39433386690532124	0.39583668120298965	0.39586445899868594	0.4443816714086219
f17ppA	0.2756193633905827	0.2980681219133401	0.37100356222238595	0.36753366139015	0.2801077630202162	0.39422325522112045	0.4260626200627763	0.36439248313039097	0.4218645307905322	0.45319480904702947	0.2848184903545964	0.25273863872998115	0.3321301019691921	0.25672372537398175	0.23486962430305003	0.30592085488526144	0.26506470932635884	0.2691272681352723	0.3843684672391716	0.44330257715559584	0.3423341719234907	0.30158391675958063	0.31496723583660435	0.3427134337834723	0.33028594760434526	0.27019386174768123	0.3538429804744627	0.32469743738845225	0.38391044724676904	0.4193819062327382	0.39433386690532124	0.0	0.1691907703560247	0.25164389273341303	0.300161105143349
f13pp	0.2771221776882511	0.2995709362110085	0.37250637652005436	0.3690364756878184	0.28161057731788464	0.39572606951878886	0.4275654343604447	0.3658952974280594	0.4233673450882006	0.4546976233446979	0.2863213046522648	0.25424145302764956	0.33363291626686054	0.25822653967165016	0.23637243860071844	0.30742366918292985	0.26656752362402725	0.27063008243294073	0.38587128153684	0.44480539145326425	0.3438369862211591	0.30308673105724904	0.31647005013427276	0.3442162480811407	0.3317887619020137	0.27169667604534964	0.35534579477213113	0.32620025168612066	0.38541326154443745	0.4208847205304066	0.39583668120298965	0.1691907703560247	0.0	0.25314670703108144	0.3016639194410174
f6ppA	0.27714995548394744	0.2995987140067049	0.37253415431575065	0.3690642534835148	0.28163835511358104	0.39575384731448526	0.4275932121561411	0.3659230752237558	0.4233951228838969	0.45472540114039417	0.2863490824479612	0.25426923082334596	0.33366069406255694	0.2582543174673465	0.23640021639641481	0.30745144697862625	0.26659530141972365	0.27065786022863714	0.38589905933253643	0.44483316924896066	0.3438647640168555	0.30311450885294544	0.31649782792996917	0.344244025876837	0.33181653969771	0.27172445384104604	0.3553735725678274	0.32622802948181706	0.38544103934013374	0.420912498326103	0.39586445899868594	0.25164389273341303	0.25314670703108144	0.0	0.23581931803602282
F7H1	0.3256671678938834	0.3481159264166408	0.4210513667256866	0.4175814658934507	0.33015556752351694	0.44427105972442116	0.476110424566077	0.4144402876336917	0.47191233529383286	0.5032426135503301	0.3348662948578971	0.30278644323328185	0.38217790647249283	0.30677152987728246	0.28491742880635074	0.35596865938856215	0.31511251382965955	0.31917507263857303	0.4344162717424723	0.49335038165889655	0.3923819764267914	0.35163172126288134	0.36501504033990506	0.39276123828677295	0.380333752107646	0.32024166625098194	0.4038907849777634	0.37474524189175296	0.4339582517500697	0.4694297107360389	0.4443816714086219	0.300161105143349	0.3016639194410174	0.23581931803602282	0.0
