	f22ppA	w21pp	w28pp	f14ppA	w15pp	f6ppB	f1pp	f16ppB	w9pp	f32pp	w16pp	f17ppA	f20ppB	f16ppA	f28pp	f3pp	f26pp	f19pp	f18pp	f15pp	f31pp	f30pp	f7pp	f25pp	f8pp	f4pp	f6ppA	s15pp	S1Hp	w17pp	f11pp	f21pp	f12ppB	f14ppB	s2pp	s1pp	s3pp	w3pp	w4pp	f29pp	f12ppA	f13pp	f9pp	w18pp	w12pp	w6pp
f31pp	0.7669777967939095	0.740244814132174	0.7502962108970952	0.7703675405346699	0.7796060657609863	0.6519159038907985	0.6479064196891798	0.5593449314086746	0.6766498956785797	0.6335405866125675	0.5760156774519936	0.4875127841903732	0.5354090510651643	0.40143396465664094	0.44845528448540295	0.3705735868289456	0.2559424614246909	0.26622079590861214	0.14629250131859042	0.2490737700814962	0.0	0.28097463843681486	0.10422952303718769	0.12557307397752054	0.08463915009565642	0.10330029700616991	0.12219795794310512	0.27593696040323706	0.2805660657389781	0.19775939001435666	0.19794812120570654	0.24383621867715205	0.33489317765776255	0.7113358982522635	0.942545584477475	0.8502350469682152	0.851616252825901	0.7689971353163374	0.6985272369833279	0.7508679975027555	0.6882559060010967	0.6669154547147486	0.7013932247436588	0.7205303781166114	0.7757782637842914	0.744650585622302
f30pp	0.9507787689611779	0.9240457862994423	0.9340971830643636	0.9541685127019383	0.9634070379282547	0.8357168760580668	0.8317073918564482	0.7431459035759429	0.8604508678458481	0.8173415587798359	0.7598166496192621	0.6713137563576417	0.7192100232324329	0.5852349368239095	0.6322562566526716	0.5543745589962141	0.43974343359195955	0.45002176807588073	0.33009347348585905	0.43287474224876477	0.28097463843681486	0.0	0.2436186589642395	0.2944911995791034	0.25355727569723924	0.2871012691734385	0.3059989301103737	0.45973793257050566	0.46436703790624667	0.38156036218162526	0.38174909337297513	0.42763719084442064	0.5186941498250311	0.8951368704195317	1.1263465566447435	1.0340360191354834	1.0354172249931692	0.9527981074836056	0.8823282091505962	0.9346689696700237	0.8720568781683649	0.8507164268820169	0.8851941969109272	0.9043313502838797	0.9595792359515597	0.9284515577895703
f7pp	0.7740336535615508	0.7473006708998153	0.7573520676647365	0.7774233973023112	0.7866619225286277	0.6589717606584398	0.6549622764568211	0.5664007881763159	0.6837057524462211	0.6405964433802089	0.5830715342196351	0.4945686409580146	0.5424649078328058	0.40848982142428236	0.45551114125304437	0.377629443596587	0.2629983181923323	0.27327665267625356	0.15334835808623182	0.2561296268491376	0.10422952303718769	0.2436186589642395	0.0	0.11774608417947623	0.07681216029761209	0.1103561537738113	0.1292538147107465	0.2829928171708785	0.28762192250661944	0.20481524678199806	0.20500397797334793	0.25089207544479347	0.341949034425404	0.7183917550199048	0.9496014412451164	0.8572909037358565	0.8586721095935423	0.7760529920839787	0.7055830937509692	0.7579238542703968	0.695311762768738	0.6739713114823899	0.7084490815113001	0.7275862348842527	0.7828341205519327	0.7517064423899433
f25pp	0.7953772045018837	0.7686442218401481	0.7786956186050693	0.798766948242644	0.8080054734689605	0.6803153115987726	0.676305827397154	0.5877443391166487	0.7050493033865539	0.6619399943205417	0.6044150851599679	0.5159121918983474	0.5638084587731386	0.4298333723646153	0.4768546921933773	0.3989729945369198	0.28434186913266524	0.2946202036165864	0.1746919090265647	0.27747317778947045	0.12557307397752054	0.2944911995791034	0.11774608417947623	0.0	0.07748761198509935	0.13169970471414416	0.1505973656510794	0.30433636811121134	0.30896547344695235	0.22615879772233094	0.22634752891368082	0.27223562638512633	0.36329258536573683	0.7397353059602376	0.9709449921854492	0.8786344546761893	0.8800156605338751	0.7973965430243115	0.726926644691302	0.7792674052107296	0.7166553137090708	0.6953148624227227	0.729792632451633	0.7489297858245855	0.8041776714922655	0.7730499933302761
f8pp	0.7544432806200196	0.7277102979582841	0.7377616947232053	0.75783302436078	0.7670715495870964	0.6393813877169086	0.6353719035152899	0.5468104152347847	0.6641153795046898	0.6210060704386776	0.5634811612781037	0.4749782680164833	0.5228745348912744	0.38889944848275115	0.43592076831151316	0.3580390706550557	0.2434079452508011	0.2536862797347223	0.13375798514470055	0.23653925390760633	0.08463915009565642	0.25355727569723924	0.07681216029761209	0.07748761198509935	0.0	0.09076578083228004	0.10966344176921525	0.2634024442293472	0.26803154956508823	0.1852248738404668	0.18541360503181667	0.2313017025032622	0.3223586614838727	0.6988013820783736	0.9300110683035852	0.8377005307943253	0.8390817366520111	0.7564626191424475	0.685992720809438	0.7383334813288656	0.6757213898272068	0.6543809385408587	0.6888587085697689	0.7079958619427215	0.7632437476104015	0.7321160694484121
f4pp	0.7539701109897043	0.7272371283279688	0.73728852509289	0.7573598547304647	0.7665983799567812	0.6389082180865933	0.6348987338849746	0.5463372456044694	0.6636422098743745	0.6205329008083623	0.5630079916477884	0.474505098386168	0.5224013652609591	0.38842627885243586	0.43544759868119787	0.3575659010247404	0.2429347756204858	0.253213110104407	0.13328481551438526	0.23606608427729103	0.10330029700616991	0.2871012691734385	0.1103561537738113	0.13169970471414416	0.09076578083228004	0.0	0.07242223112323326	0.2261612335833652	0.23079033891910622	0.1479836631944848	0.14817239438583468	0.2308285328729469	0.3218854918535574	0.6983282124480583	0.9295378986732699	0.83722736116401	0.8386085670216958	0.7559894495121322	0.6855195511791227	0.7378603116985503	0.6752482201968915	0.6539077689105434	0.6883855389394536	0.7075226923124062	0.7627705779800862	0.7316428998180968
f6ppA	0.7728677719266395	0.746134789264904	0.7561861860298251	0.7762575156673999	0.7854960408937163	0.6578058790235284	0.6537963948219098	0.5652349065414045	0.6825398708113097	0.6394305617452976	0.5819056525847237	0.49340275932310323	0.5412990261978944	0.4073239397893711	0.4543452596181331	0.37646356196167563	0.261832436557421	0.2721107710413422	0.1521824764513205	0.25496374521422627	0.12219795794310512	0.3059989301103737	0.1292538147107465	0.1505973656510794	0.10966344176921525	0.07242223112323326	0.0	0.21683802805140193	0.2214671333871429	0.1386604576625215	0.13884918885387137	0.24972619380988215	0.34078315279049265	0.7172258733849934	0.948435559610205	0.8561250221009451	0.857506227958631	0.7748871104490673	0.7044172121160578	0.7567579726354854	0.6941458811338266	0.6728054298474785	0.7072831998763888	0.7264203532493413	0.7816682389170213	0.750540560755032
s15pp	0.9266067743867713	0.8998737917250358	0.9099251884899571	0.9299965181275317	0.9392350433538481	0.8115448814836602	0.8075353972820416	0.7189739090015363	0.8362788732714416	0.7931695642054294	0.7356446550448555	0.6471417617832351	0.6950380286580263	0.561062942249503	0.608084262078265	0.5302025644218076	0.415571439017553	0.4258497735014742	0.3059214789114525	0.4087027476743582	0.27593696040323706	0.45973793257050566	0.2829928171708785	0.30433636811121134	0.2634024442293472	0.2261612335833652	0.21683802805140193	0.0	0.3374386919828931	0.25463201625827164	0.2610580393859195	0.4034651962700141	0.4945221552506246	0.8709648758451252	1.1021745620703367	1.0098640245610768	1.0112452304187627	0.928626112909199	0.8581562145761896	0.9104969750956171	0.8478848835939583	0.8265444323076103	0.8610222023365206	0.8801593557094731	0.9354072413771531	0.9042795632151638
S1Hp	0.9312358797225123	0.9045028970607768	0.9145542938256981	0.9346256234632727	0.9438641486895891	0.8161739868194012	0.8121645026177826	0.7236030143372774	0.8409079786071826	0.7977986695411704	0.7402737603805966	0.6517708671189761	0.6996671339937673	0.5656920475852439	0.612713367414006	0.5348316697575486	0.4202005443532939	0.43047887883721514	0.3105505842471934	0.4133318530100992	0.2805660657389781	0.46436703790624667	0.28762192250661944	0.30896547344695235	0.26803154956508823	0.23079033891910622	0.2214671333871429	0.3374386919828931	0.0	0.2224070934569714	0.26568714472166044	0.40809430160575505	0.49915126058636555	0.8755939811808662	1.1068036674060777	1.0144931298968178	1.0158743357545037	0.9332552182449401	0.8627853199119306	0.9151260804313581	0.8525139889296993	0.8311735376433513	0.8656513076722616	0.8847884610452141	0.9400363467128942	0.9089086685509048
w17pp	0.848429203997891	0.8216962213361555	0.8317476181010768	0.8518189477386514	0.8610574729649678	0.7333673110947799	0.7293578268931613	0.6407963386126561	0.7581013028825613	0.7149919938165491	0.6574670846559751	0.5689641913943547	0.6168604582691459	0.4828853718606225	0.5299066916893845	0.4520249940329272	0.3373938686286725	0.3476722031125937	0.227743908522572	0.3305251772854778	0.19775939001435666	0.38156036218162526	0.20481524678199806	0.22615879772233094	0.1852248738404668	0.1479836631944848	0.1386604576625215	0.25463201625827164	0.2224070934569714	0.0	0.18288046899703903	0.32528762588113364	0.41634458486174414	0.7927873054562449	1.0239969916814564	0.9316864541721965	0.9330676600298824	0.8504485425203188	0.7799786441873093	0.8323194047067368	0.769707313205078	0.74836686191873	0.7828446319476403	0.8019817853205928	0.8572296709882729	0.8261019928262835
f11pp	0.8486179351892408	0.8218849525275053	0.8319363492924265	0.8520076789300012	0.8612462041563176	0.7335560422861297	0.7295465580845111	0.6409850698040058	0.758290034073911	0.7151807250078989	0.657655815847325	0.5691529225857046	0.6170491894604958	0.4830741030519724	0.5300954228807344	0.45221372522427705	0.33758259982002237	0.3478609343039436	0.2279326397139219	0.3307139084768277	0.19794812120570654	0.38174909337297513	0.20500397797334793	0.22634752891368082	0.18541360503181667	0.14817239438583468	0.13884918885387137	0.2610580393859195	0.26568714472166044	0.18288046899703903	0.0	0.3254763570724835	0.416533316053094	0.7929760366475946	1.0241857228728062	0.9318751853635463	0.9332563912212322	0.8506372737116685	0.7801673753786591	0.8325081358980866	0.7698960443964278	0.7485555931100798	0.7830333631389901	0.8021705165119426	0.8574184021796226	0.8262907240176333
f21pp	0.6029903373906482	0.5762573547289126	0.5863087514938339	0.6063800811314086	0.6156186063577249	0.487928444487537	0.4839189602859185	0.39535747200541316	0.5126624362753184	0.46955312720930614	0.41202821804873224	0.3235253247871118	0.37142159166190303	0.23744650525337965	0.2844678250821417	0.24703938662873776	0.16295934919629806	0.24357814281056173	0.2057872680002819	0.33717792653205386	0.24383621867715205	0.42763719084442064	0.25089207544479347	0.27223562638512633	0.2313017025032622	0.2308285328729469	0.24972619380988215	0.4034651962700141	0.40809430160575505	0.32528762588113364	0.3254763570724835	0.0	0.1709057182545013	0.5473484388490022	0.7785581250742137	0.6862475875649539	0.6876287934226397	0.6050096759130761	0.5345397775800665	0.5868805380994941	0.5242684465978353	0.5029279953114871	0.5374057653403975	0.5565429187133499	0.6117908043810301	0.5806631262190407
