	31071	31219	31129	530052	31750	31328	530295	530258	530451	530444	31600	31512	31343	530075	530055	31714	31300	530163	w21pp	w14pp	w32pp	f20ppB	f17ppA	w23pp	f15pp	f21pp	f8pp	f19pp	f7pp	f14ppB	f1pp	f2pp	F22H1A	S28Hp	31537	530368	31267	31637	S1Hp	530331	31360	530315	F7H1	31766	31700	31519	31160	S19H1	31428
31600	0.3433287091121629	0.33754308190527726	0.35168658321831703	0.3707783689557733	0.3704619574926983	0.35408702237754924	0.36178311804917884	0.3260254652875657	0.34925258275054716	0.16807308909785754	0.0	0.14953873708586635	0.18813594620424395	0.16137670053274333	0.1963537677236139	0.16640815840621848	0.33117960374065153	0.3438299262679912	0.3910259408734182	0.401234913521935	0.4155727421344376	0.41084718856015984	0.4112975253291185	0.41027549405341307	0.4087743952411411	0.4083613210915761	0.41298569763919823	0.41792038695837985	0.4060403590165867	0.4049987020881261	0.3970366953531773	0.3964556958006611	0.5264804719292444	0.3589876333931989	0.39079064881470815	0.3671090225090799	0.3728799076410282	0.38388124183719163	0.3720707976317431	0.4013597722812705	0.39204888141544336	0.39491318538494413	0.40091952108524764	0.3713429519012553	0.27829279703290716	0.33574014740113245	0.36716003771752803	0.34709951059177335	0.33500798522737324
31512	0.3160248793625211	0.31023925215563547	0.3243827534686753	0.3434745392061316	0.34315812774305654	0.32678319262790745	0.3344792882995371	0.29872163553792397	0.3219487530009054	0.14076925934821574	0.14953873708586635	0.0	0.04760484374561707	0.02084559807411648	0.05582266526498705	0.06414341889240618	0.30387577399100973	0.3165260965183494	0.3637221111237764	0.3739310837722932	0.3882689123847959	0.38354335881051804	0.3839936955794767	0.3829716643037713	0.3814705654914993	0.38105749134193434	0.3856818678895565	0.3906165572087381	0.3787365292669449	0.3776948723384843	0.3697328656035355	0.36915186605101935	0.49917664217960256	0.3316838036435571	0.3634868190650664	0.3398051927594381	0.34557607789138645	0.3565774120875499	0.34476696788210137	0.37405594253162877	0.3647450516658016	0.3676093556353024	0.3736156913356059	0.3440391221516136	0.25098896728326536	0.30843631765149065	0.3398562079678863	0.31979568084213156	0.30770415547773144
31343	0.3546220884808987	0.3488364612740131	0.36297996258705284	0.38207174832450913	0.38175533686143415	0.36538040174628506	0.3730764974179147	0.3373188446563016	0.360545962119283	0.17936646846659338	0.18813594620424395	0.04760484374561707	0.0	0.029334861847157973	0.06431192903802854	0.10274062801078379	0.34247298310938734	0.355123305636727	0.402319320242154	0.41252829289067083	0.4268661215031735	0.42214056792889565	0.4225909046978543	0.4215688734221489	0.42006777460987693	0.41965470046031195	0.4242790770079341	0.4292137663271157	0.4173337383853225	0.4162920814568619	0.4083300747219131	0.40774907516939696	0.5377738512979802	0.3702810127619347	0.402084028183444	0.3784024018778157	0.38417328700976405	0.3951746212059275	0.383364177000479	0.4126531516500064	0.40334226078417923	0.40620656475368	0.4122129004539835	0.3826363312699912	0.28958617640164297	0.34703352676986826	0.3784534170862639	0.35839288996050916	0.34630136459610905
530075	0.32786284280939815	0.3220772156025125	0.3362207169155523	0.35531250265300857	0.3549960911899335	0.3386211560747845	0.3463172517464141	0.31055959898480096	0.3337867164477824	0.15260722279509276	0.16137670053274333	0.02084559807411648	0.029334861847157973	0.0	0.034979067191870626	0.0759813823392832	0.3157137374378868	0.32836405996522644	0.37556007457065343	0.38576904721917027	0.40010687583167287	0.3953813222573951	0.39583165902635375	0.3948096277506483	0.3933085289383763	0.3928954547888114	0.3975198313364335	0.4024545206556151	0.39057449271382194	0.38953283578536135	0.3815708290504125	0.3809898294978964	0.5110146056264796	0.34352176709043414	0.37532478251194346	0.35164315620631514	0.3574140413382635	0.3684153755344269	0.35660493132897836	0.3858939059785058	0.37658301511267867	0.37944731908217944	0.3854536547824829	0.3558770855984906	0.2628269307301424	0.32027428109836764	0.3516941714147633	0.3316336442890086	0.3195421189246085
530055	0.36283991000026866	0.357054282793383	0.3711977841064228	0.3902895698438791	0.38997315838080404	0.37359822326565506	0.3812943189372846	0.34553666617567147	0.3687637836386529	0.18758428998596333	0.1963537677236139	0.05582266526498705	0.06431192903802854	0.034979067191870626	0.0	0.11095844953015377	0.35069080462875735	0.363341127156097	0.410537141761524	0.42074611441004084	0.4350839430225434	0.43035838944826565	0.4308087262172243	0.4297866949415189	0.4282855961292469	0.4278725219796819	0.432496898527304	0.4374315878464856	0.4255515599046925	0.4245099029762319	0.4165478962412831	0.4159668966887669	0.5459916728173502	0.3784988342813047	0.41030184970281397	0.3866202233971857	0.392391108529134	0.4033924427252974	0.3915819985198489	0.42087097316937633	0.4115600823035492	0.41442438627304995	0.4204307219733534	0.3908541527893611	0.297803997921013	0.3552513482892382	0.3866712386056338	0.3666107114798791	0.354519186115479
31714	0.33289430068287323	0.3271086734759876	0.34125217478902736	0.36034396052648365	0.3600275490634086	0.34365261394825963	0.3513487096198892	0.31559105685827604	0.3388181743212575	0.1576386806685679	0.16640815840621848	0.06414341889240618	0.10274062801078379	0.0759813823392832	0.11095844953015377	0.0	0.3207451953113619	0.3333955178387016	0.3805915324441286	0.3908005050926454	0.40513833370514796	0.4004127801308702	0.4008631168998289	0.39984108562412346	0.39833998681185145	0.39792691266228647	0.40255128920990857	0.4074859785290902	0.3956059505872971	0.3945642936588365	0.38660228692388765	0.3860212873713715	0.5160460634999547	0.3485532249639093	0.38035624038541854	0.3566746140797903	0.3624454992117386	0.37344683340790197	0.36163638920245345	0.3909253638519809	0.38161447298615375	0.3844787769556545	0.390485112655958	0.36090854347196566	0.26785838860361755	0.3253057389718428	0.35672562928823837	0.3366651021624837	0.3245735767980836
31300	0.3133364347527062	0.3075508075458206	0.32169430885886036	0.34078609459631665	0.3404696831332416	0.32409474801809257	0.33179084368972217	0.324996266270379	0.3482233837333604	0.22212626718999792	0.33117960374065153	0.30387577399100973	0.34247298310938734	0.3157137374378868	0.35069080462875735	0.3207451953113619	0.0	0.24151150282824035	0.33249104938498425	0.3427000220335011	0.3570378506460037	0.3523122970717259	0.35276263384068457	0.35174060256497913	0.3502395037527072	0.34982642960314214	0.3544508061507643	0.3593854954699459	0.34750546752815276	0.34646381059969217	0.3385018038647434	0.33792080431222715	0.46794558044081047	0.30045274190476495	0.3322557573262742	0.30857413102064596	0.31434501615259425	0.3253463503487577	0.3135359061433092	0.3428248807928366	0.36205660705598675	0.3649209110254875	0.37092724672579097	0.34135067754179865	0.24830052267345049	0.3057478730416757	0.33716776335807136	0.3171072362323167	0.30501571086791657
530163	0.3259867572800459	0.32020113007316026	0.3343446313862	0.3534364171236563	0.35312000566058127	0.33674507054543223	0.34444116621706183	0.33764658879771864	0.3608737062607001	0.23477658971733759	0.3438299262679912	0.3165260965183494	0.355123305636727	0.32836405996522644	0.363341127156097	0.3333955178387016	0.24151150282824035	0.0	0.3451413719123239	0.35535034456084075	0.36968817317334335	0.36496261959906556	0.36541295636802423	0.3643909250923188	0.36288982628004685	0.3624767521304818	0.36710112867810396	0.3720358179972856	0.3601557900554924	0.35911413312703183	0.35115212639208304	0.3505711268395668	0.48059590296815013	0.3131030644321046	0.3449060798536139	0.3212244535479856	0.3269953386799339	0.33799667287609736	0.32618622867064884	0.35547520332017624	0.3747069295833264	0.3775712335528272	0.38357756925313063	0.3540010000691383	0.26095084520079015	0.3183981955690154	0.349818085885411	0.32975755875965634	0.31766603339525623
w21pp	0.3731827718854729	0.36739714467858725	0.381540645991627	0.4006324317290833	0.40031602026600827	0.38394108515085923	0.39163718082248883	0.38484260340314563	0.4080697208661271	0.2819726043227646	0.3910259408734182	0.3637221111237764	0.402319320242154	0.37556007457065343	0.410537141761524	0.3805915324441286	0.33249104938498425	0.3451413719123239	0.0	0.034867560842540016	0.04920538945504261	0.04447983588076482	0.0449301726497235	0.043908141374018064	0.04240704256174608	0.04199396841218109	0.046618344959803236	0.05155303427898483	0.039673006337191674	0.0386313494087311	0.03066934267378227	0.030088343121266098	0.18212791886857738	0.34247157296398856	0.3742745883854979	0.35059296207986956	0.3563638472118179	0.3673651814079813	0.3555547372025328	0.38484371185206023	0.4219029441887534	0.4247672481582542	0.43077358385855763	0.4011970146745653	0.30814685980621714	0.3655942101744424	0.3970141004908381	0.37695357336508334	0.3648620480006832
w14pp	0.3833917445339897	0.3776061173271041	0.39174961864014385	0.41084140437760014	0.4105249929145251	0.39415005779937606	0.40184615347100566	0.39505157605166247	0.4182786935146439	0.29218157697128144	0.401234913521935	0.3739310837722932	0.41252829289067083	0.38576904721917027	0.42074611441004084	0.3908005050926454	0.3427000220335011	0.35535034456084075	0.034867560842540016	0.0	0.05728417744804115	0.05255862387376335	0.053008960642722036	0.0519869293670166	0.05048583055474462	0.05007275640517963	0.05469713295280178	0.05963182227198337	0.04775179433019022	0.04671013740172964	0.03874813066678082	0.03816713111426464	0.1923368915170942	0.3526805456125054	0.3844835610340147	0.3608019347283864	0.36657281986033474	0.37757415405649813	0.3657637098510496	0.39505268450057707	0.43211191683727024	0.434976220806771	0.44098255650707446	0.41140598732308215	0.318355832454734	0.3758031828229592	0.4072230731393549	0.3871625460136002	0.37507102064920006
w32pp	0.3977295731464923	0.3919439459396067	0.40608744725264645	0.42517923299010274	0.4248628215270277	0.40848788641187866	0.41618398208350826	0.40938940466416507	0.4326165221271465	0.306519405583784	0.4155727421344376	0.3882689123847959	0.4268661215031735	0.40010687583167287	0.4350839430225434	0.40513833370514796	0.3570378506460037	0.36968817317334335	0.04920538945504261	0.05728417744804115	0.0	0.04403058815389367	0.044480924922852355	0.04345889364714692	0.05155748376269751	0.05114440961313252	0.05576878616075466	0.06070347547993626	0.048823447538143105	0.04778179060968253	0.0398197838747337	0.04639242928153724	0.2066747201295968	0.367018374225008	0.39882138964651725	0.375139763340889	0.3809106484728373	0.39191198266900074	0.3801015384635522	0.4093905131130796	0.4464497454497728	0.44931404941927355	0.45532038511957706	0.42574381593558475	0.3326936610672366	0.39014101143546187	0.42156090175185745	0.4015003746261028	0.38940884926170266
f20ppB	0.39300401957221454	0.3872183923653289	0.40136189367836866	0.42045367941582495	0.4201372679527499	0.4037623328376009	0.4114584285092305	0.4046638510898873	0.42789096855286873	0.30179385200950626	0.41084718856015984	0.38354335881051804	0.42214056792889565	0.3953813222573951	0.43035838944826565	0.4004127801308702	0.3523122970717259	0.36496261959906556	0.04447983588076482	0.05255862387376335	0.04403058815389367	0.0	0.03432971719683081	0.03330768592112538	0.04683193018841972	0.04641885603885472	0.05104323258647686	0.055977921905658465	0.04409789396386531	0.04305623703540473	0.03509423030045591	0.041666875707259445	0.20194916655531903	0.3622928206507302	0.3940958360722395	0.3704142097666112	0.37618509489855956	0.38718642909472295	0.3753759848892744	0.4046649595388019	0.44172419187549505	0.4445884958449958	0.4505948315452993	0.42101826236130696	0.3279681074929588	0.38541545786118403	0.4168353481775797	0.396774821051825	0.3846832956874249
f17ppA	0.3934543563411732	0.38766872913428757	0.40181223044732733	0.4209040161847836	0.4205876047217086	0.40421266960655955	0.41190876527818915	0.40511418785884595	0.4283413053218274	0.30224418877846493	0.4112975253291185	0.3839936955794767	0.4225909046978543	0.39583165902635375	0.4308087262172243	0.4008631168998289	0.35276263384068457	0.36541295636802423	0.0449301726497235	0.053008960642722036	0.044480924922852355	0.03432971719683081	0.0	0.026767499887555245	0.0472822669573784	0.0468691928078134	0.051493569355435545	0.05642825867461715	0.04454823073282399	0.043506573804363416	0.035544567069414584	0.04211721247621813	0.2023995033242777	0.3627431574196889	0.3945461728411982	0.3708645465355699	0.37663543166751823	0.3876367658636816	0.3758263216582331	0.40511529630776055	0.4421745286444537	0.4450388326139545	0.45104516831425795	0.42146859913026563	0.32841844426191746	0.3858657946301427	0.4172856849465384	0.39722515782078366	0.38513363245638355
