	S19H1	s24H1	S15Hp	F23HpA	S8Hp	S12Hp	S1Hp	S7Hp	S31Hp	s29pp	F8H1	s17pp	F16H1	s32pp	S23Hp	s2pp	S22Hp	s10pp	S17H1	s24pp	w24pp	w2pp	w11pp	s27pp	S6Hp	S10H1	s8pp	w14pp	S25Hp	S30H1	S4Hp	S14Hp	F29H1	F3H1	F6H1	S9H1	S2Hp	s12pp	S16H2	S27H1	S11Hp	S13Hp	F14H1B	S3Hp	S20H1	S28Hp	F14H1A
F16H1	0.1816610779792344	0.12018426475018172	0.25282505964399105	0.1903935743414512	0.08001771084106771	0.075664205131208	0.1168929049229479	0.10598948678407191	0.0798474812882772	0.07349532213588453	0.10057235079017557	0.08584679924584013	0.0	0.08596410200633711	0.1173992843938123	0.11873440528518639	0.13791562636105886	0.1446911049088572	0.13851797649519282	0.09517001165643191	0.10601335188647812	0.11632177958256326	0.11631503012926478	0.11064709226748445	0.12775408435707467	0.11014243826934741	0.10724574789951781	0.10518457947497914	0.08782191253380471	0.21388079557486975	0.14602958164816487	0.3606965410800679	0.7687973363855992	0.16004712426228004	0.13207968724225036	0.12806140873579683	0.1111365968885499	0.07715990425336174	0.09779323542625573	0.11940121707088908	0.08894777368902047	0.14866187261168873	0.17043222188882384	0.19368648428498153	0.23208418126234698	0.20122588327616614	0.19437579793558207
s32pp	0.15217103068031015	0.09069421745125747	0.22333501234506678	0.16090352704252694	0.05052766354214346	0.046174157832283735	0.08740285762402364	0.07649943948514766	0.06803548460315684	0.07339908220787675	0.10047611086216776	0.08575055931783232	0.08596410200633711	0.0	0.03520970593641805	0.03654482682779214	0.05572604790366462	0.06250152645146297	0.05632839803779859	0.012980433199037668	0.02382377342908387	0.034132201125169015	0.03412545167187053	0.0284575138100902	0.0605191007415195	0.04290745465379225	0.040010764283962635	0.044202427366804006	0.0464836705236183	0.17254255356468334	0.10469133963797847	0.31935829906988145	0.7274590943754128	0.11870888225209364	0.09074144523206396	0.08672316672561042	0.08164654958962564	0.04766985695443749	0.06830318812733148	0.08991116977196481	0.059457726390096215	0.11917182531276449	0.1409421745898996	0.16419643698605726	0.20259413396342274	0.1717358359772419	0.16488575063665784
S23Hp	0.18360621306778532	0.12212939983873265	0.254770194732542	0.19233870943000214	0.08196284592961864	0.07760934021975893	0.11883804001149884	0.10793462187262286	0.09947066699063203	0.10483426459535193	0.13191129324964296	0.11718574170530752	0.1173992843938123	0.03520970593641805	0.0	0.01333606235838608	0.03251728343425856	0.05881271235656621	0.05263958394290184	0.03800025878663225	0.04884359901667845	0.059152026712763595	0.05914527725946511	0.05347733939768478	0.09195428312899467	0.07434263704126742	0.07144594667143782	0.07563760975427919	0.07791885291109349	0.2039777359521585	0.13612652202545367	0.35079348145735667	0.758894276762888	0.1501440646395688	0.12217662761953914	0.1181583491130856	0.11308173197710084	0.07910503934191267	0.09973837051480666	0.12134635215944001	0.0908929087775714	0.15060700770023966	0.17237735697737477	0.19563161937353246	0.2340293163508979	0.20317101836471707	0.196320933024133
s2pp	0.1849413339591594	0.12346452073010673	0.25610531562391603	0.1936738303213762	0.08329796682099272	0.07894446111113301	0.12017316090287292	0.10926974276399694	0.10080578788200611	0.10616938548672603	0.13324641414101704	0.11852086259668161	0.11873440528518639	0.03654482682779214	0.01333606235838608	0.0	0.020421165542989894	0.060147833247940305	0.05397470483427593	0.03933537967800634	0.050178719908052546	0.06048714760413769	0.06048039815083921	0.054812460289058874	0.09328940402036878	0.07567775793264153	0.07278106756281191	0.0769727306456533	0.07925397380246758	0.20531285684353262	0.13746164291682775	0.3521286023487308	0.7602293976542621	0.15147918553094292	0.12351174851091323	0.1194934700044597	0.11441685286847492	0.08044016023328675	0.10107349140618074	0.12268147305081409	0.09222802966894549	0.15194212859161374	0.17371247786874888	0.19696674026490651	0.23536443724227202	0.20450613925609118	0.19765605391550709
S22Hp	0.20412255503503188	0.14264574180597922	0.27528653669978853	0.2128550513972487	0.10247918789686519	0.09812568218700549	0.1393543819787454	0.12845096383986943	0.11998700895787859	0.1253506065625985	0.1524276352168895	0.13770208367255407	0.13791562636105886	0.05572604790366462	0.03251728343425856	0.020421165542989894	0.0	0.07932905432381279	0.07315592591014841	0.05851660075387882	0.06935994098392502	0.07966836868001018	0.0796616192267117	0.07399368136493135	0.11247062509624126	0.094858979008514	0.0919622886386844	0.09615395172152577	0.09843519487834006	0.2244940779194051	0.15664286399270022	0.3713098234246032	0.7794106187301346	0.1706604066068154	0.1426929695867857	0.13867469108033217	0.1335980739443474	0.09962138130915922	0.12025471248205322	0.14186269412668656	0.11140925074481796	0.1711233496674862	0.19289369894462133	0.21614796134077902	0.25454565831814446	0.22368736033196363	0.21683727499137956
s10pp	0.2108980335828302	0.14942122035377756	0.2820620152475869	0.21963052994504703	0.10925466644466354	0.10490116073480384	0.14612986052654375	0.13522644238766776	0.12676248750567692	0.13212608511039683	0.15920311376468788	0.14447756222035243	0.1446911049088572	0.06250152645146297	0.05881271235656621	0.060147833247940305	0.07932905432381279	0.0	0.07044987454374521	0.06529207930167716	0.07613541953172337	0.08644384722780851	0.08643709777451003	0.0807691599127297	0.1192461036440396	0.10163445755631235	0.09873776718648275	0.10292943026932412	0.1052106734261384	0.23126955646720343	0.16341834254049858	0.3780853019724016	0.7861860972779329	0.17743588515461373	0.14946844813458404	0.1454501696281305	0.14037355249214573	0.10639685985695757	0.12703019102985158	0.1486381726744849	0.11818472929261631	0.17789882821528458	0.19966917749241966	0.22292343988857732	0.2613211368659428	0.230462838879762	0.2236127535391779
S17H1	0.20472490516916583	0.14324809194011318	0.2758888868339225	0.21345740153138265	0.10308153803099916	0.09872803232113946	0.13995673211287935	0.12905331397400338	0.12058935909201256	0.12595295669673245	0.15302998535102347	0.13830443380668805	0.13851797649519282	0.05632839803779859	0.05263958394290184	0.05397470483427593	0.07315592591014841	0.07044987454374521	0.0	0.05911895088801279	0.06996229111805899	0.08027071881414413	0.08026396936084565	0.07459603149906532	0.11307297523037523	0.09546132914264797	0.09256463877281837	0.09675630185565974	0.09903754501247403	0.22509642805353908	0.15724521412683418	0.3719121735587372	0.7800129688642685	0.17126275674094937	0.1432953197209197	0.13927704121446616	0.13420042407848137	0.10022373144329319	0.12085706261618719	0.14246504426082052	0.11201160087895193	0.1717256998016202	0.19349604907875528	0.21675031147491297	0.2551480084522784	0.22428971046609758	0.2174396251255135
s24pp	0.16137694033040495	0.09990012710135228	0.23254092199516158	0.17010943669262174	0.05973357319223827	0.055380067482378545	0.09660876727411845	0.08570534913524247	0.07724139425325165	0.08260499185797154	0.10968202051226257	0.09495646896792714	0.09517001165643191	0.012980433199037668	0.03800025878663225	0.03933537967800634	0.05851660075387882	0.06529207930167716	0.05911895088801279	0.0	0.01762847581881329	0.027936903514898435	0.027930154061599953	0.02226221619981962	0.0697250103916143	0.05211336430388705	0.049216673934057445	0.053408337016898816	0.05568958017371311	0.18174846321477814	0.11389724928807327	0.32856420871997627	0.7366650040255076	0.12791479190218843	0.09994735488215875	0.09592907637570522	0.09085245923972046	0.0568757666045323	0.07750909777742629	0.09911707942205963	0.06866363604019103	0.12837773496285929	0.15014808423999443	0.17340234663615206	0.21180004361351756	0.18094174562733673	0.17409166028675263
w24pp	0.17222028056045116	0.11074346733139848	0.2433842622252078	0.18095277692266795	0.07057691342228448	0.06622340771242476	0.10745210750416465	0.09654868936528868	0.08808473448329784	0.09344833208801775	0.12052536074230877	0.10579980919797334	0.10601335188647812	0.02382377342908387	0.04884359901667845	0.050178719908052546	0.06935994098392502	0.07613541953172337	0.06996229111805899	0.01762847581881329	0.0	0.02578802820470236	0.02578127875140388	0.020113340889623545	0.08056835062166051	0.06295670453393326	0.06006001416410364	0.06425167724694503	0.06653292040375931	0.19259180344482435	0.12474058951811948	0.33940754895002245	0.7475083442555538	0.13875813213223465	0.11079069511220496	0.10677241660575143	0.10169579946976666	0.06771910683457849	0.08835243800747249	0.10996041965210582	0.07950697627023723	0.1392210751929055	0.1609914244700406	0.18424568686619824	0.22264338384356375	0.1917850858573829	0.18493500051679881
w2pp	0.18252870825653628	0.1210518950274836	0.2536926899212929	0.19126120461875307	0.08088534111836959	0.07653183540850989	0.11776053520024979	0.10685711706137381	0.09839316217938299	0.1037567597841029	0.1308337884383939	0.11610823689405848	0.11632177958256326	0.034132201125169015	0.059152026712763595	0.06048714760413769	0.07966836868001018	0.08644384722780851	0.08027071881414413	0.027936903514898435	0.02578802820470236	0.0	0.017068455828163385	0.02543241959415127	0.09087677831774565	0.0732651322300184	0.07036844186018879	0.07456010494303017	0.07684134809984446	0.2029002311409095	0.13504901721420462	0.34971597664610765	0.757816771951639	0.1490665598283198	0.1210991228082901	0.11708084430183657	0.11200422716585179	0.07802753453066362	0.09866086570355762	0.12026884734819096	0.08981540396632236	0.1495295028889906	0.17129985216612575	0.1945541145622834	0.2329518115396489	0.20209351355346805	0.19524342821288396
