	f11pp	w1pp	f12ppA	w8pp	w28pp	f2pp	f4pp	31300	S9H1	f17ppB	w23pp	w24pp	w11pp	f30pp	w22pp	f31pp	w16pp	f16ppA	f1pp	w13pp	w3pp	w12pp	w31pp	w32pp	f23ppB	f6ppA	f14ppB	f15pp	f10pp	f8pp	w26pp	f26pp	w10pp	w17pp	S20H1	w20pp	w18pp	S21H1	w9pp	w29pp	w19pp	w27pp	f7pp	f21pp
w3pp	0.13146770612655928	0.11760310331948362	0.12239589958633719	0.17249978283677916	0.15002002812722254	0.1566539444892151	0.1567796703388204	1.0863030653130628	1.0618415757406063	0.10994060882384121	0.10363860951640298	0.13861848806850768	0.09593748334586749	0.12226238765597304	0.14308070682383595	0.09651958355338613	0.11028585640058333	0.10745429784506341	0.12717123302790057	0.0954854228316189	0.0	0.10741366180264791	0.11868040230264129	0.11733788482623089	0.12779254821616237	0.13760959802764441	0.10937145489060174	0.13316128904260455	0.08160668557826159	0.10723451724130989	0.1501878858200011	0.1611635996057726	0.1324896651154147	0.13785257989231475	0.21086584534557018	0.14778364200676541	0.1275134392607656	0.22726499671626033	0.1561121219736862	0.13055234051605952	0.1196126350862366	0.1826946825632064	0.12257552669118904	0.12683562891411815
w12pp	0.13557533093439672	0.12171072812732103	0.12650352439417462	0.17660740764461658	0.15412765293505995	0.1607615692970525	0.1608872951466578	1.0904106901209	1.0659492005484439	0.11404823363167862	0.1077462343242404	0.14272611287634507	0.1000451081537049	0.12637001246381047	0.14718833163167336	0.10780758195202363	0.12157385479922081	0.1187422962437009	0.13845923142653804	0.10677342123025638	0.10741366180264791	0.0	0.1227880271104787	0.1214455096340683	0.13190017302399978	0.14171722283548183	0.11347907969843915	0.13726891385044196	0.085714310386099	0.1113421420491473	0.15429551062783853	0.16527122441361003	0.13659728992325212	0.14196020470015216	0.2149734701534076	0.1518912668146028	0.13162106406860302	0.23137262152409774	0.16021974678152362	0.13465996532389696	0.12372025989407401	0.1868023073710438	0.12668315149902645	0.13094325372195556
w31pp	0.13977089879078197	0.12590629598370628	0.13069909225055987	0.18080297550100183	0.1583232207914452	0.16495713715343774	0.16508286300304306	1.0946062579772855	1.070144768404829	0.11824380148806388	0.11194180218062565	0.14692168073273032	0.10424067601009016	0.13056558032019572	0.1513838994880586	0.11907432245201702	0.13284059529921421	0.1300090367436943	0.14972597192653142	0.11804016173024977	0.11868040230264129	0.1227880271104787	0.0	0.11694422596403281	0.1273988893539643	0.13721593916544633	0.10897779602840366	0.13276763018040647	0.08990987824248425	0.11553770990553255	0.15849107848422378	0.16946679226999528	0.14079285777963738	0.14615577255653742	0.21916903800979284	0.15608683467098805	0.13581663192498827	0.235568189380483	0.16441531463790887	0.1388555331802822	0.12791582775045926	0.19099787522742906	0.1308787193554117	0.1351388215783408
w32pp	0.13842838131437155	0.12456377850729587	0.12935657477414944	0.17946045802459143	0.15698070331503478	0.16361461967702734	0.16374034552663264	1.093263740500875	1.0688022509284187	0.11690128401165346	0.11059928470421523	0.14557916325631992	0.10289815853367974	0.1292230628437853	0.15004138201164818	0.11773180497560659	0.1314980778228038	0.1286665192672839	0.14838345445012102	0.11669764425383936	0.11733788482623089	0.1214455096340683	0.11694422596403281	0.0	0.11039671510385138	0.12021376491533342	0.09197562177829074	0.11576545593029357	0.08856736076607384	0.11419519242912214	0.15714856100781335	0.16812427479358485	0.13945034030322695	0.144813255080127	0.21782652053338242	0.15474431719457765	0.13447411444857787	0.23422567190407256	0.16307279716149847	0.13751301570387178	0.12657331027404886	0.18965535775101866	0.12953620187900128	0.13379630410193039
f23ppB	0.14888304470430302	0.13501844189722734	0.13981123816408092	0.18991512141452288	0.16743536670496628	0.17406928306695882	0.17419500891656414	1.1037184038908066	1.0792569143183501	0.12735594740158496	0.12105394809414671	0.1560338266462514	0.11335282192361122	0.13967772623371677	0.1604960454015797	0.12818646836553807	0.14195274121273527	0.13912118265721535	0.1588381178400525	0.12715230764377083	0.12779254821616237	0.13190017302399978	0.1273988893539643	0.11039671510385138	0.0	0.03199456868366951	0.0831297712452923	0.11122264751235972	0.09902202415600532	0.12464985581905362	0.16760322439774483	0.17857893818351633	0.14990500369315846	0.1552679184700585	0.22828118392331392	0.16519898058450913	0.14492877783850935	0.24468033529400407	0.17352746055142992	0.14796767909380326	0.13702797366398034	0.2001100211409501	0.13999086526893276	0.1442509674918619
f6ppA	0.15870009451578507	0.1448354917087094	0.14962828797556296	0.19973217122600495	0.1772524165164483	0.18388633287844086	0.18401205872804616	1.1135354537022886	1.0890739641298322	0.13717299721306697	0.13087099790562876	0.16585087645773344	0.12316987173509326	0.1494947760451988	0.1703130952130617	0.1380035181770201	0.1517697910242173	0.14893823246869742	0.16865516765153454	0.13696935745525288	0.13760959802764441	0.14171722283548183	0.13721593916544633	0.12021376491533342	0.03199456868366951	0.0	0.09294682105677435	0.12103969732384176	0.10883907396748736	0.13446690563053565	0.17742027420922687	0.18839598799499838	0.15972205350464047	0.1650849682815405	0.23809823373479594	0.17501603039599117	0.1547458276499914	0.2544973851054861	0.183344510362912	0.1577847289052853	0.14684502347546238	0.20992707095243218	0.1498079150804148	0.1540680173033439
f14ppB	0.1304619513787424	0.1165973485716667	0.12139014483852027	0.17149402808896225	0.14901427337940562	0.15564818974139816	0.15577391559100348	1.0852973105652457	1.0608358209927895	0.1089348540760243	0.10263285476858608	0.13761273332069077	0.09493172859805057	0.12125663290815614	0.14207495207601903	0.10976537503997744	0.12353164788717463	0.12070008933165473	0.14041702451449187	0.1087312143182102	0.10937145489060174	0.11347907969843915	0.10897779602840366	0.09197562177829074	0.0831297712452923	0.09294682105677435	0.0	0.09280155418679908	0.08060093083044467	0.10622876249349297	0.1491821310721842	0.1601578448579557	0.1314839103675978	0.13684682514449784	0.20986009059775326	0.14677788725894847	0.1265076845129487	0.2262592419684434	0.1551063672258693	0.12954658576824263	0.11860688033841968	0.18168892781538948	0.12156977194337212	0.12582987416630123
f15pp	0.15425178553074523	0.14038718272366954	0.1451799789905231	0.19528386224096508	0.17280410753140846	0.17943802389340102	0.17956374974300632	1.1090871447172486	1.0846256551447924	0.13272468822802713	0.1264226889205889	0.1614025674726936	0.11872156275005341	0.14504646706015895	0.16586478622802187	0.13355520919198027	0.14732148203917744	0.14448992348365755	0.1642068586664947	0.132521048470213	0.13316128904260455	0.13726891385044196	0.13276763018040647	0.11576545593029357	0.11122264751235972	0.12103969732384176	0.09280155418679908	0.0	0.10439076498244751	0.1300185966454958	0.172971965224187	0.1839476790099585	0.15527374451960063	0.16063665929650067	0.2336499247497561	0.17056772141095133	0.15029751866495153	0.25004907612044625	0.17889620137787213	0.15333641992024544	0.14239671449042252	0.20547876196739231	0.14535960609537496	0.14961970831830407
f10pp	0.0766806069756238	0.06281600416854813	0.06760880043540168	0.11771268368584367	0.09523292897628705	0.10186684533827958	0.1019925711878849	1.0409471008715252	1.016485611299069	0.06888909133747348	0.06258709203003525	0.09756697058213994	0.054885965859499765	0.0812108701696053	0.10202918933746821	0.0820006057276373	0.0957668785748345	0.0929353200193146	0.11265225520215173	0.08096644500587005	0.08160668557826159	0.085714310386099	0.08990987824248425	0.08856736076607384	0.09902202415600532	0.10883907396748736	0.08060093083044467	0.10439076498244751	0.0	0.046415999169693724	0.08936936774838493	0.10034508153415643	0.07167114704379855	0.07703406182069858	0.150047327273954	0.08696512393514923	0.06669492118914945	0.16644647864464415	0.10132502282275069	0.07576524136512403	0.06482553593530109	0.12790758341227088	0.06778842754025352	0.07204852976318266
f8pp	0.1023084386386721	0.08844383583159643	0.09323663209844998	0.14334051534889197	0.12086076063933533	0.12749467700132788	0.12762040285093318	1.0665749325345735	1.0421134429621173	0.09451692300052178	0.08821492369308355	0.12319480224518824	0.08051379752254806	0.10683870183265361	0.1276570210005165	0.1076284373906856	0.1213947102378828	0.1185631516823629	0.13828008686520005	0.10659427666891835	0.10723451724130989	0.1113421420491473	0.11553770990553255	0.11419519242912214	0.12464985581905362	0.13446690563053565	0.10622876249349297	0.1300185966454958	0.046415999169693724	0.0	0.10358112911694034	0.11455684290271184	0.08588290841235396	0.09124582318925398	0.16425908864250943	0.10117688530370464	0.08090668255770486	0.18065824001319958	0.126952854485799	0.10139307302817231	0.09045336759834938	0.15353541507531918	0.09341625920330182	0.09767636142623096
