	31267	S1Hp	w13pp	f14ppB	S20H1	f17ppA	f1pp	f7pp	f2pp	w17pp	f12ppA	f31pp	f22ppB	f16ppA	f26pp	w3pp	s3pp	f25pp	w9pp	f8pp	f13pp	f30pp	w1pp	w21pp	f16ppB	f29pp	w6pp	f32pp	f18pp	f6ppA	f15pp	f3pp	f12ppB	f4pp	w7pp	f21pp	S6Hp	S16H2	530295
f13pp	0.6394703869962717	0.6674564595983543	0.19840371886395436	0.13803431640431935	0.281081907216973	0.2004233374069942	0.22370930317940968	0.16807193466008608	0.2149117213609667	0.18896017066749854	0.16577964506866555	0.175763477101605	0.1774811752991874	0.18318803836746433	0.17582838337383574	0.18939911463054404	0.2884311720913253	0.158223643193327	0.134898888557405	0.16375514196073665	0.0	0.09897461225575399	0.21921208591329736	0.14477733810908539	0.13522483415157413	0.13160305127470612	0.16785158272700196	0.16657001003500893	0.17573115066861816	0.1857004196866583	0.1778704583733945	0.1737398728617226	0.22250965228361352	0.2233923765810804	0.24947324823639322	0.19791791764536537	0.6153371199993225	0.6902250822258316	0.665543033478743
f30pp	0.6111578467032216	0.6391439193053042	0.17009117857090422	0.10972177611126924	0.2527693669239229	0.1721107971139441	0.19539676288635954	0.13975939436703594	0.18659918106791656	0.16064763037444843	0.1374671047756154	0.14745093680855487	0.14916863500613725	0.1548754980744142	0.14751584308078564	0.1610865743374939	0.26011863179827516	0.12991110290027685	0.1065863482643549	0.13544260166768654	0.09897461225575399	0.0	0.19089954562024725	0.11646479781603528	0.10691229385852401	0.10329051098165601	0.13953904243395185	0.1382574697419588	0.14741861037556803	0.15738787939360815	0.14955791808034438	0.14542733256867246	0.1941971119905634	0.1950798362880303	0.2211607079433431	0.16960537735231523	0.5870245797062724	0.6619125419327815	0.6372304931856929
w1pp	0.6976916101167627	0.7256776827188454	0.2566249419844454	0.1962555395248104	0.33930313033746407	0.25864456052748525	0.2819305262999007	0.22629315778057713	0.27313294448145775	0.2471813937879896	0.22400086818915657	0.23398470022209603	0.2357023984196784	0.24140926148795536	0.23404960649432677	0.24762033775103504	0.3466523952118163	0.216444866313818	0.19312011167789603	0.2219763650812277	0.21921208591329736	0.19089954562024725	0.0	0.13846361824464623	0.1592953276192014	0.15567354474233341	0.226072805847493	0.22479123315549998	0.23395237378910919	0.2439216428071493	0.23609168149388554	0.23196109598221365	0.2807308754041046	0.28161359970157146	0.30769447135688427	0.2561391407658564	0.6735583431198136	0.7484463053463226	0.723764256599234
w21pp	0.6232568623125507	0.6512429349146334	0.1821901941802334	0.12182079172059843	0.26486838253325207	0.18420981272327328	0.20749577849568873	0.15185840997636513	0.19869819667724575	0.17274664598377762	0.1495661203849446	0.15954995241788406	0.16126765061546644	0.1669745136837434	0.15961485869011482	0.1731855899468231	0.27221764740760435	0.14201011850960604	0.11868536387368409	0.14754161727701573	0.14477733810908539	0.11646479781603528	0.13846361824464623	0.0	0.08486057981498943	0.08123879693812144	0.15163805804328104	0.15035648535128798	0.15951762598489722	0.16948689500293734	0.16165693368967357	0.15752634817800165	0.20629612759989258	0.2071788518973595	0.2332597235526723	0.18170439296164442	0.5991235953156016	0.6740115575421106	0.649329508795022
f16ppB	0.6137043583550394	0.6416904309571221	0.17263769022272213	0.11226828776308716	0.2553158785757408	0.17465730876576202	0.19794327453817745	0.14230590601885387	0.18914569271973447	0.16319414202626636	0.14001361642743332	0.14999744846037277	0.15171514665795516	0.1574220097262321	0.15006235473260354	0.1636330859893118	0.26266514345009306	0.1324576145520948	0.1091328599161728	0.13798911331950448	0.13522483415157413	0.10691229385852401	0.1592953276192014	0.08486057981498943	0.0	0.062128900526610104	0.14208555408576978	0.14080398139377673	0.14996512202738593	0.15993439104542606	0.15210442973216232	0.1479738442204904	0.1967436236423813	0.19762634793984823	0.22370721959516104	0.17215188900413314	0.5895710913580903	0.6644590535845993	0.6397770048375108
f29pp	0.6100825754781716	0.6380686480802542	0.16901590734585414	0.10864650488621916	0.2516940956988728	0.171035525888894	0.19432149166130946	0.13868412314198586	0.18552390984286649	0.15957235914939835	0.13639183355056533	0.1463756655835048	0.14809336378108717	0.15380022684936412	0.14644057185573556	0.16001130311244383	0.2590433605732251	0.12883583167522678	0.10551107703930482	0.13436733044263646	0.13160305127470612	0.10329051098165601	0.15567354474233341	0.08123879693812144	0.062128900526610104	0.0	0.13846377120890177	0.13718219851690872	0.14634333915051795	0.15631260816855808	0.1484826468552943	0.14435206134362238	0.1931218407655133	0.19400456506298022	0.22008543671829303	0.16853010612726516	0.5859493084812224	0.6608372707077314	0.6361552219606428
w6pp	0.5811102133546238	0.6090962859567064	0.16825912235810317	0.10788971989846818	0.2509373107111218	0.17027874090114303	0.1935647066735585	0.1379273381542349	0.1847671248551155	0.15881557416164738	0.13563504856281436	0.1456188805957538	0.1473365787933362	0.15304344186161314	0.16719776676368153	0.1807684980203898	0.27980055548117105	0.14959302658317275	0.1262682719472508	0.15512452535058244	0.16785158272700196	0.13953904243395185	0.226072805847493	0.15163805804328104	0.14208555408576978	0.13846377120890177	0.0	0.08838121016407603	0.09754235079768525	0.10751161981572538	0.0996816585024616	0.09555107299078969	0.16414947864196563	0.16503220293943255	0.19111307459474536	0.13955774400371748	0.5569769463576746	0.6318649085841836	0.6071828598370951
f32pp	0.5798286406626307	0.6078147132647134	0.16697754966611011	0.10660814720647514	0.24965573801912877	0.16899716820915	0.19228313398156544	0.13664576546224186	0.18348555216312246	0.15753400146965435	0.1343534758708213	0.14433730790376076	0.14605500610134314	0.1517618691696201	0.16591619407168848	0.17948692532839677	0.278518982789178	0.14831145389117972	0.12498669925525775	0.15384295265858938	0.16657001003500893	0.1382574697419588	0.22479123315549998	0.15035648535128798	0.14080398139377673	0.13718219851690872	0.08838121016407603	0.0	0.07778970610624597	0.10622804712273227	0.09839808580946849	0.0942675002977966	0.16286790594997258	0.16375063024743952	0.18983150190275233	0.13827617131172443	0.5556953736656816	0.6305833358921906	0.605901287145102
f18pp	0.58898978129624	0.6169758538983227	0.17613869029971935	0.11576928784008436	0.258816878652738	0.1781583088427592	0.20144427461517467	0.14580690609585106	0.1926466927967317	0.16669514210326355	0.14351461650443054	0.15349844853737	0.15521614673495238	0.16092300980322932	0.17507733470529768	0.18864806596200598	0.28768012342278726	0.15747259452478896	0.13414783988886697	0.16300409329219862	0.17573115066861816	0.14741861037556803	0.23395237378910919	0.15951762598489722	0.14996512202738593	0.14634333915051795	0.09754235079768525	0.07778970610624597	0.0	0.1153891877563415	0.10755922644307772	0.1034286409314058	0.1720290465835818	0.17291177088104873	0.19899264253636154	0.14743731194533366	0.5648565142992908	0.6397444765257999	0.6150624277787113
f6ppA	0.5989590503142801	0.6269451229163627	0.18610795931775947	0.1257385568581245	0.26878614767077813	0.18812757786079934	0.2114135436332148	0.1557761751138912	0.20261596181477182	0.17666441112130368	0.15348388552247066	0.16346771755541012	0.1651854157529925	0.17089227882126945	0.1850466037233378	0.1986173349800461	0.29764939244082733	0.16744186354282908	0.1441171089069071	0.17297336231023874	0.1857004196866583	0.15738787939360815	0.2439216428071493	0.16948689500293734	0.15993439104542606	0.15631260816855808	0.10751161981572538	0.10622804712273227	0.1153891877563415	0.0	0.09526598853152288	0.09113540301985096	0.18199831560162194	0.18288103989908885	0.20896191155440166	0.1574065809633738	0.5748257833173309	0.64971374554384	0.6250316967967514
