	f14ppB	w14pp	S9H1	w17pp	f22ppA	f6ppA	f1pp	w11pp	f16ppB	w2pp	f2pp	w29pp	S20H1	w3pp	w26pp	f11pp	f32pp	w20pp	w8pp	s8pp	w12pp	f15pp	w9pp	f7pp	f16ppA	w24pp	w10pp	w7pp	w1pp	f14ppA	f9pp	w6pp	w18pp	f24pp	f20ppB	f19pp	w32pp	w16pp	w15pp	w21pp	w19pp
w12pp	0.23403968743746634	0.25551842288903875	0.5164762848961492	0.2816748891501105	0.34196381364206574	0.3840257098294684	0.3884900897801077	0.20410138647393225	0.31311569700743125	0.289345687404472	0.4183967847517733	0.3348332819867991	0.5673753966700983	0.37929680599262183	0.28451778077569256	0.4212422253512065	0.3735666632708482	0.19493967594199868	0.2738737279840718	0.39565685839071496	0.0	0.26362011417000913	0.2957333188696112	0.23995132893772106	0.318330406008859	0.4331250789500102	0.30742426127015476	0.4185854403379109	0.35702839762005256	0.33520179410520456	0.3594814744152568	0.3798152913537409	0.23704041239195928	0.22932593948975416	0.3593920785679164	0.2677462295720491	0.31481243204283704	0.30402472636652994	0.3319214977867381	0.36592226646366355	0.25475017742771916
f15pp	0.24974100301533014	0.27121973846690256	0.532177600474013	0.2973762047279743	0.35766512921992955	0.3997270254073322	0.4041914053579715	0.21980270205179606	0.32881701258529505	0.3050470029823358	0.4340981003296371	0.35053459756466293	0.5830767122479621	0.39499812157048564	0.30021909635355637	0.4369435409290703	0.389267978848712	0.21064099151986249	0.2895750435619356	0.41135817396857877	0.26362011417000913	0.0	0.311434634447475	0.2556526445155849	0.3340317215867228	0.448826394527874	0.32312557684801857	0.4342867559157747	0.37272971319791637	0.35090310968306837	0.3751827899931206	0.39551660693160473	0.2527417279698231	0.24502725506761797	0.3750933941457802	0.2834475451499129	0.33051374762070085	0.31972604194439375	0.3476228133646019	0.38162358204152735	0.27045149300558297
w9pp	0.23757718841980902	0.2590559238713814	0.5200137858784918	0.28521239013245314	0.34550131462440836	0.38756321081181105	0.39202759076245036	0.2076388874562749	0.31665319798977387	0.2928831883868146	0.42193428573411595	0.3383707829691418	0.5709128976524409	0.3828343069749645	0.28805528175803524	0.4247797263335491	0.3771041642531908	0.19847717692434136	0.27741122896641446	0.3991943593730576	0.2957333188696112	0.311434634447475	0.0	0.19829536302788447	0.32186790699120166	0.4366625799323528	0.3109617622524974	0.4221229413202535	0.36056589860239524	0.3387392950875472	0.3630189753975994	0.3833527923360836	0.24057791337430193	0.23286344047209678	0.36292957955025906	0.2712837305543917	0.31834993302517967	0.3075622273488726	0.33545899876908075	0.36945976744600617	0.25828767841006184
f7pp	0.18179519848791892	0.20327393393949128	0.4642317959466017	0.22943040020056304	0.28971932469251827	0.33178122087992096	0.33624560083056027	0.15185689752438478	0.2608712080578838	0.2371011984549245	0.3661522958022258	0.28258879303725165	0.5151309077205508	0.3270523170430744	0.23227329182614512	0.368997736401659	0.3213221743213007	0.14269518699245123	0.22162923903452433	0.3434123694411675	0.23995132893772106	0.2556526445155849	0.19829536302788447	0.0	0.26608591705931156	0.3808805900004627	0.2551797723206073	0.3663409513883634	0.30478390867050514	0.2829573051556571	0.3072369854657093	0.3275708024041935	0.18479592344241183	0.1770814505402067	0.30714758961836897	0.21550174062250163	0.26256794309328957	0.2517802374169825	0.27967700883719065	0.3136777775141161	0.2025056884781717
f16ppA	0.21009163643344664	0.231570371885019	0.4925282338921294	0.25772683814609076	0.318015762638046	0.3600776588254487	0.364542038776088	0.20090919756009296	0.3099235080935919	0.28615349849063265	0.415204595837934	0.33164109307295986	0.564183207756259	0.37610461707878257	0.2813255918618533	0.41805003643736716	0.3703744743570089	0.1917474870281594	0.29296074126979943	0.41474387167644255	0.318330406008859	0.3340317215867228	0.32186790699120166	0.26608591705931156	0.0	0.3072474602363249	0.20291796450877764	0.31407914357653377	0.3125717342073666	0.2907451306925186	0.31502481100257085	0.335358627941055	0.1925837489792733	0.18486927607706816	0.3149354151552304	0.2232895661593631	0.2703557686301511	0.259568062953844	0.3079734467827184	0.3419742154596438	0.23080212642369943
w24pp	0.3248863093745978	0.34636504482617014	0.6073229068332806	0.3725215110872419	0.4328104355791972	0.4748723317665998	0.47933671171723913	0.31570387050124415	0.4247181810347431	0.40094817143178385	0.5299992687790851	0.446435766014111	0.67897788069741	0.4908992900199337	0.39612026480300444	0.5328447093785184	0.4851691472981601	0.30654215996931056	0.40775541421095063	0.5295385446175938	0.4331250789500102	0.448826394527874	0.4366625799323528	0.3808805900004627	0.3072474602363249	0.0	0.31771263744992884	0.42887381651768497	0.4273664071485178	0.4055398036336698	0.42981948394372205	0.4501533008822062	0.3073784219204245	0.29966394901821936	0.4297300880963816	0.3380842391005143	0.3851504415713023	0.3743627358949952	0.42276811972386946	0.45676888840079494	0.34559679936485055
w10pp	0.19918549169474237	0.22066422714631473	0.48162208915342514	0.2468206934073865	0.3071096178993417	0.3491715140867444	0.3536358940373837	0.19000305282138868	0.2990173633548877	0.27524735375192844	0.4042984510992297	0.32073494833425553	0.5532770630175546	0.3651984723400783	0.270419447123149	0.40714389169866294	0.35946832961830466	0.18084134228945514	0.2820545965310952	0.40383772693773834	0.30742426127015476	0.32312557684801857	0.3109617622524974	0.2551797723206073	0.20291796450877764	0.31771263744992884	0.0	0.27268501154118535	0.30166558946866234	0.2798389859538143	0.3041186662638665	0.3244524832023507	0.18167760424056903	0.17396313133836389	0.30402927041652617	0.21238342142065883	0.25944962389144677	0.24866191821513972	0.2970673020440141	0.3310680707209396	0.21989598168499516
w7pp	0.31034667076249844	0.3318254062140708	0.5927832682211812	0.35798187247514257	0.4182707969670978	0.46033269315450054	0.46479707310513985	0.3011642318891448	0.41017854242264384	0.38640853281968457	0.5154596301669858	0.43189612740201166	0.6644382420853108	0.47635965140783443	0.38158062619090516	0.5183050707664191	0.4706295086860608	0.2920025213572113	0.39321577559885135	0.5149989060054945	0.4185854403379109	0.4342867559157747	0.4221229413202535	0.3663409513883634	0.31407914357653377	0.42887381651768497	0.27268501154118535	0.0	0.4128267685364185	0.3910001650215704	0.41527984533162265	0.43561366227010684	0.2928387833083252	0.28512431040612	0.4151904494842823	0.32354460048841494	0.3706108029592029	0.35982309728289585	0.4082284811117701	0.4422292497886956	0.3310571607527512
w1pp	0.24878962804464022	0.2702683634962126	0.531226225503323	0.29642482975728435	0.35671375424923957	0.39877565043664226	0.40324003038728157	0.23960718917128654	0.3486214997047855	0.32485149010182623	0.4539025874491276	0.37033908468415344	0.6028811993674525	0.41480260868997615	0.3200235834730469	0.45674802804856074	0.40907246596820246	0.230445478639353	0.331658732880993	0.45344186328763614	0.35702839762005256	0.37272971319791637	0.36056589860239524	0.30478390867050514	0.3125717342073666	0.4273664071485178	0.30166558946866234	0.4128267685364185	0.0	0.2898264627707595	0.31410614308081175	0.3344399600192959	0.2055215315613291	0.19780705865912396	0.3278731977372862	0.2362273487414189	0.2832935512122069	0.2725058455358998	0.34667143839391196	0.3806722070708374	0.269500118034893
f14ppA	0.22696302452979217	0.24844175998136458	0.509399621988475	0.27459822624243635	0.33488715073439157	0.3769490469217942	0.3814134268724335	0.2177805856564385	0.3267948961899375	0.30302488658697824	0.43207598393427954	0.3485124811693054	0.5810545958526045	0.3929760051751281	0.2981969799581988	0.43492142453371274	0.38724586245335446	0.20861887512450497	0.309832129366145	0.43161525977278814	0.33520179410520456	0.35090310968306837	0.3387392950875472	0.2829573051556571	0.2907451306925186	0.4055398036336698	0.2798389859538143	0.3910001650215704	0.2898264627707595	0.0	0.24056212851549347	0.31261135650344785	0.18369492804648108	0.17598045514427596	0.3060465942224382	0.21440074522657088	0.26146694769735884	0.25067924202105174	0.3248448348790639	0.3588456035559894	0.247673514520045
