	f12ppA	F7H1	w30pp	S18H1	s22pp	w21pp	f13pp	f18pp	f8pp	f6ppA	F6H1	w6pp	f20ppB	f2pp	f28pp	s32pp	s28pp	s19pp	s24pp	s27pp	S1Hp	S15Hp	f15pp	f16ppB	S22Hp	S9H1	F23HpA	w10pp	f31pp	f9pp	f14ppB	f17ppA	f21pp	w16pp	w3pp	s3pp	s1pp
S15Hp	0.317143865019489	0.3383370606760278	0.3526453899682196	0.47289608581509124	0.2638166265759495	0.2789589004911852	0.2541432865876264	0.2483084550227565	0.23589061892860247	0.28677810215809485	0.42924286608649764	0.25461432730521943	0.32408878271469244	0.33805522793548093	0.29440622767541613	0.3395758016757103	0.29216462683082006	0.3880614519466203	0.27985103828059055	0.29460646597119927	0.28724944135150177	0.0	0.33407747147713396	0.30202808987153296	0.38132390876412103	0.39041572107165773	0.3761150245554154	0.31409120075019986	0.28562600367521174	0.2346115544136551	0.22573747263119487	0.2350073035010508	0.25261038627897103	0.29540808835743737	0.2365830385273115	0.28237964593908055	0.21934255388837068
f15pp	0.4142172975511058	0.43541049320764463	0.4497188224998364	0.5699695183467081	0.36089005910756633	0.37603233302280203	0.35121671911924324	0.3453818875543733	0.3329640514602193	0.38385153468971167	0.5263162986181145	0.35168775983683626	0.42116221524630926	0.43512866046709775	0.39147966020703295	0.4366492342073271	0.3892380593624369	0.4851348844782371	0.4018610833012125	0.41661651099182123	0.4092594863721237	0.33407747147713396	0.0	0.2915174271100815	0.37081324600266957	0.43088426075303415	0.4165835642367918	0.4111646332818167	0.38269943620682856	0.33168498694527193	0.3228109051628117	0.33208073603266763	0.34968381881058785	0.3924815208890542	0.3336564710589283	0.37945307847069737	0.3164159864199875
f16ppB	0.3821679159455048	0.40336111160204363	0.4176694408942354	0.5379201367411071	0.32884067750196533	0.34398295141720103	0.31916733751364224	0.3133325059487723	0.3009146698546183	0.35180215308411067	0.49426691701251346	0.31963837823123525	0.38911283364070826	0.40307927886149675	0.35943027860143195	0.4045998526017261	0.3571886777568359	0.4530855028726361	0.3698117016956115	0.38456712938622023	0.3772101047665227	0.30202808987153296	0.2915174271100815	0.0	0.33876186439606853	0.39883487914743315	0.3845341826311908	0.3791152516762157	0.35065005460122756	0.29963560533967093	0.2907615235572107	0.30003135442706663	0.31763443720498685	0.3604321392834532	0.3016070894533273	0.34740369686509637	0.2843666048143865
S22Hp	0.4614637348380929	0.4826569304946317	0.4969652597868235	0.6172159556336951	0.4081364963945534	0.4232787703097891	0.3984631564062303	0.3926283248413604	0.38021048874720637	0.43109797197669875	0.5735627359051015	0.39893419712382333	0.46840865253329633	0.4823750977540848	0.43872609749402003	0.4838956714943142	0.43648449664942396	0.5323813217652242	0.4491075205881996	0.4638629482788083	0.4565059236591108	0.38132390876412103	0.37081324600266957	0.33876186439606853	0.0	0.47813069804002123	0.4638300015237789	0.45841107056880376	0.42994587349381563	0.378931424232259	0.37005734244979877	0.3793271733196547	0.39693025609757493	0.43972795817604127	0.3809029083459154	0.42669951575768444	0.3636624237069746
S9H1	0.4705555471456296	0.4917487428021684	0.5060570720943602	0.6263077679412319	0.4172283087020901	0.4323705826173258	0.40755496871376695	0.4017201371488971	0.38930230105474306	0.44018978428423544	0.5826545482126382	0.40802600943136	0.4775004648408331	0.49146691006162146	0.4478179098015567	0.49298748380185087	0.44557630895696065	0.5414731340727609	0.4581993328957363	0.472954760586345	0.46559773596664744	0.39041572107165773	0.43088426075303415	0.39883487914743315	0.47813069804002123	0.0	0.41074011587020903	0.46750288287634045	0.4390376858013523	0.3880232365397957	0.37914915475733546	0.3884189856271914	0.4060220684051116	0.4488197704835779	0.3899947206534521	0.43579132806522114	0.3727542360145113
F23HpA	0.45625485062938725	0.4774480462859261	0.49175637557811785	0.6120070714249894	0.40292761218584777	0.4180698861010835	0.3932542721975246	0.38741944063265477	0.37500160453850073	0.4258890877679931	0.568353851696396	0.3937253129151177	0.46319976832459075	0.47716621354537914	0.4335172132853144	0.47868678728560854	0.4312756124407183	0.5271724375565185	0.44389863637949395	0.4586540640701027	0.4512970394504051	0.3761150245554154	0.4165835642367918	0.3845341826311908	0.4638300015237789	0.41074011587020903	0.0	0.4532021863600981	0.42473698928510994	0.3737225400235534	0.36484845824109313	0.3741182891109491	0.3917213718888693	0.4345190739673356	0.37569402413720976	0.4214906315489788	0.35845353949826897
w10pp	0.35898782669602675	0.38018102235256557	0.39448935164475735	0.514740047491629	0.30566058825248726	0.32080286216772297	0.3160974981857827	0.31026266662091284	0.2978448305267588	0.3487323137562512	0.491197077684654	0.3165685389033758	0.38604299431284883	0.4000094395336372	0.35636043927357247	0.4015300132738666	0.3541188384289764	0.4500156635447766	0.3818748125742784	0.39663024026488714	0.3892732156451896	0.31409120075019986	0.4111646332818167	0.3791152516762157	0.45841107056880376	0.46750288287634045	0.4532021863600981	0.0	0.24360835213566426	0.23966658411769132	0.23079250233523108	0.25687146009943873	0.27447454287735895	0.3172722449558253	0.27842700020384925	0.3242236076156183	0.26118651556490846
f31pp	0.3305226296210386	0.35171582527757744	0.3660241545697692	0.48627485041664087	0.27719539117749914	0.29233766509273484	0.2876323011107946	0.28179746954592466	0.2693796334517707	0.32026711668126306	0.46273188060966586	0.2881033418283876	0.35757779723786065	0.3715442424586491	0.32789524219858435	0.37306481619887844	0.3256536413539882	0.42155046646978844	0.3534096154992903	0.36816504318989896	0.36080801857020145	0.28562600367521174	0.38269943620682856	0.35065005460122756	0.42994587349381563	0.4390376858013523	0.42473698928510994	0.24360835213566426	0.0	0.21120138704270316	0.20232730526024292	0.22840626302445055	0.2460093458023708	0.2888070478808371	0.2499618031288611	0.2957584105406301	0.2327213184899203
f9pp	0.279508180359482	0.3007013760160208	0.3150097053082126	0.43526040115508424	0.2261809419159425	0.24132321583117822	0.23661785184923798	0.2307830202843681	0.21836518419021406	0.26925266741970644	0.41171743134810923	0.23708889256683102	0.306563347976304	0.3205297931970925	0.2768807929370277	0.32205036693732186	0.27463919209243165	0.37053601720823187	0.30239516623773366	0.3171505939283424	0.3097935693086449	0.2346115544136551	0.33168498694527193	0.29963560533967093	0.378931424232259	0.3880232365397957	0.3737225400235534	0.23966658411769132	0.21120138704270316	0.0	0.1415015816541108	0.17739181376289398	0.1949948965408142	0.2377925986192805	0.1989473538673045	0.24474396127907355	0.18170686922836368
f14ppB	0.27063409857702175	0.2918272942335606	0.30613562352575235	0.426386319372624	0.21730686013348227	0.23244913404871798	0.22774377006677773	0.22190893850190785	0.20949110240775382	0.2603785856372462	0.402843349565649	0.22821481078437078	0.29768926619384384	0.3116557114146322	0.2680067111545675	0.3131762851548616	0.2657651103099714	0.36166193542577163	0.2935210844552734	0.30827651214588214	0.3009194875261846	0.22573747263119487	0.3228109051628117	0.2907615235572107	0.37005734244979877	0.37914915475733546	0.36484845824109313	0.23079250233523108	0.20232730526024292	0.1415015816541108	0.0	0.16851773198043374	0.18612081475835396	0.22891851683682027	0.19007327208484426	0.2358698794966133	0.17283278744590344
f17ppA	0.2799039294468777	0.3010971251034165	0.3154054543956083	0.43565615024247994	0.2265766910033382	0.24171896491857392	0.23701360093663365	0.2311787693717638	0.21876093327760976	0.26964841650710214	0.41211318043550493	0.23748464165422672	0.3069590970636997	0.32092554228448816	0.2772765420244234	0.32244611602471757	0.27503494117982735	0.3709317662956276	0.30279091532512936	0.3175463430157381	0.3101893183960405	0.2350073035010508	0.33208073603266763	0.30003135442706663	0.3793271733196547	0.3884189856271914	0.3741182891109491	0.25687146009943873	0.22840626302445055	0.17739181376289398	0.16851773198043374	0.0	0.14302624765774907	0.1858239497362154	0.19934310295470017	0.24513971036646923	0.18210261831575938
f21pp	0.2975070122247979	0.31870020788133674	0.3330085371735285	0.45325923302040017	0.24417977378125844	0.25932204769649414	0.2546166837145539	0.248781852149684	0.23636401605552998	0.28725149928502236	0.42971626321342515	0.25508772443214695	0.32456217984161995	0.33852862506240844	0.29487962480234364	0.3400491988026378	0.2926380239577476	0.3885348490735478	0.3203939981030496	0.3351494257936583	0.3277924011739608	0.25261038627897103	0.34968381881058785	0.31763443720498685	0.39693025609757493	0.4060220684051116	0.3917213718888693	0.27447454287735895	0.2460093458023708	0.1949948965408142	0.18612081475835396	0.14302624765774907	0.0	0.1941368302003864	0.21694618573262042	0.2627427931443895	0.1997057010936796
w16pp	0.34030471430326426	0.3614979099598031	0.37580623925199486	0.4960569350988665	0.2869774758597248	0.3021197497749605	0.2974143857930202	0.2915795542281503	0.2791617181339963	0.3300492013634887	0.4725139652918915	0.2978854265106132	0.3673598819200863	0.3813263271408747	0.33767732688081	0.38284690088110407	0.33543572603621385	0.4313325511520141	0.3631917001815159	0.3779471278721246	0.3705901032524271	0.29540808835743737	0.3924815208890542	0.3604321392834532	0.43972795817604127	0.4488197704835779	0.4345190739673356	0.3172722449558253	0.2888070478808371	0.2377925986192805	0.22891851683682027	0.1858239497362154	0.1941368302003864	0.0	0.2597438878110867	0.30554049522285576	0.24250340317214594
w3pp	0.26226477400412157	0.2834579696606604	0.29776629895285217	0.4180169947997238	0.2089375355605821	0.22407980947581782	0.23858933596289436	0.23275450439802448	0.22033666830387044	0.2712241515333628	0.4136889154617656	0.2390603766804874	0.30853483208996046	0.32250127731074885	0.2788522770506841	0.32402185105097825	0.27661067620608804	0.37250750132188826	0.30436665035139004	0.31912207804199877	0.3117650534223012	0.2365830385273115	0.3336564710589283	0.3016070894533273	0.3809029083459154	0.3899947206534521	0.37569402413720976	0.27842700020384925	0.2499618031288611	0.1989473538673045	0.19007327208484426	0.19934310295470017	0.21694618573262042	0.2597438878110867	0.0	0.14914801448609422	0.16446346287300329
s3pp	0.3080613814158906	0.32925457707242944	0.3435629063646212	0.46381360221149287	0.25473414297235114	0.26987641688758685	0.2843859433746634	0.27855111180979353	0.2661332757156395	0.3170207589451319	0.45948552287353467	0.28485698409225646	0.3543314395017295	0.3682978847225179	0.32464888446245316	0.3698184584627473	0.3224072836178571	0.4183041087336573	0.3501632577631591	0.3649186854537678	0.35756166083407026	0.28237964593908055	0.37945307847069737	0.34740369686509637	0.42669951575768444	0.43579132806522114	0.4214906315489788	0.3242236076156183	0.2957584105406301	0.24474396127907355	0.2358698794966133	0.24513971036646923	0.2627427931443895	0.30554049522285576	0.14914801448609422	0.0	0.2102600702847723
s1pp	0.21294873894996538	0.2341419346065042	0.24845026389869598	0.36870095974556766	0.1596215005064259	0.17476377442166163	0.22134885132395357	0.21551401975908366	0.20309618366492962	0.25398366689442203	0.3964484308228248	0.2218198920415466	0.2912943474510197	0.3052607926718081	0.2616117924117433	0.30678136641203746	0.25937019156714725	0.35526701668294747	0.28712616571244926	0.301881593403058	0.2945245687833605	0.21934255388837068	0.3164159864199875	0.2843666048143865	0.3636624237069746	0.3727542360145113	0.35845353949826897	0.26118651556490846	0.2327213184899203	0.18170686922836368	0.17283278744590344	0.18210261831575938	0.1997057010936796	0.24250340317214594	0.16446346287300329	0.2102600702847723	0.0
