	f15pp	f12ppA	f17ppA	f30pp	f4pp	f7pp	f3pp	f21pp	S20H1	f18pp	f25pp	f32pp	w30pp	f20ppB	f23ppB	f14ppB	f14ppA	w3pp	w14pp	f19pp	w16pp	w8pp	w4pp	w25pp	w17pp	w27pp	w15pp	w1pp	w19pp	w13pp	f16ppA	w18pp	f12ppB	f17ppB	f26pp	S18H1	f29pp	f10pp	f1pp	f2pp	f28pp	f6ppB	f16ppB	f22ppA	f13pp	s16pp	w9pp
w16pp	0.35968616891550553	0.3469058778777806	0.3230324331036701	0.42841924494141614	0.3672522977871756	0.3573871569344444	0.34361936255044906	0.3861038144997165	0.4689744230133227	0.38442520007152486	0.4125701128367502	0.38105066461137094	0.49662948087784836	0.40722352102931336	0.4454696951743209	0.39865638757592703	0.26745187743162213	0.1916398190484947	0.28200321960823793	0.17658278656588683	0.0	0.2283852816571419	0.36182526838339646	0.36768992348171226	0.28021327141598673	0.42058533651380947	0.3527751415239028	0.25739135997610896	0.2634980718400668	0.28529965594116524	0.3535794377061695	0.40369445322344283	0.3807402457096012	0.44075888477399405	0.2949748117562401	0.4368581247828106	0.3559926090639116	0.42940271503857075	0.3512342358081971	0.3146477055859037	0.3896069233664572	0.4043722565529	0.3740698722587832	0.4071407862473922	0.3834247351209748	0.4789217302159023	0.4566720793299645
w8pp	0.32213247842830117	0.30935218739057635	0.2854787426164658	0.3908655544542119	0.3296986072999713	0.3198334664472401	0.30606567206324475	0.3485501240125122	0.4314207325261184	0.34687150958432056	0.3750164223495459	0.34349697412416663	0.45907579039064406	0.36966983054210906	0.40791600468711653	0.36110269708872267	0.22989818694441783	0.1540861285612904	0.24444952912103363	0.1722088926909281	0.2283852816571419	0.0	0.32427157789619215	0.33013623299450795	0.24265958092878248	0.38303164602660517	0.3152214510366985	0.21983766948890465	0.2259443813528625	0.247745965453961	0.3160257472189652	0.3661407627362385	0.3431865552223968	0.4032051942867898	0.25742112126903577	0.39930443429560625	0.31843891857670736	0.3918490245513664	0.3136805453209928	0.2770940150986994	0.35205323287925294	0.36681856606569563	0.33651618177157894	0.3695870957601879	0.3458710446337705	0.441368039728698	0.41911838884276015
w4pp	0.4266311378365426	0.4138508467988177	0.38997740202470715	0.4953642138624532	0.4341972667082127	0.42433212585548147	0.41056433147148613	0.45304878342075355	0.5359193919343598	0.45137016899256194	0.4795150817577873	0.447995633532408	0.5635744497988855	0.47416848995035044	0.512414664095358	0.4656013564969641	0.3343968463526592	0.2585847879695317	0.34894818852927495	0.30564887941718266	0.36182526838339646	0.32427157789619215	0.0	0.4195144452389944	0.332037793173269	0.4724098582710916	0.404599663281185	0.3092158817333911	0.315322593597349	0.3371241776984475	0.4205244066272066	0.47063942214447985	0.4476852146306382	0.5077038536950311	0.3619197806772771	0.5038030937038476	0.4229375779849487	0.49634768395960777	0.4181792047292342	0.38159267450694073	0.45655189228749427	0.471317225473937	0.44101484117982026	0.47408575516842927	0.4503697040420119	0.5458666991369394	0.5236170482510016
w25pp	0.4324957929348583	0.41971550189713347	0.3958420571230229	0.501228868960769	0.4400619218065284	0.4301967809537972	0.4164289865698019	0.4589134385190693	0.5417840470326756	0.4572348240908777	0.48537973685610303	0.45386028863072375	0.5694391048972012	0.4800331450486662	0.5182793191936736	0.4714660115952798	0.34026150145097495	0.26444944306784746	0.3548128436275907	0.3115135345154984	0.36768992348171226	0.33013623299450795	0.4195144452389944	0.0	0.3246715070883941	0.4650435721862167	0.39723337719631013	0.30184959564851627	0.3079563075124741	0.3297578916135726	0.42638906172552227	0.47650407724279564	0.45354986972895395	0.5135685087933468	0.36778443577559283	0.5096677488021634	0.42880223308326443	0.5022123390579235	0.4240438598275499	0.3874573296052565	0.46241654738581	0.47718188057225275	0.446879496278136	0.479950410266745	0.4562343591403276	0.5517313542352551	0.5294817033493173
w17pp	0.34501914086913277	0.33223884983140795	0.30836540505729737	0.4137522168950435	0.3525852697408029	0.3427201288880717	0.32895233450407635	0.37143678645334377	0.45430739496695	0.36975817202515215	0.3979030847903775	0.3663836365649982	0.48196245283147565	0.39255649298294065	0.4308026671279481	0.38398935952955426	0.2527848493852494	0.176972791002122	0.2673361915618652	0.22403688244977293	0.28021327141598673	0.24265958092878248	0.332037793173269	0.3246715070883941	0.0	0.2965662812497524	0.25215804331325803	0.1567742617654641	0.162880973629422	0.21569694314861085	0.3389124096597968	0.3890274251770701	0.3660732176632284	0.4260918567276214	0.28030778370986736	0.42219109673643784	0.34132558101753896	0.414735686992198	0.3365672077618244	0.299980677539531	0.37493989532008454	0.3897052285065272	0.35940284421241053	0.3924737582010195	0.3687577070746021	0.4642547021695296	0.4420050512835918
w27pp	0.4853912059669555	0.4726109149292307	0.4487374701551201	0.5541242819928662	0.49295733483862564	0.4830921939858944	0.4693243996018991	0.5118088515511665	0.5946794600647727	0.5101302371229749	0.5382751498882002	0.506755701662821	0.6223345179292984	0.5329285580807634	0.5711747322257709	0.524361424627377	0.39315691448307216	0.3173448560999447	0.4077082566596879	0.3644089475475956	0.42058533651380947	0.38303164602660517	0.4724098582710916	0.4650435721862167	0.2965662812497524	0.0	0.3925301084110807	0.2971463268632868	0.30325303872724463	0.3560690082464335	0.4792844747576195	0.5293994902748929	0.5064452827610512	0.5664639218254441	0.42067984880769005	0.5625631618342606	0.48169764611536164	0.5551077520900207	0.4769392728596471	0.4403527426373537	0.5153119604179073	0.53007729360435	0.4997749093102332	0.5328458232988422	0.5091297721724248	0.6046267672673523	0.5823771163814145
w15pp	0.4175810109770489	0.4048007199393241	0.3809272751652135	0.48631408700295964	0.42514713984871905	0.41528199899598783	0.4015142046119925	0.4439986565612599	0.5268692650748661	0.4423200421330683	0.47046495489829365	0.4389455066729144	0.5545243229393918	0.4651183630908568	0.5033645372358643	0.4565512296374704	0.32534671949316557	0.24953466111003808	0.3398980616697813	0.29659875255768897	0.3527751415239028	0.3152214510366985	0.404599663281185	0.39723337719631013	0.25215804331325803	0.3925301084110807	0.0	0.19133479381181595	0.21421475968912795	0.2882588132565269	0.4114742797677129	0.46158929528498627	0.43863508777114457	0.4986537268355375	0.35286965381778346	0.494752966844354	0.41388745112545505	0.48729755710011413	0.4091290778697405	0.3725425476474471	0.44750176542800063	0.4622670986144434	0.4319647143203266	0.46503562830893563	0.44131957718251824	0.5368165722774457	0.514566921391508
w1pp	0.3221972294292549	0.30941693839153006	0.28554349361741954	0.3909303054551656	0.32976335830092507	0.31989821744819386	0.3061304230641985	0.34861487501346594	0.43148548352707217	0.3469362605852743	0.3750811733504997	0.3435617251251204	0.4591405413915978	0.3697345815430628	0.40798075568807035	0.3611674480896765	0.2299629379453716	0.15415087956224416	0.2445142801219874	0.2012149710098951	0.25739135997610896	0.21983766948890465	0.3092158817333911	0.30184959564851627	0.1567742617654641	0.2971463268632868	0.19133479381181595	0.0	0.11883097814133403	0.192875031708733	0.31609049821991897	0.3662055137371923	0.34325130622335065	0.4032699452877435	0.25748587226998954	0.39936918529656007	0.3185036695776611	0.3919137755523202	0.3137452963219466	0.2771587660996532	0.35211798388020665	0.36688331706664945	0.33658093277253265	0.3696518467611416	0.34593579563472426	0.4414327907296517	0.4191831398437139
w19pp	0.32830394129321283	0.315523650255488	0.29165020548137743	0.39703701731912355	0.33587007016488296	0.32600492931215175	0.3122371349281564	0.35472158687742383	0.43759219539103006	0.3530429724492322	0.38118788521445757	0.3496684369890783	0.4652472532555557	0.3758412934070207	0.4140874675520282	0.3672741599536343	0.23606964980932948	0.16025759142620205	0.2506209919859453	0.20732168287385297	0.2634980718400668	0.2259443813528625	0.315322593597349	0.3079563075124741	0.162880973629422	0.30325303872724463	0.21421475968912795	0.11883097814133403	0.0	0.19898174357269088	0.32219721008387686	0.3723122256011502	0.3493580180873085	0.40937665715170146	0.2635925841339474	0.4054758971605179	0.324610381441619	0.39802048741627805	0.3198520081859045	0.28326547796361107	0.3582246957441646	0.3729900289306073	0.3426876446364906	0.37575855862509955	0.35204250749868216	0.44753950259360964	0.42528985170767186
w13pp	0.3501055253943113	0.33732523435658646	0.3134517895824759	0.418838601420222	0.3576716542659814	0.3478065134132502	0.33403871902925486	0.3765231709785223	0.4593937794921285	0.37484455655033067	0.402989469315556	0.37147002109017674	0.48704883735665416	0.39764287750811916	0.43588905165312664	0.3890757440547328	0.25787123391042793	0.1820591755273005	0.27242257608704373	0.22912326697495145	0.28529965594116524	0.247745965453961	0.3371241776984475	0.3297578916135726	0.21569694314861085	0.3560690082464335	0.2882588132565269	0.192875031708733	0.19898174357269088	0.0	0.3439987941849753	0.39411380970224863	0.37115960218840693	0.4311782412527999	0.2853941682350459	0.42727748126161635	0.34641196554271747	0.4198220715173765	0.3416535922870029	0.3050670620647095	0.38002627984526305	0.39479161303170573	0.36448922873758904	0.397560142726198	0.3738440915997806	0.4693410866947081	0.4470914358087703
