	31749	S23Hp	S4Hp	S30H1	F29H1	S21H1	s24H1	31700	F1H1	F3H1	S7Hp	F14H1B	31009	F23HpA	531414	F6H1	F14H1A	S20H1	S11Hp	31452	S6Hp	31333	31219	S9H1	S17H1	F32H1	S15Hp	S12Hp	31300	31328	S19H1
S7Hp	0.3440743183837507	0.34130134411385193	0.34301925148600043	0.35993352140888624	0.38152355067311483	0.3523506635223842	0.36194332458268536	0.3510399297386711	0.32741227987156635	0.21062208319750103	0.0	0.31442771225148003	0.3162291530713572	0.3311225682188573	0.32444003596254056	0.31099838030352356	0.33359519813152233	0.35170180710548665	0.3572453349955225	0.3356065518334208	0.33114717478367367	0.38443011638913727	0.3371930973329251	0.35152559554440643	0.3392003172361046	0.3745155831812145	0.34815141374006064	0.32407796477348305	0.3404151927263469	0.3425343019977423	0.34389386130294264
F14H1B	0.4183979554185835	0.4156249811486848	0.4173428885208333	0.4342571584437191	0.4558471877079477	0.426674300557217	0.4362669616175182	0.42536356677350395	0.4017359169063992	0.37180796958458584	0.31442771225148003	0.0	0.3548930422428709	0.4054462052536902	0.39876367299737336	0.3853220173383564	0.4079188351663552	0.4260254441403195	0.4315689720303554	0.4099301888682536	0.40547081181850647	0.45875375342397007	0.4115167343677579	0.42584923257923923	0.4135239542709374	0.4488392202160473	0.42247505077489345	0.39840160180831585	0.4147388297611797	0.4168579390325751	0.41821749833777544
31009	0.4201993962384607	0.41742642196856194	0.41914432934071044	0.43605859926359625	0.45764862852782484	0.4284757413770942	0.43806840243739537	0.4271650075933811	0.40353735772627636	0.37360941040446305	0.3162291530713572	0.3548930422428709	0.0	0.40724764607356734	0.4005651138172506	0.38712345815823357	0.40972027598623234	0.42782688496019666	0.43337041285023253	0.4117316296881308	0.4072722526383837	0.4605551942438473	0.4133181751876351	0.42765067339911644	0.4153253950908146	0.4506406610359245	0.42427649159477065	0.40020304262819306	0.4165402705810569	0.41865937985245233	0.42001893915765265
F23HpA	0.41053881745770354	0.40776584318780484	0.40948375055995334	0.42639802048283915	0.44798804974706774	0.41881516259633705	0.4284078236566382	0.41750442881262395	0.3938767789455192	0.38850282555196325	0.3311225682188573	0.4054462052536902	0.40724764607356734	0.0	0.29802268409860666	0.3463370567467183	0.36893387457471705	0.38704048354868137	0.39258401143871724	0.4020710509073737	0.3976116738576265	0.4508946154630901	0.4036575964068779	0.4179900946183593	0.40566481631005746	0.44098008225516727	0.41461591281401355	0.39054246384743585	0.4068796918002998	0.4089988010716952	0.41035836037689555
531414	0.4038562852013867	0.401083310931488	0.4028012183036365	0.4197154882265223	0.4413055174907509	0.41213263034002023	0.42172529140032144	0.4108218965563072	0.38719424668920244	0.3818202932956464	0.32444003596254056	0.39876367299737336	0.4005651138172506	0.29802268409860666	0.0	0.33965452449040145	0.36225134231840017	0.3803579512923645	0.38590147918240036	0.39538851865105684	0.3909291416013097	0.4442120832067733	0.3969750641505611	0.41130756236204247	0.39898228405374064	0.4342975499988505	0.4079333805576967	0.3838599315911191	0.40019715954398294	0.40231626881537835	0.4036758281205787
F6H1	0.3904146295423698	0.3876416552724711	0.3893595626446196	0.4062738325675054	0.42786386183173397	0.3986909746810033	0.40828363574130444	0.3973802408972902	0.37375259103018543	0.3683786376366295	0.31099838030352356	0.3853220173383564	0.38712345815823357	0.3463370567467183	0.33965452449040145	0.0	0.32530226937169027	0.3434088783456546	0.34895240623569046	0.38194686299203995	0.37748748594229276	0.43077042754775635	0.38353340849154416	0.3978659067030255	0.3855406283947237	0.4208558943398335	0.3944917248986798	0.3704182759321021	0.38675550388496605	0.3888746131563614	0.3902341724615618
F14H1A	0.41301144737036855	0.4102384731004698	0.4119563804726183	0.4288706503955041	0.4504606796597327	0.42128779250900206	0.4308804535693032	0.41997705872528895	0.3963494088581842	0.3909754554646282	0.33359519813152233	0.4079188351663552	0.40972027598623234	0.36893387457471705	0.36225134231840017	0.32530226937169027	0.0	0.3164372821557815	0.3219808100458173	0.40454368082003866	0.4000843037702915	0.4533672453757551	0.40613022631954293	0.4204627245310243	0.40813744622272247	0.44345271216783233	0.4170885427266785	0.3930150937601009	0.40935232171296476	0.4114714309843602	0.4128309902895605
S20H1	0.43111805634433287	0.4283450820744341	0.4300629894465826	0.4469772593694684	0.468567288633697	0.4393944014829664	0.44898706254326753	0.4380836676992533	0.4144560178321485	0.4090820644385925	0.35170180710548665	0.4260254441403195	0.42782688496019666	0.38704048354868137	0.3803579512923645	0.3434088783456546	0.3164372821557815	0.0	0.31399069392563317	0.422650289794003	0.41819091274425585	0.47147385434971945	0.42423683529350725	0.4385693335049886	0.4262440551966868	0.46155932114179665	0.4351951517006428	0.41112170273406523	0.4274589306869291	0.4295780399583245	0.4309375992635248
S11Hp	0.43666158423436874	0.43388860996447	0.4356065173366185	0.4525207872595043	0.4741108165237329	0.44493792937300225	0.4545305904333034	0.44362719558928915	0.4199995457221844	0.4146255923286284	0.3572453349955225	0.4315689720303554	0.43337041285023253	0.39258401143871724	0.38590147918240036	0.34895240623569046	0.3219808100458173	0.31399069392563317	0.0	0.42819381768403886	0.4237344406342917	0.4770173822397553	0.4297803631835431	0.4441128613950245	0.43178758308672266	0.4671028490318325	0.4407386795906787	0.4166652306241011	0.43300245857696495	0.43512156784836037	0.4364811271535607
31452	0.3988538887529617	0.39608091448306293	0.3977988218552114	0.41471309177809723	0.4363031210423258	0.4071302338915952	0.4167228949518964	0.40581950010788215	0.3821918502407774	0.39298680916652673	0.3356065518334208	0.4099301888682536	0.4117316296881308	0.4020710509073737	0.39538851865105684	0.38194686299203995	0.40454368082003866	0.422650289794003	0.42819381768403886	0.0	0.2556074054344025	0.3461485432632042	0.347380926829147	0.3617134250406284	0.34938814673232654	0.3847034126774364	0.35833924323628263	0.334265794269705	0.37742335183703973	0.37954246110843515	0.38090202041363547
