	S3Hp	F22HpB	S17H1	S26Hp	w11pp	w14pp	w26pp	w2pp	S1Hp	31700	S29H1	31300	31219	f20ppA	w20pp	w9pp	w17pp	w18pp	w32pp	w19pp	f19pp	f7pp
S29H1	0.4112476452822198	0.6631209435353281	0.6847953385877704	0.6630743283256139	0.38135449864317505	0.4173108024899509	0.35443874879602216	0.3926393172774324	0.4145081161528025	0.3756522335437503	0.0	0.2841333339910007	0.2847250464087281	0.325312380553464	0.29753840762732453	0.30771938637138774	0.37091780796599794	0.32008607338047146	0.37190725581322415	0.3690371668217117	0.30154373997183204	0.3473946181915646
31300	0.43358911983087717	0.6854624180839854	0.7071368131364277	0.6854158028742712	0.4036959731918325	0.4396522770386083	0.3767802233446796	0.4149807918260898	0.4368495907014599	0.39799370809240775	0.2841333339910007	0.0	0.2561311252049968	0.34765385510212143	0.31987988217598196	0.33006086092004516	0.39325928251465536	0.3424275479291289	0.39424873036188157	0.39137864137036915	0.32388521452048946	0.36973609274022196
31219	0.43418083224860454	0.6860541305017129	0.7077285255541552	0.6860075152919987	0.40428768560955985	0.4402439894563357	0.37737193576240696	0.4155725042438172	0.4374413031191873	0.3985854205101351	0.2847250464087281	0.2561311252049968	0.0	0.3482455675198488	0.32047159459370933	0.33065257333777254	0.39385099493238274	0.34301926034685626	0.39484044277960895	0.3919703537880965	0.32447692693821684	0.37032780515794933
f20ppA	0.3451612381541915	0.5970345364072998	0.618708931459742	0.5969879211975855	0.31526809151514673	0.3512243953619226	0.28835234166799384	0.326552910149404	0.3484217090247741	0.33719814268582293	0.325312380553464	0.34765385510212143	0.3482455675198488	0.0	0.10952398685240923	0.21221349192154704	0.27541191351615724	0.22458017893063076	0.2764013613633834	0.30295075969368335	0.23545733284380374	0.28130821106353626
w20pp	0.31738726522805205	0.5692605634811603	0.5909349585336026	0.569213948271446	0.2874941185890073	0.32345042243578315	0.26057836874185436	0.2987789372232646	0.3206477360986347	0.30942416975968345	0.29753840762732453	0.31987988217598196	0.32047159459370933	0.10952398685240923	0.0	0.18443951899540756	0.24763794059001779	0.19680620600449128	0.24862738843724394	0.2751767867675439	0.2076833599176643	0.25353423813739684
w9pp	0.3275682439721152	0.5794415422252235	0.6011159372776658	0.5793949270155092	0.29767509733307046	0.33363140117984635	0.27075934748591757	0.30895991596732775	0.3308287148426978	0.31960514850374666	0.30771938637138774	0.33006086092004516	0.33065257333777254	0.21221349192154704	0.18443951899540756	0.0	0.2003402448712448	0.14950851028571827	0.2237611135260421	0.2853577655116071	0.21786433866172747	0.26371521688146
w17pp	0.3907666655667254	0.6426399638198337	0.664314358872276	0.6425933486101194	0.3608735189276807	0.39682982277445655	0.33395776908052777	0.372158337561938	0.3940271364373081	0.38280357009835686	0.37091780796599794	0.39325928251465536	0.39385099493238274	0.27541191351615724	0.24763794059001779	0.2003402448712448	0.0	0.2009649170322722	0.28695953512065236	0.34855618710621733	0.2810627602563377	0.3269136384760702
w18pp	0.3399349309811989	0.5918082292343072	0.6134826242867495	0.5917616140245929	0.3100417843421542	0.3459980881889301	0.2831260344950013	0.32132660297641147	0.34319540185178155	0.3319718355128304	0.32008607338047146	0.3424275479291289	0.34301926034685626	0.22458017893063076	0.19680620600449128	0.14950851028571827	0.2009649170322722	0.0	0.23612780053512583	0.2977244525206908	0.2302310256708112	0.2760819038905437
w32pp	0.39175611341395156	0.6436294116670599	0.6653038067195022	0.6435827964573456	0.3618629667749068	0.3978192706216827	0.334947216927754	0.37314778540916416	0.39501658428453423	0.38379301794558307	0.37190725581322415	0.39424873036188157	0.39484044277960895	0.2764013613633834	0.24862738843724394	0.2237611135260421	0.28695953512065236	0.23612780053512583	0.0	0.3495456349534435	0.28205220810356385	0.32790308632329634
w19pp	0.33694038831024953	0.5888136865633578	0.6104880816158	0.5887670713536435	0.3070472416712048	0.36888958766861873	0.30601753397469	0.3442181024561002	0.36608690133147026	0.38092292895407065	0.3690371668217117	0.39137864137036915	0.3919703537880965	0.30295075969368335	0.2751767867675439	0.2853577655116071	0.34855618710621733	0.2977244525206908	0.3495456349534435	0.0	0.17451623336884284	0.2730873612195943
f19pp	0.26944696146036984	0.5213202597134782	0.5429946547659205	0.5212736445037639	0.23955381482132512	0.3013961608187391	0.23852410712481034	0.27672467560622055	0.2985934744815906	0.31342950210419096	0.30154373997183204	0.32388521452048946	0.32447692693821684	0.23545733284380374	0.2076833599176643	0.21786433866172747	0.2810627602563377	0.2302310256708112	0.28205220810356385	0.17451623336884284	0.0	0.20559393436971463
f7pp	0.2134244885844413	0.5139798539129924	0.5356542489654347	0.5139332387032781	0.2608737003245151	0.3472470390384716	0.28437498534454286	0.32257555382595304	0.3444443527013231	0.35928038032392345	0.3473946181915646	0.36973609274022196	0.37032780515794933	0.28130821106353626	0.25353423813739684	0.26371521688146	0.3269136384760702	0.2760819038905437	0.32790308632329634	0.2730873612195943	0.20559393436971463	0.0
