	w11pp	f20ppA	w26pp	f11pp	w29pp	w6pp	w32pp	w16pp	S11Hp	S27H1	F14H1A	S16H2	F22H1A	S23Hp	S26Hp	F1H1	S13Hp	S4Hp	F6H1	S14Hp	s24H1	F23HpA	S1Hp	S19H1	F8H1	F22HpB	S8Hp	S10H1	S25Hp	S17H1	w23pp	s12pp	w24pp	w14pp	w1pp	w3pp	w19pp	w8pp	w2pp
s24H1	0.30585735937763237	0.32079602752832004	0.3095616473465163	0.3211797956461999	0.3290305749609988	0.32299436727911535	0.3099241377422357	0.3118814915910961	0.23480293880224565	0.17360250113099596	0.18022450037944973	0.21611696162487054	0.32054130874034087	0.26488202517233056	0.17301482924985123	0.20785578440860863	0.26354423174152747	0.20017666294352426	0.1828122656756363	0.18720047205742607	0.0	0.15062252274228027	0.18426895897170634	0.14475996712741457	0.2041405008811121	0.16414018716511958	0.1586097576873693	0.1950795847828552	0.2249569502582639	0.27448190299474123	0.2960976965973375	0.37532101699472353	0.32170321275127256	0.3260386642422038	0.34137778247578693	0.33901464365620304	0.3281680928013749	0.3301800481871775	0.33452703144451534
F23HpA	0.3438650096300113	0.358803677780699	0.34756929759889527	0.35918744589857887	0.36703822521337776	0.3610020175314943	0.34793178799461466	0.3498891418434751	0.27281058905462463	0.21161015138337494	0.21823215063182871	0.25412461187724955	0.3585489589927199	0.30288967542470957	0.21102247950223021	0.24586343466098762	0.3015518819939065	0.23818431319590327	0.2208199159280153	0.22520812230980508	0.15062252274228027	0.0	0.2066294521016246	0.16712046025733285	0.24214815113349109	0.2021478374174986	0.1966174079397483	0.23308723503523415	0.26296460051064285	0.3124895532471202	0.33410534684971643	0.4133286672471025	0.3597108630036515	0.36404631449458275	0.3793854327281659	0.377022293908582	0.36617574305375383	0.36818769843955645	0.3725346816968943
S1Hp	0.3775114458594374	0.3924501140101251	0.38121573382832136	0.39283388212800496	0.40068466144280385	0.3946484537609204	0.38157822422404075	0.3835355780729012	0.3064570252840507	0.24525658761280103	0.2518785868612548	0.28777104810667564	0.39219539522214597	0.33653611165413566	0.2446689157316563	0.2795098708904137	0.33519831822333257	0.27183074942532937	0.2544663521574414	0.2588545585392311	0.18426895897170634	0.2066294521016246	0.0	0.18605985428656346	0.2757945873629172	0.23579427364692468	0.2302638441691744	0.26673367126466024	0.29661103674006895	0.3461359894765463	0.3677517830791425	0.4469751034765286	0.3933572992330776	0.39769275072400884	0.413031868957592	0.4106687301380081	0.3998221792831799	0.40183413466898255	0.4061811179263204
S19H1	0.33800245401514567	0.35294112216583334	0.3417067419840296	0.3533248902837132	0.3611756695985121	0.35513946191662865	0.342069232379749	0.34402658622860943	0.2669480334397589	0.20574759576850926	0.21236959501696304	0.24826205626238385	0.3526864033778542	0.29702711980984386	0.20515992388736454	0.24000087904612194	0.2956893263790408	0.23232175758103757	0.2149573603131496	0.21934556669493938	0.14475996712741457	0.16712046025733285	0.18605985428656346	0.0	0.2362855955186254	0.19628528180263288	0.1907548523248826	0.2272246794203685	0.2571020448957772	0.30662699763225454	0.3282427912348508	0.40746611163223684	0.35384830738878587	0.3581837588797171	0.37352287711330023	0.37115973829371635	0.3603131874388882	0.3623251428246908	0.36667212608202865
F8H1	0.3636337802719246	0.3785724484226123	0.36733806824080856	0.37895621654049216	0.38680699585529105	0.3807707881734076	0.36770055863652795	0.3696579124853884	0.2925793596965379	0.23137892202528823	0.238000921273742	0.27389338251916284	0.37831772963463317	0.32265844606662286	0.2307912501441435	0.2656322053029009	0.32132065263581977	0.25795308383781657	0.24058868656992857	0.24497689295171834	0.2041405008811121	0.24214815113349109	0.2757945873629172	0.2362855955186254	0.0	0.20045157156001148	0.1949211420822612	0.25285600567714744	0.28273337115255615	0.3322583238890335	0.3538741174916297	0.4330974378890158	0.3794796336455648	0.38381508513649604	0.3991542033700792	0.3967910645504953	0.3859445136956671	0.38795646908146975	0.3923034523388076
F22HpB	0.3236334665559321	0.3385721347066198	0.32733775452481606	0.33895590282449967	0.34680668213929855	0.3407704744574151	0.32770024492053546	0.3296575987693959	0.2525790459805454	0.1913786083092957	0.1980006075577495	0.2338930688031703	0.3383174159186406	0.2826581323506303	0.19079093642815098	0.22563189158690838	0.2813203389198272	0.217952770121824	0.20058837285393605	0.20497657923572582	0.16414018716511958	0.2021478374174986	0.23579427364692468	0.19628528180263288	0.20045157156001148	0.0	0.1427690381244713	0.21285569196115495	0.24273305743656368	0.292258010173041	0.31387380377563723	0.3930971241730233	0.3394793199295723	0.34381477142050354	0.3591538896540867	0.3567907508345028	0.3459441999796746	0.34795615536547725	0.3523031386228151
S8Hp	0.3181030370781818	0.3330417052288695	0.3218073250470658	0.3334254733467494	0.34127625266154826	0.3352400449796648	0.32216981544278517	0.3241271692916456	0.24704861650279514	0.18584817883154542	0.19247017807999922	0.22836263932542	0.33278698644089033	0.27712770287288	0.1852605069504007	0.2201014621091581	0.27578990944207693	0.21242234064407373	0.19505794337618576	0.19944614975797553	0.1586097576873693	0.1966174079397483	0.2302638441691744	0.1907548523248826	0.1949211420822612	0.1427690381244713	0.0	0.20732526248340466	0.2372026279588134	0.2867275806952907	0.30834337429788694	0.387566694695273	0.333948890451822	0.33828434194275325	0.3536234601763364	0.3512603213567525	0.34041377050192434	0.34242572588772696	0.3467727091450648
S10H1	0.2934787068669324	0.30841737501762007	0.29718299483581634	0.30880114313549994	0.31665192245029883	0.3106157147684154	0.29754548523153573	0.29950283908039615	0.23684474247568632	0.17564430480443666	0.191638981388074	0.22753144263349478	0.3319557897489651	0.2762965061809548	0.18442931025847548	0.23133115744162103	0.28701960477453986	0.23471526960320593	0.21735087233531797	0.22173907871710774	0.1950795847828552	0.23308723503523415	0.26673367126466024	0.2272246794203685	0.25285600567714744	0.21285569196115495	0.20732526248340466	0.0	0.21257829774756393	0.26210325048404126	0.2837190440866375	0.36294236448402356	0.3093245602405726	0.3136600117315038	0.32899912996508696	0.32663599114550307	0.3157894402906749	0.3178013956764775	0.32214837893381537
S25Hp	0.3095268395795048	0.32446550773019245	0.3132311275483887	0.3248492758480723	0.3327000551628712	0.32666384748098776	0.3135936179441081	0.31555097179296854	0.2667221079510951	0.20552167027984536	0.2215163468634827	0.25740880810890354	0.3618331552243738	0.30617387165636356	0.2143066757338842	0.26120852291702973	0.31689697024994856	0.26459263507861464	0.24722823781072667	0.25161644419251644	0.2249569502582639	0.26296460051064285	0.29661103674006895	0.2571020448957772	0.28273337115255615	0.24273305743656368	0.2372026279588134	0.21257829774756393	0.0	0.27815138319661364	0.2997671767992099	0.37899049719659594	0.32537269295314497	0.3297081444440762	0.34504726267765934	0.34268412385807545	0.3318375730032473	0.3338495283890499	0.33819651164638775
S17H1	0.19388265295188448	0.20882132110257218	0.19758694092076845	0.20920508922045206	0.21705586853525088	0.21101966085336746	0.19794943131648784	0.19990678516534827	0.31624706068757236	0.2550466230163227	0.27104129959996004	0.3069337608453808	0.41135810796085115	0.35569882439284084	0.2638316284703615	0.31073347565350706	0.3664219229864259	0.31411758781509197	0.296753190547204	0.3011413969289938	0.27448190299474123	0.3124895532471202	0.3461359894765463	0.30662699763225454	0.3322583238890335	0.292258010173041	0.2867275806952907	0.26210325048404126	0.27815138319661364	0.0	0.18412299017158965	0.2633463105689756	0.2097285063255247	0.21406395781645593	0.22940307605003904	0.22703993723045515	0.216193386375627	0.21820534176142964	0.22255232501876743
