	w30pp	s9pp	s27pp	s14pp	s25pp	s24pp	s11pp	s22pp	s19pp	s18pp	s28pp	S28Hp	s23pp	s32pp	s12pp	s3pp	s13pp	s15pp	s20pp	s10pp	s2pp	s1pp	s29pp	s26pp	s21pp	s7pp	S29H1	s17pp	s30pp	s31pp
s28pp	0.46693676530985484	0.45258598373652104	0.333022207069311	0.37834831455247064	0.3199315516502775	0.2958772774603779	0.3919238020060557	0.4331084956829738	0.25935558638727685	0.2494905577137785	0.0	0.39343411566569136	0.3438251146642396	0.20783241638940936	0.29471055726155565	0.4043173761560664	0.44955346309949135	0.432102388424492	0.5020294159196802	0.3797861463790914	0.35347069592817404	0.3214980737264742	0.42315771846387995	0.46135873469869604	0.41571807654802484	0.40195767451782594	2.084402671336299	0.4219691182449945	0.4210077583029037	0.47771455797328066
S28Hp	0.6807163687738138	0.6663655872004799	0.5468018105332699	0.5921279180164296	0.5337111551142364	0.5096568809243368	0.6057034054700146	0.6468880991469327	0.4731351898512357	0.4632701611777374	0.39343411566569136	0.0	0.5576047181281985	0.42161201985336827	0.5084901607255146	0.6180969796200253	0.6633330665634503	0.6458819918884509	0.7158090193836391	0.5935657498430503	0.5672502993921329	0.5352776771904331	0.6369373219278389	0.675138338162655	0.6294976800119838	0.6157372779817849	2.298182274800258	0.6357487217089535	0.6347873617668627	0.6914941614372396
s23pp	0.5315302635539101	0.5171794819805762	0.3976157053133662	0.4429418127965259	0.38452504989433267	0.3604707757044331	0.45651730025011084	0.49770199392702896	0.32394908463133204	0.31408405595783373	0.3438251146642396	0.5576047181281985	0.0	0.1867758542798911	0.35930405550561084	0.4689108744001216	0.5141469613435465	0.4966958866685472	0.5666229141637353	0.4443796446231466	0.41806419417222923	0.38609157197052935	0.48775121670793514	0.5259522329427513	0.48031157479208003	0.4665511727618811	2.148996169580354	0.48656261648904975	0.48560125654695896	0.5423080562173359
s32pp	0.3955375652790799	0.381186783705746	0.26162300703853597	0.3069491145216956	0.24853235161950243	0.22447807742960285	0.32052460197528065	0.3617092956521988	0.18795638635650178	0.17809135768300347	0.20783241638940936	0.42161201985336827	0.1867758542798911	0.0	0.2233113572307806	0.33291817612529134	0.3781542630687163	0.36070318839371696	0.43063021588890515	0.30838694634831637	0.282071495897399	0.25009887369569916	0.3517585184331049	0.389959534667921	0.3443188765172498	0.3305584744870509	2.013003471305524	0.35056991821421957	0.3496085582721288	0.40631535794250573
s12pp	0.3421292277037602	0.32777844613042634	0.20821466946321632	0.25354077694637595	0.19512401404418278	0.1710697398542832	0.26711626439996095	0.3083009580768791	0.2352909889694808	0.2254259602959825	0.29471055726155565	0.5084901607255146	0.35930405550561084	0.2233113572307806	0.0	0.1615073853488279	0.25838622123632005	0.2409351465613207	0.3108621740565089	0.18861890451592012	0.16230345406500274	0.19669053612037948	0.29835018085778525	0.33655119709260134	0.29091053894193014	0.27715013691173124	1.9595951337302042	0.29716158063889986	0.2962002206968091	0.352907020367186
s3pp	0.45173604659827093	0.437385265024937	0.31782148835772706	0.3631475958408867	0.3047308329386935	0.28067655874879394	0.3767230832944717	0.4179077769713898	0.3448978078639916	0.33503277919049324	0.4043173761560664	0.6180969796200253	0.4689108744001216	0.33291817612529134	0.1615073853488279	0.0	0.36799304013083084	0.3505419654558315	0.4204689929510197	0.29822572341043085	0.27191027295951353	0.3062973550148902	0.407956999752296	0.4461580159871121	0.4005173578364409	0.386756955806242	2.0692019526247147	0.4067683995334106	0.4058070395913198	0.46251383926169676
s13pp	0.4969721335416959	0.482621351968362	0.363057575301152	0.4083836827843117	0.3499669198821185	0.3259126456922189	0.42195917023789664	0.46314386391481477	0.39013389480741656	0.3802688661339182	0.44955346309949135	0.6633330665634503	0.5141469613435465	0.3781542630687163	0.25838622123632005	0.36799304013083084	0.0	0.16013266749989827	0.2917825969284834	0.22827083700553635	0.2474287644577658	0.35153344195831515	0.45319308669572095	0.49139410293053704	0.44575344477986584	0.43199304274966693	2.1144380395681397	0.45200448647683555	0.45104312653474476	0.5077499262051217
s15pp	0.4795210588666965	0.4651702772933627	0.34560650062615267	0.3909326081093123	0.33251584520711913	0.30846157101721955	0.40450809556289735	0.4456927892398155	0.37268282013241716	0.3628177914589189	0.432102388424492	0.6458819918884509	0.4966958866685472	0.36070318839371696	0.2409351465613207	0.3505419654558315	0.16013266749989827	0.0	0.27433152225348406	0.210819762330537	0.2299776897827664	0.33408236728331586	0.4357420120207216	0.4739430282555377	0.4283023701048665	0.4145419680746676	2.0969869648931403	0.43455341180183615	0.43359205185974536	0.4902988515301223
s20pp	0.5494480863618847	0.5350973047885509	0.41553352812134087	0.4608596356045005	0.40244287270230733	0.37838859851240775	0.47443512305808555	0.5156198167350037	0.44260984762760536	0.4327448189541071	0.5020294159196802	0.7158090193836391	0.5666229141637353	0.43063021588890515	0.3108621740565089	0.4204689929510197	0.2917825969284834	0.27433152225348406	0.0	0.2807467898257252	0.2999047172779546	0.40400939477850406	0.5056690395159098	0.5438700557507259	0.4982293976000547	0.4844689955698558	2.1669139923883285	0.5044804392970244	0.5035190793549336	0.5602258790253105
s10pp	0.42720481682129596	0.4128540352479621	0.2932902585807521	0.3386163660639117	0.28019960316171855	0.25614532897181896	0.3521918535174967	0.39337654719441484	0.32036657808701663	0.31050154941351826	0.3797861463790914	0.5935657498430503	0.4443796446231466	0.30838694634831637	0.18861890451592012	0.29822572341043085	0.22827083700553635	0.210819762330537	0.2807467898257252	0.0	0.1776614477373658	0.2817661252379152	0.383425769975321	0.4216267862101371	0.3759861280594659	0.362225726029267	2.04467072284774	0.3822371697564356	0.38127580981434483	0.4379826094847218
