	f6ppB	s19pp	s16pp	f16ppB	w21pp	s1pp	w12pp	s2pp	s30pp	f12ppA	f7pp	f17ppA	s26pp	s9pp	s32pp	s22pp	s13pp	w6pp	f9pp	w25pp	w9pp	s28pp	s14pp	s7pp	s25pp	f16ppA	f25pp	f20ppB	f8pp	f12ppB	f32pp	s3pp	s4pp	f21pp	f18pp	s31pp	s24pp	S15Hp	F14H1B	S18H1	530451	31160	S28Hp	S20H1	S13Hp	S26Hp	S19H1	S9H1	530167	31750	530055	31219	S1Hp	31267	31700	F7H1	S22Hp	530295	31328	w30pp	w4pp	s18pp	f30pp	f14ppB
f7pp	0.18317058751659712	0.15144915089717412	0.15006409753792083	0.12867520230459645	0.1190151647875268	0.07487013389527729	0.12505439393158638	0.11919058955716572	0.10401861346130742	0.10391520099722323	0.0	0.11129462864741142	0.1260233886216707	0.17293106088482518	0.15040716648861546	0.142980863713295	0.13595387127807435	0.11123554744966788	0.14536181559981348	0.20151324544773833	0.1229508381626099	0.15478260154302304	0.12855893695543072	0.10754289373561243	0.08827238305874668	0.10307437175361957	0.15752487526177278	0.13651225887291396	0.17852608493471336	0.1558281724964087	0.14853199024562097	0.12916094562894978	0.1412264237341918	0.17642171253156608	0.16100937582230432	0.23808061501205366	0.22186593939989058	0.33059254276626426	0.49434710542905214	0.45179796529320027	0.4964705458391309	0.4589745073176114	0.4808153903891516	0.47007767576928466	0.4575435401292061	0.4815749570048477	0.5088576168542711	0.4513362676334605	0.5004928599597485	0.5105214756804757	0.5192706347215004	0.5024121733485811	0.4395417647290996	0.4659580683581647	0.45073565830843204	0.4223200592718864	0.4647160562138905	0.47964216951283917	0.47537750701774545	0.16711657518267709	0.15044102171784884	0.18290187082218728	0.15982125289022198	0.10671384431846846
f17ppA	0.17268640495125787	0.14096496833183486	0.13957991497258157	0.11819101973925719	0.10853098222218754	0.06438595132993803	0.12192110965468923	0.11605730528026857	0.11114743061179802	0.11104401814771384	0.11129462864741142	0.0	0.11553920605633146	0.16244687831948593	0.13992298392327623	0.13249668114795574	0.1254696887127351	0.10075136488432863	0.13487763303447423	0.19102906288239907	0.11246665559727065	0.14429841897768378	0.11807475439009148	0.09705871117027319	0.07778820049340743	0.09259018918828031	0.14704069269643352	0.1260280763075747	0.1680419023693741	0.14534398993106945	0.13804780768028171	0.11867676306361052	0.13074224116885252	0.16593752996622682	0.15052519325696506	0.2275964324467144	0.21138175683455132	0.320108360200925	0.4838629228637129	0.44131378272786104	0.48598636327379163	0.44849032475227213	0.4703312078238123	0.4595934932039454	0.44705935756386683	0.4710907744395084	0.49837343428893177	0.44085208506812124	0.49000867739440923	0.5000372931151363	0.508786452156161	0.4919279907832418	0.42905758216376033	0.45547388579282544	0.44025147574309276	0.4118358767065472	0.4542318736485512	0.4691579869474999	0.46489332445240616	0.15663239261733783	0.1399568391525096	0.172417688256848	0.14933707032488272	0.0962296617531292
s26pp	0.1671211380601988	0.1353997014407758	0.13401464808152252	0.11262575284819812	0.10296571533112849	0.058820684438878966	0.1366498696289485	0.13078606525452785	0.1258761905860573	0.1257727781219731	0.1260233886216707	0.11553920605633146	0.0	0.08149736454759583	0.05897347015138614	0.07519041435547322	0.0850185355074018	0.06030021167899535	0.09442647982914094	0.1505779096770658	0.07201550239193737	0.1038472657723505	0.0776236011847582	0.06709577690292773	0.05980527806113355	0.08702492229722125	0.14147542580537448	0.12046280941651565	0.16247663547831503	0.13977872304001038	0.13248254078922267	0.11311149617255147	0.12517697427779348	0.16037226307516778	0.144959926365906	0.22203116555565533	0.20581648994349228	0.3145430933098659	0.47829765597265383	0.43574851583680196	0.4804210963827326	0.4429250578612131	0.4647659409327533	0.45402822631288636	0.4414940906728078	0.4655255075484494	0.49280816739787275	0.4352868181770622	0.4844434105033502	0.4944720262240773	0.503221185265102	0.48636272389218277	0.4234923152727013	0.4499086189017664	0.43468620885203374	0.4062706098154881	0.4486666067574922	0.46359272005644087	0.45932805756134715	0.15106712572627878	0.13439157226145054	0.16685242136578896	0.14377180343382368	0.09066439486207015
s9pp	0.21402881032335325	0.18230737370393024	0.18092232034467698	0.15953342511135257	0.14987338759428293	0.10572835670203343	0.183557541892103	0.1776937375176823	0.17278386284921177	0.17268045038512758	0.17293106088482518	0.16244687831948593	0.08149736454759583	0.0	0.1028320869373617	0.12209808661862767	0.13192620777055625	0.1072078839421498	0.14133415209229538	0.19748558194022026	0.11892317465509182	0.15075493803550494	0.12453127344791265	0.11400344916608218	0.10671295032428801	0.1339325945603757	0.18838309806852893	0.1673704816796701	0.2093843077414695	0.18668639530316483	0.17939021305237712	0.1600191684357059	0.17208464654094793	0.20727993533832223	0.19186759862906044	0.2689388378188098	0.25272416220664673	0.36145076557302036	0.5252053282358082	0.4826561880999564	0.5273287686458871	0.48983273012436757	0.5116736131959078	0.5009358985760408	0.48840176293596227	0.5124331798116039	0.5397158396610272	0.48219449044021667	0.5313510827665047	0.5413796984872318	0.5501288575282565	0.5332703961553372	0.47039998753585577	0.4968162911649209	0.4815938811151882	0.4531782820786426	0.49557427902064666	0.5105003923195953	0.5062357298245016	0.19797479798943324	0.181299244524605	0.2137600936289434	0.19067947569697813	0.1375720671252246
s32pp	0.19150491592714358	0.15978347930772058	0.15839842594846726	0.13700953071514288	0.12734949319807326	0.08320446230582373	0.16103364749589327	0.15516984312147264	0.15025996845300207	0.15015655598891786	0.15040716648861546	0.13992298392327623	0.05897347015138614	0.1028320869373617	0.0	0.09957419222241798	0.10940231337434655	0.08468398954594013	0.11881025769608572	0.17496168754401056	0.09639928025888214	0.12823104363929527	0.10200737905170296	0.09147955476987249	0.08418905592807832	0.11140870016416601	0.1658592036723192	0.1448465872834604	0.18686041334525982	0.16416250090695517	0.1568663186561674	0.13749527403949624	0.14956075214473824	0.1847560409421125	0.16934370423285078	0.24641494342260012	0.230200267810437	0.3389268711768107	0.5026814338395986	0.4601322937037467	0.5048048742496773	0.46730883572815785	0.48914971879969804	0.4784120041798311	0.46587786853975255	0.48990928541539414	0.5171919452648175	0.45967059604400695	0.508827188370295	0.518855804091022	0.5276049631320467	0.5107465017591275	0.44787609313964605	0.47429239676871116	0.4590699867189785	0.43065438768243286	0.47305038462443694	0.4879764979233856	0.4837118354282919	0.17545090359322352	0.15877535012839528	0.19123619923273372	0.1681555813007684	0.11504817272901491
s22pp	0.18407861315182308	0.15235717653240008	0.1509721231731468	0.1295832279398224	0.11992319042275276	0.07577815953050325	0.1536073447205728	0.14774354034615214	0.14283366567768158	0.1427302532135974	0.142980863713295	0.13249668114795574	0.07519041435547322	0.12209808661862767	0.09957419222241798	0.0	0.10197601059902607	0.07725768677061963	0.11138395492076522	0.16753538476869007	0.08897297748356164	0.12080474086397477	0.09458107627638247	0.084053251994552	0.07676275315275782	0.10398239738884553	0.15843290089699874	0.13742028450813992	0.17943411056993933	0.15673619813163467	0.14944001588084693	0.13006897126417574	0.14213444936941777	0.17732973816679204	0.16191740145753028	0.23898864064727962	0.22277396503511654	0.3315005684014902	0.4952551310642781	0.4527059909284262	0.4973785714743569	0.4598825329528374	0.48172341602437757	0.4709857014045106	0.4584515657644321	0.48248298264007367	0.509765642489497	0.4522442932686865	0.5014008855949745	0.5114295013157015	0.5201786603567262	0.503320198983807	0.4404497903643256	0.4668660939933907	0.451643683943658	0.4232280849071124	0.46562408184911647	0.48055019514806513	0.4762855326529714	0.16802460081790305	0.1513490473530748	0.18380989645741325	0.16072927852544794	0.10762186995369442
s13pp	0.1770516207166024	0.1453301840971794	0.14394513073792614	0.12255623550460173	0.1128961979875321	0.06875116709528259	0.14658035228535216	0.14071654791093147	0.13580667324246093	0.13570326077837674	0.13595387127807435	0.1254696887127351	0.0850185355074018	0.13192620777055625	0.10940231337434655	0.10197601059902607	0.0	0.04425160618789154	0.07837787433803714	0.13452930418596198	0.06964719844577738	0.10147896182619053	0.07525529723859822	0.07702625955933134	0.06973576071753718	0.09695540495362487	0.1514059084617781	0.13039329207291928	0.17240711813471865	0.149709205696414	0.14241302344562629	0.12304197882895508	0.1351074569341971	0.1703027457315714	0.1548904090223096	0.23196164821205895	0.2157469725998959	0.3244735759662695	0.48822813862905745	0.4456789984932056	0.49035157903913623	0.45285554051761673	0.4746964235891569	0.46395870896929	0.45142457332921143	0.475455990204853	0.5027386500542763	0.44521730083346583	0.49437389315975383	0.5044025088804809	0.5131516679215056	0.4962932065485864	0.43342279792910493	0.45983910155817004	0.44461669150843736	0.41620109247189174	0.4585970894138958	0.4735232027128445	0.46925854021775076	0.1609976083826824	0.14432205491785416	0.17678290402219257	0.1537022860902273	0.10059487751847376
w6pp	0.15233329688819597	0.12061186026877296	0.11922680690951967	0.0978379116761953	0.08817787415912566	0.04403284326687614	0.12186202845694569	0.11599822408252503	0.11108834941405449	0.11098493694997028	0.11123554744966788	0.10075136488432863	0.06030021167899535	0.1072078839421498	0.08468398954594013	0.07725768677061963	0.04425160618789154	0.0	0.04729824949110074	0.1034496793390256	0.04492887461737095	0.07676063799778408	0.05053697341019178	0.052307935730924904	0.04501743688913073	0.07223708112521843	0.12668758463337162	0.1056749682445128	0.1476887943063122	0.12499088186800755	0.11769469961721982	0.09832365500054863	0.11038913310579065	0.14558442190316492	0.13017208519390316	0.2072433243836525	0.19102864877148942	0.2997552521378631	0.463509814800651	0.42096067466479914	0.4656332552107298	0.4281372166892103	0.4499780997607505	0.43924038514088354	0.426706249500805	0.4507376663764466	0.47802032622586993	0.4204989770050594	0.4696555693313474	0.4796841850520745	0.4884333440930992	0.47157488272017994	0.4087044741006985	0.4351207777297636	0.4198983676800309	0.3914827686434853	0.4338787655854894	0.44880487888443804	0.4445402163893443	0.13627928455427593	0.11960373108944769	0.15206458019378613	0.12898396226182082	0.07587655369006731
f9pp	0.18645956503834157	0.15473812841891857	0.15335307505966528	0.1319641798263409	0.12230414230927125	0.07815911141702174	0.1559882966070913	0.15012449223267063	0.14521461756420007	0.14511120510011588	0.14536181559981348	0.13487763303447423	0.09442647982914094	0.14133415209229538	0.11881025769608572	0.11138395492076522	0.07837787433803714	0.04729824949110074	0.0	0.10482904843556137	0.07905514276751655	0.11088690614792968	0.08466324156033737	0.0864342038810705	0.07914370503927631	0.10636334927536402	0.16081385278351723	0.1398012363946584	0.18181506245645782	0.15911715001815316	0.15182096776736542	0.13244992315069423	0.14451540125593626	0.17971069005331053	0.16429835334404877	0.2413695925337981	0.22515491692163503	0.33388152028800866	0.4976360829507966	0.4550869428149447	0.49975952336087537	0.46226348483935586	0.48410436791089606	0.4733666532910291	0.46083251765095057	0.48486393452659216	0.5121465943760155	0.45462524515520497	0.503781837481493	0.5138104532022201	0.5225596122432448	0.5057011508703255	0.44283074225084407	0.4692470458799092	0.4540246358301765	0.4256090367936309	0.46800503373563496	0.4829311470345836	0.4786664845394899	0.17040555270442154	0.1537299992395933	0.18619084834393174	0.16311023041196643	0.11000282184021291
w25pp	0.24261099488626642	0.2108895582668434	0.2095045049075901	0.18811560967426574	0.1784555721571961	0.13431054126494657	0.21213972645501614	0.20627592208059548	0.20136604741212494	0.20126263494804073	0.20151324544773833	0.19102906288239907	0.1505779096770658	0.19748558194022026	0.17496168754401056	0.16753538476869007	0.13452930418596198	0.1034496793390256	0.10482904843556137	0.0	0.1352065726154414	0.16703833599585455	0.14081467140826223	0.14258563372899535	0.13529513488720118	0.16251477912328888	0.21696528263144207	0.19595266624258326	0.23796649230438266	0.215268579866078	0.20797239761529027	0.18860135299861908	0.20066683110386108	0.23586211990123537	0.22044978319197361	0.29752102238172295	0.2813063467695599	0.39003295013593353	0.5537875127987214	0.5112383726628695	0.5559109532088002	0.5184149146872807	0.5402557977588209	0.529518083138954	0.5169839474988754	0.541015364374517	0.5682980242239404	0.5107766750031298	0.5599332673294178	0.569961883050145	0.5787110420911696	0.5618525807182504	0.49898217209876894	0.525398475727834	0.5101760656781014	0.4817604666415557	0.5241564635835598	0.5390825768825085	0.5348179143874148	0.22655698255234638	0.20988142908751814	0.24234227819185655	0.21926166025989127	0.16615425168813774
