	S16H2	31766	w20pp	530258	530075	31328	530368	31512	S17H1	F7H1	S4Hp	31749	F1H1	S15Hp	S14Hp	S19H1	S30H1	S25Hp	S20H1	F14H1A	31333	S29H1	S13Hp	S8Hp	F6H1	530394	31009	F3H1	S26Hp	31021	F22HpB	S28Hp	S1Hp	530444	31360	31700	S27H1	S9H1	530215	F32H1	31557	31723	F16H1	31519	S22Hp	31071	530074	31267	530364	530163	31428	31600	31236	S12Hp	31750	S6Hp	F22H1A	S3Hp	F8H1	31129	31219	31343	31714	S31Hp	530119	531414
S4Hp	0.25989307875831347	0.30716911891354187	0.29929174370652695	0.2790646281778079	0.29569679526092174	0.29870461072777504	0.2947129703552396	0.24976480067861825	0.1813408128141039	0.1425852461662927	0.0	0.12488120271625289	0.16843147537056127	0.14864258466769104	0.1912873088160828	0.2587187314935036	0.2466347895383123	0.2870622714862069	0.24454292806564726	0.2624282001192677	0.31682352415099835	0.2787753461697715	0.2547866701866744	0.3147148357367401	0.24712102861819182	0.23764219370803596	0.3169492058610526	0.1752791343521536	0.22412310721607823	0.3829648358613413	0.3595007610263688	0.3721268135757808	0.27244384185070913	0.2784734801761236	0.28885299734987774	0.29063247450349616	0.36126114793997727	0.39762449031406777	0.47545615781516715	0.4267497065872583	0.45063685343121507	0.628862143482153	0.5657447779251716	0.5361999972550423	0.3371382555061236	0.3955911380190433	0.3419018022830731	0.3256402359862642	0.39101483068358184	0.39409800272468826	0.33198478226044337	0.3668994264829677	0.3003142670663155	0.2427547660910275	0.22284999160871632	0.31405471984715255	0.3246800373043873	0.2725270278021782	0.329742095981276	0.31399741721797325	0.31947753678872914	0.2823643807128603	0.3036086185045553	0.3056142334766384	0.37860877442805896	0.3084056077171949
31749	0.2685583409874196	0.31583438114264795	0.307957005935633	0.287729890406914	0.30436205749002787	0.3073698729568811	0.3033782325843457	0.25843006290772436	0.19000607504321004	0.15125050839539883	0.12488120271625289	0.0	0.17709673759966738	0.15730784689679717	0.19995257104518893	0.26738399372260974	0.25530005176741843	0.295727533715313	0.2532081902947534	0.2710934623483738	0.3254887863801044	0.28744060839887764	0.2634519324157805	0.3233800979658462	0.2557862908472979	0.24630745593714207	0.32561446809015865	0.1839443965812597	0.23278836944518433	0.39163009809044735	0.3681660232554749	0.38079207580488694	0.2811091040798152	0.2871387424052297	0.2975182595789838	0.2992977367326023	0.36992641016908334	0.4062897525431739	0.4841214200442732	0.43541496881636443	0.45930211566032114	0.637527405711259	0.5744100401542778	0.5448652594841483	0.34580351773522966	0.40425640024814935	0.3505670645121792	0.33430549821537026	0.3996800929126879	0.40276326495379433	0.3406500444895495	0.3755646887120738	0.3089795292954216	0.2514200283201336	0.23151525383782243	0.3227199820762586	0.33334529953349346	0.2811922900312843	0.33840735821038215	0.3226626794470794	0.3281427990178352	0.2910296429419664	0.3122738807336614	0.3142794957057445	0.3872740366571651	0.317070869946301
F1H1	0.2716094585516601	0.3188854987068884	0.3110081234998735	0.29078100797115447	0.3074131750542683	0.3104209905211216	0.3064293501485862	0.2614811804719648	0.19305719260745047	0.15430162595963925	0.16843147537056127	0.17709673759966738	0.0	0.1390832324163896	0.20300368860942938	0.27043511128685016	0.2583511693316589	0.2987786512795535	0.2562593078589938	0.27414457991261426	0.32853990394434485	0.2904917259631181	0.26650304998002095	0.32643121553008664	0.25883740841153835	0.24935857350138252	0.3286655856543991	0.18699551414550014	0.23583948700942478	0.39468121565468783	0.37121714081971535	0.38384319336912737	0.2841602216440557	0.2901898599694701	0.3005693771432243	0.3023488542968427	0.3729775277333238	0.4093408701074144	0.48717253760851364	0.4384660863806049	0.46235323322456157	0.6405785232754995	0.5774611577185181	0.5479163770483888	0.34885463529947014	0.40730751781238983	0.35361818207641965	0.33735661577961074	0.4027312104769284	0.4058143825180348	0.3437011620537899	0.37861580627631425	0.31203064685966203	0.25447114588437403	0.23456637140206288	0.3257710996404991	0.3363964170977339	0.2842434075955248	0.3414584757746226	0.3257137970113198	0.33119391658207564	0.29408076050620685	0.31532499829790184	0.31733061326998496	0.39032515422140557	0.3201219875105415
S15Hp	0.2518205678487898	0.29909660800401816	0.29121923279700324	0.2709921172682842	0.2876242843513981	0.29063209981825133	0.2866404594457159	0.24169228976909457	0.17326830190458026	0.13451273525676904	0.14864258466769104	0.15730784689679717	0.1390832324163896	0.0	0.18321479790655915	0.25064622058397995	0.23856227862878865	0.27898976057668323	0.2364704171561236	0.254355689209744	0.30875101324147464	0.27070283526024785	0.24671415927715074	0.30664232482721643	0.23904851770866814	0.22956968279851228	0.30887669495152886	0.1672066234426299	0.21605059630655454	0.37489232495181757	0.3514282501168451	0.36405430266625716	0.2643713309411854	0.2704009692665999	0.280780486440354	0.2825599635939725	0.35318863703045356	0.3895519794045441	0.46738364690564344	0.41867719567773465	0.44256434252169136	0.6207896325726292	0.557672267015648	0.5281274863455185	0.3290657445965999	0.38751862710951956	0.33382929137354944	0.31756772507674047	0.3829423197740581	0.38602549181516455	0.3239122713509197	0.35882691557344404	0.2922417561567918	0.23468225518150382	0.21477748069919264	0.30598220893762884	0.31660752639486367	0.26445451689265453	0.32166958507175236	0.3059249063084496	0.31140502587920543	0.27429186980333664	0.2955361075950316	0.2975417225671147	0.3705362635185353	0.30033309680767123
S14Hp	0.20562970704190844	0.2529057471971368	0.2450283719901219	0.22480125646140287	0.2414334235445167	0.24444123901137	0.24044959863883456	0.21641701934498175	0.14799303148046739	0.14783353664368737	0.1912873088160828	0.19995257104518893	0.20300368860942938	0.18321479790655915	0.0	0.13109967423912733	0.11901573228393603	0.23279889976980184	0.1902795563492422	0.20816482840286263	0.26256015243459324	0.22451197445336646	0.20052329847026934	0.26045146402033503	0.19285765690178674	0.1833788219916309	0.26268583414464747	0.12101576263574851	0.16985973549967315	0.32870146414493623	0.30523738930996375	0.31786344185937576	0.21818047013430406	0.2242101084597185	0.2345896256334727	0.2363691027870911	0.3069977762235722	0.3433611185976627	0.42119278609876204	0.37248633487085325	0.39637348171480996	0.5745987717657479	0.5114814062087666	0.4819366255386372	0.28287488378971853	0.3413277663026382	0.28763843056666805	0.27137686426985913	0.3367514589671768	0.3398346310082832	0.2777214105440383	0.31263605476656264	0.24605089534991043	0.18849139437462242	0.16858661989231127	0.2597913481307475	0.2704166655879823	0.21826365608577317	0.27547872426487097	0.2597340455015682	0.2652141650723241	0.22810100899645525	0.24934524678815023	0.25135086176023336	0.32434540271165396	0.2541422360007899
S19H1	0.2730611297193292	0.3203371698745576	0.3124597946675427	0.29223267913882367	0.30886484622193744	0.3118726616887908	0.30788102131625533	0.28384844202240256	0.2154244541578882	0.21526495932110817	0.2587187314935036	0.26738399372260974	0.27043511128685016	0.25064622058397995	0.13109967423912733	0.0	0.09601004041588232	0.30023032244722264	0.257710979026663	0.2755962510802834	0.32999157511201405	0.29194339713078726	0.26795472114769014	0.3278828866977558	0.26028907957920755	0.25081024466905166	0.3301172568220683	0.1884471853131693	0.23729115817709395	0.39613288682235703	0.37266881198738455	0.3852948645367965	0.28561189281172483	0.2916415311371393	0.3020210483108935	0.30380052546451186	0.374429198900993	0.4107925412750835	0.48862420877618284	0.43991775754827406	0.46380490439223077	0.6420301944431687	0.5789128288861873	0.549368048216058	0.35030630646713934	0.40875918898005903	0.3550698532440888	0.33880828694727994	0.4041828816445976	0.407266053685704	0.34515283322145907	0.3800674774439834	0.3134823180273312	0.2559228170520432	0.23601804256973205	0.3272227708081683	0.337848088265403	0.28569507876319394	0.34291014694229177	0.32716546817898895	0.33264558774974484	0.295532431673876	0.31677666946557104	0.3187822844376541	0.39177682538907477	0.32157365867821064
S30H1	0.2609771877641379	0.30825322791936627	0.30037585271235134	0.2801487371836323	0.2967809042667462	0.29978871973359944	0.29579707936106403	0.27176450006721126	0.2033405122026969	0.20318101736591687	0.2466347895383123	0.25530005176741843	0.2583511693316589	0.23856227862878865	0.11901573228393603	0.09601004041588232	0.0	0.28814638049203134	0.2456270370714717	0.2635123091250921	0.31790763315682274	0.27985945517559596	0.25587077919249884	0.31579894474256454	0.24820513762401625	0.2387263027138604	0.31803331486687697	0.176363243357978	0.22520721622190265	0.3840489448671657	0.3605848700321932	0.37321092258160526	0.27352795085653353	0.279557589181948	0.28993710635570213	0.2917165835093206	0.36234525694580166	0.3987085993198922	0.47654026682099154	0.42783381559308276	0.45172096243703946	0.6299462524879773	0.5668288869309961	0.5372841062608666	0.338222364511948	0.39667524702486767	0.34298591128889755	0.3267243449920886	0.39209893968940623	0.39518211173051265	0.3330688912662678	0.36798353548879215	0.30139837607213993	0.24383887509685193	0.22393410061454075	0.31513882885297695	0.3257641463102118	0.27361113680800264	0.33082620498710047	0.3150815262237977	0.32056164579455354	0.28344848971868475	0.30469272751037974	0.3066983424824628	0.3796928834338834	0.30948971672301934
S25Hp	0.2708788343853211	0.31815487454054947	0.31027749933353455	0.2900503838048155	0.3066825508879294	0.30969036635478264	0.30569872598224723	0.31219198201510584	0.2437679941505915	0.24360849931381146	0.2870622714862069	0.295727533715313	0.2987786512795535	0.27898976057668323	0.23279889976980184	0.30023032244722264	0.28814638049203134	0.0	0.1725036122735108	0.22297376011492892	0.2773690841466595	0.23932090616543272	0.2453519666261193	0.305280132176185	0.2376863250576367	0.2486279493350436	0.3279349614880602	0.1862648899791612	0.23510886284308585	0.3939505914883489	0.3704865166533764	0.38311256920278847	0.28342959747771673	0.2894592358031312	0.29983875297688534	0.3016182301305038	0.37224690356698487	0.4086102459410754	0.48644191344217474	0.43773546221426596	0.46162260905822267	0.6398478991091605	0.5767305335521793	0.5471857528820498	0.3481240111331312	0.4065768936460509	0.35288755791008075	0.3366259916132718	0.40200058631058944	0.40508375835169586	0.342970537887451	0.37788518210997535	0.31130002269332313	0.25374052171803513	0.23383574723572395	0.32504047547416015	0.335665792931395	0.28351278342918584	0.34072785160828367	0.3249831728449809	0.33046329241573674	0.29335013633986795	0.31459437413156294	0.316599989103646	0.3895945300550666	0.31939136334420254
S20H1	0.2283594909647615	0.27563553111998984	0.2677581559129749	0.2475310403842559	0.26416320746736976	0.267171022934223	0.2631793825616876	0.2696726385945462	0.20124865073003184	0.20108915589325183	0.24454292806564726	0.2532081902947534	0.2562593078589938	0.2364704171561236	0.1902795563492422	0.257710979026663	0.2456270370714717	0.1725036122735108	0.0	0.18045441669436926	0.23484974072609988	0.1968015627448731	0.20283262320555964	0.2627607887556253	0.19516698163707707	0.20610860591448393	0.28541561806750054	0.14374554655860156	0.19258951942252622	0.35143124806778925	0.32796717323281677	0.3405932257822288	0.2409102540571571	0.24693989238257158	0.2573194095563257	0.25909888670994413	0.32972756014642524	0.3660909025205158	0.4439225700216151	0.39521611879370633	0.41910326563766304	0.5973285556886009	0.5342111901316196	0.5046664094614902	0.30560466771257155	0.36405755022549124	0.31036821448952107	0.29410664819271215	0.3594812428900298	0.3625644149311362	0.30045119446689134	0.33536583868941566	0.26878067927276345	0.2112211782974755	0.1913164038151643	0.2825211320536005	0.2931464495108353	0.24099344000862621	0.29820850818772404	0.2824638294244213	0.2879439489951771	0.2508307929193083	0.2720750307110033	0.2740806456830864	0.347075186634507	0.2768720199236429
F14H1A	0.24624476301838188	0.2935208031736103	0.28564342796659536	0.26541631243787633	0.2820484795209901	0.28505629498784346	0.281064654615308	0.2875579106481666	0.2191339227836523	0.21897442794687225	0.2624282001192677	0.2710934623483738	0.27414457991261426	0.254355689209744	0.20816482840286263	0.2755962510802834	0.2635123091250921	0.22297376011492892	0.18045441669436926	0.0	0.15103607200396646	0.11298789402273968	0.22071789525918006	0.28064606080924576	0.21305225369069747	0.22399387796810435	0.30330089012112094	0.16163081861222198	0.21047479147614662	0.3693165201214097	0.3458524452864372	0.3584784978358492	0.2587955261107775	0.264825164436192	0.27520468160994616	0.2769841587635645	0.3476128322000457	0.3839761745741362	0.4618078420752355	0.4131013908473267	0.43698853769128343	0.6152138277422213	0.55209646218524	0.5225516815151107	0.323489939766192	0.3819428222791117	0.32825348654314146	0.3119919202463326	0.37736651494365026	0.3804496869847567	0.31833646652051173	0.35325111074303606	0.28666595132638384	0.2291064503510959	0.20920167586878471	0.30040640410722097	0.3110317215644557	0.2588787120622466	0.31609378024134444	0.3003491014780416	0.3058292210487975	0.26871606497292866	0.2899603027646237	0.29196591773670677	0.36496045868812743	0.2947572919772633
