	31537	S15Hp	531414	530227	31600	31021	530368	S16H2	31428	s1pp	S10H1	530055	31267	31328	530331	31519	530394	530167	530364	s21pp	530052	530177	31360	31416	S6Hp	S13Hp	s6pp	F29H1	s17pp	31750	530074	S28Hp	S31Hp	F23HpA	S7Hp	S11Hp	F6H1	F14H1B	530258	31452	530050	S25Hp	S9H1
530177	0.5717582358904557	0.5302784562433368	0.5529200207912797	0.5518309092840812	0.5583170153625183	0.561401041516918	0.5609545594047223	0.4145399649960603	0.20888716765791365	0.19519450005289046	0.20434295543587633	0.2014803698619626	0.22341963075819254	0.22359714344746284	0.23215741030864562	0.22451543890355596	0.22451543890355596	0.22220320569006202	0.16807379792782445	0.17691152093794066	0.0007704252499128361	0.0	0.017974927754843727	0.1673453764551256	0.14693575449880572	0.14591841992259058	0.146249882654163	0.1828404766774047	0.2520862362099504	0.44805896035282783	0.45095934518804986	0.4414879606218711	0.4747269266087016	0.5068746221250191	0.4779181457476054	0.4939063031681698	0.5423345781794173	0.5095046574818924	0.5159064645281246	0.5099324349951452	0.5083106484129241	0.5549311773658023	0.593032870245714
31360	0.5888426189997066	0.5473628393525877	0.5700044039005305	0.568915292393332	0.5754013984717692	0.5784854246261689	0.5780389425139731	0.43162434810531114	0.22597155076716458	0.21227888316214136	0.2214273385451272	0.21856475297121347	0.2405040138674434	0.24068152655671374	0.24924179341789648	0.24159982201280683	0.24159982201280683	0.23928758879931292	0.18515818103707532	0.19399590404719155	0.017854808359163712	0.017974927754843727	0.0	0.18442975956437646	0.16402013760805662	0.16300280303184145	0.16333426576341387	0.19992485978665558	0.26917061931920133	0.4651433434620787	0.46804372829730073	0.458572343731122	0.49181130971795245	0.52395900523427	0.49500252885685625	0.5109906862774207	0.5594189612886682	0.5265890405911433	0.5329908476373755	0.527016818104396	0.5253950315221749	0.5720155604750532	0.6101172533549649
31416	0.6068607946222576	0.5653810149751387	0.5880225795230816	0.5869334680158831	0.5934195740943202	0.59650360024872	0.5960571181365242	0.4496425237278622	0.24398972638971556	0.23029705878469237	0.2394455141676782	0.2365829285937645	0.2585221894899944	0.25869970217926475	0.2672599690404475	0.25961799763535787	0.25961799763535787	0.2573057644218639	0.20317635665962636	0.21201407966974256	0.16657695120621283	0.1673453764551256	0.18442975956437646	0.0	0.1446193078782643	0.14360197330204916	0.14393343603362158	0.21794303540920656	0.2871887949417523	0.48316151908462973	0.48606190391985177	0.476590519353673	0.5098294853405034	0.541977180856821	0.5130207044794073	0.5290088618999718	0.5774371369112192	0.5446072162136943	0.5510090232599265	0.5450349937269471	0.543413207144726	0.5900337360976042	0.628135428977516
S6Hp	0.5864511726659377	0.5449713930188188	0.5676129575667617	0.5665238460595632	0.5730099521380003	0.5760939782924	0.5756474961802043	0.4292329017715423	0.2235801044333957	0.2098874368283725	0.21903589221135833	0.21617330663744463	0.23811256753367455	0.2382900802229449	0.24685034708412765	0.239208375679038	0.239208375679038	0.23689614246554408	0.18276673470330645	0.19160445771342272	0.14616732924989295	0.14693575449880572	0.16402013760805662	0.1446193078782643	0.0	0.0010213345782152659	0.0013527973097876924	0.19753341345288672	0.26677917298543247	0.46275189712830983	0.46565228196353187	0.4561808973973531	0.4894198633841836	0.5215675589005011	0.4926110825230874	0.5085992399436519	0.5570275149548993	0.5241975942573744	0.5305994013036066	0.5246253717706272	0.5230035851884061	0.5696241141412843	0.607725807021196
S13Hp	0.5854338380897226	0.5439540584426037	0.5665956229905466	0.5655065114833481	0.5719926175617852	0.5750766437161849	0.5746301616039892	0.42821556719532716	0.22256276985718054	0.20887010225215735	0.2180185576351432	0.2151559720612295	0.2370952329574594	0.23727274564672973	0.2458330125079125	0.23819104110282285	0.23819104110282285	0.2358788078893289	0.18174940012709132	0.19058712313720755	0.14514999467367778	0.14591841992259058	0.16300280303184145	0.14360197330204916	0.0010213345782152659	0.0	0.00033346273257248474	0.19651607887667155	0.2657618384092173	0.4617345625520947	0.46463494738731675	0.455163562821138	0.4884025288079685	0.5205502243242861	0.4915937479468723	0.5075819053674366	0.5560101803786842	0.5231802596811593	0.5295820667273915	0.5236080371944121	0.5219862506121908	0.5686067795650692	0.6067084724449809
s6pp	0.585765300821295	0.5442855211741761	0.5669270857221189	0.5658379742149204	0.5723240802933577	0.5754081064477574	0.5749616243355616	0.4285470299268996	0.22289423258875296	0.20920156498372977	0.2183500203667156	0.2154874347928019	0.23742669568903182	0.23760420837830215	0.24616447523948493	0.23852250383439527	0.23852250383439527	0.23621027062090133	0.18208086285866373	0.19091858586877997	0.1454814574052502	0.146249882654163	0.16333426576341387	0.14393343603362158	0.0013527973097876924	0.00033346273257248474	0.0	0.19684754160824397	0.2660933011407898	0.46206602528366714	0.4649664101188892	0.45549502555271043	0.4887339915395409	0.5208816870558585	0.4919252106784447	0.5079133680990091	0.5563416431102566	0.5235117224127317	0.5299135294589639	0.5239394999259845	0.5223177133437633	0.5689382422966417	0.6070399351765534
F29H1	0.5609010014868484	0.5194212218397295	0.5420627863876724	0.5409736748804739	0.5474597809589111	0.5505438071133109	0.5500973250011151	0.403682730592453	0.1980299332543064	0.1843372656492832	0.19348572103226908	0.19062313545835535	0.2125623963545853	0.2127399090438556	0.22130017590503837	0.2136582044999487	0.2136582044999487	0.21134597128645477	0.1943795748141956	0.2032172978243118	0.18207205142849192	0.1828404766774047	0.19992485978665558	0.21794303540920656	0.19753341345288672	0.19651607887667155	0.19684754160824397	0.0	0.24122900180634319	0.4372017259492206	0.4401021107844426	0.43063072621826387	0.46386969220509433	0.4960173877214119	0.46706091134399813	0.48304906876456255	0.53147734377581	0.4986474230782852	0.5050492301245173	0.4990752005915379	0.49745341400931675	0.5440739429621951	0.5821756358421069
s17pp	0.48450072616038425	0.44302094651326535	0.4656625110612082	0.4645733995540097	0.4710595056324469	0.47414353178684665	0.47369704967465087	0.3272824552659888	0.23721951141593228	0.22352684381090906	0.24056013187094594	0.23769754629703221	0.25963680719326215	0.25981431988253245	0.2683745867437152	0.2607326153386256	0.2607326153386256	0.25842038212513163	0.26362533434674135	0.2724630573568576	0.25131781096103767	0.2520862362099504	0.26917061931920133	0.2871887949417523	0.26677917298543247	0.2657618384092173	0.2660933011407898	0.24122900180634319	0.0	0.36080145062275637	0.3637018354579784	0.3542304508917996	0.3874694168786301	0.4196171123949477	0.3906606360175339	0.40664879343809834	0.45507706844934587	0.422247147751821	0.42864895479805315	0.4226749252650737	0.42105313868285255	0.4676736676357309	0.5057753605156425
31750	0.41976519605477947	0.37828541640766056	0.4009269809556034	0.39983786944840494	0.4063239755268421	0.4094080016812418	0.40896151956904603	0.26254692516038397	0.43319223555880965	0.41949956795378646	0.43653285601382336	0.43367027043990963	0.4556095313361395	0.45578704402540987	0.4643473108865926	0.456705339481503	0.456705339481503	0.45439310626800905	0.4595980584896187	0.46843578149973497	0.4472905351039151	0.44805896035282783	0.4651433434620787	0.48316151908462973	0.46275189712830983	0.4617345625520947	0.46206602528366714	0.4372017259492206	0.36080145062275637	0.0	0.21566430429977457	0.20619291973359583	0.3227338867730253	0.35488158228934286	0.32592510591192914	0.3419132633324935	0.3903415383437411	0.3575116176462162	0.36391342469244836	0.35793939515946893	0.3563176085772477	0.4029381375301261	0.4410398304100378
530074	0.4226655808900015	0.3811858012428826	0.40382736579082545	0.402738254283627	0.4092243603620641	0.41230838651646384	0.41186190440426806	0.265447309995606	0.4360926203940317	0.4223999527890085	0.4394332408490454	0.43657065527513167	0.45850991617136155	0.4586874288606319	0.4672476957218146	0.45960572431672503	0.45960572431672503	0.4572934911032311	0.46249844332484075	0.471336166334957	0.4501909199391371	0.45095934518804986	0.46804372829730073	0.48606190391985177	0.46565228196353187	0.46463494738731675	0.4649664101188892	0.4401021107844426	0.3637018354579784	0.21566430429977457	0.0	0.009473384567178816	0.3256342716082473	0.3577819671245649	0.3288254907471512	0.34481364816771554	0.3932419231789631	0.36041200248143823	0.3668138095276704	0.36083977999469097	0.35921799341246974	0.4058385223653481	0.44394021524525984
S28Hp	0.41319419632382276	0.37171441667670385	0.3943559812246467	0.39326686971744823	0.3997529757958854	0.40283700195028516	0.4023905198380894	0.25597592542942726	0.42662123582785294	0.41292856822282975	0.42996185628286665	0.4270992707089529	0.4490385316051828	0.44921604429445317	0.4577763111556359	0.4501343397505463	0.4501343397505463	0.44782210653705234	0.453027058758662	0.46186478176877827	0.4407195353729584	0.4414879606218711	0.458572343731122	0.476590519353673	0.4561808973973531	0.455163562821138	0.45549502555271043	0.43063072621826387	0.3542304508917996	0.20619291973359583	0.009473384567178816	0.0	0.31616288704206863	0.3483105825583862	0.3193541061809724	0.33534226360153685	0.3837705386127843	0.35094061791525943	0.3573424249614916	0.35136839542851217	0.34974660884629105	0.39636713779916943	0.4344688306790811
S31Hp	0.3738239954759361	0.3323442158288172	0.3549857803767601	0.3538966688695616	0.36038277494799875	0.3634668011023985	0.3630203189902027	0.2646798986688778	0.4598602018146834	0.4461675342096602	0.4632008222696971	0.4603382366957834	0.48227749759201327	0.4824550102812836	0.49101527714246634	0.48337330573737675	0.48337330573737675	0.4810610725238828	0.48626602474549246	0.4951037477556087	0.47395850135978884	0.4747269266087016	0.49181130971795245	0.5098294853405034	0.4894198633841836	0.4884025288079685	0.4887339915395409	0.46386969220509433	0.3874694168786301	0.3227338867730253	0.3256342716082473	0.31616288704206863	0.0	0.10355179018786725	0.07459531381045345	0.25184716942824326	0.3002754444394908	0.2674455237419659	0.273847330788198	0.26787330125521863	0.26625151467299746	0.35699693695128276	0.3950986298311944
