	530451	S12Hp	S16H2	31700	31333	S3Hp	530295	S4Hp	S21H1	530050	31160	f1pp	w10pp	w24pp	w2pp	w11pp	w1pp	f24pp	f10pp	f20ppA	w26pp	f12ppB	w22pp	531414	f6ppB	w9pp	F22HpB	530364	S2Hp	S26Hp	S31Hp
w26pp	0.3511267824224626	0.3030444265416216	0.3279360897036183	0.3345665097520255	0.32939630004663234	0.34875407539583103	0.32660561603933097	0.3596012145466341	0.3318294721695164	0.31110842952575246	0.3075622653877871	0.12366936225678318	0.13649331342684304	0.10977886088736943	0.12022351129985731	0.09302492252404425	0.12717909982746406	0.11694338656982464	0.11856966102664035	0.08659003043812974	0.0	0.07832547597974356	0.07599091158117818	0.14923561020495701	0.07796969308010365	0.12001350999990615	0.30906634139507644	0.3189926664653778	0.3422375477129111	0.3138959027233367	0.35951515657620925
f12ppB	0.37378946349053166	0.3257071076096907	0.35059877077168744	0.35722919082009463	0.35205898111470135	0.37141675646390004	0.34926829710740004	0.3822638956147032	0.35449215323758543	0.33377111059382153	0.33022494645585615	0.14633204332485222	0.15915599449491208	0.13244154195543847	0.14288619236792638	0.1156876035921133	0.14984178089553307	0.13960606763789368	0.1412323420947094	0.10925271150619878	0.07832547597974356	0.0	0.08891094172211128	0.1621556403458901	0.10063237414817269	0.1426761910679752	0.3317290224631455	0.34165534753344695	0.36490022878098016	0.3365585837914057	0.3821778376442783
w22pp	0.3714548990919663	0.3233725432111253	0.34826420637312205	0.35489462642152925	0.34972441671613597	0.36908219206533466	0.34693373270883465	0.3799293312161378	0.35215758883902004	0.33143654619525614	0.32789038205729076	0.14399747892628686	0.15682143009634672	0.13010697755687312	0.140551627969361	0.11335303919354794	0.14750721649696774	0.13727150323932832	0.13889777769614403	0.10691814710763342	0.07599091158117818	0.08891094172211128	0.0	0.1362277526504626	0.09829780974960733	0.14034162666940983	0.3293944580645801	0.33932078313488157	0.3625656643824148	0.3342240193928403	0.37984327324571293
531414	0.44469959771574513	0.3966172418349041	0.42150890499690086	0.42813932504530805	0.4229691153399148	0.4423268906891135	0.42017843133261346	0.4531740298399166	0.4254022874627989	0.404681244819035	0.4011350806810696	0.21724217755006567	0.23006612872012555	0.20335167618065192	0.2137963265931398	0.18659773781732675	0.22075191512074654	0.21051620186310713	0.21214247631992283	0.18016284573141222	0.14923561020495701	0.1621556403458901	0.1362277526504626	0.0	0.17154250837338614	0.21358632529318866	0.4026391566883589	0.41256548175866037	0.4358103630061936	0.40746871801661916	0.4530879718694918
f6ppB	0.3539602287673756	0.3058778728865347	0.3307695360485314	0.33739995609693857	0.33222974639154534	0.35158752174074404	0.32943906238424403	0.36243466089154713	0.3346629185144294	0.31394187587066547	0.3103957117327001	0.1265028086016962	0.13932675977175607	0.11261230723228247	0.12305695764477034	0.09585836886895727	0.13001254617237706	0.11977683291473767	0.12140310737155338	0.08942347678304277	0.07796969308010365	0.10063237414817269	0.09829780974960733	0.17154250837338614	0.0	0.12284695634481918	0.3118997877399895	0.3218261128102909	0.34507099405782415	0.3167293490682497	0.36234860292112225
w9pp	0.3882501690902966	0.3401678132094556	0.3650594763714523	0.3716898964198595	0.36651968671446633	0.385877462063665	0.36372900270716496	0.39672460121446806	0.3689528588373504	0.34823181619358645	0.3446856520556211	0.16079274892461717	0.17361670009467703	0.14690224755520342	0.1573468979676913	0.13014830919187825	0.16430248649529805	0.15406677323765863	0.15569304769447434	0.12371341710596373	0.12001350999990615	0.1426761910679752	0.14034162666940983	0.21358632529318866	0.12284695634481918	0.0	0.34618972806291043	0.3561160531332118	0.3793609343807451	0.35101928939117066	0.39663854324404324
F22HpB	0.378256337979545	0.330173982098704	0.3550656452607007	0.3616960653091079	0.35652585560371475	0.37588363095291344	0.3537351715964134	0.3867307701037165	0.3589590277265988	0.34676324648163953	0.34321708234367415	0.2904910391477499	0.31125833808389763	0.31526500948765734	0.3257096599001452	0.2985110711243321	0.3447014980236345	0.3344657847659951	0.33609205922281077	0.30411242863430016	0.30906634139507644	0.3317290224631455	0.3293944580645801	0.4026391566883589	0.3118997877399895	0.34618972806291043	0.0	0.31117556642289335	0.3693671032699935	0.3410254582804191	0.38664471213329166
530364	0.38818266304984644	0.3401003071690054	0.36499197033100217	0.37162239037940936	0.36645218067401614	0.38580995602321483	0.36366149666671477	0.3966570951740179	0.3688853527969002	0.3566895715519409	0.35314340741397554	0.3004173642180513	0.321184663154199	0.32519133455795873	0.3356359849704466	0.3084373961946335	0.3546278230939359	0.34439210983629653	0.34601838429311216	0.31403875370460155	0.3189926664653778	0.34165534753344695	0.33932078313488157	0.41256548175866037	0.3218261128102909	0.3561160531332118	0.31117556642289335	0.0	0.3792934283402949	0.35095178335072047	0.3965710372035931
S2Hp	0.34675883555870596	0.33102868641746225	0.37959471642510656	0.38622513647351375	0.38105492676812047	0.40041270211731916	0.37826424276081916	0.4112598412681223	0.38348809889100455	0.3799344527994742	0.3763882886615088	0.32366224546558453	0.3444295444017323	0.348436215805492	0.3588808662179799	0.3316822774421668	0.37787270434146913	0.36763699108382975	0.3692632655406454	0.3372836349521348	0.3422375477129111	0.36490022878098016	0.3625656643824148	0.4358103630061936	0.34507099405782415	0.3793609343807451	0.3693671032699935	0.3792934283402949	0.0	0.29057152989732093	0.3551472097124526
S26Hp	0.31841719056913154	0.3026870414278878	0.3512530714355321	0.3578834914839393	0.35271328177854605	0.37207105712774474	0.3499225977712447	0.38291819627854784	0.3551464539014301	0.35159280780989977	0.3480466436719344	0.29532060047601005	0.31608789941215787	0.3200945708159175	0.3305392212284054	0.30334063245259235	0.34953105935189466	0.33929534609425527	0.340921620551071	0.3089419899625604	0.3138959027233367	0.3365585837914057	0.3342240193928403	0.40746871801661916	0.3167293490682497	0.35101928939117066	0.3410254582804191	0.35095178335072047	0.29057152989732093	0.0	0.3268055647228782
