	530227	F14H1A	S29H1	31021	31537	S25Hp	S30H1	530050	31300	S28Hp	531414	S26Hp	31452	530451	S13Hp	S31Hp	S7Hp	530258	F23HpA	S17H1	S4Hp	F32H1	S10H1	S21H1	S20H1
531414	0.4331257894650995	0.4224039295835214	0.42685960169342885	0.42508614882157525	0.4170827394060938	0.38153160414069515	0.49710903801892603	0.39156278999096583	0.3549000497193198	0.3533339693244483	0.0	0.35367511687954295	0.375237198046764	0.36856976501449196	0.36075793493968566	0.3492921621874101	0.4421557863941573	0.4780492247539836	0.4505997025448245	0.5017224165825429	0.5116951222553923	0.523131576829301	0.522781497746632	0.5314563366906178	0.42649163380218735
S26Hp	0.38319959619825117	0.3724777363166731	0.3769334084265805	0.3751599555547269	0.3671565461392455	0.3316054108738468	0.4471828447520777	0.3416365967241175	0.3049738564524715	0.3537154043934656	0.35367511687954295	0.0	0.3002890447948008	0.29362161176252877	0.31083174167283734	0.2993659689205618	0.392229593127309	0.42812303148713526	0.4006735092779762	0.45179622331569463	0.461768928988544	0.4732053835624526	0.47285530447978363	0.4815301434237694	0.376565440535339
31452	0.4047616773654722	0.3940398174838941	0.39849548959380154	0.39672203672194795	0.3887186273064665	0.35316749204106784	0.4687449259192987	0.36319867789133853	0.3265359376196925	0.37527748556068663	0.375237198046764	0.3002890447948008	0.0	0.27988114909196493	0.33239382284005836	0.3209280500877828	0.41379167429453	0.4496851126543563	0.4222355904451972	0.47335830448291566	0.483331010155765	0.49476746472967364	0.49441738564700466	0.5030922245909903	0.39812752170256005
530451	0.3980942443332002	0.3873723844516221	0.3918280565615295	0.3900546036896759	0.3820511942741945	0.3465000590087958	0.4620774928870267	0.3565312448590665	0.3198685045874205	0.3686100525284146	0.36856976501449196	0.29362161176252877	0.27988114909196493	0.0	0.32572638980778634	0.3142606170555108	0.407124241262258	0.44301767962208427	0.4155681574129252	0.46669087145064364	0.476663577123493	0.4881000316974016	0.48774995261473264	0.4964247915587184	0.39146008867028803
S13Hp	0.32299338816355827	0.3476402709661038	0.3520959430760112	0.3503224902041576	0.3423190807886762	0.3067679455232775	0.4223453794015084	0.33344942902993724	0.29678668875829123	0.3607982224536083	0.36075793493968566	0.31083174167283734	0.33239382284005836	0.32572638980778634	0.0	0.23915976088586885	0.3320233850926161	0.36791682345244237	0.3404673012432833	0.39159001528100174	0.4015627209538511	0.4129991755277597	0.41264909644509074	0.4213239353890765	0.3163592325006461
S31Hp	0.2700187101425332	0.33617449821382817	0.34063017032373566	0.33885671745188206	0.33085330803640056	0.2953021727710019	0.41087960664923284	0.3219836562776617	0.2853209160060156	0.3493324497013327	0.3492921621874101	0.2993659689205618	0.3209280500877828	0.3142606170555108	0.23915976088586885	0.0	0.24235878847716183	0.2782522268369881	0.25080270462782905	0.30192541866554745	0.3118981243383968	0.32333457891230544	0.3229844998296365	0.3316593387736222	0.263384554479621
S7Hp	0.3628823343492804	0.42903812242057543	0.43349379453048287	0.43172034165862927	0.4237169322431478	0.38816579697774917	0.50374323085598	0.4148472804844089	0.3781845402127629	0.44219607390807997	0.4421557863941573	0.392229593127309	0.41379167429453	0.407124241262258	0.3320233850926161	0.24235878847716183	0.0	0.31175653709571927	0.31135753124172794	0.3624802452794464	0.37245295095229575	0.3838894055262044	0.3835393264435354	0.3922141653875212	0.35624817868636827
530258	0.3987757727091067	0.46493156078040165	0.46938723289030915	0.46761378001845555	0.45961037060297405	0.4240592353375754	0.5396366692158063	0.45074071884423517	0.4140779785725891	0.4780895122679062	0.4780492247539836	0.42812303148713526	0.4496851126543563	0.44301767962208427	0.36791682345244237	0.2782522268369881	0.31175653709571927	0.0	0.3472509696015542	0.3983736836392726	0.40834638931212197	0.4197828438860306	0.41943276480336167	0.4281076037473474	0.39214161704619444
F23HpA	0.3713262504999476	0.4374820385712426	0.44193771068115006	0.44016425780929647	0.432160848393815	0.39660971312841636	0.5121871470066472	0.4232911966350761	0.3866284563634301	0.45063999005874716	0.4505997025448245	0.4006735092779762	0.4222355904451972	0.4155681574129252	0.3404673012432833	0.25080270462782905	0.31135753124172794	0.3472509696015542	0.0	0.32408309719072786	0.3340558028635772	0.34549225743748585	0.34514217835481686	0.35381701729880266	0.36469209483703546
S17H1	0.4224489645376661	0.4886047526089611	0.4930604247188685	0.4912869718470149	0.4832835624315335	0.4477324271661348	0.5633098610443656	0.47441391067279454	0.4377511704011485	0.5017627040964656	0.5017224165825429	0.45179622331569463	0.47335830448291566	0.46669087145064364	0.39159001528100174	0.30192541866554745	0.3624802452794464	0.3983736836392726	0.32408309719072786	0.0	0.3163743402350906	0.3278107948089992	0.32746071572633023	0.336135554670316	0.41581480887475386
S4Hp	0.4324216702105155	0.49857745828181044	0.5030331303917179	0.5012596775198643	0.49325626810438283	0.4577051328389842	0.573282566717215	0.4843866163456439	0.4477238760739979	0.511735409769315	0.5116951222553923	0.461768928988544	0.483331010155765	0.476663577123493	0.4015627209538511	0.3118981243383968	0.37245295095229575	0.40834638931212197	0.3340558028635772	0.3163743402350906	0.0	0.22089356120062373	0.22054348211795477	0.2292183210619405	0.4257875145476032
F32H1	0.4438581247844241	0.5100139128557191	0.5144695849656264	0.5126961320937728	0.5046927226782915	0.4691415874128928	0.5847190212911237	0.4958230709195525	0.4591603306479065	0.5231718643432236	0.523131576829301	0.4732053835624526	0.49476746472967364	0.4881000316974016	0.4129991755277597	0.32333457891230544	0.3838894055262044	0.4197828438860306	0.34549225743748585	0.3278107948089992	0.22089356120062373	0.0	0.07337019667391173	0.08204503561789749	0.43722396912151185
S10H1	0.44350804570175506	0.5096638337730501	0.5141195058829575	0.5123460530111039	0.5043426435956224	0.4687915083302238	0.5843689422084547	0.49547299183688354	0.4588102515652375	0.5228217852605546	0.522781497746632	0.47285530447978363	0.49441738564700466	0.48774995261473264	0.41264909644509074	0.3229844998296365	0.3835393264435354	0.41943276480336167	0.34514217835481686	0.32746071572633023	0.22054348211795477	0.07337019667391173	0.0	0.04722350617453924	0.4368738900388429
S21H1	0.45218288464574086	0.5183386727170358	0.5227943448269432	0.5210208919550896	0.5130174825396082	0.47746634727420956	0.5930437811524405	0.5041478307808693	0.46748509050922327	0.5314966242045404	0.5314563366906178	0.4815301434237694	0.5030922245909903	0.4964247915587184	0.4213239353890765	0.3316593387736222	0.3922141653875212	0.4281076037473474	0.35381701729880266	0.336135554670316	0.2292183210619405	0.08204503561789749	0.04722350617453924	0.0	0.4455487289828286
S20H1	0.28703204315793107	0.4133739698286054	0.4178296419385129	0.4160561890666593	0.4080527796511778	0.37250164438577915	0.4880790782640101	0.3991831278924389	0.36252038762079286	0.42653192131610995	0.42649163380218735	0.376565440535339	0.39812752170256005	0.39146008867028803	0.3163592325006461	0.263384554479621	0.35624817868636827	0.39214161704619444	0.36469209483703546	0.41581480887475386	0.4257875145476032	0.43722396912151185	0.4368738900388429	0.4455487289828286	0.0
