	S18H1	s17pp	w6pp	f6ppA	f6ppB	s13pp	f20ppB	f14ppB	f16ppA	f23ppA	f21pp	f18pp	f14ppA	F23HpA	f8pp	s26pp	F7H1	f26pp	s16pp	s25pp	s24pp	S15Hp	s29pp	S28Hp	s12pp	s27pp	F6H1	s18pp	S11Hp	s2pp	f3pp	F14H1A	S26Hp	S9H1	S22Hp	f1pp	s1pp	S1Hp	f16ppB	w9pp	s3pp	f30pp	w3pp	s30pp	w30pp	f4pp	f23ppB
s24pp	0.5769708273269962	0.52143975962225	0.526440910325933	0.4793226486033137	0.4463764523287378	0.4863441180448739	0.4835648126909317	0.33868340052607754	0.37732799472814	0.3671089044759648	0.3271601589529135	0.30396006637846845	0.454093129392505	0.5310856625928205	0.29733635473977055	0.43053654872573677	0.49950080078657566	0.39111044032305353	0.20083217808857506	0.33425184640537087	0.0	0.12235847528695745	0.12162622585999543	0.17825321669698685	0.3864580582474181	0.502600966058564	0.5263863317711732	0.4151138119755991	0.5148125740214939	0.3039506595289892	0.46500044847145916	0.5688330796787717	0.5713881959952878	0.5529698471556588	0.46340740585327744	0.42464084786966516	0.3538513559385886	0.4404638816008941	0.43888261543797275	0.5537986908966792	0.3894737019333938	0.49742204932272527	0.5465908417262402	0.4358925861834399	0.3943027087929083	0.31080788138045656	0.4890839289430301
S15Hp	0.6008334143680598	0.5453023466633137	0.5503034973669967	0.5031852356443773	0.4702390393698014	0.5102067050859376	0.5074273997319954	0.3625459875671412	0.40119058176920364	0.3909714915170284	0.35102274599397715	0.3278226534195321	0.4779557164335687	0.5549482496338842	0.3211989417808342	0.4543991357668004	0.5233633878276394	0.4149730273641172	0.2246947651296387	0.3581144334464345	0.12235847528695745	0.0	0.07242961828810954	0.12905660912510095	0.41032064528848167	0.5264635530996276	0.5502489188122369	0.43897639901666274	0.5386751610625575	0.32781324657005284	0.4888630355125228	0.5926956667198354	0.5952507830363514	0.5768324341967224	0.48726999289434114	0.44850343491072875	0.3777139429796522	0.4643264686419577	0.4627452024790364	0.5776612779377428	0.4133362889744574	0.5212846363637889	0.5704534287673039	0.45975517322450354	0.4181652958339719	0.3346704684215202	0.5129465159840938
s29pp	0.6001011649410978	0.5445700972363516	0.5495712479400345	0.5024529862174153	0.46950678994283934	0.5094744556589755	0.5066951503050333	0.36181373814017914	0.4004583323422416	0.3902392420900664	0.3502904965670151	0.32709040399257006	0.47722346700660667	0.5542160002069221	0.32046669235387215	0.45366688633983837	0.5226311384006772	0.41424077793715514	0.22396251570267667	0.35738218401947247	0.12162622585999543	0.07242961828810954	0.0	0.09816041592120575	0.4095883958615196	0.5257313036726656	0.5495166693852749	0.4382441495897007	0.5379429116355956	0.3270809971430908	0.48813078608556076	0.5919634172928734	0.5945185336093893	0.5761001847697603	0.4865377434673791	0.4477711854837667	0.3769816935526902	0.46359421921499566	0.46201295305207435	0.5769290285107808	0.41260403954749536	0.5205523869368269	0.5697211793403418	0.4590229237975415	0.41743304640700984	0.33393821899455817	0.5122142665571318
S28Hp	0.6567281557780892	0.601197088073343	0.6061982387770259	0.5590799770544067	0.5261337807798308	0.5661014464959669	0.5633221411420247	0.41844072897717055	0.457085323179233	0.4468662329270578	0.4069174874040065	0.38371739482956146	0.5338504578435981	0.6108429910439135	0.37709368319086356	0.5102938771768297	0.5792581292376686	0.47086776877414654	0.2805895065396681	0.4140091748564639	0.17825321669698685	0.12905660912510095	0.09816041592120575	0.0	0.46621538669851104	0.582358294509657	0.6061436602222663	0.4948711404266921	0.594569902472587	0.3837079879800822	0.5447577769225522	0.6485904081298648	0.6511455244463807	0.6327271756067517	0.5431647343043705	0.5043981763207581	0.4336086843896816	0.5202212100519871	0.5186399438890658	0.6335560193477722	0.46923103038448677	0.5771793777738183	0.6263481701773332	0.5156499146345329	0.47406003724400125	0.3905652098315496	0.5688412573941232
s12pp	0.47824292634680465	0.4227118586420585	0.4277130093457414	0.3805947476231222	0.3476485513485462	0.38761621706468236	0.3848369117107402	0.239955499545886	0.2786000937479484	0.2683810034957732	0.2284322579727219	0.20523216539827685	0.35536522841231344	0.43235776161262895	0.19860845375957892	0.38264487665056424	0.45160912871140313	0.343218768247881	0.37049165243577303	0.5039113207525688	0.3864580582474181	0.41032064528848167	0.4095883958615196	0.46621538669851104	0.0	0.39229528851147805	0.41608065422408735	0.3048081344285132	0.404506896474408	0.2052227585487976	0.3662725474912676	0.47010517869858015	0.4726602950150961	0.4542419461754671	0.36467950487308587	0.32591294688947353	0.25512345495839694	0.3417359806207025	0.3401547144577811	0.45507078991648753	0.2907458009532022	0.3986941483425337	0.4478629407460486	0.33716468520324827	0.29557480781271667	0.212079980400265	0.3903560279628386
s27pp	0.5943858341579504	0.5388547664532044	0.5438559171568873	0.496737655434268	0.4637914591596921	0.5037591248758282	0.500979819521886	0.35609840735703185	0.3947430015590943	0.3845239113069191	0.3445751657838678	0.32137507320942277	0.47150813622345933	0.5485006694237748	0.31475136157072486	0.4987877844617101	0.567752036522549	0.4593616760590269	0.486634560246919	0.6200542285637147	0.502600966058564	0.5264635530996276	0.5257313036726656	0.582358294509657	0.39229528851147805	0.0	0.4394140569060585	0.3863476550872226	0.48604641713311747	0.3213656663599435	0.4824154553024135	0.5862480865097262	0.588803202826242	0.570384853986613	0.48082241268423176	0.4420558547006195	0.3712663627695429	0.45787888843184843	0.45629762226892706	0.5712136977276334	0.40688870876434813	0.5148370561536796	0.5640058485571946	0.4533075930143942	0.4117177156238626	0.3282228882114109	0.5064989357739844
F6H1	0.6181711998705598	0.5626401321658137	0.5676412828694966	0.5205230211468773	0.48757682487230136	0.5275444905884376	0.5247651852344953	0.37988377306964116	0.4185283672717036	0.4083092770195284	0.36836053149647713	0.3451604389220321	0.4952935019360687	0.5722860351363841	0.33853672728333417	0.5225731501743194	0.5915374022351583	0.4831470417716362	0.5104199259595282	0.643839594276324	0.5263863317711732	0.5502489188122369	0.5495166693852749	0.6061436602222663	0.41608065422408735	0.4394140569060585	0.0	0.4101330207998319	0.5098317828457268	0.3451510320725528	0.5062008210150228	0.6100334522223354	0.6125885685388514	0.5941702196992223	0.5046077783968411	0.46584122041322873	0.3950517284821522	0.4816642541444577	0.48008298798153637	0.5949990634402428	0.4306740744769574	0.538622421866289	0.5877912142698039	0.4770929587270035	0.43550308133647186	0.3520082539240202	0.5302843014865938
s18pp	0.5068986800749857	0.45136761237023953	0.4563687630739225	0.4092505013513032	0.3763043050767273	0.4162719707928634	0.4134926654389212	0.26861125327406704	0.3072558474761295	0.2970367572239543	0.25708801170090295	0.2338879191264579	0.3840209821404945	0.46101351534081003	0.22726420748776	0.41130063037874526	0.48026488243958415	0.371874521976062	0.39914740616395405	0.5325670744807498	0.4151138119755991	0.43897639901666274	0.4382441495897007	0.4948711404266921	0.3048081344285132	0.3863476550872226	0.4101330207998319	0.0	0.34444087191116307	0.23387851227697865	0.3949283012194486	0.4987609324267612	0.5013160487432772	0.48289769990364817	0.39333525860126695	0.35456870061765455	0.283779208686578	0.3703917343488835	0.3688104681859622	0.4837265436446686	0.3194015546813832	0.4273499020707147	0.4765186944742297	0.36582043893142935	0.3242305615408977	0.24073573412844607	0.4190117816910196
S11Hp	0.6065974421208804	0.5510663744161344	0.5560675251198173	0.5089492633971979	0.4760030671226221	0.5159707328387582	0.5131914274848159	0.3683100153199618	0.4069546095220243	0.39673551926984907	0.3567867737467978	0.33358668117235274	0.4837197441863893	0.5607122773867048	0.32696296953365483	0.5109993924246401	0.579963644485479	0.47157328402195686	0.49884616820984895	0.6322658365266447	0.5148125740214939	0.5386751610625575	0.5379429116355956	0.594569902472587	0.404506896474408	0.48604641713311747	0.5098317828457268	0.34444087191116307	0.0	0.3335772743228735	0.49462706326534345	0.5984596944726561	0.601014810789172	0.582596461949543	0.49303402064716173	0.45426746266354945	0.38347797073247286	0.4700904963947784	0.46850923023185703	0.5834253056905634	0.4191003167272781	0.5270486641166096	0.5762174565201246	0.4655192009773242	0.4239293235867926	0.34043449617434085	0.5187105437369144
s2pp	0.33799276581850923	0.2824616981137631	0.2874628488174461	0.24034458709482678	0.20739839082025086	0.247366056536387	0.2445867511824448	0.09970533901759063	0.13834993321965305	0.12813084296747784	0.08818209744442654	0.06498200486998151	0.21511506788401813	0.2921076010843336	0.07956867002953127	0.30013747793213535	0.36910172999297425	0.2607113695294521	0.2879842537173442	0.42140392203413995	0.3039506595289892	0.32781324657005284	0.3270809971430908	0.3837079879800822	0.2052227585487976	0.3213656663599435	0.3451510320725528	0.23387851227697865	0.3335772743228735	0.0	0.1977315283961107	0.3015641596034233	0.30411927591993926	0.28570092708031025	0.196138485777929	0.18566278636117817	0.11487329443010162	0.20148582009240712	0.1999045539294858	0.3148206293881922	0.15049564042490682	0.25844398781423833	0.3076127802177533	0.19691452467495296	0.1553246472844213	0.07182981987196964	0.2501058674345432
