	S16H2	w27pp	s32pp	s12pp	f21pp	f8pp	f12ppB	f18pp	w3pp	s23pp	S13Hp	w17pp	F6H1	F23HpA	31600	S18H1	S6Hp	f19pp	f1pp	s1pp	f12ppA	f4pp	f11pp	f7pp	f30pp	w9pp	f17ppA	f22ppA	f14ppB	f15pp
f12ppA	0.1874489365037359	0.17426705247113194	0.18051085942477169	0.20722449172641777	0.17408740635134506	0.16625348234789838	0.17351846215126637	0.15658456243447838	0.15981617370074075	0.2263099367037015	0.196038790321638	0.13028846814296494	0.5618548134310384	0.5504031056799173	0.5747137995903617	0.5377389574962442	0.5357283058850907	0.13627540829564228	0.13644197018133541	0.18979414206293624	0.0	0.08441919100968873	0.13205859263392866	0.12533289759963198	0.14306510076171075	0.13078802980425258	0.13689080865048578	0.12342740108177558	0.13147213816154826	0.16978479653010758
f4pp	0.1633721191298262	0.15019023509722218	0.15643404205086198	0.183147674352508	0.15001058897743536	0.14217666497398862	0.14944164477735666	0.13250774506056867	0.13573935632683098	0.20223311932979177	0.1719619729477283	0.1062116507690552	0.5377779960571287	0.5263262883060076	0.550636982216452	0.5136621401223345	0.5116514885111809	0.11219859092173252	0.11236515280742569	0.1657173246890265	0.08441919100968873	0.0	0.10798177526001893	0.10125608022572224	0.11898828338780103	0.10671121243034283	0.11281399127657604	0.09935058370786586	0.10739532078763853	0.14570797915619788
f11pp	0.1692331185255703	0.15605123449296632	0.16229504144660606	0.18900867374825214	0.15587158837317944	0.14803766436973276	0.15530264417310075	0.13836874445631275	0.14160035572257512	0.20809411872553588	0.17782297234347239	0.12781918043995535	0.5593855257280288	0.5479338179769078	0.5722445118873521	0.5352696697932346	0.5332590181820811	0.13380612059263267	0.13397268247832583	0.18732485435992666	0.13205859263392866	0.10798177526001893	0.0	0.08420955147650633	0.10194175463858512	0.08966468368112693	0.11867499067232015	0.10521158310360995	0.11325632018338264	0.15156897855194199
f7pp	0.16250742349127362	0.1493255394586696	0.1555693464123094	0.18228297871395543	0.14914589333888278	0.14131196933543605	0.1485769491388041	0.1316430494220161	0.1348746606882784	0.2013684236912392	0.17109727730917573	0.12109348540565867	0.552659830693732	0.5412081229426111	0.5655188168530554	0.528543974758938	0.5265333231477844	0.12708042555833599	0.12724698744402918	0.18059915932562998	0.12533289759963198	0.10125608022572224	0.08420955147650633	0.0	0.08988401438348417	0.07760694342602598	0.11194929563802347	0.09848588806931328	0.10653062514908596	0.1448432835176453
f30pp	0.18023962665335239	0.1670577426207484	0.17330154957438815	0.20001518187603423	0.16687809650096155	0.15904417249751485	0.16630915230088286	0.14937525258409487	0.1526068638503572	0.219100626853318	0.1888294804712545	0.13882568856773747	0.5703920338558108	0.5589403261046899	0.5832510200151342	0.5462761779210167	0.5442655263098631	0.14481262872041478	0.14497919060610795	0.19833136248770877	0.14306510076171075	0.11898828338780103	0.10194175463858512	0.08988401438348417	0.0	0.08101848959620314	0.12968149880010224	0.11621809123139207	0.12426282831116474	0.16257548667972407
w9pp	0.1679625556958942	0.15478067166329018	0.16102447861692998	0.187738110918576	0.15460102554350336	0.14676710154005665	0.15403208134342466	0.13709818162663667	0.140329792892899	0.20682355589585977	0.1765524095137963	0.12654861761027925	0.5581149628983527	0.5466632551472317	0.5709739490576761	0.5339991069635586	0.531988455352405	0.13253555776295659	0.13270211964864975	0.18605429153025055	0.13078802980425258	0.10671121243034283	0.08966468368112693	0.07760694342602598	0.08101848959620314	0.0	0.11740442784264404	0.10394102027393387	0.11198575735370654	0.15029841572226588
f17ppA	0.15937826503282565	0.14619638100022164	0.15244018795386144	0.17915382025550747	0.14601673488043482	0.1381828108769881	0.14544779068035613	0.12851389096356813	0.13174550222983047	0.19823926523279123	0.16796811885072777	0.13265139645651247	0.5642177417445859	0.5527660339934649	0.5770767279039093	0.5401018858097918	0.5380912341986382	0.13863833660918978	0.13880489849488295	0.19215707037648377	0.13689080865048578	0.11281399127657604	0.11867499067232015	0.11194929563802347	0.12968149880010224	0.11740442784264404	0.0	0.07893712088015527	0.10340146669063802	0.14171412505919734
f22ppA	0.14591485746411548	0.13273297343151147	0.13897678038515127	0.1656904126867973	0.13255332731172464	0.12471940330827792	0.13198438311164595	0.11505048339485795	0.11828209466112029	0.18477585766408106	0.1545047112820176	0.11918798888780227	0.5507543341758757	0.5393026264247547	0.5636133203351991	0.5266384782410816	0.524627826629928	0.1251749290404796	0.12534149092617278	0.1786936628077736	0.12342740108177558	0.09935058370786586	0.10521158310360995	0.09848588806931328	0.11621809123139207	0.10394102027393387	0.07893712088015527	0.0	0.08993805912192782	0.12825071749048716
f14ppB	0.14391519050245777	0.1307333064698538	0.13697711342349356	0.1636907457251396	0.13055366035006694	0.12271973634662024	0.12998471614998824	0.11305081643320027	0.1162824276994626	0.18277619070242337	0.15250504432035988	0.12723272596757496	0.5587990712556483	0.5473473635045274	0.5716580574149717	0.5346832153208543	0.5326725637097007	0.13321966612025227	0.13338622800594546	0.18673839988754626	0.13147213816154826	0.10739532078763853	0.11325632018338264	0.10653062514908596	0.12426282831116474	0.11198575735370654	0.10340146669063802	0.08993805912192782	0.0	0.12625105052882946
f15pp	0.10658906147309641	0.1336455811509355	0.1398893881045753	0.16660302040622132	0.15055563741100572	0.14272171340755901	0.14998669321092703	0.13305279349413904	0.13628440476040138	0.20277816776336216	0.17250702138129864	0.1655453843361343	0.5971117296242077	0.5856600218730867	0.609970715783531	0.5729958736894135	0.57098522207826	0.17153232448881162	0.17169888637450476	0.2250510582561056	0.16978479653010758	0.14570797915619788	0.15156897855194199	0.1448432835176453	0.16257548667972407	0.15029841572226588	0.14171412505919734	0.12825071749048716	0.12625105052882946	0.0
