	S17H1	S19H1	S31Hp	31700	S16H2	F14H1B	S21H1	S28Hp	F14H1A	31071	31600	S9H1	S1Hp	31009	530331	S20H1	31267	31519	S27H1	31452	S6Hp	S4Hp	S25Hp	S11Hp	F23HpA	F8H1	F32H1	31750	S23Hp	S12Hp	S18H1	S26Hp	S15Hp	F29H1	s32pp	S13Hp	31160	S14Hp	31300	S3Hp	F6H1	F1H1	530055	31219	31328	S22Hp	F7H1
S6Hp	0.5410065978394949	0.5290570829148895	0.4022525635020722	0.3880019123286667	0.4066623921674694	0.5059344206187533	0.4936668654513948	0.48588984072980923	0.40979565166726556	0.3823709254648856	0.3647120201485221	0.42284355326869194	0.3007993864127397	0.41533389392556697	0.36773227175255907	0.20944383395684524	0.17492315487226437	0.13252655877391623	0.12221547732419971	0.1099050649643409	0.0	0.12754937282928552	0.18488332073852543	0.17216941813818953	0.15898009791501932	0.1597543431037811	0.1872884534079177	0.3578530834924362	0.5081348556223468	0.4187582112729577	0.4719680029707387	0.4713279101642154	0.43308595621993695	0.518145516488354	0.5161380609362423	0.5186139485665441	0.4327458071842951	0.4557860734004885	0.4482354237883531	0.46790817278644925	0.4111942991253899	0.4612640883517197	0.47725497114831245	0.5004942283541891	0.5341964890250643	0.49430536181055074	0.548922555255172
S4Hp	0.5105878280643859	0.49863831313978046	0.3718337937269632	0.3575831425535577	0.3762436223923604	0.47551565084364433	0.4632480956762858	0.4554710709547003	0.37937688189215657	0.35195215568977667	0.33429325037341306	0.39242478349358295	0.2703806166376307	0.3849151241504579	0.33731350197745014	0.17902506418173625	0.14450438509715538	0.10210778899880724	0.09179670754909071	0.1291123209365469	0.12754937282928552	0.0	0.08358112669316613	0.07086722409283025	0.05767790386966003	0.05845214905842181	0.1568696836328087	0.32743431371732723	0.47771608584723785	0.38833944149784866	0.44154923319562966	0.44090914038910634	0.4026671864448279	0.487726746713245	0.4857192911611332	0.48819517879143504	0.4023270374091861	0.42536730362537944	0.4178166540132441	0.4374894030113402	0.38077552935028086	0.4308453185766107	0.4468362013732034	0.47007545857908006	0.5037777192499553	0.4638865920354417	0.5185037854800629
S25Hp	0.5679217759736257	0.5559722610490203	0.429167741636203	0.41491709046279757	0.43357757030160027	0.5328495987528842	0.5205820435855256	0.5128050188639401	0.4367108298013964	0.4092861035990165	0.3916271982826529	0.4497587314028228	0.32771456454687053	0.44224907205969777	0.39464744988669	0.2363590120909761	0.20183833300639525	0.15944173690804714	0.1491306554583306	0.1864462688457868	0.18488332073852543	0.08358112669316613	0.0	0.10753714006024202	0.0943478198370718	0.09512206502583359	0.21420363154204858	0.3847682616265671	0.5350500337564777	0.44567338940708856	0.4988831811048695	0.4982430882983463	0.46000113435406786	0.545060694622485	0.5430532390703731	0.5455291267006749	0.459660985318426	0.4827012515346194	0.47515060192248393	0.49482335092058005	0.4381094772595207	0.4881792664858505	0.5041701492824432	0.5274094064883199	0.5611116671591951	0.5212205399446815	0.5758377333893028
S11Hp	0.5552078733732899	0.5432583584486845	0.41645383903586725	0.40220318786246173	0.42086366770126443	0.5201356961525483	0.5078681409851898	0.5000911162636043	0.4239969272010606	0.3965722009986806	0.37891329568231713	0.43704482880248696	0.3150006619465347	0.429535169459362	0.3819335472863541	0.22364510949064026	0.1891244304060594	0.14672783430771125	0.13641675285799473	0.1737323662454509	0.17216941813818953	0.07086722409283025	0.10753714006024202	0.0	0.047234248705152734	0.04800849389391452	0.20148972894171271	0.37205435902623124	0.5223361311561419	0.4329594868067527	0.48616927850453373	0.4855291856980104	0.447287231753732	0.5323467920221491	0.5303393364700373	0.5328152241003391	0.44694708271809014	0.4699873489342835	0.46243669932214815	0.48210944832024427	0.4253955746591849	0.47546536388551475	0.49145624668210747	0.5146955038879841	0.5483977645588594	0.5085066373443458	0.563123830788967
F23HpA	0.5420185531501196	0.5300690382255142	0.4032645188126969	0.38901386763929147	0.40767434747809417	0.5069463759293781	0.4946788207620195	0.48690179604043404	0.4108076069778903	0.3833828807755104	0.3657239754591468	0.4238555085793167	0.30181134172336443	0.41634584923619167	0.3687442270631839	0.21045578926747	0.17593511018288915	0.13353851408454104	0.1232274326348245	0.1605430460222807	0.15898009791501932	0.05767790386966003	0.0943478198370718	0.047234248705152734	0.0	0.029541470615165908	0.18830040871854248	0.358865038803061	0.5091468109329716	0.41977016658358246	0.4729799582813634	0.4723398654748402	0.43409791153056176	0.5191574717989789	0.517150016246867	0.5196259038771688	0.4337577624949199	0.4567980287111133	0.44924737909897783	0.46892012809707395	0.4122062544360146	0.4622760436623444	0.47826692645893715	0.5015061836648138	0.535208444335689	0.49531731712117544	0.5499345105657967
F8H1	0.5427927983388814	0.530843283414276	0.4040387640014587	0.38978811282805326	0.40844859266685596	0.5077206211181399	0.4954530659507813	0.48767604122919583	0.4115818521666521	0.3841571259642722	0.3664982206479086	0.4246297537680785	0.3025855869121262	0.41712009442495346	0.3695184722519457	0.21123003445623179	0.17670935537165094	0.13431275927330283	0.12400167782358629	0.16131729121104246	0.1597543431037811	0.05845214905842181	0.09512206502583359	0.04800849389391452	0.029541470615165908	0.0	0.18907465390730427	0.35963928399182277	0.5099210561217334	0.42054441177234425	0.4737542034701252	0.473114110663602	0.43487215671932355	0.5199317169877407	0.5179242614356288	0.5204001490659306	0.43453200768368166	0.4575722738998751	0.4500216242877396	0.46969437328583574	0.4129804996247764	0.4630502888511062	0.47904117164769894	0.5022804288535756	0.5359826895244508	0.49609156230993723	0.5507087557545585
F32H1	0.46957615229315985	0.45762663736855447	0.3308221179557372	0.3165714667823317	0.3352319466211344	0.43450397507241834	0.4222364199050598	0.4144593951834743	0.3383652061209306	0.31094047991855067	0.29328157460218707	0.35141310772235695	0.22936894086640466	0.3439034483792319	0.29630182620622414	0.13801338841051025	0.1034927093259294	0.1404329239961337	0.13012184254641718	0.18885140151517907	0.1872884534079177	0.1568696836328087	0.21420363154204858	0.20148972894171271	0.18830040871854248	0.18907465390730427	0.0	0.28642263794610123	0.4367044100760119	0.3473277657266227	0.40053755742440367	0.3998974646178804	0.36165551067360197	0.44671507094201907	0.4447076153899072	0.44718350302020904	0.3613153616379601	0.3843556278541535	0.3768049782420181	0.3964777272401142	0.33976385357905486	0.3898336428053847	0.4058245256019774	0.42906378280785407	0.46276604347872924	0.4228749162642157	0.47749210970883693
31750	0.4157135776165526	0.4037640626919472	0.2769595432791299	0.26270889210572446	0.28136937194452716	0.38064140039581107	0.3683738452284525	0.36059682050686703	0.2845026314443233	0.2570779052419434	0.23941899992557983	0.2975505330457497	0.1755063661897974	0.29004087370262466	0.28201524519344323	0.17598569059255587	0.2214428707308763	0.3109975540806522	0.3006864726309357	0.3594160315996976	0.3578530834924362	0.32743431371732723	0.3847682616265671	0.37205435902623124	0.358865038803061	0.35963928399182277	0.28642263794610123	0.0	0.38284183539940464	0.29346519105001545	0.3466749827477964	0.3460348899412731	0.3077929359969947	0.3928524962654118	0.39084504071329995	0.3933209283436018	0.3074527869613528	0.33049305317754624	0.3229424035654108	0.34261515256350694	0.2859012789024476	0.3359710681287774	0.35196195092537014	0.3752012081312468	0.40890346880212197	0.36901234158760843	0.42362953503222966
S23Hp	0.4763585885945413	0.4644090736699359	0.33760455425711866	0.338361840337539	0.3641564776986824	0.4634285061499663	0.4511609509826078	0.44338392626102224	0.36728973719847857	0.3653599175690561	0.34770101225269257	0.41704516323624186	0.2950009963802896	0.4095355038931169	0.43229701732335385	0.32626746272246654	0.37172464286078694	0.4612793262105629	0.4509682447608463	0.5096978037296083	0.5081348556223468	0.47771608584723785	0.5350500337564777	0.5223361311561419	0.5091468109329716	0.5099210561217334	0.4367044100760119	0.38284183539940464	0.0	0.2690206547345121	0.32223044643229304	0.3215903536257698	0.3392995374485247	0.4243590977169418	0.42235164216483	0.42482752979513183	0.33895938841288287	0.36199965462907624	0.3835874145433995	0.40326016354149563	0.3465462898804363	0.3966160791067661	0.4126069619033588	0.4358462191092355	0.46954847978011066	0.4296573525655971	0.48427454601021835
S12Hp	0.38698194424515203	0.3750324293205467	0.24822790990772944	0.24898519598814983	0.27477983334929323	0.3740518618005771	0.3617843066332186	0.35400728191163305	0.2779130928490894	0.2759832732196669	0.2583243679033034	0.32766851888685267	0.2056243520309004	0.3201588595437277	0.34292037297396466	0.23689081837307735	0.28234799851139775	0.3719026818611737	0.3615916004114571	0.4203211593802191	0.4187582112729577	0.38833944149784866	0.44567338940708856	0.4329594868067527	0.41977016658358246	0.42054441177234425	0.3473277657266227	0.29346519105001545	0.2690206547345121	0.0	0.20203938317117354	0.20139929036465026	0.24992289309913554	0.3349824533675526	0.3329749978154408	0.33545088544574264	0.24958274406349368	0.27262301027968705	0.2942107701940103	0.31388351919210644	0.2571696455310471	0.30723943475737686	0.3232303175539696	0.3464695747598463	0.3801718354307214	0.34028070821620787	0.39489790166082916
