	s9pp	S4Hp	F23HpA	s32pp	s24H1	s4pp	S2Hp	31300	S17H1	S28Hp	S7Hp	S6Hp	S3Hp	S13Hp	s13pp	S16H2	S8Hp	31519	S26Hp	530394	S21H1	S31Hp	S23Hp	F8H1	S29H1	S25Hp	31700	31723	31112	S19H1	F7H1	S15Hp	F14H1A	F16H1	S27H1	S11Hp	31379	530050	31219	F32H1	530119	S30H1	F14H1B
S21H1	0.5756167371592859	0.513677787356344	0.48577665167181405	0.5563275720793622	0.5542925198314872	0.5893977634518315	0.4173709331890947	0.5076548921855039	0.47293430925566005	0.3978902519665122	0.4412065519947124	0.44076915228522895	0.49098574959824964	0.48117502688803326	0.4913865947938727	0.5792052945241126	0.5510286179256416	0.5510179054284212	0.3573708484877095	0.2926447098343411	0.0	0.28002133222465486	0.2981356597675508	0.3895861003919421	0.38961534443770507	0.3855041382084614	0.4460388285587136	0.40668954960177395	0.4035300830729407	0.505135211883124	0.5051911685208357	0.5040659905955817	0.4931443702061753	0.5409682444474226	0.5468206312124662	0.4823778084798767	0.5809668636216541	0.5888726771397633	0.597077425270556	0.583800038793402	0.5968878136084725	0.5851924811095871	0.5659985469133341
S31Hp	0.45400131180655057	0.39206236200360867	0.36416122631907877	0.43471214672662695	0.4326770944787519	0.4677823380990962	0.2957555078363594	0.3860394668327686	0.35131888390292476	0.2762748266137769	0.31959112664197714	0.31915372693249366	0.36937032424551436	0.359559601535298	0.3697711694411374	0.4575898691713774	0.42941319257290633	0.4294024800756859	0.23575542313497425	0.17102928448160584	0.28002133222465486	0.0	0.03770096365986052	0.16303909899260666	0.16306834303836965	0.15895713680912602	0.21949182715937815	0.18014254820243858	0.2398056058443746	0.3835197865303888	0.38357574316810034	0.3824505652428464	0.37152894485344	0.41935281909468736	0.42520520585973093	0.36076238312714143	0.4593514382689188	0.467257251787028	0.4754619999178206	0.46218461344066664	0.4752723882557372	0.4635770557568517	0.4443831215605988
S23Hp	0.47211563934944645	0.41017668954650455	0.38227555386197465	0.4528264742695228	0.4507914220216478	0.4858966656419921	0.31386983537925534	0.40415379437566445	0.3694332114458207	0.29438915415667277	0.3377054541848731	0.3372680544753896	0.3874846517884103	0.37767392907819386	0.3878854969840333	0.47570419671427333	0.4475275201158022	0.4475168076185818	0.25386975067787015	0.18914361202450175	0.2981356597675508	0.03770096365986052	0.0	0.1811534265355026	0.18118267058126558	0.17707146435202192	0.23760615470227409	0.19825687574533452	0.2579199333872705	0.40163411407328475	0.40169007071099627	0.40056489278574225	0.3896432723963359	0.43746714663758324	0.4433195334026268	0.3788767106700373	0.47746576581181466	0.48537157932992386	0.4935763274607165	0.4802989409835625	0.4933867157986331	0.4816913832997476	0.46249744910349466
F8H1	0.5635660799738378	0.5016271301708959	0.473725994486366	0.5442769148939142	0.5422418626460391	0.5773471062663834	0.4053202760036466	0.4956042350000558	0.460883652070212	0.3858395947810641	0.42915589480926436	0.4287184950997809	0.4789350924128016	0.4691243697025852	0.47933593760842463	0.5671546373386647	0.5389779607401936	0.538967248242973	0.34532019130226144	0.28059405264889303	0.3895861003919421	0.16303909899260666	0.1811534265355026	0.0	0.001385206591624693	0.08621180670596332	0.2731752952976432	0.2338260163407036	0.34937037401166177	0.49308455469767604	0.49314051133538755	0.4920153334101336	0.48109371302072723	0.5289175872619746	0.5347699740270182	0.47032715129442865	0.568916206436206	0.5768220199543153	0.5850267680851079	0.571749381607954	0.5848371564230245	0.573141823924139	0.553947889727886
S29H1	0.5635953240196008	0.5016563742166589	0.473755238532129	0.5443061589396772	0.5422711066918021	0.5773763503121464	0.4053495200494096	0.4956334790458188	0.46091289611597497	0.3858688388268271	0.42918513885502735	0.42874773914554387	0.47896433645856457	0.4691536137483482	0.4793651816541876	0.5671838813844277	0.5390072047859565	0.538996492288736	0.3453494353480244	0.280623296694656	0.38961534443770507	0.16306834303836965	0.18118267058126558	0.001385206591624693	0.0	0.0862410507517263	0.27320453934340616	0.2338552603864666	0.34939961805742475	0.493113798743439	0.49316975538115054	0.4920445774558966	0.4811229570664902	0.5289468313077376	0.5347992180727812	0.47035639534019164	0.568945450481969	0.5768512640000782	0.5850560121308709	0.571778625653717	0.5848664004687875	0.573171067969902	0.553977133773649
S25Hp	0.5594841177903571	0.4975451679874152	0.4696440323028853	0.5401949527104335	0.5381599004625585	0.5732651440829027	0.40123831382016595	0.4915222728165751	0.4568016898867313	0.38175763259758344	0.4250739326257837	0.4246365329163002	0.4748531302293209	0.46504240751910453	0.47525397542494396	0.563072675155184	0.5348959985567129	0.5348852860594924	0.34123822911878077	0.27651209046541236	0.3855041382084614	0.15895713680912602	0.17707146435202192	0.08621180670596332	0.0862410507517263	0.0	0.2690933331141625	0.22974405415722296	0.3452884118281811	0.48900259251419537	0.4890585491519069	0.4879333712266529	0.47701175083724656	0.5248356250784939	0.5306880118435375	0.466245189110948	0.5648342442527253	0.5727400577708346	0.5809448059016272	0.5676674194244733	0.5807551942395438	0.5690598617406584	0.5498659275444053
31700	0.6200188081406092	0.5580798583376673	0.5301787226531375	0.6007296430606857	0.5986945908128105	0.6337998344331548	0.4617730041704181	0.5520569631668273	0.5173363802369835	0.44229232294783555	0.4856086229760358	0.4851712232665524	0.535387820579573	0.5255770978693566	0.535788665775196	0.623607365505436	0.5954306889069649	0.5954199764097445	0.4017729194690329	0.3370467808156645	0.4460388285587136	0.21949182715937815	0.23760615470227409	0.2731752952976432	0.27320453934340616	0.2690933331141625	0.0	0.08437590179155657	0.40582310217843326	0.5495372828644475	0.549593239502159	0.5484680615769051	0.5375464411874987	0.585370315428746	0.5912227021937896	0.5267798794612001	0.6253689346029774	0.6332747481210866	0.6414794962518793	0.6282021097747253	0.6412898845897959	0.6295945520909104	0.6104006178946574
31723	0.5806695291836697	0.5187305793807278	0.49082944369619796	0.561380364103746	0.5593453118558711	0.5944505554762154	0.4224237252134786	0.5127076842098877	0.47798710128004396	0.40294304399089603	0.4462593440190963	0.44582194430961286	0.4960385416226335	0.4862278189124171	0.4964393868182565	0.5842580865484965	0.5560814099500255	0.556070697452805	0.36242364051209336	0.29769750185872496	0.40668954960177395	0.18014254820243858	0.19825687574533452	0.2338260163407036	0.2338552603864666	0.22974405415722296	0.08437590179155657	0.0	0.3664738232214937	0.510188003907508	0.5102439605452195	0.5091187826199655	0.49819716223055915	0.5460210364718064	0.5518734232368501	0.48743060050426057	0.586019655646038	0.5939254691641471	0.6021302172949398	0.5888528308177858	0.6019406056328563	0.5902452731339709	0.5710513389377179
31112	0.5775100626548364	0.5155711128518945	0.4876699771673647	0.5582208975749128	0.5561858453270379	0.5912910889473821	0.41926425868464534	0.5095482176810544	0.4748276347512107	0.3997835774620628	0.443099877490263	0.4426624777807796	0.49287907509380025	0.48306835238358387	0.49327992028942325	0.5810986200196633	0.5529219434211923	0.5529112309239718	0.3592641739832601	0.2945380353298917	0.4035300830729407	0.2398056058443746	0.2579199333872705	0.34937037401166177	0.34939961805742475	0.3452884118281811	0.40582310217843326	0.3664738232214937	0.0	0.5070285373786747	0.5070844940163862	0.5059593160911322	0.4950376957017259	0.5428615699429732	0.5487139567080168	0.4842711339754273	0.5828601891172047	0.5907660026353139	0.5989707507661065	0.5856933642889526	0.5987811391040231	0.5870858066051377	0.5678918724088846
S19H1	0.38215182005938275	0.32021287025644085	0.29231173457191106	0.3628626549794592	0.36082760273158415	0.39593284635192844	0.3044579775214612	0.3947419365178703	0.36002135358802656	0.32996569692850336	0.3732819969567036	0.3728445972472202	0.4230611945602408	0.41325047185002445	0.42346203975586383	0.5112807394861039	0.4831040628876328	0.48309335039041235	0.34421457380324616	0.3458729557337472	0.505135211883124	0.3835197865303888	0.40163411407328475	0.49308455469767604	0.493113798743439	0.48900259251419537	0.5495372828644475	0.510188003907508	0.5070285373786747	0.0	0.0043184201914291	0.0031932422661751355	0.29967945310627225	0.34750332734751954	0.35335571411256317	0.28891289137997367	0.387501946521751	0.39540776003986017	0.4036125081706528	0.3903351216934988	0.4034228965085694	0.3917275640096839	0.37253362981343097
