	S28Hp	F8H1	w9pp	w8pp	f12ppA	f2pp	f16ppA	f3pp	f23ppB	S17H1	f10pp	w11pp	S20H1	s24H1	f8pp	w17pp	f11pp	f17ppB	f30pp	w19pp	f6ppA	w22pp	S25Hp	F6H1	S31Hp	w27pp	w31pp	w20pp	w32pp	w3pp	f19pp	w13pp	f31pp	f15pp	w1pp	w23pp	f18pp	f21pp	w10pp	s12pp	w29pp	s29pp	w26pp
f6ppA	0.23610203834681748	0.24929606875245702	0.1708111313144035	0.17405391362597517	0.17698493426916473	0.18315909654343582	0.17235924056095447	0.20342508975401757	0.28075528051628207	0.26499112414151216	0.40498881233093764	0.4470331635760647	0.8481322358483672	0.8441244003780322	0.6574795064131806	0.3523939400343758	0.2620949959800777	0.234674266398541	0.23973668092871067	0.20560414434954455	0.0	0.11132084295694275	0.23035304035747955	0.23142538443094007	0.22801400736266575	0.15962494025731155	0.19471289010813303	0.21535799750311924	0.22440442417514073	0.20529353924143207	0.204116007057825	0.1635227126532664	0.18155886452122139	0.15155054511708982	0.14271428255274005	0.15337208317907616	0.2384323812014823	0.18493371134633918	0.18950405725103914	0.16503047823668593	0.17480737161898702	0.2159100183610742	0.17996097614346784
w22pp	0.17821239409159295	0.19140642449723244	0.11292148705917894	0.11616426937075061	0.11909529001394017	0.12526945228821126	0.1144695963057299	0.14553544549879302	0.22286563626105751	0.2071014798862876	0.34709916807571306	0.3891435193208401	0.7902425915931426	0.7862347561228076	0.5995898621579562	0.29450429577915127	0.20420535172485313	0.17678462214331644	0.18184703667348612	0.14771450009432	0.11132084295694275	0.0	0.17246339610225497	0.17353574017571552	0.1701243631074412	0.10173529600208699	0.13682324585290845	0.15746835324789468	0.16651477991991614	0.14740389498620748	0.14622636280260046	0.10563306839804183	0.12366922026599683	0.09366090086186525	0.08482463829751548	0.09548243892385161	0.18054273694625775	0.1270440670911146	0.1316144129958146	0.10714083398146138	0.11691772736376246	0.15802037410584965	0.1220713318882433
S25Hp	0.25674029107411095	0.2699343214797505	0.2033611952417201	0.2066039775532918	0.20953499819648136	0.23331502555408845	0.22251516957160708	0.2535810187646702	0.33091120952693465	0.31514705315216474	0.45514474134159033	0.4971890925867174	0.8982881648590197	0.8942803293886847	0.7076354354238333	0.40254986904502843	0.31225092499073026	0.28483019540919363	0.2898926099393633	0.2557600733601971	0.23035304035747955	0.17246339610225497	0.0	0.17994355282353108	0.210577565720327	0.16866209849613426	0.2037500483469557	0.22439515574194197	0.2334415824139634	0.21433069748025474	0.21315316529664774	0.1725598708920891	0.20219711724851488	0.1721887978443833	0.16335253528003352	0.17401033590636966	0.2590706339287758	0.20557196407363265	0.21014230997833264	0.18566873096397943	0.19544562434628052	0.23654827108836768	0.20059922887076131
F6H1	0.2578126351475715	0.271006665553211	0.20443353931518066	0.2076763216267523	0.21060734226994188	0.23438736962754897	0.22358751364506763	0.2546533628381307	0.3319835536003952	0.3162193972256253	0.45621708541505085	0.4982614366601779	0.8993605089324803	0.8953526734621453	0.7087077794972938	0.403622213118489	0.31332326906419083	0.28590253948265415	0.29096495401282385	0.2568324174336577	0.23142538443094007	0.17353574017571552	0.17994355282353108	0.0	0.21164990979378753	0.1697344425695948	0.20482239242041628	0.22546749981540248	0.23451392648742397	0.2154030415537153	0.21422550937010826	0.17363221496554965	0.20326946132197543	0.17326114191784384	0.16442487935349406	0.1750826799798302	0.26014297800223635	0.2066443081470932	0.21121465405179318	0.18674107503743997	0.19651796841974106	0.23762061516182825	0.2016715729442219
S31Hp	0.2544012580792972	0.2675952884849367	0.20102216224690633	0.204264944558478	0.20719596520166755	0.23097599255927465	0.2201761365767933	0.2512419857698564	0.3285721765321209	0.312808020157351	0.4528057083467765	0.4948500595919036	0.8959491318642059	0.8919412963938709	0.7052964024290195	0.4002108360502147	0.3099118919959165	0.2824911624143798	0.28755357694454947	0.2534210403653834	0.22801400736266575	0.1701243631074412	0.210577565720327	0.21164990979378753	0.0	0.16632306550132045	0.2014110153521419	0.22205612274712816	0.2311025494191496	0.21199166448544093	0.21081413230183393	0.1702208378972753	0.1998580842537011	0.1698497648495695	0.16101350228521974	0.17167130291155588	0.256731600933962	0.20323293107881887	0.20780327698351886	0.18332969796916565	0.19310659135146674	0.23420923809355393	0.19826019587594756
w27pp	0.186012190973943	0.1992062213795825	0.1326330951415521	0.1358758774531238	0.13880689809631336	0.16258692545392045	0.15178706947143908	0.18285291866450218	0.2601831094267667	0.24441895305199676	0.38441664124142233	0.4264609924865494	0.8275600647588517	0.8235522292885167	0.6369073353236653	0.3318217689448605	0.2415228248905623	0.2141020953090256	0.21916450983919528	0.18503197326002915	0.15962494025731155	0.10173529600208699	0.16866209849613426	0.1697344425695948	0.16632306550132045	0.0	0.12287991173133779	0.14352501912632404	0.15257144579834547	0.1334605608646368	0.1322830286810298	0.09168973427647117	0.13146901714834688	0.1014606977442153	0.09262443517986553	0.10328223580620166	0.1883425338286078	0.13484386397346465	0.13941420987816466	0.11494063086381143	0.12471752424611252	0.1658201709881997	0.12987112877059337
w31pp	0.22110014082476445	0.23429417123040397	0.16772104499237359	0.17096382730394527	0.17389484794713483	0.19767487530474193	0.18687501932226055	0.21794086851532365	0.2952710592775881	0.2795069029028182	0.4195045910922438	0.46154894233737087	0.8626480146096732	0.8586401791393382	0.6719952851744868	0.3669097187956819	0.27661077474138374	0.24919004515984708	0.25425245969001675	0.22011992311085063	0.19471289010813303	0.13682324585290845	0.2037500483469557	0.20482239242041628	0.2014110153521419	0.12287991173133779	0.0	0.17189642268765348	0.18094284935967495	0.16183196442596628	0.16065443224235926	0.12006113783780063	0.16655696699916836	0.13654864759503677	0.127712385030687	0.13837018565702314	0.22343048367942925	0.16993181382428613	0.1745021597289861	0.1500285807146329	0.159805474096934	0.20090812083902115	0.16495907862141482
w20pp	0.24174524821975069	0.2549392786253902	0.18836615238735982	0.19160893469893148	0.19453995534212104	0.21831998269972813	0.2075201267172468	0.2385859759103099	0.3159161666725744	0.3001520102978045	0.44014969848723	0.4821940497323571	0.8832931220046594	0.8792852865343244	0.6926403925694731	0.38755482619066817	0.29725588213637	0.2698351525548333	0.274897567085003	0.24076503050583686	0.21535799750311924	0.15746835324789468	0.22439515574194197	0.22546749981540248	0.22205612274712816	0.14352501912632404	0.17189642268765348	0.0	0.10484958850395704	0.15933413345230055	0.15815660126869352	0.11756330686413488	0.1872020743941546	0.157193754990023	0.14835749242567323	0.15901529305200937	0.2440755910744155	0.19057692121927236	0.19514726712397235	0.17067368810961914	0.18045058149192023	0.22155322823400742	0.18560418601640105
w32pp	0.2507916748917721	0.26398570529741167	0.19741257905938128	0.20065536137095297	0.20358638201414253	0.22736640937174962	0.21656655338926825	0.24763240258233135	0.3249625933445959	0.30919843696982596	0.44919612515925145	0.4912404764043785	0.8923395486766809	0.8883317132063459	0.7016868192414945	0.39660125286268966	0.3063023088083915	0.27888157922685475	0.28394399375702445	0.24981145717785833	0.22440442417514073	0.16651477991991614	0.2334415824139634	0.23451392648742397	0.2311025494191496	0.15257144579834547	0.18094284935967495	0.10484958850395704	0.0	0.168380560124322	0.16720302794071498	0.12660973353615634	0.19624850106617606	0.16624018166204446	0.1574039190976947	0.16806171972403083	0.25312201774643694	0.19962334789129382	0.2041936937959938	0.1797201147816406	0.1894970081639417	0.23059965490602885	0.1946506126884225
w3pp	0.2316807899580635	0.244874820363703	0.17830169412567262	0.1815444764372443	0.18447549708043387	0.20825552443804096	0.1974556684555596	0.2285215176486227	0.30585170841088716	0.29008755203611725	0.43008524022554284	0.4721295914706699	0.8732286637429723	0.8692208282726372	0.6825759343077858	0.37749036792898094	0.28719142387468277	0.25977069429314614	0.2648331088233158	0.23070057224414967	0.20529353924143207	0.14740389498620748	0.21433069748025474	0.2154030415537153	0.21199166448544093	0.1334605608646368	0.16183196442596628	0.15933413345230055	0.168380560124322	0.0	0.02639920142861467	0.04759656166787311	0.1771376161324674	0.1471292967283358	0.13829303416398603	0.14895083479032217	0.23401113281272828	0.18051246295758516	0.18508280886228515	0.16060922984793194	0.17038612323023303	0.2114887699723202	0.17553972775471385
