	S13Hp	s6pp	s28pp	S30H1	F23HpA	F22H1A	S29H1	S19H1	F29H1	s21pp	530050	F6H1	s19pp	S25Hp	S4Hp	S6Hp	F16H1	F32H1	S31Hp	s9pp	S10H1	S16H2	S12Hp	S22Hp	S27H1	31009	S17H1	S7Hp	S8Hp	S23Hp	S2Hp	S11Hp	S28Hp	F8H1	s14pp	S21H1	31749	S26Hp	s23pp	31343	s26pp	S15Hp	s32pp
S10H1	0.327594006492101	0.32766994242394903	0.46383885740811714	0.3358338895823786	0.33733722111221337	0.41594491194085215	0.4714934598501113	0.32874956869872984	0.3250805644221574	0.30653203353587966	0.30564818884621137	0.2789922435817538	0.30167928317193016	0.26875973688216626	0.2518696305915297	0.6720929756284416	0.5827063976229034	0.15446422672235172	0.11510473042675454	0.18524562154906649	0.0	0.0815392720631149	0.13599057011540924	0.09184056603521895	0.10109588642262349	0.09621199161443617	0.06311737394078587	0.07268905939101254	0.09401085528870978	0.2538437279963316	0.24483536557697902	0.22274694777713328	0.22490258559051723	0.2862696321517452	0.36672461779577803	0.38311222615611706	0.34681025259720144	0.3118916887837309	0.38342864128116083	0.36276765969460345	0.36126040207175875	0.3101095336021563	0.3279984338421943
S16H2	0.3613738156838053	0.3614497516156533	0.4976186665998214	0.36961369877408284	0.3711170303039176	0.4497247211325564	0.5052732690418156	0.3625293778904341	0.3588603736138617	0.34031184272758386	0.3394279980379156	0.3127720527734581	0.3354590923636344	0.30253954607387046	0.285649439783234	0.7058727848201459	0.6164862068146078	0.18824403591405597	0.1488845396184588	0.21902543074077074	0.0815392720631149	0.0	0.07099273411869653	0.02684273003850625	0.03609805042591078	0.031214155617723456	0.09689718313249013	0.1064688685827168	0.12779066448041404	0.2876235371880359	0.27861517476868325	0.25652675696883753	0.2586823947822215	0.3200494413434495	0.40050442698748223	0.4168920353478214	0.38059006178890575	0.34567149797543517	0.41720845047286503	0.3965474688863077	0.395040211263463	0.3438893427938606	0.36177824303389855
S12Hp	0.4158251137360996	0.4159010496679476	0.5520699646521157	0.42406499682637716	0.42556832835621194	0.5041760191848508	0.5597245670941099	0.4169806759427285	0.413311671666156	0.39476314077987823	0.39387929609021	0.3672233508257524	0.3899103904159288	0.35699084412616483	0.3401007378355283	0.7603240828724402	0.6709375048669021	0.24269533396635032	0.20333583767075314	0.27347672879306506	0.13599057011540924	0.07099273411869653	0.0	0.05013957922257486	0.05939489960997939	0.054511004801792065	0.15134848118478444	0.16092016663501113	0.18224196253270836	0.3420748352403302	0.3330664728209776	0.3109780550211319	0.31313369283451586	0.3745007393957438	0.45495572503977655	0.4713433334001157	0.43504135984120007	0.4001227960277295	0.47165974852515935	0.450998766938602	0.4494915093157573	0.3983406408461549	0.41622954108619287
S22Hp	0.37167510965590933	0.37175104558775734	0.5079199605719255	0.3799149927461869	0.3814183242760217	0.46002601510466046	0.5155745630139197	0.37283067186253815	0.3691616675859657	0.35061313669968797	0.3497292920100197	0.3230733467455621	0.34576038633573847	0.31284084004597457	0.29595073375533804	0.7161740787922499	0.6267875007867117	0.19854532988616003	0.15918583359056285	0.2293267247128748	0.09184056603521895	0.02684273003850625	0.05013957922257486	0.0	0.011289719577037513	0.00640582476885019	0.10719847710459418	0.11677016255482085	0.1380919584525181	0.2979248311601399	0.28891646874078736	0.2668280509409416	0.26898368875432555	0.33035073531555353	0.41080572095958634	0.4271933293199254	0.39089135576100975	0.3559727919475392	0.42750974444496914	0.40684876285841176	0.40534150523556706	0.35419063676596463	0.3720795370060026
S27H1	0.3809304300433139	0.3810063659751619	0.51717528095933	0.38917031313359146	0.39067364466342624	0.46928133549206497	0.5248298834013242	0.38208599224994266	0.37841698797337026	0.3598684570870925	0.3589846123974242	0.33232866713296666	0.355015706723143	0.3220961604333791	0.3052060541427426	0.7254293991796545	0.6360428211741163	0.2078006502735646	0.16844115397796738	0.23858204510027936	0.10109588642262349	0.03609805042591078	0.05939489960997939	0.011289719577037513	0.0	0.004885894809187382	0.11645379749199872	0.12602548294222538	0.14734727883992263	0.30718015154754447	0.29817178912819187	0.27608337132834615	0.2782390091417301	0.3396060557029581	0.42006104134699085	0.43644864970732994	0.4001466761484143	0.3652281123349438	0.43676506483237365	0.4161040832458163	0.4145968256229716	0.3634459571533692	0.38133485739340717
31009	0.37604653523512654	0.37612247116697456	0.5122913861511427	0.3842864183254041	0.3857897498552389	0.46439744068387767	0.5199459885931368	0.37720209744175537	0.3735330931651829	0.3549845622789052	0.3541007175892369	0.3274447723247793	0.3501318119149557	0.3172122656251918	0.30032215933455525	0.7205455043714671	0.631158926365929	0.20291675546537724	0.16355725916978006	0.233698150292092	0.09621199161443617	0.031214155617723456	0.054511004801792065	0.00640582476885019	0.004885894809187382	0.0	0.1115699026838114	0.12114158813403807	0.1424633840317353	0.3022962567393571	0.29328789432000457	0.2711994765201588	0.27335511433354276	0.33472216089477075	0.41517714653880355	0.4315647548991426	0.39526278134022697	0.36034421752675644	0.43188117002418636	0.411220188437629	0.40971293081478427	0.35856206234518184	0.3764509625852198
S17H1	0.31429639020689976	0.31437232613874777	0.4505412411229159	0.3225362732971773	0.3240396048270121	0.4026472956556508	0.45819584356491005	0.3154519524135285	0.3117829481369561	0.29323441725067834	0.29235057256101005	0.2656946272965525	0.28838166688672884	0.25546212059696494	0.23857201430632843	0.6587953593432403	0.5694087813377022	0.14116661043715042	0.10180711414155325	0.1719480052638652	0.06311737394078587	0.09689718313249013	0.15134848118478444	0.10719847710459418	0.11645379749199872	0.1115699026838114	0.0	0.01860804186155197	0.03992983775924921	0.24054611171113033	0.23153774929177773	0.209449331491932	0.21160496930531594	0.27297201586654396	0.3534270015105767	0.3698146098709158	0.3335126363120002	0.29859407249852965	0.3701310249959595	0.3494700434094022	0.3479627857865575	0.29681191731695505	0.31470081755699303
S7Hp	0.32386807565712644	0.32394401158897446	0.46011292657314257	0.332107958747404	0.3336112902772388	0.4122189811058775	0.46776752901513674	0.3250236378637552	0.3213546335871828	0.302806102700905	0.30192225801123673	0.2752663127467792	0.2979533523369555	0.2650338060471916	0.24814369975655512	0.6683670447934671	0.5789804667879288	0.1507382958873771	0.11137879959177992	0.18151969071409188	0.07268905939101254	0.1064688685827168	0.16092016663501113	0.11677016255482085	0.12602548294222538	0.12114158813403807	0.01860804186155197	0.0	0.04037116228206244	0.250117797161357	0.2411094347420044	0.2190210169421587	0.22117665475554263	0.28254370131677065	0.3629986869608034	0.3793862953211425	0.34308432176222686	0.30816575794875634	0.3797027104461862	0.3590417288596289	0.35753447123678417	0.30638360276718174	0.3242725030072197
S8Hp	0.34518987155482367	0.3452658074866717	0.4814347224708398	0.35342975464510124	0.354933086174936	0.43354077700357474	0.48908932491283397	0.34634543376145244	0.34267642948488003	0.32412789859860225	0.32324405390893396	0.29658810864447643	0.31927514823465275	0.28635560194488885	0.2694654956542524	0.6896888406911643	0.600302262685626	0.17206009178507434	0.13270059548947716	0.2028414866117891	0.09401085528870978	0.12779066448041404	0.18224196253270836	0.1380919584525181	0.14734727883992263	0.1424633840317353	0.03992983775924921	0.04037116228206244	0.0	0.27143959305905424	0.26243123063970164	0.24034281283985592	0.24249845065323986	0.3038654972144679	0.3843204828585006	0.4007080912188397	0.3644061176599241	0.32948755384645356	0.4010245063438834	0.3803635247573261	0.3788562671344814	0.32770539866487897	0.34559429890491694
S23Hp	0.24184633901871064	0.24192227495055868	0.3780911899347268	0.2500862221089882	0.251589553638823	0.3582311326178743	0.4137796805271335	0.271035789375752	0.2673667850991796	0.24881825421290182	0.3027253275634725	0.27606938229901495	0.29875642188919127	0.26583687559942737	0.2856823755712714	0.7059057206081834	0.6165191426026451	0.2879393106197524	0.24857981432415518	0.31872070544646713	0.2538437279963316	0.2876235371880359	0.3420748352403302	0.2979248311601399	0.30718015154754447	0.3022962567393571	0.24054611171113033	0.250117797161357	0.27143959305905424	0.0	0.05857274821388679	0.0945075179724024	0.09666315578578635	0.20052196467835484	0.2809769503223876	0.2973645586827267	0.2610625851238111	0.22614402131034053	0.2976809738077705	0.2770199922212131	0.2755127345983684	0.224361866128766	0.2422507663688039
