	F1H1	31021	S25Hp	S6Hp	S17H1	S2Hp	S29H1	S22Hp	F32H1	31328	s24H1	S21H1	F7H1	F23HpA	530258	31300	F8H1	530119	530050	S11Hp	s26pp	s27pp	S23Hp	s23pp	s2pp	s32pp	s1pp	w30pp	s22pp	s28pp	s13pp	s7pp	s25pp	31750	531414	F14H1B	S8Hp	S7Hp	s14pp	s19pp	s30pp	S30H1	s17pp	s24pp	s29pp	S10H1	s3pp	S28Hp	s12pp	s10pp	F29H1	S31Hp	S4Hp	S15Hp	31009	S3Hp	F22H1A	F6H1	S26Hp
s24H1	0.34697154771554006	0.32132016736882657	0.2722452999573684	0.2708201578785822	0.27574562240631206	0.2764181885425048	0.3140417544358943	0.3184340536130399	0.29810850886960744	0.2830408998245004	0.0	0.09360595317803119	0.23287879384613636	0.22597322699051675	0.291649412847961	0.2648813660795442	0.2509668319396598	0.27176312986272344	0.2930225228715721	0.24665980027212311	0.3798903730839078	0.4255505488165483	0.49699368703388763	0.4961103747210564	0.39640340242910693	0.41041149161483187	0.43676913375403753	0.5104135950816194	0.4441434157504289	0.44759556574823983	0.4539618988659208	0.40943191769615733	0.34495315367223617	0.4903938710316062	0.4830925871130931	0.40934889631733257	0.38143820960034647	0.3501441549874213	0.4739481825478445	0.4595187857422318	0.420101912176803	0.5030938476960739	0.4006256081091403	0.44149178678855977	0.4548274503144193	0.34404773657137594	0.3628307932671772	0.28877333920448395	0.3855083028165796	0.3505804828194819	0.31103732061780043	0.25242927457831127	0.30291291717548985	0.37273318819732326	0.3564905030327635	0.3097378391997001	0.3518088146408276	0.2919049151404778	0.27847126327163835
S21H1	0.3523221430694766	0.32667076272276313	0.27759589531130496	0.2761707532325188	0.2810962177602486	0.28176878389644133	0.3193923497898309	0.32378464896697645	0.303459104223544	0.288391495178437	0.09360595317803119	0.0	0.23822938920007292	0.2313238223444533	0.29700000820189754	0.27023196143348077	0.25631742729359636	0.27711372521666	0.29837311822550866	0.25201039562605965	0.38524096843784433	0.43090114417048486	0.5023442823878241	0.501460970074993	0.4017539977830435	0.41576208696876843	0.4421197291079741	0.515764190435556	0.4494940111043655	0.4529461611021764	0.45931249421985737	0.4147825130500939	0.35030374902617273	0.49574446638554276	0.48844318246702967	0.4146994916712691	0.386788804954283	0.35549475034135786	0.47929877790178105	0.4648693810961684	0.42545250753073954	0.5084444430500105	0.40597620346307683	0.44684238214249633	0.46017804566835585	0.3493983319253125	0.36818138862111377	0.2941239345584205	0.39085889817051617	0.35593107817341846	0.316387915971737	0.25777986993224783	0.3082635125294264	0.3780837835512598	0.36184109838670003	0.31508843455363666	0.35715940999476414	0.29725551049441434	0.2838218586255749
F7H1	0.3412342901138876	0.31558290976717407	0.2665080423557159	0.26508290027692977	0.2700083648046596	0.27068093094085227	0.3083044968342419	0.31269679601138745	0.29237125126795493	0.2773036422228479	0.23287879384613636	0.23822938920007292	0.0	0.22023596938886425	0.2859121552463085	0.2591441084778917	0.24522957433800732	0.26602587226107094	0.2872852652699196	0.24092254267047064	0.37415311548225527	0.41981329121489586	0.49125642943223513	0.4903731171194039	0.39066614482745443	0.40467423401317937	0.43103187615238503	0.504676337479967	0.4384061581487765	0.44185830814658733	0.4482246412642683	0.40369466009450483	0.33921589607058367	0.4846566134299537	0.47735532951144066	0.40361163871568007	0.375700951998694	0.3444068973857688	0.468210924946192	0.45378152814057937	0.4143646545751505	0.49735659009442146	0.39488835050748783	0.43575452918690727	0.44909019271276684	0.33831047896972344	0.3570935356655247	0.28303608160283145	0.3797710452149271	0.3448432252178294	0.305300063016148	0.24669201697665877	0.2971756595738374	0.3669959305956708	0.35075324543111097	0.3040005815980476	0.3460715570391751	0.2861676575388253	0.2727340056699859
F23HpA	0.3026284583114606	0.27697707796474713	0.22790221055328896	0.22647706847450277	0.23140253300223262	0.2320750991384253	0.2696986650318149	0.27409096420896045	0.253765419465528	0.23869781042042093	0.22597322699051675	0.2313238223444533	0.22023596938886425	0.0	0.21168630943993122	0.1849182626715145	0.1710037285316301	0.19180002645469368	0.2130594194635424	0.16669669686409339	0.33554728367982833	0.38120745941246886	0.4526505976298082	0.45176728531697696	0.3520603130250275	0.36606840221075243	0.3924260443499581	0.46607050567754	0.3998003263463495	0.4032524763441604	0.40961880946184137	0.3650888282920779	0.30061006426815673	0.44605078162752676	0.43874949770901367	0.36500580691325313	0.33709512019626703	0.30580106558334186	0.42960509314376505	0.4151756963381524	0.37575882277272354	0.45875075829199446	0.35628251870506084	0.39714869738448033	0.41048436091033985	0.2997046471672965	0.31848770386309777	0.2444302498004045	0.34116521341250017	0.30623739341540246	0.26669423121372104	0.20808618517423183	0.25856982777141047	0.3283900987932439	0.31214741362868403	0.2653947497956206	0.3074657252367481	0.24756182573639832	0.23412817386755894
530258	0.36830464416890485	0.3426532638221913	0.29357839641073313	0.292153254331947	0.29707871885967685	0.2977512849958695	0.3353748508892591	0.3397671500664047	0.31944160532297217	0.30437399627786516	0.291649412847961	0.29700000820189754	0.2859121552463085	0.21168630943993122	0.0	0.23122904542774497	0.21731451128786053	0.23811080921092415	0.2593702022197728	0.21300747962032385	0.4012234695372725	0.4468836452699131	0.5183267834872524	0.5174434711744211	0.41773649888247166	0.4317445880681966	0.45810223020740226	0.5317466915349842	0.4654765122037937	0.46892866220160456	0.47529499531928554	0.43076501414952206	0.3662862501256009	0.5117269674849709	0.5044256835664579	0.4306819927706973	0.40277130605371125	0.371477251440786	0.4952812790012092	0.4808518821955966	0.4414350086301677	0.5244269441494387	0.42195870456250506	0.4628248832419245	0.4761605467677841	0.36538083302474067	0.38416388972054194	0.3101064356578487	0.40684139926994434	0.37191357927284663	0.3323704170711652	0.273762371031676	0.32424601362885463	0.39406628465068805	0.3778235994861282	0.33107093565306484	0.3731419110941923	0.3132380115938425	0.29980435972500313
31300	0.3415365974004881	0.3158852170537746	0.2668103496423164	0.26538520756353023	0.27031067209126014	0.2709832382274528	0.30860680412084235	0.31299910329798797	0.29267355855455546	0.2776059495094484	0.2648813660795442	0.27023196143348077	0.2591441084778917	0.1849182626715145	0.23122904542774497	0.0	0.1224999722861804	0.14329627020924401	0.1645556632180927	0.11819294061864372	0.3744554227688558	0.4201155985014963	0.49155873671883565	0.4906754244060044	0.39096845211405495	0.4049765412997799	0.43133418343898555	0.5049786447665674	0.43870846543537695	0.44216061543318785	0.44852694855086883	0.40399696738110535	0.3395182033571842	0.4849589207165542	0.47765763679804113	0.4039139460022806	0.3760032592852945	0.3447092046723693	0.4685132322327925	0.45408383542717984	0.414666961861751	0.4976588973810219	0.3951906577940883	0.4360568364735078	0.4493924999993673	0.33861278625632396	0.35739584295212523	0.28333838888943197	0.38007335250152763	0.3451455325044299	0.3056023703027485	0.2469943242632593	0.2974779668604379	0.36729823788227134	0.3510555527177115	0.30430288888464807	0.34637386432577555	0.28646996482542575	0.27303631295658637
F8H1	0.32762206326060367	0.3019706829138902	0.252895815502432	0.2514706734236458	0.2563961379513757	0.2570687040875684	0.29469226998095793	0.29908456915810355	0.27875902441467104	0.263691415369564	0.2509668319396598	0.25631742729359636	0.24522957433800732	0.1710037285316301	0.21731451128786053	0.1224999722861804	0.0	0.08771518031313544	0.10897457332198413	0.06261185072253514	0.3605408886289714	0.4062010643616119	0.47764420257895124	0.47676089026612	0.37705391797417054	0.3910620071598955	0.41741964929910114	0.49106411062668304	0.42479393129549253	0.42824608129330344	0.4346124144109844	0.39008243324122094	0.3256036692172998	0.4710443865766698	0.4637431026581567	0.3899994118623962	0.3620887251454101	0.3307946705324849	0.4545986980929081	0.4401693012872954	0.4007524277218666	0.4837443632411375	0.3812761236542039	0.4221423023336234	0.4354779658594829	0.32469825211643955	0.3434813088122408	0.26942385474954755	0.3661588183616432	0.3312309983645455	0.2916878361628641	0.23307979012337487	0.2835634327205535	0.3533837037423869	0.3371410185778271	0.29038835474476365	0.33245933018589113	0.27255543068554133	0.25912177881670195
530119	0.3484183611836673	0.32276698083695377	0.2736921134254956	0.27226697134670946	0.2771924358744393	0.27786500201063197	0.3154885679040216	0.31988086708116714	0.29955532233773463	0.2844877132926276	0.27176312986272344	0.27711372521666	0.26602587226107094	0.19180002645469368	0.23811080921092415	0.14329627020924401	0.08771518031313544	0.0	0.10070936699504081	0.054346644395591816	0.38133718655203497	0.42699736228467555	0.4984405005020148	0.4975571881891836	0.3978502158972341	0.41185830508295906	0.4382159472221647	0.5118604085497467	0.4455902292185562	0.449042379216367	0.455408712334048	0.4108787311642845	0.34639996714036336	0.4918406844997334	0.48453940058122036	0.41079570978545976	0.3828850230684737	0.3515909684555485	0.4753949960159717	0.46096559921035907	0.4215487256449302	0.5045406611642012	0.4020724215772675	0.44293860025668697	0.45627426378254654	0.34549455003950313	0.3642776067353044	0.29022015267261114	0.3869551162847068	0.3520272962876091	0.3124841340859277	0.25387608804643846	0.3043597306436171	0.3741800016654505	0.35793731650089067	0.3111846526678273	0.3532556281089548	0.293351728608605	0.2799180767397656
530050	0.369677754192516	0.3440263738458025	0.2949515064343443	0.2935263643555581	0.29845182888328803	0.2991243950194807	0.33674796091287024	0.34114026009001586	0.32081471534658335	0.3057471063014763	0.2930225228715721	0.29837311822550866	0.2872852652699196	0.2130594194635424	0.2593702022197728	0.1645556632180927	0.10897457332198413	0.10070936699504081	0.0	0.07023922271411862	0.4025965795608837	0.4482567552935242	0.5196998935108635	0.5188165811980323	0.41910960890608284	0.4331176980918078	0.45947534023101344	0.5331198015585954	0.46684962222740484	0.47030177222521574	0.4766681053428967	0.43213812417313324	0.3676593601492121	0.5131000775085821	0.505798793590069	0.4320551027943085	0.4041444160773224	0.3728503614643972	0.4966543890248204	0.4822249922192077	0.4428081186537789	0.5258000541730499	0.4233318145861162	0.4641979932655357	0.4775336567913952	0.36675394304835185	0.3855369997441531	0.31147954568145986	0.4082145092935555	0.3732866892964578	0.3337435270947764	0.2751354810552872	0.3256191236524658	0.3954393946742992	0.3791967095097394	0.33244404567667596	0.37451502111780344	0.31461112161745364	0.30117746974861426
S11Hp	0.32331503159306696	0.29766365124635347	0.2485887838348953	0.24716364175610916	0.252089106283839	0.25276167242003167	0.2903852383134212	0.29477753749056684	0.2744519927471344	0.2593843837020273	0.24665980027212311	0.25201039562605965	0.24092254267047064	0.16669669686409339	0.21300747962032385	0.11819294061864372	0.06261185072253514	0.054346644395591816	0.07023922271411862	0.0	0.3562338569614347	0.4018940326940752	0.4733371709114146	0.47245385859858335	0.3727468863066339	0.3867549754923588	0.4131126176315645	0.4867570789591463	0.4204868996279558	0.4239390496257668	0.43030538274344776	0.3857754015736843	0.3212966375497631	0.46673735490913315	0.45943607099062	0.3856923801948595	0.35778169347787336	0.32648763886494825	0.45029166642537144	0.4358622696197587	0.39644539605432993	0.4794373315736008	0.37696909198666717	0.4178352706660867	0.4311709341919462	0.3203912204489029	0.33917427714470416	0.2651168230820109	0.36185178669410656	0.32692396669700885	0.2873808044953274	0.22877275845583817	0.2792564010530168	0.3490766720748502	0.3328339869102904	0.286081323077227	0.3281522985183545	0.2682483990180047	0.2548147471491653
