	S1Hp	S25Hp	530167	530050	F8H1	S11Hp	530368	S27H1	S26Hp	S15Hp	F22HpB	530295	F22H1A	F29H1	S7Hp	S4Hp	S28Hp	F6H1	s24H1	S10H1	S21H1	S22Hp	S14Hp	S29H1	530451	S12Hp	31232	F7H1	F3H1	S3Hp	S16H2	S2Hp	31219	31360	31519	31700	31452	31071	530177	F14H1B	530331	530394	31328	531414	w32pp	F16H1
S21H1	0.29883527063446963	0.2907280951481803	0.3065611159013727	0.29456310096452043	0.3341732778840722	0.306620902611368	0.33073269109478454	0.3080466180613713	0.2598275656408281	0.33439934327795995	0.28843205879452233	0.30484537042766713	0.3179525243123891	0.3049138826169284	0.3276128946883379	0.39924838291569054	0.2934152915698893	0.29571603678080016	0.31725881579166054	0.32077694472960905	0.0	0.24410205319147601	0.2754106154596335	0.28546396424678966	0.5687792342966349	0.5953738292514421	0.33988283435035976	0.45378976949474886	0.3354897512225254	0.34569696344653855	0.3078577326608763	0.31550048161709376	0.31773705727001195	0.32902196788896937	0.3387301110596265	0.31390484005080127	0.3288955745012488	0.2958883687491922	0.3232800241160033	0.34556203239981254	0.36399254532977077	0.30396317112790894	0.3079826459195345	0.2935754042563309	0.5106898295348308	0.30241602788147043
S22Hp	0.3671090240946458	0.3590018486083565	0.3748348693615489	0.3628368544246966	0.4024470313442484	0.3748946560715442	0.3990064445549607	0.3763203715215475	0.3281013191010043	0.4026730967381361	0.35670581225469855	0.37311912388784335	0.38622627777256524	0.3731876360771046	0.39588664814851404	0.46752213637586676	0.36168904503006555	0.36398979024097633	0.38553256925183677	0.38905069818978527	0.24410205319147601	0.0	0.3436843689198097	0.3537377177069659	0.6370529877568111	0.6636475827116184	0.408156587810536	0.5220635229549251	0.4037635046827016	0.4139707169067147	0.3761314861210525	0.38377423507726993	0.38601081073018817	0.3972957213491456	0.40700386451980275	0.3821785935109775	0.397169327961425	0.3641621222093684	0.39155377757617954	0.4138357858599887	0.43226629878994693	0.37223692458808516	0.37625639937971067	0.3618491577165071	0.578963582995007	0.3706897813416466
S14Hp	0.318698168554267	0.31059099306797766	0.3264240138211701	0.31442599888431777	0.3540361758038696	0.3264838005311654	0.3505955890145819	0.3279095159811687	0.2796904635606255	0.3542622411977573	0.3082949567143197	0.3247082683474645	0.3378154222321864	0.32477678053672576	0.3474757926081352	0.41911128083548793	0.3132781894896867	0.3155789347005975	0.33712171371145794	0.34063984264940644	0.2754106154596335	0.3436843689198097	0.0	0.20950802716701142	0.5886421322164322	0.6152367271712396	0.35974573227015716	0.47365266741454626	0.3553526491423228	0.3655598613663359	0.3277206305806737	0.3353633795368911	0.33759995518980934	0.34888486580876676	0.3585930089794239	0.33376773797059867	0.3487584724210462	0.31575126666898956	0.3431429220358007	0.3654249303196099	0.3838554432495681	0.32382606904770633	0.32784554383933184	0.3134383021761283	0.5305527274546282	0.3222789258012678
S29H1	0.32875151734142316	0.3206443418551339	0.3364773626083263	0.32447934767147396	0.3640895245910257	0.33653714931832157	0.36064893780173807	0.3379628647683248	0.2897438123477817	0.36431558998491353	0.31834830550147586	0.3347616171346207	0.3478687710193426	0.334830129323882	0.35752914139529146	0.4291646296226441	0.3233315382768429	0.32563228348775375	0.3471750624986141	0.35069319143656263	0.28546396424678966	0.3537377177069659	0.20950802716701142	0.0	0.5986954810035884	0.6252900759583957	0.3697990810573133	0.4837060162017024	0.3654059979294789	0.37561321015349214	0.3377739793678298	0.34541672832404735	0.3476533039769655	0.3589382145959229	0.36864635776658006	0.3438210867577548	0.3588118212082023	0.3258046154561458	0.3531962708229569	0.37547827910676607	0.39390879203672435	0.3338794178348625	0.3378988926264881	0.32349165096328447	0.5406060762417844	0.33233227458842396
530451	0.5579421265764931	0.5498349510902039	0.5656679718433962	0.5536699569065439	0.5932801338260957	0.5657277585533915	0.589839547036808	0.5671534740033948	0.5189344215828516	0.6243951869575283	0.5784279024740906	0.5948412141072354	0.6079483679919574	0.5949097262964967	0.6176087383679062	0.689244226595259	0.5834111352494576	0.5857118804603685	0.6072546594712289	0.6107727884091774	0.5687792342966349	0.6370529877568111	0.5886421322164322	0.5986954810035884	0.0	0.40726732024439005	0.5055529040914902	0.6194598392358793	0.5011598209636559	0.5113670331876691	0.47352780240200676	0.4811705513582243	0.4834071270111424	0.5110045184108847	0.5207126615815418	0.4958873905727166	0.5108781250231641	0.5182438289364499	0.545635484303261	0.5679174925870701	0.5863480055170285	0.5263186313151667	0.5303381061067922	0.5159308644435886	0.7697966854768543	0.5615228838234939
S12Hp	0.5845367215313004	0.5764295460450111	0.5922625667982035	0.5802645518613512	0.619874728780903	0.5923223535081988	0.6164341419916153	0.5937480689582021	0.545529016537659	0.6509897819123356	0.605022497428898	0.6214358090620428	0.6345429629467647	0.6215043212513041	0.6442033333227135	0.7158388215500662	0.610005730204265	0.6123064754151758	0.6338492544260361	0.6373673833639847	0.5953738292514421	0.6636475827116184	0.6152367271712396	0.6252900759583957	0.40726732024439005	0.0	0.5321474990462975	0.6460544341906866	0.5277544159184632	0.5379616281424764	0.5001223973568141	0.5077651463130316	0.5100017219659497	0.537599113365692	0.5473072565363492	0.5224819855275239	0.5374727199779714	0.5448384238912571	0.5722300792580683	0.5945120875418775	0.6129426004718357	0.552913226269974	0.5569327010615994	0.5425254593983959	0.7963912804316616	0.5881174787783012
31232	0.329045726630218	0.3209385511439287	0.33677157189712115	0.32477355696026877	0.3643837338798206	0.33683135860711644	0.3609431470905329	0.3382570740571197	0.2900380216365765	0.3954987870112532	0.34953150252781556	0.36594481416096036	0.3790519680456823	0.36601332635022166	0.3887123384216311	0.4603478266489838	0.35451473530318256	0.3568154805140934	0.3783582595249538	0.3818763884629023	0.33988283435035976	0.408156587810536	0.35974573227015716	0.3697990810573133	0.5055529040914902	0.5321474990462975	0.0	0.3177864818379129	0.1994864635656895	0.20969367578970266	0.20808357868118502	0.23176333516440348	0.23399991081732163	0.2821081184646096	0.2918162616352668	0.2669909906264415	0.281981725076889	0.2893474289901748	0.31673908435698594	0.33902109264079505	0.35745160557075334	0.29742223136889157	0.3014417061605171	0.28703446449731346	0.5409002855305792	0.3326264838772188
F7H1	0.4429526617746071	0.4348454862883178	0.45067850704151025	0.43868049210465787	0.4782906690242097	0.45073829375150554	0.474850082234922	0.4521640092015088	0.4039449567809656	0.5094057221556423	0.46343843767220466	0.47985174930534946	0.4929589031900714	0.47992026149461076	0.5026192735660202	0.5742547617933729	0.46842167044757166	0.4707224156584825	0.4922651946693429	0.4957833236072914	0.45378976949474886	0.5220635229549251	0.47365266741454626	0.4837060162017024	0.6194598392358793	0.6460544341906866	0.3177864818379129	0.0	0.2911070641927967	0.30131427641680986	0.3219905138255741	0.34567027030879255	0.34790684596171073	0.3960150536089987	0.40572319677965585	0.3808979257708306	0.3958886602212781	0.4032543641345639	0.43064601950137504	0.45292802778518415	0.47135854071514244	0.41132916651328066	0.4153486413049062	0.40094139964170256	0.6548072206749683	0.4465334190216079
F3H1	0.32465264350238365	0.31654546801609434	0.3323784887692868	0.3203804738324344	0.3599906507519862	0.33243827547928206	0.3565500639626985	0.3338639909292853	0.2856449385087421	0.3911057038834188	0.3451384193999812	0.361551731033126	0.37465888491784793	0.3616202432223873	0.38431925529379674	0.45595474352114945	0.3501216521753482	0.352422397386259	0.3739651763971194	0.3774833053350679	0.3354897512225254	0.4037635046827016	0.3553526491423228	0.3654059979294789	0.5011598209636559	0.5277544159184632	0.1994864635656895	0.2911070641927967	0.0	0.049694767322276096	0.20369049555335064	0.2273702520365691	0.22960682768948726	0.2777150353367752	0.28742317850743243	0.2625979074986071	0.27758864194905464	0.2849543458623404	0.31234600122915157	0.3346280095129607	0.35305852244291897	0.2930291482410572	0.2970486230326827	0.2826413813694791	0.5365072024027449	0.32823340074938445
S3Hp	0.3348598557263968	0.3267526802401075	0.3425857009932999	0.3305876860564476	0.3701978629759994	0.34264548770329517	0.3667572761867117	0.3440712031532985	0.2958521507327553	0.40131291610743197	0.35534563162399435	0.3717589432571392	0.38486609714186104	0.37182745544640045	0.3945264675178099	0.4661619557451626	0.3603288643993614	0.3626296096102722	0.38417238862113257	0.3876905175590811	0.34569696344653855	0.4139707169067147	0.3655598613663359	0.37561321015349214	0.5113670331876691	0.5379616281424764	0.20969367578970266	0.30131427641680986	0.049694767322276096	0.0	0.21389770777736378	0.23757746426058227	0.23981403991350042	0.28792224756078844	0.2976303907314456	0.27280511972262034	0.28779585417306786	0.2951615580863536	0.3225532134531647	0.3448352217369739	0.3632657346669321	0.3032363604650703	0.30725583525669586	0.29284859359349225	0.546714414626758	0.3384406129733976
