	31519	31749	530177	F14H1B	530215	31328	31750	S6Hp	31009	530444	31600	530315	F6H1	530394	S15Hp	S13Hp	S18H1	f18pp	S20H1	530075
31600	0.3079774261212798	0.3377565705556297	0.3119743920480018	0.35512526308935677	0.3332843060479591	0.19853571623714839	0.25586173623027264	0.3340681063399443	0.25951533460572634	0.2544574232222761	0.0	0.24652544287983735	0.26026871102749394	0.27846797798649103	0.7785517745731608	0.8360696200297799	0.9015676298485228	0.874989049934019	0.8603601579386451	0.2655373648327166
530315	0.2868529162440111	0.316632060678361	0.2908498821707331	0.334000753212088	0.31215979617069045	0.23405527814358829	0.3133999376796544	0.39160630778932615	0.3170535360551081	0.31199562467165787	0.24652544287983735	0.0	0.04264137884641715	0.060840645805414297	0.7209954867831376	0.7785133322397567	0.8440113420584996	0.8174327621439959	0.8028038701486219	0.2444128549554479
F6H1	0.3005961843916677	0.3303753288260176	0.3045931503183897	0.3477440213597446	0.32590306431834704	0.24779854629124487	0.327143205827311	0.40534957593698273	0.3307968042027647	0.32573889281931445	0.26026871102749394	0.04264137884641715	0.0	0.058526301811550906	0.7347387549307942	0.7922566003874133	0.8577546102061562	0.8311760302916524	0.8165471382962785	0.2581561231031045
530394	0.3187954513506648	0.3485745957850147	0.32279241727738683	0.36594328831874173	0.34410233127734413	0.26599781325024197	0.34534247278630814	0.4235488428959798	0.3489960711617618	0.34393815977831155	0.27846797798649103	0.060840645805414297	0.058526301811550906	0.0	0.7529380218897913	0.8104558673464104	0.8759538771651533	0.8493752972506495	0.8347464052552755	0.2763553900621016
S15Hp	0.8188792479373345	0.8486583923716844	0.8228762138640565	0.8660270849054115	0.8441861278640138	0.7660816098369118	0.8454262693729778	0.9236326394826495	0.8490798677484316	0.8440219563649813	0.7785517745731608	0.7209954867831376	0.7347387549307942	0.7529380218897913	0.0	0.21438490621919315	0.27988291603793597	0.2533043361234322	0.2386754441280583	0.7764391866487712
S13Hp	0.8763970933939536	0.9061762378283035	0.8803940593206756	0.9235449303620306	0.9017039733206329	0.8235994552935308	0.9029441148295969	0.9811504849392687	0.9065977132050507	0.9015398018216004	0.8360696200297799	0.7785133322397567	0.7922566003874133	0.8104558673464104	0.21438490621919315	0.0	0.177873802377233	0.15129522246272925	0.20030418020541996	0.8339570321053903
S18H1	0.9418951032126964	0.9716742476470464	0.9458920691394185	0.9890429401807734	0.9672019831393758	0.8890974651122737	0.9684421246483398	1.0466484947580115	0.9720957230237935	0.9670378116403433	0.9015676298485228	0.8440113420584996	0.8577546102061562	0.8759538771651533	0.27988291603793597	0.177873802377233	0.0	0.16644044302352157	0.2658021900241628	0.8994550419241332
f18pp	0.9153165232981927	0.9450956677325426	0.9193134892249147	0.9624643602662697	0.940623403224872	0.86251888519777	0.941863544733836	1.0200699148435077	0.9455171431092898	0.9404592317258396	0.874989049934019	0.8174327621439959	0.8311760302916524	0.8493752972506495	0.2533043361234322	0.15129522246272925	0.16644044302352157	0.0	0.23922361010965904	0.8728764620096294
S20H1	0.9006876313028187	0.9304667757371686	0.9046845972295408	0.9478354682708957	0.925994511229498	0.847889993202396	0.9272346527384621	1.0054410228481339	0.9308882511139158	0.9258303397304656	0.8603601579386451	0.8028038701486219	0.8165471382962785	0.8347464052552755	0.2386754441280583	0.20030418020541996	0.2658021900241628	0.23922361010965904	0.0	0.8582475700142554
530075	0.22515782248035515	0.294695196684838	0.26891301817721014	0.31206388921856504	0.29022293217716744	0.2530672000964675	0.33241185963253367	0.41061822974220535	0.33606545800798737	0.33100754662453713	0.2655373648327166	0.2444128549554479	0.2581561231031045	0.2763553900621016	0.7764391866487712	0.8339570321053903	0.8994550419241332	0.8728764620096294	0.8582475700142554	0.0
