	s30pp	S9H1	w1pp	w8pp	S3Hp	f4pp	s2pp	w23pp	s24pp	w16pp	w14pp	w26pp	w11pp	w27pp	F6H1	S11Hp	w6pp	f20ppA	F32H1	S20H1	f10pp	F8H1	f12ppB	w12pp	w29pp	w2pp	f24pp	w24pp	w28pp	w17pp
f10pp	0.44816529637868535	0.5611756191605761	0.44619333982417814	0.5226021149786167	0.5044155993952772	0.4375700665648494	0.4132975623405395	0.38572256712882613	0.35129589542593354	0.3454440020510397	0.3816498243912175	0.37056866387611465	0.31257469185282066	0.44448052191911935	0.4822319960966119	0.4587698623909088	0.3356055738070025	0.29174941960276213	0.4373649138993612	0.45327791796657996	0.0	0.3032792278873218	0.3001945167011406	0.3455972339286265	0.35942748632241706	0.3009462786028607	0.3274519885819849	0.26796383611844143	0.42705326561783175	0.45507699579977356
F8H1	0.46061026719359266	0.5736205899754834	0.45863831063908544	0.535047085793524	0.5168605702101845	0.4500150373797567	0.4257425331554468	0.3981675379437334	0.36374086624084084	0.357888972865947	0.3940947952061248	0.383013634691022	0.32501966266772797	0.4569254927340266	0.4946769669115192	0.4712148332058161	0.34805054462190976	0.30419439041766944	0.4498098847142685	0.46572288878148727	0.3032792278873218	0.0	0.19799403160114323	0.24339674882862916	0.37187245713732436	0.31339124941776797	0.33989695939689213	0.28040880693334874	0.4394982364327391	0.4675219666146809
f12ppB	0.45752555600741146	0.5705358787893022	0.45555359945290425	0.5319623746073429	0.5137758590240034	0.44693032619357553	0.4226578219692656	0.39508282675755224	0.36065615505465964	0.3548042616797658	0.3910100840199436	0.37992892350484075	0.32193495148154677	0.45384078154784546	0.491592255725338	0.4681301220196349	0.3449658334357286	0.30110967923148824	0.4467251735280873	0.46263817759530607	0.3001945167011406	0.19799403160114323	0.0	0.18298662379665226	0.36878774595114316	0.3103065382315868	0.336812248210711	0.27732409574716754	0.43641352524655785	0.4644372554284997
w12pp	0.5029282732348973	0.615938596016788	0.5009563166803901	0.5773650918348288	0.5591785762514891	0.49233304342106143	0.4680605391967515	0.44048554398503814	0.40605887228214554	0.4002069789072517	0.4364128012474295	0.42533164073232665	0.36733766870903267	0.49924349877533136	0.5369949729528238	0.5135328392471208	0.3903685506632145	0.34651239645897414	0.4921278907555732	0.5080408948227919	0.3455972339286265	0.24339674882862916	0.18298662379665226	0.0	0.41419046317862906	0.3557092554590727	0.3822149654381969	0.32272681297465344	0.48181624247404375	0.5098399726559856
w29pp	0.44595257471032784	0.5589628974922186	0.4439806181558206	0.5203893933102592	0.5022028777269197	0.4353573448964919	0.411084840672182	0.3835098454604686	0.349083173757576	0.3432312803826822	0.37943710272285996	0.36835594220775714	0.31036197018446315	0.44226780025076184	0.48001927442825437	0.45655714072255127	0.3754586969492981	0.33160254274505774	0.47721803704165683	0.49313104110887557	0.35942748632241706	0.37187245713732436	0.36878774595114316	0.41419046317862906	0.0	0.2363127316153384	0.2940400983087069	0.23455194584516353	0.42484054394947424	0.45286427413141606
w2pp	0.38747136699077145	0.5004816897726622	0.38549941043626423	0.4619081855907028	0.4437216700073633	0.3768761371769355	0.35260363295262565	0.3250286377409122	0.29060196603801963	0.2847500726631258	0.32095589500330357	0.3098747344882008	0.25188076246490676	0.3837865925312054	0.421538066708698	0.3980759330029949	0.3169774892297417	0.2731213350255014	0.41873682932210043	0.4346498333893192	0.3009462786028607	0.31339124941776797	0.3103065382315868	0.3557092554590727	0.2363127316153384	0.0	0.23555889058915058	0.17607073812560717	0.3663593362299179	0.3943830664118597
f24pp	0.4139770769698956	0.5269873997517863	0.4120051204153884	0.48841389556982695	0.47022737998648745	0.4033818471560597	0.3791093429317498	0.35153434772003633	0.3171076760171438	0.31125578264224996	0.34746160498242773	0.33638044446732496	0.2783864724440309	0.41029230251032955	0.44804377668782214	0.42458164298211903	0.3434831992088659	0.29962704500462556	0.4452425393012246	0.46115554336844333	0.3274519885819849	0.33989695939689213	0.336812248210711	0.3822149654381969	0.2940400983087069	0.23555889058915058	0.0	0.15936003361160359	0.39286504620904206	0.4208887763909839
w24pp	0.35448892450635217	0.46749924728824294	0.35251696795184495	0.42892574310628356	0.41073922752294406	0.3438936946925163	0.31962119046820636	0.29204619525649295	0.2576195235536004	0.25176763017870657	0.28797345251888434	0.2768922920037815	0.21889831998048753	0.35080415004678617	0.38855562422427875	0.36509349051857565	0.2839950467453225	0.24013889254108212	0.3857543868376812	0.40166739090489995	0.26796383611844143	0.28040880693334874	0.27732409574716754	0.32272681297465344	0.23455194584516353	0.17607073812560717	0.15936003361160359	0.0	0.3333768937454986	0.36140062392744043
w28pp	0.41187081997184416	0.524881142753735	0.40989886341733694	0.48630763857177556	0.46812112298843606	0.4012755901580083	0.37700308593369836	0.39211124948282006	0.35768457777992746	0.3518326844050337	0.4179465536014968	0.40686539308639397	0.3488714210631	0.48077725112939856	0.5185287253068911	0.49506659160118804	0.4430844762447128	0.3992283220404724	0.5448438163370715	0.5607568204042903	0.42705326561783175	0.4394982364327391	0.43641352524655785	0.48181624247404375	0.42484054394947424	0.3663593362299179	0.39286504620904206	0.3333768937454986	0.0	0.41878251939293243
w17pp	0.4247083200328222	0.5377186428147129	0.422736363478315	0.4991451386327536	0.4809586230494141	0.41411309021898635	0.3898405859946764	0.4201349796647619	0.3857083079618693	0.3798564145869755	0.4459702837834386	0.4348891232683358	0.3768951512450418	0.5088009813113403	0.546552455488833	0.5230903217831299	0.4711082064266546	0.42725205222241425	0.5728675465190134	0.588780550586232	0.45507699579977356	0.4675219666146809	0.4644372554284997	0.5098399726559856	0.45286427413141606	0.3943830664118597	0.4208887763909839	0.36140062392744043	0.41878251939293243	0.0
