	w19pp	w32pp	w18pp	w17pp	w2pp	f32pp	f26pp	f6ppA	f19pp	f29pp	s3pp	f28pp	w1pp	s32pp	w16pp	f16ppB	s30pp	s1pp	s18pp	s12pp	f15pp	f9pp	f7pp	f13pp	f20ppB	f17ppA	w6pp	f31pp	f16ppA	w21pp	f8pp	s29pp	S1Hp	s31pp	f14ppB	f18pp	w9pp	f12ppA	s2pp	f21pp	31071	F7H1	F14H1B	S6Hp	w10pp
f15pp	0.1931506048689446	0.20319357067646526	0.21232910290533274	0.23429975766600644	0.2509362239851637	0.14288434879144357	0.13265127422837142	0.17141474405776258	0.14758505144703515	0.1634554992044401	0.24462536682918626	0.15782801461958418	0.21115827975318224	0.211061248555798	0.14547328212984598	0.12720711561476042	0.2221691405935234	0.1857504776798476	0.20076580295132546	0.18576315950741254	0.0	0.15827332645206554	0.17377157611696503	0.21782110894307605	0.21795082022038628	0.21277409859473004	0.2173224278666377	0.22510216675394928	0.2528157597496928	0.27569155095984077	0.2695737738855845	0.36999719401078995	0.3249182076030727	0.30335015532581905	0.23383447073920322	0.2499107858913362	0.23453224603188777	0.19246702724428094	0.24308165432603734	0.23174811324012035	0.5483880156666375	0.588237799662352	0.5446332527799206	0.5942544202937337	0.18140364825767336
f9pp	0.18515063896107964	0.19519360476860037	0.2043291369974678	0.22629979175814152	0.24293625807729874	0.13488438288357865	0.14475196595857062	0.18351543578796176	0.15968574317723433	0.1755561909346393	0.25672605855938546	0.16992870634978335	0.22325897148338142	0.22316194028599717	0.15757397386004518	0.13930780734495962	0.23426983232372262	0.19785116941004682	0.21286649468152463	0.19786385123761174	0.15827332645206554	0.0	0.13708791232305628	0.1811374451491673	0.18126715642647756	0.17609043480082132	0.18063876407272897	0.18841850296004056	0.21613209595578406	0.23900788716593202	0.23289011009167576	0.3333135302168812	0.28823454380916397	0.2666664915319103	0.19715080694529447	0.21322712209742747	0.19784858223797902	0.1557833634503722	0.2063979905321286	0.19506444944621162	0.5117043518727289	0.5515541358684433	0.507949588986012	0.5575707564998249	0.14471998446376463
f7pp	0.2006488886259791	0.21069185443349983	0.21982738666236729	0.24179804142304098	0.2584345077421982	0.1503826325484781	0.16025021562347008	0.19901368545286124	0.17518399284213382	0.19105444059953874	0.2722243082242849	0.18542695601468284	0.2387572211482809	0.23866018995089666	0.1730722235249446	0.15480605700985905	0.24976808198862208	0.21334941907494628	0.22836474434642412	0.2133621009025112	0.17377157611696503	0.13708791232305628	0.0	0.17357278242787472	0.17370249370518498	0.16852577207952874	0.1730741013514364	0.18085384023874798	0.20856743323449148	0.23144322444463944	0.22532544737038318	0.3257488674955886	0.2806698810878714	0.2591018288106177	0.18958614422400188	0.2056624593761349	0.19028391951668644	0.1482187007290796	0.198833327810836	0.18749978672491902	0.5041396891514363	0.5439894731471507	0.5003849262647193	0.5500060937785324	0.1561487980068159
f13pp	0.24469842145209011	0.2547413872596108	0.2638769194884783	0.28584757424915197	0.30248404056830924	0.19443216537458913	0.2042997484495811	0.24306321827897226	0.21923352566824483	0.23510397342564976	0.3162738410503959	0.22947648884079386	0.2828067539743919	0.2827097227770077	0.21712175635105563	0.19885558983597007	0.2938176148147331	0.2573989519010573	0.27241427717253514	0.2574116337286222	0.21782110894307605	0.1811374451491673	0.17357278242787472	0.0	0.15468863359382595	0.1495119119681697	0.1540602412400774	0.16183998012738898	0.18955357312313248	0.2124293643332804	0.20631158725902415	0.3067350073842296	0.26165602097651236	0.2400879686992587	0.17057228411264289	0.1866485992647759	0.17127005940532744	0.15925366609392705	0.20986829317568345	0.19853475208976645	0.5151746545162836	0.5550244385119982	0.5114198916295667	0.5610410591433799	0.2001983308329269
f20ppB	0.24482813272940035	0.2548710985369211	0.26400663076578856	0.28597728552646223	0.3026137518456195	0.1945618766518994	0.20442945972689136	0.2431929295562825	0.21936323694555507	0.23523368470296002	0.3164035523277062	0.2296062001181041	0.2829364652517022	0.28283943405431794	0.2172514676283659	0.19898530111328033	0.2939473260920433	0.25752866317836753	0.2725439884498454	0.25754134500593245	0.21795082022038628	0.18126715642647756	0.17370249370518498	0.15468863359382595	0.0	0.115281795851638	0.14252764792561096	0.15030738681292255	0.17802097980866605	0.20089677101881398	0.19477899394455772	0.29520241406976316	0.2501234276620459	0.22855537538479226	0.15903969079817648	0.17511600595030946	0.15973746609086104	0.1593833773712373	0.20999800445299371	0.19866446336707672	0.515304365793594	0.5551541497893084	0.511549602906877	0.5611707704206901	0.20032804211023714
f17ppA	0.2396514111037441	0.24969437691126484	0.2588299091401323	0.280800563900806	0.29743703021996326	0.18938515502624315	0.19925273810123512	0.23801620793062625	0.21418651531989882	0.23005696307730378	0.31122683070204993	0.22442947849244785	0.27775974362604594	0.2776627124286617	0.21207474600270965	0.1938085794876241	0.2887706044663871	0.2523519415527113	0.26736726682418915	0.2523646233802762	0.21277409859473004	0.17609043480082132	0.16852577207952874	0.1495119119681697	0.115281795851638	0.0	0.1373509262999547	0.1451306651872663	0.1728442581830098	0.19572004939315774	0.18960227231890148	0.2900256924441069	0.24494670603638968	0.22337865375913601	0.15386296917252024	0.16993928432465322	0.1545607444652048	0.15420665574558107	0.20482128282733747	0.19348774174142047	0.5101276441679377	0.5499774281636521	0.5063728812812207	0.5559940487950338	0.1951513204845809
w6pp	0.24419974037565179	0.2542427061831725	0.26337823841204	0.28534889317271367	0.3019853594918709	0.1939334842981508	0.20380106737314277	0.2425645372025339	0.21873484459180648	0.23460529234921146	0.3157751599739576	0.2289778077643555	0.28230807289795357	0.2822110417005693	0.21662307527461733	0.19835690875953177	0.29331893373829476	0.25690027082461897	0.27191559609609683	0.2569129526521839	0.2173224278666377	0.18063876407272897	0.1730741013514364	0.1540602412400774	0.14252764792561096	0.1373509262999547	0.0	0.1311544248423386	0.1588680178380821	0.18174380904823006	0.1756260319739738	0.27604945209917925	0.230970465691462	0.20940241341420834	0.1398867288275925	0.15596304397972552	0.14058450412027707	0.15875498501748872	0.20936961209924515	0.19803607101332815	0.5146759734398454	0.5545257574355599	0.5109212105531284	0.5605423780669415	0.19969964975648857
f31pp	0.2519794792629634	0.2620224450704841	0.27115797729935154	0.29312863206002526	0.30976509837918254	0.2017132231854624	0.21158080626045436	0.2503442760898455	0.22651458347911807	0.24238503123652305	0.3235548988612692	0.2367575466516671	0.2900878117852652	0.28999078058788097	0.22440281416192892	0.20613664764684336	0.30109867262560636	0.26468000971193056	0.2796953349834084	0.2646926915394955	0.22510216675394928	0.18841850296004056	0.18085384023874798	0.16183998012738898	0.15030738681292255	0.1451306651872663	0.1311544248423386	0.0	0.13974543029245123	0.16262122150259917	0.1565034444283429	0.25692686455354835	0.21184787814583111	0.19027982586857745	0.12076414128196165	0.13684045643409465	0.1328248066558076	0.1665347239048003	0.21714935098655674	0.20581580990063975	0.5224557123271569	0.5623054963228714	0.51870094944044	0.568322116954253	0.20747938864380017
f16ppA	0.2796930722587069	0.2897360380662276	0.29887157029509503	0.32084222505576876	0.33747869137492603	0.2294268161812059	0.23929439925619786	0.278057869085589	0.25422817647486157	0.27009862423226655	0.3512684918570127	0.2644711396474106	0.3178014047810087	0.31770437358362447	0.2521164071576724	0.23385024064258686	0.32881226562134985	0.29239360270767406	0.30740892797915187	0.292406284535239	0.2528157597496928	0.21613209595578406	0.20856743323449148	0.18955357312313248	0.17802097980866605	0.1728442581830098	0.1588680178380821	0.13974543029245123	0.0	0.15399112380497987	0.1478733467307236	0.24829676685592905	0.20321778044821182	0.18164972817095815	0.11213404358434234	0.14359292457025746	0.1605383996515511	0.1942483169005438	0.24486294398230024	0.23352940289638324	0.5501693053229004	0.5900190893186149	0.5464145424361835	0.5960357099499966	0.23519298163954366
w21pp	0.3025688634688548	0.31261182927637554	0.321747361505243	0.3437180162659167	0.36035448258507397	0.25230260739135385	0.2621701904663458	0.300933660295737	0.27710396768500956	0.2929744154424145	0.37414428306716063	0.2873469308575586	0.34067719599115664	0.3405801647937724	0.27499219836782035	0.2567260318527348	0.35168805683149784	0.31526939391782205	0.33028471918929986	0.3152820757453869	0.27569155095984077	0.23900788716593202	0.23144322444463944	0.2124293643332804	0.20089677101881398	0.19572004939315774	0.18174380904823006	0.16262122150259917	0.15399112380497987	0.0	0.12799873290788458	0.22842215303309	0.18334316662537276	0.1844413139079106	0.11492562932129481	0.1664687157804054	0.18341419086169902	0.21712410811069177	0.2677387351924482	0.2564051941065312	0.5730450965330485	0.6128948805287628	0.5692903336463315	0.6189115011601445	0.25806877284969165
