	S20H1	S18H1	f12ppB	f12ppA	w15pp	w27pp	S22Hp	w31pp	f25pp	f26pp	f2pp	f17ppA	f1pp	S14Hp	w1pp	f13pp	f4pp	f17ppB	w8pp	f3pp	w3pp	S9H1	w10pp	w23pp	f10pp	f24pp	w24pp	f14ppA	f11pp	w11pp	f23ppA	f8pp	f31pp	w26pp	f32pp	f7pp	f30pp	f19pp	f21pp	f23ppB	f16ppB	w16pp	w20pp	f6ppA	f15pp	f20ppA	w13pp	f29pp	f6ppB	f28pp	w28pp	f18pp	f16ppA	S1Hp
f3pp	0.5185355958504982	0.2825518041386037	0.3465733198754063	0.2846734730602881	0.34734652628439167	0.3460930683550433	0.4804563552196043	0.2958133054551139	0.29276438340051525	0.2806523025746549	0.2548756477013129	0.2870006933602019	0.2621769988745586	0.41476049002824567	0.34192284990445465	0.25786534771819025	0.16612009477008757	0.2874388308675086	0.25231004671294427	0.0	0.12675660792866797	0.34621235688182694	0.2332531441829755	0.2000222372988749	0.19367551997076077	0.28502924756630355	0.3728071694228188	0.29380371508519126	0.34908573384399	0.3946661453773517	0.22883000879636417	0.22751878401881603	0.2363555657374189	0.3766481889442421	0.3163552046748842	0.28638221649158824	0.24887784199559526	0.38762078304027836	0.2418268784213246	0.3524499463837243	0.3731311868475595	0.3759236716009681	0.38061418577230555	0.353474846620233	0.3322422496227313	0.3105726461010186	0.23120316983582856	0.3987861434380575	0.30689092786148003	0.36861859927428264	0.3306872223387336	0.2511440450587918	0.35260136973215234	0.5223191107796812
w3pp	0.40008385153345594	0.1641000598215614	0.228121575558364	0.16622172874324576	0.22889478196734933	0.22764132403800094	0.362004610902562	0.1773615611380716	0.17431263908347294	0.16220055825761262	0.1364239033842706	0.1685489490431596	0.14372525455751628	0.29630874571120336	0.22347110558741237	0.13941360340114795	0.047668350453045266	0.1689870865504663	0.13385830239590196	0.12675660792866797	0.0	0.2277606125647846	0.1148013998659332	0.08157049298183258	0.07522377565371846	0.16657750324926124	0.25435542510577647	0.17535197076814896	0.2306339895269477	0.2762144010603093	0.11037826447932186	0.1090670397017737	0.11790382142037659	0.2581964446271998	0.19790346035784184	0.16793047217454593	0.13042609767855295	0.269169038723236	0.12337513410428227	0.23399820206668198	0.2546794425305172	0.2574719272839258	0.26216244145526324	0.23502310230319065	0.21379050530568897	0.19212090178397628	0.11275142551878624	0.2803343991210152	0.18843918354443773	0.25016685495724034	0.21223547802169132	0.13269230074174945	0.23414962541510997	0.40386736646263877
S9H1	0.6104393646585458	0.3744555729466512	0.43847708868345375	0.3765772418683355	0.43925029509243907	0.4379968371630907	0.5723601240276517	0.3877170742631614	0.38466815220856265	0.37255607138270236	0.3467794165093603	0.3789044621682493	0.354080767682606	0.5066642588362931	0.43382661871250205	0.34976911652623766	0.258023863578135	0.37934259967555595	0.3442138155209916	0.34621235688182694	0.2277606125647846	0.0	0.26190788196557707	0.2919260061069223	0.28557928877880817	0.37693301637435095	0.4647109382308662	0.38570748389323867	0.4409895026520374	0.4865699141853991	0.3207337776044116	0.31942255282686344	0.3282593345454663	0.4685519577522895	0.4082589734829316	0.37828598529963564	0.34078161080364266	0.47952455184832576	0.333730647229372	0.4443537151917717	0.46503495565560693	0.4678274404090156	0.47251795458035295	0.4453786154282804	0.4241460184307787	0.40247641490906605	0.32310693864387596	0.4906899122461049	0.3987946966695275	0.46052236808233016	0.4225909911467811	0.34304781386683925	0.4445051385401998	0.6142228795877286
w10pp	0.4974801519596942	0.26149636024779965	0.32551787598460225	0.26361802916948407	0.3262910823935876	0.3250376244642392	0.45940091132880023	0.27475786156430987	0.2717089395097112	0.25959685868385085	0.23382020381050886	0.26594524946939785	0.24112155498375454	0.3937050461374416	0.3208674060136506	0.2368099038273862	0.14506465087928352	0.26638338697670455	0.23125460282214022	0.2332531441829755	0.1148013998659332	0.26190788196557707	0.0	0.17896679340807084	0.17262007607995672	0.2639738036754995	0.3517517255320147	0.2727482711943872	0.32803028995318595	0.3736107014865476	0.20777456490556012	0.20646334012801199	0.21530012184661484	0.3555927450534381	0.29529976078408016	0.2653267726007842	0.2278223981047912	0.3665653391494743	0.22077143453052056	0.33139450249292024	0.3520757429567555	0.3548682277101641	0.3595587418815015	0.33241940272942894	0.31118680573192725	0.28951720221021454	0.2101477259450245	0.37773069954725347	0.285835483970676	0.3475631553834786	0.30963177844792955	0.23008860116798774	0.3315459258413483	0.501263666888877
w23pp	0.391389331793564	0.1554055400816695	0.21942705581847205	0.15752720900335387	0.22020026222745742	0.21894680429810903	0.35331009116267004	0.1686670413981797	0.16561811934358103	0.1535060385177207	0.1277293836443787	0.15985442930326768	0.13503073481762437	0.2876142259713115	0.21477658584752046	0.13974182722168602	0.04799657427358334	0.18811871083364826	0.1838696855176588	0.2000222372988749	0.08157049298183258	0.2919260061069223	0.17896679340807084	0.0	0.06652925591382655	0.15788298350936933	0.24566090536588459	0.16665745102825705	0.2219394697870558	0.26751988132041743	0.10168374473942995	0.10037251996188179	0.10920930168048468	0.24950192488730794	0.18920894061794996	0.159235952434654	0.12173157793866105	0.2604745189833441	0.11468061436439037	0.2253036823267901	0.2459849227906253	0.2487774075440339	0.25346792171537136	0.22632858256329874	0.20509598556579706	0.18342638204408437	0.10405690577889433	0.2716398793811233	0.17974466380454582	0.24147233521734845	0.2035409582817994	0.12399778100185753	0.2254551056752181	0.3951728467227469
f10pp	0.33232557718733263	0.09634178547543812	0.16036330121224068	0.09846345439712248	0.17176304581456178	0.1705095878852134	0.30487287474977437	0.12022982498528406	0.1171809029306854	0.10506882210482507	0.10006282649544848	0.13218787215433747	0.10736417766869416	0.25994766882238124	0.18711002869859025	0.1333951098935719	0.041649856945469216	0.18177199350553414	0.1775229681895447	0.19367551997076077	0.07522377565371846	0.28557928877880817	0.17262007607995672	0.06652925591382655	0.0	0.09881922890313795	0.1865971507596532	0.10759369642202567	0.16287571518082442	0.20845612671418604	0.042619990133198574	0.041308765355650416	0.0501455470742533	0.19043817028107654	0.13014518601171857	0.10017219782842263	0.06266782333242966	0.20141076437711272	0.055616859758158985	0.1662399277205587	0.18692116818439392	0.1897136529378025	0.19440416710913994	0.16726482795706737	0.1460322309595657	0.124362627437853	0.04499315117266295	0.2125761247748919	0.12068090919831444	0.1824085806111171	0.14447720367556804	0.06493402639562616	0.16639135106898673	0.3361090921165155
f24pp	0.408438313286432	0.1724545215745375	0.23647603731134004	0.17457619049622186	0.2631167734101046	0.2618633154807562	0.39622660234531715	0.21158355258082684	0.20853463052622817	0.19642254970036785	0.19141655409099126	0.22354159974988025	0.19871790526423694	0.351301396417924	0.27846375629413306	0.22474883748911467	0.133003584541012	0.2731257211010769	0.2688766957850875	0.28502924756630355	0.16657750324926124	0.37693301637435095	0.2639738036754995	0.15788298350936933	0.09881922890313795	0.0	0.1762245143686968	0.13838846027071866	0.19367247903051746	0.23925289056387908	0.08404036561580029	0.09475663723382707	0.10359341895242996	0.24388604215925322	0.18359305788989522	0.1536200697065993	0.11611569521060633	0.2548586362552894	0.10906473163633565	0.21968779959873538	0.26303390428349327	0.2658263890369019	0.2705169032082393	0.24337756405616673	0.22214496705866504	0.20047536353695236	0.12110588727176232	0.28868886087399126	0.1967936452974138	0.25852131671021644	0.2205899397746674	0.14104676249472553	0.24250408716808608	0.41222182821561487
w24pp	0.4962162351429472	0.26023244343105273	0.32425395916785527	0.2623541123527371	0.3508946952666198	0.3496412373372714	0.4840045242018324	0.29936147443734207	0.2963125523827434	0.2842004715568831	0.2791944759475065	0.31131952160639553	0.28649582712075217	0.43907931827443925	0.3662416781506483	0.3125267593456299	0.22078150639752725	0.36090364295759214	0.3566546176416027	0.3728071694228188	0.25435542510577647	0.4647109382308662	0.3517517255320147	0.24566090536588459	0.1865971507596532	0.1762245143686968	0.0	0.22616638212723392	0.2814504008870327	0.32703081242039433	0.17181828747231556	0.18253455909034233	0.19137134080894522	0.3316639640157685	0.2713709797464105	0.24139799156311453	0.20389361706712159	0.34263655811180466	0.1968426534928509	0.30746572145525064	0.3508118261400085	0.35360431089341715	0.3582948250647545	0.33115548591268196	0.3099228889151803	0.2882532853934676	0.20888380912827753	0.3764667827305065	0.28457156715392906	0.34629923856673167	0.3083678616311826	0.2288246843512408	0.3302820090246013	0.49999975007213016
f14ppA	0.4172127808053197	0.18122898909342522	0.24525050483022776	0.18335065801510958	0.2718912409289923	0.2706377829996439	0.40500106986420487	0.22035802009971456	0.2173090980451159	0.20519701721925557	0.20019102160987898	0.23231606726876797	0.20749237278312466	0.36007586393681174	0.2872382238130208	0.2335233050080024	0.1417780520598997	0.28190018861996463	0.2776511633039752	0.29380371508519126	0.17535197076814896	0.38570748389323867	0.2727482711943872	0.16665745102825705	0.10759369642202567	0.13838846027071866	0.22616638212723392	0.0	0.2024469465494052	0.24802735808276682	0.09281483313468802	0.10353110475271479	0.11236788647131768	0.2526605096781409	0.19236752540878294	0.16239453722548702	0.12489016272949405	0.26363310377417715	0.11783919915522337	0.2284622671176231	0.27180837180238104	0.2746008565557896	0.27929137072712706	0.25215203157505445	0.23091943457755276	0.20924983105584008	0.12988035479065002	0.297463328392879	0.20556811281630152	0.26729578422910416	0.22936440729355512	0.14982123001361325	0.2512785546869738	0.4209962957345026
f11pp	0.47249479956411844	0.23651100785222395	0.3005325235890265	0.23863267677390831	0.32717325968779104	0.32591980175844265	0.4602830886230036	0.2756400388585133	0.2725911168039146	0.26047903597805433	0.25547304036867774	0.28759808602756676	0.2627743915419234	0.41535788269561047	0.3425202425718195	0.2888053237668011	0.19706007081869847	0.33718220737876337	0.33293318206277395	0.34908573384399	0.2306339895269477	0.4409895026520374	0.32803028995318595	0.2219394697870558	0.16287571518082442	0.19367247903051746	0.2814504008870327	0.2024469465494052	0.0	0.21555479419411405	0.1480968518934868	0.15881312351151355	0.16764990523011644	0.3079425284369397	0.24764954416758173	0.21767655598428576	0.1801721814882928	0.3189151225329759	0.17312121791402213	0.28374428587642186	0.3270903905611797	0.3298828753145884	0.33457338948592574	0.3074340503338532	0.2862014533363515	0.26453184981463884	0.18516237354944876	0.3527453471516777	0.2608501315751003	0.3225778029879029	0.28464642605235385	0.205103248772412	0.30656057344577253	0.4762783144933014
w11pp	0.5180752110974801	0.2820914193855856	0.34611293512238817	0.28421308830726993	0.37275367122115266	0.37150021329180427	0.5058635001563653	0.3212204503918749	0.31817152833727624	0.30605944751141595	0.30105345190203936	0.3331784975609283	0.308354803075285	0.46093829422897215	0.38810065410518113	0.3343857353001628	0.2426404823520601	0.38276261891212504	0.37851359359613557	0.3946661453773517	0.2762144010603093	0.4865699141853991	0.3736107014865476	0.26751988132041743	0.20845612671418604	0.23925289056387908	0.32703081242039433	0.24802735808276682	0.21555479419411405	0.0	0.1936772634268484	0.20439353504487517	0.21323031676347806	0.3535229399703013	0.29322995570094335	0.2632569675176474	0.22575259302165443	0.3644955340663375	0.21870162944738375	0.3293246974097835	0.3726708020945414	0.37546328684794994	0.3801538010192874	0.3530144618672148	0.3317818648697131	0.3101122613480004	0.23074278508281038	0.39832575868503933	0.30643054310846185	0.3681582145212645	0.33022683758571547	0.2506836603057736	0.35214098497913415	0.521858726026663
f23ppA	0.3522390745164926	0.11625528280459811	0.18027679854140066	0.11837695172628247	0.2069175346401652	0.20566407671081682	0.3400273635753778	0.15538431381088746	0.1523353917562888	0.14022331093042847	0.13521731532105188	0.16734236097994087	0.14251866649429756	0.29510215764798464	0.22226451752419368	0.1685495987191753	0.07680434577107262	0.21692648233113754	0.21267745701514812	0.22883000879636417	0.11037826447932186	0.3207337776044116	0.20777456490556012	0.10168374473942995	0.042619990133198574	0.08404036561580029	0.17181828747231556	0.09281483313468802	0.1480968518934868	0.1936772634268484	0.0	0.038557398463887706	0.047394180182490586	0.18768680338931384	0.12739381911995584	0.09742083093665992	0.059916456440666954	0.19865939748535003	0.052865492866396274	0.163488560828796	0.20683466551355392	0.20962715026696252	0.21431766443829994	0.18717832528622735	0.16594572828872567	0.144276124767013	0.06490664850182293	0.23248962210405189	0.14059440652747443	0.20232207794027707	0.16439070100472802	0.08484752372478614	0.1863048483981467	0.3560225894456755
f8pp	0.3509278497389445	0.11494405802704996	0.17896557376385253	0.11706572694873432	0.20560630986261705	0.20435285193326866	0.33871613879782964	0.1540730890333393	0.15102416697874063	0.1389120861528803	0.13390609054350372	0.16603113620239274	0.1412074417167494	0.2937909328704365	0.22095329274664552	0.16723837394162716	0.07549312099352445	0.2156152575535894	0.21136623223759995	0.22751878401881603	0.1090670397017737	0.31942255282686344	0.20646334012801199	0.10037251996188179	0.041308765355650416	0.09475663723382707	0.18253455909034233	0.10353110475271479	0.15881312351151355	0.20439353504487517	0.038557398463887706	0.0	0.02686182441821923	0.1671544476250425	0.1068614633556845	0.07688847517238856	0.03938610067739566	0.17812904172207872	0.03233513710312498	0.1429582050655247	0.20552344073600576	0.20831592548941436	0.21300643966075178	0.1858671005086792	0.1646345035111775	0.14296489998946482	0.06359542372427478	0.23117839732650372	0.13928318174992627	0.2010108531627289	0.16307947622717986	0.08353629894723799	0.18499362362059854	0.35471136466812736
f31pp	0.35976463145754733	0.12378083974565282	0.18780235548245539	0.12590250866733718	0.2144430915812199	0.21318963365187152	0.3475529205164325	0.1629098707519422	0.15986094869734352	0.1477488678714832	0.1427428722621066	0.1748679179209956	0.1500442234353523	0.30262771458903936	0.22979007446524838	0.17607515566023002	0.08432990271212734	0.22445203927219226	0.22020301395620281	0.2363555657374189	0.11790382142037659	0.3282593345454663	0.21530012184661484	0.10920930168048468	0.0501455470742533	0.10359341895242996	0.19137134080894522	0.11236788647131768	0.16764990523011644	0.21323031676347806	0.047394180182490586	0.02686182441821923	0.0	0.1611845173838868	0.1008915331145288	0.07092054493223292	0.04822288239599854	0.1869658234406816	0.041171918821727854	0.1517949867841276	0.21436022245460862	0.21715270720801721	0.22184322137935464	0.19470388222728208	0.1734712852297804	0.15180168170806768	0.07243220544287765	0.2400151790451066	0.14811996346852913	0.2098476348813318	0.17191625794578275	0.09237308066584086	0.19383040533920143	0.3635481463867302
w26pp	0.5000572546643706	0.2640734629524761	0.3280949786892786	0.26619513187416044	0.35473571478804317	0.3534822568586948	0.4878455437232557	0.3032024939587654	0.30015357190416675	0.28804149107830646	0.28303549546892987	0.3151605411278189	0.2903368466421755	0.4429203377958626	0.37008269767207164	0.31636777886705325	0.2246225259189506	0.3647446624790155	0.3604956371630261	0.3766481889442421	0.2581964446271998	0.4685519577522895	0.3555927450534381	0.24950192488730794	0.19043817028107654	0.24388604215925322	0.3316639640157685	0.2526605096781409	0.3079425284369397	0.3535229399703013	0.18768680338931384	0.1671544476250425	0.1611845173838868	0.0	0.20913499765156474	0.21121316813905616	0.1885155056028218	0.32725844664750486	0.1814645420285511	0.29208760999095085	0.35465284566143185	0.3574453304148405	0.36213584458617787	0.3349965054341053	0.3137639084366036	0.29209430491489097	0.21272482864970088	0.38030780225192984	0.2884125866753524	0.350140258088155	0.312208881152606	0.23266570387266414	0.33412302854602466	0.5038407695935535
f32pp	0.43976427039501265	0.2037804786831181	0.2678019944199207	0.20590214760480247	0.2944427305186852	0.2931892725893368	0.4275525594538978	0.24290950968940744	0.23986058763480878	0.22774850680894848	0.2227425111995719	0.25486755685846085	0.23004386237281754	0.3826273535265047	0.30978971340271366	0.25607479459769533	0.16432954164959263	0.3044516782096576	0.3002026528936681	0.3163552046748842	0.19790346035784184	0.4082589734829316	0.29529976078408016	0.18920894061794996	0.13014518601171857	0.18359305788989522	0.2713709797464105	0.19236752540878294	0.24764954416758173	0.29322995570094335	0.12739381911995584	0.1068614633556845	0.1008915331145288	0.20913499765156474	0.0	0.1509201838696982	0.12822252133346382	0.2669654623781469	0.12117155775919312	0.23179462572159287	0.29435986139207393	0.29715234614548247	0.30184286031681995	0.27470352116474733	0.25347092416724565	0.23180132064553297	0.1524318443803429	0.32001481798257186	0.2281196024059944	0.28984727381879705	0.251915896883248	0.17237271960330616	0.2738300442766667	0.4435477853241955
