	f30pp	w20pp	f13pp	f25pp	f21pp	w12pp	f16ppB	w28pp	f2pp	f10pp	s15pp	530295	s31pp	s23pp	w11pp	w31pp	f32pp	w19pp	f26pp	f11pp	f19pp	f14ppA	w10pp	f20ppB	w17pp	f20ppA	f6ppA	f6ppB	w25pp	f15pp	s25pp	s12pp	w4pp	f14ppB	f24pp	w18pp	w9pp	w3pp	f1pp	w16pp	f12ppB	w27pp	f7pp	f8pp	f22ppA	f4pp	w15pp	w14pp	f16ppA
f19pp	0.22452403570098928	0.24069496881860616	0.23178133911075702	0.22720130805845112	0.26658765315245425	0.2658509841855483	0.2212914675268151	0.31586232486669163	0.2845593113071399	0.2889405146248261	0.41408400533588674	0.45315564612092785	0.4218225078815902	0.4153943943072311	0.3156516274509194	0.2810693504908849	0.24451962287732953	0.24908083615614224	0.1987066106628649	0.2168426657278964	0.0	0.1462930649877742	0.23603258718521114	0.2084011097212984	0.18914891642922446	0.20101413542834795	0.19305721182861807	0.22575824808582873	0.2355745890759372	0.2222786438849007	0.3609033824928893	0.3748355919445922	0.311715387605606	0.12338443400453883	0.1888535214640012	0.22467559195662096	0.16364525213667153	0.19414668397898815	0.18415536471743016	0.19534347822238	0.21190360923413856	0.2322831735561534	0.1882294678936719	0.15684012479629908	0.16051913808393345	0.21270716147241991	0.19357527812863784	0.22776417238389923	0.2669311847933982
f14ppA	0.2172003793647156	0.23337131248233248	0.22445768277448336	0.21987765172217746	0.25926399681618056	0.2585273278492746	0.21396781119054148	0.308538668530418	0.2772356549708662	0.28161685828855243	0.4067603489996131	0.4458319897846542	0.4144988515453165	0.4080707379709574	0.30832797111464577	0.2737456941546112	0.2371959665410559	0.2417571798198686	0.19138295432659125	0.2559558350772697	0.1462930649877742	0.0	0.21912206637519577	0.191490588911283	0.1722383956192091	0.18410361461833258	0.1761466910186027	0.20884772727581336	0.21866406826592183	0.21495498754862707	0.3535797261566156	0.3675119356083185	0.3043917312693324	0.11606077766826517	0.1815298651277275	0.21735193562034733	0.15632159580039784	0.18682302764271447	0.1768317083811565	0.18801982188610633	0.2045799528978649	0.22495951721987972	0.1809058115573982	0.14951646846002542	0.1531954817476598	0.20538350513614623	0.18625162179236415	0.22044051604762555	0.25960752845712454
w10pp	0.3069399015621525	0.3231108346797694	0.3141972049719203	0.3096171739196144	0.3490035190136175	0.34826685004671154	0.3037073333879784	0.39827819072785486	0.3669751771683032	0.3713563804859894	0.49649987119705	0.5355715119820912	0.5042383737427535	0.49781026016839436	0.3980674933120827	0.3634852163520481	0.3269354887384928	0.3314967020173055	0.2811224765240282	0.3456953572747066	0.23603258718521114	0.21912206637519577	0.0	0.17182896008586146	0.18166319310651502	0.25593251610295337	0.24797559250322349	0.28067662876043414	0.2904929697505426	0.304694509746064	0.44331924835405256	0.4572514578057555	0.3941312534667693	0.2058002998657021	0.2712693873251645	0.30709145781778424	0.24606111799783478	0.2765625498401514	0.26657123057859344	0.27775934408354325	0.2943194750953018	0.3146990394173167	0.2706453337548351	0.23925599065746234	0.2429350039450967	0.2951230273335832	0.27599114398980107	0.31018003824506246	0.34934705065456145
f20ppB	0.2793084240982398	0.2954793572158567	0.2865657275080076	0.28198569645570165	0.3213720415497048	0.32063537258279884	0.27607585592406564	0.37064671326394216	0.33934369970439043	0.34372490302207664	0.46886839373313727	0.5079400345181784	0.47660689627884073	0.4701787827044816	0.37043601584817	0.3358537388881354	0.29930401127458006	0.3038652245533928	0.25349099906011546	0.31806387981079387	0.2084011097212984	0.191490588911283	0.17182896008586146	0.0	0.1540317156426023	0.22830103863904064	0.22034411503931078	0.2530451512965214	0.2628614922866299	0.27706303228215123	0.4156877708901398	0.42961998034184273	0.36649977600285655	0.17816882240178938	0.24363790986125172	0.27945998035387154	0.21842964053392205	0.24893107237623868	0.2389397531146807	0.25012786661963055	0.2666879976313891	0.28706756195340394	0.24301385629092243	0.21162451319354963	0.215303526481184	0.26749154986967044	0.24835966652588837	0.28254856078114976	0.32171557319064875
w17pp	0.26005623080616586	0.27622716392378277	0.2673135342159336	0.2627335031636277	0.30211984825763083	0.3013831792907249	0.2568236626319917	0.3513945199718682	0.3200915064123165	0.3244727097300027	0.4496162004410633	0.4886878412261044	0.4573547029867668	0.45092658941240765	0.35118382255609604	0.31660154559606146	0.2800518179825061	0.28461303126131887	0.2342388057680415	0.2988116865187199	0.18914891642922446	0.1722383956192091	0.18166319310651502	0.1540317156426023	0.0	0.2090488453469667	0.20109192174723683	0.23379295800444747	0.24360929899455594	0.2578108389900773	0.39643557759806586	0.4103677870497688	0.3472475827107826	0.15891662910971543	0.22438571656917777	0.2602077870617976	0.1991774472418481	0.22967887908416473	0.21968755982260674	0.2308756733275566	0.24743580433931517	0.26781536866133	0.22376166299884848	0.19237231990147569	0.19605133318911006	0.2482393565775965	0.22910747323381442	0.2632963674890758	0.3024633798985748
f20ppA	0.2719214498052893	0.2880923829229062	0.2791787532150571	0.27459872216275116	0.3139850672567543	0.31324839828984835	0.2686888816311152	0.36325973897099173	0.33195672541143995	0.33633792872912616	0.46148141944018684	0.5005530602252279	0.46921992198589024	0.4627918084115311	0.3630490415552195	0.328466764595185	0.29191703698162963	0.29647825026044233	0.246104024767165	0.31067690551784344	0.20101413542834795	0.18410361461833258	0.25593251610295337	0.22830103863904064	0.2090488453469667	0.0	0.1426368344044479	0.1753378706616585	0.20462171205156587	0.2696760579892008	0.4083007965971893	0.42223300604889225	0.3591128017099061	0.17078184810883892	0.23625093556830126	0.27207300606092105	0.2110426662409716	0.24154409808328822	0.23155277882173025	0.24274089232668006	0.25930102333843863	0.27968058766045345	0.23562688199797197	0.20423753890059915	0.20791655218823352	0.26010457557671995	0.2409726922329379	0.2751615864881993	0.31432859889769826
f6ppA	0.2639645262055595	0.2801354593231764	0.27122182961532726	0.26664179856302134	0.30602814365702447	0.3052914746901185	0.2607319580313853	0.35530281537126185	0.3239998018117101	0.32838100512939633	0.45352449584045695	0.49259613662549806	0.4612629983861604	0.4548348848118013	0.3550921179554897	0.3205098409954551	0.28396011338189975	0.2885213266607125	0.23814710116743515	0.30271998191811356	0.19305721182861807	0.1761466910186027	0.24797559250322349	0.22034411503931078	0.20109192174723683	0.1426368344044479	0.0	0.1673789470609286	0.196664788451836	0.2617191343894709	0.4003438729974595	0.4142760824491624	0.35115587811017623	0.16282492450910907	0.2282940119685714	0.2641160824611912	0.20308574264124174	0.23358717448355837	0.22359585522200037	0.23478396872695023	0.2513440997387088	0.2717236640607236	0.2276699583982421	0.19628061530086932	0.1999596285885037	0.25214765197699013	0.23301576863320805	0.26720466288846945	0.30637167529796844
f6ppB	0.2966655624627701	0.31283649558038695	0.30392286587253786	0.29934283482023194	0.33872917991423507	0.33799251094732913	0.293432994288596	0.3880038516284725	0.3567008380689207	0.36108204138660693	0.4862255320976676	0.5252971728827087	0.493964034643371	0.4875359210690119	0.3877931542127003	0.35321087725266576	0.3166611496391104	0.3212223629179231	0.27084813742464575	0.3354210181753242	0.22575824808582873	0.20884772727581336	0.28067662876043414	0.2530451512965214	0.23379295800444747	0.1753378706616585	0.1673789470609286	0.0	0.22936582470904662	0.2944201706466816	0.4330449092546701	0.446977118706373	0.3838569143673869	0.1955259607663197	0.260995048225782	0.29681711871840183	0.23578677889845237	0.266288210740769	0.25629689147921103	0.26748500498416083	0.2840451359959194	0.3044247003179342	0.26037099465545277	0.22898165155807992	0.2326606648457143	0.28484868823420073	0.2657168048904187	0.29990569914568005	0.33907271155517904
w25pp	0.30648190345287857	0.3226528365704955	0.31373920686264634	0.30915917581034047	0.34854552090434354	0.3478088519374376	0.30324933527870446	0.3978201926185809	0.36651717905902925	0.37089838237671546	0.4960418730877761	0.5351135138728171	0.5037803756334795	0.4973522620591204	0.39760949520280875	0.3630272182427742	0.3264774906292189	0.3310387039080316	0.2806644784147543	0.3452373591654327	0.2355745890759372	0.21866406826592183	0.2904929697505426	0.2628614922866299	0.24360929899455594	0.20462171205156587	0.196664788451836	0.22936582470904662	0.0	0.30423651163679005	0.4428612502447786	0.45679345969648155	0.39367325535749537	0.20534230175642817	0.27081138921589054	0.3066334597085103	0.24560311988856084	0.27610455173087745	0.2661132324693195	0.2773013459742693	0.2938614769860279	0.31424104130804276	0.2701873356455612	0.2387979925481884	0.24247700583582277	0.29466502922430926	0.27553314588052713	0.3097220401357885	0.3488890525452875
f15pp	0.2522910543532018	0.26846198747081873	0.2595483577629696	0.2549683267106637	0.2943546718046668	0.29361800283776085	0.2490584861790277	0.3436293435189042	0.3123263299593525	0.3167075332770387	0.44185102398809933	0.48092266477314044	0.4495895265338028	0.44316141295944367	0.343418646103132	0.3088363691430974	0.27228664152954213	0.27684785480835483	0.25308945139726335	0.3319414139743962	0.2222786438849007	0.21495498754862707	0.304694509746064	0.27706303228215123	0.2578108389900773	0.2696760579892008	0.2617191343894709	0.2944201706466816	0.30423651163679005	0.0	0.3421137014012253	0.35604591085292825	0.2929257065139421	0.10459675291387495	0.19694100191792707	0.2327630724105469	0.1717327325905974	0.20223416443291403	0.19224284517135606	0.2034309586763059	0.21999108968806447	0.24037065401007932	0.21599648654588446	0.18460714344851165	0.18828615673614602	0.24047418012463248	0.2213422967808504	0.25553119103611177	0.29469820344561076
