	f20ppB	f16ppA	f14ppA	w4pp	w25pp	f10pp	s2pp	w13pp	w15pp	s22pp	w10pp	w9pp	s27pp	s26pp	s28pp	s1pp	S12Hp	f31pp	F14H1B	S3Hp	31750	F7H1	S26Hp	530167	31160	F6H1	S19H1	S1Hp	S6Hp	F23HpA	S9H1	S22Hp	S18H1	S20H1	F14H1A	530055	F29H1	S15Hp	s24pp	f26pp	s7pp	s6pp	f30pp	530451	f4pp	f23ppA	f18pp	f21pp	f6ppB	s3pp	w3pp	w6pp	w30pp	f23ppB	f6ppA	f2pp	530295	f16ppB	f8pp	f3pp	w17pp	f17ppA	f1pp	f22ppA	s31pp	S31Hp	w21pp	s13pp	f7pp	f25pp	f12ppA	f14ppB
w10pp	0.17113077604699783	0.12598428296627304	0.17466297319658863	0.14588773678522282	0.12445698314293621	0.14713172537713004	0.1035230548141621	0.11345416334289589	0.13566242842291917	0.07378374406438204	0.0	0.11189352776557854	0.1963153534179904	0.12125977761813705	0.11690093905641238	0.157495894942381	0.22014245619927672	0.1521903016128727	0.4194721197565786	0.4010742954938836	0.3815659342087141	0.4304314389482	0.41704783007148516	0.3851819763834987	0.3769064884328357	0.4126903154473006	0.42225064588860484	0.3922925534239724	0.5030273710450154	0.531394369012237	0.4559309611916559	0.4236049952118389	0.35994941332564323	0.445159894920806	0.45043271791356365	0.4203030890812962	0.25873623518172706	0.1970343143587606	0.2648404653762113	0.17408875281665287	0.17132805393373915	0.18895590856412653	0.20368863288499778	0.248303716498097	0.15428886449102236	0.1776572275689533	0.1539273287948232	0.16319437677763332	0.18072533543733763	0.21559719649173958	0.20677115192261275	0.22998075406321525	0.19900997825013722	0.18204484041702276	0.15563763222698768	0.15145937260702214	0.23976991160706754	0.15146485578377333	0.16505907832368216	0.20875545637570556	0.2174317584803049	0.19812600784299894	0.1958355295234453	0.21753734548436968	0.2000121164734589	0.2385292232082331	0.14662412604668743	0.1332190929049973	0.14750313818931834	0.13853018910512327	0.15871973245428414	0.11645543113390164
w9pp	0.13992110629631527	0.09477461321559047	0.14345330344590607	0.11467806703454025	0.10881977991718489	0.1456844733240811	0.10207580276111317	0.11200691128984694	0.13421517636987024	0.0952245548946385	0.11189352776557854	0.0	0.12995550870557318	0.05489993290571982	0.07110303232706912	0.12628622519169846	0.18893278644859418	0.12098063186219014	0.38826245000589604	0.36986462574320106	0.35035626445803153	0.3992217691975175	0.3858381603208026	0.3539723066328162	0.34569681868215313	0.3814806456966181	0.3910409761379223	0.36108288367328983	0.4718177012943328	0.5001846992615544	0.42472129144097337	0.3923953254611564	0.3287397435749607	0.4139502251701235	0.41922304816288114	0.38909341933061364	0.2275265654310445	0.16582464460807805	0.23363079562552874	0.1428790830659703	0.14011838418305658	0.15774623881344396	0.1724789631343152	0.21709404674741442	0.12307919474033979	0.14644755781827076	0.12271765904414064	0.13198470702695078	0.14951566568665506	0.18438752674105705	0.17556148217193018	0.19877108431253268	0.16780030849945465	0.1508351706663402	0.12442796247630514	0.12024970285633957	0.20856024185638497	0.12025518603309077	0.13384940857299962	0.177545786625023	0.18622208872962234	0.16691633809231637	0.16462585977276273	0.1863276757336871	0.16880244672277633	0.20731955345755054	0.11541445629600487	0.10200942315431476	0.11629346843863578	0.10732051935444073	0.12751006270360157	0.08524576138321908
s27pp	0.22434293194872715	0.17919643886800235	0.22787512909831792	0.1990998926869521	0.19324160556959674	0.23010629897649298	0.18649762841352502	0.19642873694225882	0.2186370020222821	0.17964638054705037	0.1963153534179904	0.12995550870557318	0.0	0.08832448356444782	0.15552485797948098	0.21070805084411032	0.27335461210100603	0.205402457514602	0.4726842756583079	0.4542864513956129	0.4347780901104434	0.48364359484992936	0.47025998597321444	0.43839413228522806	0.430118644334565	0.46590247134902996	0.4754628017903342	0.4455047093257017	0.5562395269467446	0.5846065249139663	0.5091431170933852	0.47681715111356826	0.41316156922737257	0.49837205082253533	0.503644873815293	0.4735152449830255	0.31194839108345634	0.2502464702604899	0.31805262127794065	0.22730090871838216	0.22454020983546846	0.24216806446585584	0.25690078878672706	0.3015158723998263	0.20750102039275165	0.23086938347068264	0.20713948469655252	0.21640653267936266	0.23393749133906694	0.2688093523934689	0.25998330782434204	0.28319290996494456	0.2522221341518665	0.23525699631875208	0.20884978812871702	0.20467152850875145	0.29298206750879685	0.20467701168550262	0.2182712342254115	0.26196761227743487	0.2706439143820342	0.2513381637447282	0.2490476854251746	0.270749501386099	0.2532242723751882	0.29174137910996245	0.19983628194841674	0.18643124880672662	0.20071529409104766	0.1917423450068526	0.21193188835601345	0.16966758703563095
s26pp	0.14928735614887378	0.10414086306814899	0.15281955329846458	0.12404431688709876	0.11818602976974339	0.15505072317663962	0.11144205261367167	0.12137316114240546	0.14358142622242875	0.10459080474719701	0.12125977761813705	0.05489993290571982	0.08832448356444782	0.0	0.08046928217962762	0.13565247504425695	0.19829903630115267	0.13034688171474865	0.39762869985845456	0.3792308755957596	0.35972251431059005	0.408588019050076	0.3952044101733611	0.3633385564853747	0.35506306853471165	0.3908468955491766	0.40040722599048084	0.37044913352584835	0.48118395114689133	0.5095509491141129	0.4340875412935319	0.4017615753137149	0.33810599342751924	0.423316475022682	0.42858929801543966	0.39845966918317216	0.23689281528360298	0.17519089446063654	0.24299704547808726	0.15224533291852882	0.1494846340356151	0.16711248866600248	0.18184521298687373	0.22646029659997294	0.1324454445928983	0.15581380767082925	0.13208390889669916	0.14135095687950927	0.15888191553921358	0.19375377659361553	0.1849277320244887	0.2081373341650912	0.17716655835201317	0.1602014205188987	0.13379421232886363	0.12961595270889809	0.2179264917089435	0.12962143588564928	0.1432156584255581	0.1869120364775815	0.19558833858218086	0.1762825879448749	0.17399210962532125	0.19569392558624563	0.17816869657533485	0.21668580331010906	0.12478070614856338	0.11137567300687326	0.1256597182911943	0.11668676920699923	0.1368763125561601	0.09461201123577759
s28pp	0.14492851758714914	0.09978202450642432	0.1484607147367399	0.1196854783253741	0.11382719120801874	0.15069188461491495	0.10708321405194701	0.11701432258068079	0.13922258766070408	0.10023196618547235	0.11690093905641238	0.07110303232706912	0.15552485797948098	0.08046928217962762	0.0	0.13129363648253228	0.193940197739428	0.12598804315302398	0.39326986129672986	0.3748720370340349	0.35536367574886535	0.4042291804883513	0.3908455716116364	0.35897971792365	0.35070422997298695	0.3864880569874519	0.39604838742875614	0.36609029496412365	0.47682511258516663	0.5051921105523883	0.4297287027318072	0.3974027367519902	0.33374715486579454	0.4189576364609573	0.42423045945371496	0.39410083062144746	0.2325339767218783	0.17083205589891187	0.23863820691636262	0.14788649435680415	0.14512579547389043	0.16275365010427784	0.17748637442514906	0.22210145803824827	0.12808660603117364	0.1514549691091046	0.1277250703349745	0.13699211831778463	0.1545230769774889	0.1893949380318909	0.18056889346276403	0.20377849560336653	0.1728077197902885	0.15584258195717404	0.12943537376713898	0.12525711414717344	0.21356765314721882	0.1252625973239246	0.13885681986383347	0.18255319791585684	0.1912295000204562	0.17192374938315022	0.1696332710635966	0.19133508702452096	0.1738098580136102	0.21232696474838442	0.12042186758683873	0.10701683444514862	0.12130087972946962	0.11232793064527458	0.13251747399443542	0.09025317267405293
s1pp	0.17443006562688143	0.12928357254615663	0.1779622627764722	0.1491870263651064	0.15442214709398733	0.19128684050088357	0.1476781699379156	0.1576092784666494	0.1798175435466727	0.14082692207144099	0.157495894942381	0.12628622519169846	0.21070805084411032	0.13565247504425695	0.13129363648253228	0.0	0.1347903133131453	0.1309880150458051	0.3982698331895109	0.37987200892681594	0.3603636476416464	0.40922915238113244	0.3958455435044175	0.36397968981643114	0.355704201865768	0.39148802888023304	0.40104835932153726	0.3710902668569047	0.4818250844779477	0.5101920824451693	0.4347286746245883	0.40240270864477135	0.33874712675857566	0.4239576083537384	0.4292304313464961	0.3991008025142285	0.23753394861465943	0.175832027791693	0.2436381788091437	0.17738804239653644	0.17462734351362275	0.19225519814401013	0.20698792246488135	0.2516030060779806	0.15758815407090593	0.18095651714883693	0.1572266183747068	0.16649366635751695	0.18402462501722122	0.2188964860716232	0.21007044150249632	0.23328004364309884	0.2023092678300208	0.18534412999690636	0.1589369218068713	0.15475866218690573	0.24306920118695113	0.1547641453636569	0.1683583679035658	0.21205474595558915	0.2207310480601885	0.2014252974228825	0.1991348191033289	0.22083663506425327	0.2033114060533425	0.2418285127881167	0.14992341562657102	0.1365183824848809	0.15080242776920194	0.1418294786850069	0.16201902203416774	0.11975472071378523
S12Hp	0.23707662688377715	0.19193013380305235	0.24060882403336792	0.2118335876220021	0.21706870835088304	0.2539334017577793	0.21032473119481132	0.22025583972354512	0.24246410480356842	0.2034734833283367	0.22014245619927672	0.18893278644859418	0.27335461210100603	0.19829903630115267	0.193940197739428	0.1347903133131453	0.0	0.1936345763027008	0.46091639444640664	0.44251857018371166	0.42301020889854213	0.47187571363802816	0.4584921047613132	0.42662625107332686	0.4183507631226637	0.45413459013712876	0.463694920578433	0.43373682811380043	0.5444716457348434	0.572838643702065	0.497375235881484	0.46504926990166706	0.4013936880154714	0.48660416961063413	0.4918769926033918	0.46174736377112424	0.30018050987155515	0.2384785890485887	0.30628474006603945	0.24003460365343215	0.23727390477051846	0.25490175940090587	0.26963448372177706	0.3142495673348763	0.22023471532780164	0.24360307840573264	0.21987317963160252	0.22914022761441266	0.24667118627411694	0.2815430473285189	0.27271700275939204	0.29592660489999456	0.2649558290869165	0.24799069125380208	0.22158348306376702	0.21740522344380145	0.30571576244384685	0.21741070662055262	0.2310049291604615	0.27470130721248487	0.2833776093170842	0.2640718586797782	0.2617813803602246	0.283483196321149	0.26595796731023824	0.3044750740450124	0.21256997688346674	0.19916494374177662	0.21344898902609766	0.2044760399419026	0.22466558329106345	0.18240128197068095
f31pp	0.16912447229737312	0.12397797921664833	0.1726566694469639	0.14388143303559808	0.14911655376447902	0.18598124717137526	0.1423725766084073	0.1523036851371411	0.1745119502171644	0.13552132874193268	0.1521903016128727	0.12098063186219014	0.205402457514602	0.13034688171474865	0.12598804315302398	0.1309880150458051	0.1936345763027008	0.0	0.3553889824453374	0.3369911581826424	0.3174827968974729	0.36634830163695886	0.35296469276024395	0.32109883907225756	0.3128233511215945	0.34860717813605946	0.3581675085773637	0.3282094161127312	0.43894423373377417	0.4673112317009958	0.3918478238804147	0.35952185790059776	0.2958662760144021	0.38107675760956483	0.3863495806023225	0.356219951770055	0.21406227395645028	0.15236035313348384	0.22016650415093456	0.17208244906702813	0.16932175018411444	0.18694960481450182	0.20168232913537304	0.24629741274847228	0.15228256074139762	0.17565092381932862	0.1519210250451985	0.16118807302800864	0.17871903168771291	0.2135908927421149	0.204764848172988	0.22797445031359054	0.19700367450051248	0.18003853666739805	0.153631328477363	0.14945306885739743	0.23776360785744283	0.1494585520341486	0.16305277457405748	0.20674915262608085	0.2154254547306802	0.1961197040933742	0.19382922577382058	0.21553104173474497	0.1980058127238342	0.2365229194586084	0.14461782229706271	0.1312127891553726	0.14549683443969363	0.1365238853554986	0.15671342870465943	0.11444912738427693
F14H1B	0.436406290441079	0.39125979736035416	0.4399384875906698	0.41116325117930397	0.4163983719081849	0.45326306531508115	0.4096543947521132	0.419585503280847	0.44179376836087025	0.40280314688563856	0.4194721197565786	0.38826245000589604	0.4726842756583079	0.39762869985845456	0.39326986129672986	0.3982698331895109	0.46091639444640664	0.3553889824453374	0.0	0.16000406872730022	0.2377623513488613	0.41742274164086607	0.40403913276415115	0.37217327907616476	0.3638977911255017	0.4248211064505276	0.4343814368918319	0.4044233444271994	0.5151581620482424	0.543525160015464	0.46806175219488294	0.4357357862150659	0.3720802043288703	0.45729068592403305	0.46256350891679066	0.4324338800845232	0.4813440921001561	0.41964217127718967	0.4874483222946404	0.439364267210734	0.4366035683278203	0.4542314229582077	0.4689641472790789	0.5135792308921782	0.4195643788851035	0.44293274196303445	0.41920284318890433	0.42846989117171447	0.44600084983141874	0.48087271088582073	0.4720466663166939	0.4952562684572964	0.46428549264421837	0.4473203548111039	0.4209131466210688	0.4167348870011033	0.5050454260011487	0.4167403701778545	0.4303345927177633	0.47403097076978673	0.4827072728743861	0.4634015222370801	0.46111104391752644	0.4828128598784508	0.46528763086754005	0.5038047376023143	0.4118996404407686	0.3984946072990785	0.41277865258339946	0.4038057034992044	0.42399524684836526	0.38173094552798276
S3Hp	0.418008466178384	0.37286197309765917	0.4215406633279748	0.392765426916609	0.3980005476454899	0.43486524105238616	0.3912565704894182	0.401187679018152	0.42339594409817527	0.3844053226229436	0.4010742954938836	0.36986462574320106	0.4542864513956129	0.3792308755957596	0.3748720370340349	0.37987200892681594	0.44251857018371166	0.3369911581826424	0.16000406872730022	0.0	0.21936452708616633	0.3990249173781711	0.38564130850145617	0.3537754548134698	0.3454999668628067	0.40642328218783264	0.4159836126291369	0.3860255201645044	0.4967603377855474	0.525127335752769	0.44966392793218796	0.41733796195237094	0.3536823800661753	0.43889286166133806	0.44416568465409567	0.41403605582182823	0.4629462678374611	0.4012443470144947	0.46905049803194543	0.42096644294803903	0.41820574406512534	0.4358335986955127	0.45056632301638394	0.4951814066294832	0.4011665546224085	0.42453491770033946	0.40080501892620934	0.4100720669090195	0.42760302556872376	0.46247488662312575	0.4536488420539989	0.47685844419460144	0.4458876683815234	0.4289225305484089	0.40251532235837384	0.3983370627384083	0.4866476017384537	0.3983425459151595	0.4119367684550683	0.45563314650709175	0.4643094486116911	0.4450036979743851	0.44271321965483146	0.4644150356157558	0.44688980660484506	0.4854069133396193	0.3935018161780736	0.3800967830363835	0.3943808283207045	0.38540787923650943	0.4055974225856703	0.3633331212652878
