	31343	31452	F8H1	530331	S31Hp	31021	S4Hp	S21H1	F23HpA	S16H2	S3Hp	S23Hp	F29H1	530394	S6Hp	S13Hp	S15Hp	31328	S22Hp	S17H1	31519	S26Hp	31700	S25Hp	S11Hp	S2Hp	530050	530055	S7Hp	31009	F32H1	F1H1	531414	S29H1	S19H1	530364	31750	F7H1	S30H1
31519	0.4474058910243793	0.4619512566147999	0.4982009485477811	0.4888980085780583	0.42717663815649254	0.464451462799914	0.494229211010192	0.4653750783886753	0.31881021301003054	0.5345428564078271	0.44944128782237414	0.5150271610885533	0.6156720939601767	0.5701266947517113	0.5748970243656555	0.3995622255789735	0.4702178534929202	0.47931226833614393	0.47671000021825605	0.49553986939839945	0.0	0.091988966500319	0.3477060920808441	0.3471951044659552	0.3570516554090449	0.3559716693097182	0.3629058606321617	0.35812097449831054	0.3534326347756922	0.37242900341883267	0.3832184582177689	0.36196630977839095	0.41875274897210524	0.40478499236078047	0.39638320326160537	0.44109821910485203	0.4516615991515211	0.4692220265731841	0.4622797786387815
S26Hp	0.35564175459099595	0.3701871201814166	0.40643681211439775	0.397133872144675	0.33541250172310927	0.37268732636653074	0.4024650745768087	0.373610941955292	0.22704607657664722	0.44277871997444374	0.35767715138899087	0.42326302465516996	0.5239079575267934	0.47836255831832797	0.48313288793227216	0.30779808914559015	0.37845371705953695	0.38754813190276066	0.3849458637848727	0.4037757329650162	0.091988966500319	0.0	0.2559419556474608	0.2554309680325719	0.2652875189756616	0.2642075328763349	0.27114172419877836	0.26635683806492727	0.2616684983423089	0.2806648669854494	0.2914543217843856	0.2702021733450076	0.3269886125387219	0.31302085592739715	0.30461906682822204	0.3493340826714687	0.35989746271813783	0.3774578901398008	0.3705156422053982
31700	0.41837137252620177	0.4329167381166224	0.46916643004960346	0.4598634900798807	0.39814211965831503	0.4354169443017365	0.4651946925120144	0.4363405598904977	0.2897756945118529	0.5055083379096494	0.4204067693241966	0.48599264259037567	0.5866375754619991	0.5410921762535337	0.545862505867478	0.37052770708079585	0.4411833349947427	0.4502777498379664	0.4476754817200784	0.46650535090022194	0.3477060920808441	0.2559419556474608	0.0	0.01352420841089446	0.02338075935398415	0.022300773254657468	0.029234964577100953	0.024450078443249826	0.17888293084881363	0.1978792994919541	0.2918004591954217	0.27054831075604374	0.3897182304739277	0.3757504738626029	0.3673486847634278	0.41206370060667447	0.4226270806533436	0.4401875080750066	0.433245260140604
S25Hp	0.4178603849113129	0.4324057505017335	0.4686554424347146	0.4593525024649918	0.39763113204342615	0.4349059566868476	0.4646837048971255	0.4358295722756088	0.28926470689696404	0.5049973502947607	0.41989578170930775	0.4854816549754868	0.5861265878471102	0.5405811886386449	0.545351518252589	0.370016719465907	0.44067234737985383	0.44976676222307754	0.44716449410518955	0.46599436328533306	0.3471951044659552	0.2554309680325719	0.01352420841089446	0.0	0.011019746113795807	0.009941760015469188	0.023114432120184318	0.01832954598633319	0.17837194323392472	0.19736831187706522	0.2912894715805328	0.27003732314115486	0.3892072428590388	0.375239486247714	0.3668376971485389	0.4115527129917856	0.4221160930384547	0.43967652046011774	0.4327342725257151
S11Hp	0.42771693585440246	0.4422623014448231	0.47851199337780426	0.4692090534080815	0.40748768298651583	0.4447625076299373	0.4745402558402152	0.4456861232186985	0.2991212578400537	0.5148539012378504	0.42975233265239743	0.49533820591857647	0.5959831387901999	0.5504377395817346	0.5552080691956787	0.37987327040899665	0.4505288983229435	0.4596233131661672	0.45702104504827923	0.47585091422842274	0.3570516554090449	0.2652875189756616	0.02338075935398415	0.011019746113795807	0.0	0.01979831095855887	0.032970983063274006	0.02818609692942288	0.1882284941770144	0.2072248628201549	0.3011460225236225	0.27989387408424454	0.3990637938021285	0.3850960371908037	0.3766942480916286	0.4214092639348752	0.43197264398154434	0.4495330714032073	0.4425908234688047
S2Hp	0.42663694975507577	0.4411823153454964	0.47743200727847757	0.4681290673087548	0.40640769688718914	0.4436825215306106	0.4734602697408885	0.4446061371193718	0.29804127174072703	0.5137739151385237	0.42867234655307074	0.4942582198192498	0.5949031526908732	0.5493577534824079	0.554128083096352	0.37879328430966996	0.4494489122236168	0.45854332706684053	0.45594105894895254	0.47477092812909605	0.3559716693097182	0.2642075328763349	0.022300773254657468	0.009941760015469188	0.01979831095855887	0.0	0.03189099696394733	0.0271061108300962	0.18714850807768774	0.2061448767208282	0.3000660364242958	0.27881388798491785	0.3979838077028018	0.384016051091477	0.3756142619923019	0.4203292778355485	0.43089265788221764	0.4484530853038806	0.441510837369478
530050	0.4335711410775193	0.44811650666793995	0.4843661986009211	0.47506325863119836	0.4133418882096326	0.45061671285305405	0.48039446106333206	0.45154032844181535	0.3049754630631706	0.5207081064609671	0.4356065378755142	0.5011924111416932	0.6018373440133167	0.5562919448048513	0.5610622744187955	0.3857274756321135	0.45638310354606026	0.465477518389284	0.4628752502713961	0.4817051194515395	0.3629058606321617	0.27114172419877836	0.029234964577100953	0.023114432120184318	0.032970983063274006	0.03189099696394733	0.0	0.02316734317714136	0.1940826994001312	0.2130790680432717	0.3070002277467393	0.28574807930736135	0.4049179990252453	0.3909502424139205	0.3825484533147454	0.42726346915799207	0.43782684920466114	0.45538727662632417	0.44844502869192154
530055	0.4287862549436681	0.44333162053408876	0.4795813124670699	0.47027837249734716	0.4085570020757815	0.44583182671920296	0.47560957492948086	0.44675544230796416	0.3001905769293194	0.515923220327116	0.4308216517416631	0.49640752500784213	0.5970524578794656	0.5515070586710002	0.5562773882849443	0.3809425894982623	0.4515982174122092	0.4606926322554329	0.4580903641375449	0.4769202333176884	0.35812097449831054	0.26635683806492727	0.024450078443249826	0.01832954598633319	0.02818609692942288	0.0271061108300962	0.02316734317714136	0.0	0.1892978132662801	0.20829418190942056	0.30221534161288816	0.2809631931735102	0.40013311289139414	0.38616535628006937	0.37776356718089427	0.4224785830241409	0.43304196307081	0.45060239049247297	0.44366014255807035
S7Hp	0.42409791522104984	0.43864328081147047	0.47489297274445164	0.4655900327747289	0.4038686623531631	0.44114348699658457	0.4709212352068626	0.4420671025853459	0.2955022372067011	0.5112348806044976	0.4261333120190447	0.4917191852852238	0.5923641181568473	0.5468187189483819	0.551589048562326	0.37625424977564403	0.4469098776895908	0.4560042925328145	0.4534020244149266	0.47223189359507	0.3534326347756922	0.2616684983423089	0.17888293084881363	0.17837194323392472	0.1882284941770144	0.18714850807768774	0.1940826994001312	0.1892978132662801	0.0	0.1307928268120893	0.2975270018902698	0.27627485345089187	0.3954447731687758	0.38147701655745103	0.3730752274582759	0.4177902433015226	0.42835362334819166	0.4459140507698547	0.43897180283545206
31009	0.4430942838641903	0.45763964945461094	0.4938893413875921	0.48458640141786935	0.4228650309963036	0.4601398556397251	0.48991760385000305	0.46106347122848634	0.3144986058498416	0.5302312492476381	0.4451296806621852	0.5107155539283643	0.6113604867999878	0.5658150875915223	0.5705854172054665	0.3952506184187845	0.4659062463327313	0.475000661175955	0.4723983930580671	0.49122826223821053	0.37242900341883267	0.2806648669854494	0.1978792994919541	0.19736831187706522	0.2072248628201549	0.2061448767208282	0.2130790680432717	0.20829418190942056	0.1307928268120893	0.0	0.3165233705334103	0.29527122209403234	0.41444114181191627	0.4004733852005915	0.3920715961014164	0.43678661194466306	0.4473499919913322	0.46491041941299516	0.45796817147859253
