	530075	S21H1	S31Hp	530177	530444	S9H1	530167	F29H1	F14H1A	S19H1	31750	S25Hp	S2Hp	F23HpA	31537	S3Hp	F14H1B	s24H1	31236	F6H1	S26Hp	S1Hp	S7Hp	31300	31009	S10H1	31232	31360
31750	0.28891117341605704	0.27591417189305	0.2937701273296273	0.3534888991972719	0.3589978943141483	0.32220566552846863	0.32924562387457	0.2794924093866437	0.28992613386398247	0.2848676321495929	0.0	0.22388449383365483	0.3178049478119384	0.32283160059297333	0.35270256701643654	0.42752323835048955	0.36815039536071337	0.3572626367632282	0.27532704426992805	0.3258928129016233	0.310085357349264	0.35764970622281145	0.6964184480794755	0.3346387937338129	0.302780881965322	0.3036207167515604	0.3290237225788173	0.30023365783544076
S25Hp	0.27230334748630486	0.2593063459632978	0.27716230139987513	0.3368810732675197	0.3423900683843961	0.30559783959871645	0.31263779794481783	0.26288458345689153	0.2733183079342303	0.2682598062198407	0.22388449383365483	0.0	0.3011971218821862	0.30622377466322115	0.33609474108668436	0.41091541242073737	0.3515425694309612	0.34065481083347604	0.25871921834017586	0.3092849869718711	0.29347753141951183	0.34104188029305926	0.6798106221497233	0.3180309678040607	0.2861730560355698	0.2870128908218082	0.3124158966490651	0.2836258319056886
S2Hp	0.33593822239319254	0.3229412208701855	0.3407971763067628	0.40051594817440744	0.4060249432912838	0.3692327145056042	0.37627267285170557	0.32651945836377927	0.33695318284111797	0.3318946811267284	0.3178049478119384	0.3011971218821862	0.0	0.26246800498332323	0.3266507597807232	0.40147143111477623	0.34209858812500005	0.3312108295275149	0.3223540932470636	0.3729198618787589	0.35711240632639957	0.404676755199947	0.743445497056611	0.38166584271094844	0.34980793094245755	0.35064776572869594	0.37605077155595285	0.34726070681257626
F23HpA	0.34096487517422747	0.32796787365122043	0.34582382908779774	0.40554260095544237	0.4110515960723187	0.3742593672866391	0.3812993256327405	0.33154611114481425	0.34197983562215295	0.33692133390776335	0.32283160059297333	0.30622377466322115	0.26246800498332323	0.0	0.33167741256175814	0.4064980838958112	0.347125240906035	0.3362374823085499	0.3273807460280985	0.37794651465979384	0.3621390591074345	0.4097034079809819	0.748472149837646	0.38669249549198337	0.3548345837234925	0.3556744185097309	0.38107742433698777	0.3522873595936112
31537	0.3708358415976906	0.3578388400746836	0.3756947955112609	0.4354135673789055	0.4409225624957819	0.40413033371010226	0.41117029205620365	0.36141707756827735	0.37185080204561605	0.36679230033122645	0.35270256701643654	0.33609474108668436	0.3266507597807232	0.33167741256175814	0.0	0.3725527185474218	0.3131798755576456	0.30229211696016045	0.35725171245156173	0.407817481083257	0.3920100255308977	0.43957437440444513	0.7783431162611092	0.4165634619154466	0.3847055501469556	0.385545384933194	0.410948390760451	0.38215832601707433
S3Hp	0.4456565129317437	0.43265951140873665	0.45051546684531396	0.5102342387129586	0.515743233829835	0.47895100504415533	0.4859909633902567	0.4362377489023304	0.44667147337966917	0.4416129716652796	0.42752323835048955	0.41091541242073737	0.40147143111477623	0.4064980838958112	0.3725527185474218	0.0	0.10532070694162252	0.1764024068774126	0.43207238378561474	0.48263815241731006	0.4668306968649507	0.5143950457384981	0.8531637875951622	0.4913841332494996	0.4595262214810087	0.4603660562672471	0.485769062094504	0.4569789973511274
F14H1B	0.3862836699419675	0.37328666841896047	0.3911426238555378	0.4508613957231824	0.45637039084005876	0.41957816205437914	0.4266181204004805	0.3768649059125542	0.387298630389893	0.3822401286755034	0.36815039536071337	0.3515425694309612	0.34209858812500005	0.347125240906035	0.3131798755576456	0.10532070694162252	0.0	0.11702956388763637	0.37269954079583856	0.4232653094275339	0.4074578538751745	0.45502220274872196	0.793790944605386	0.4320112902597234	0.4001533784912325	0.4009932132774709	0.4263962191047278	0.3976061543613512
s24H1	0.37539591134448236	0.3623989098214753	0.38025486525805263	0.43997363712569726	0.4454826322425736	0.408690403456894	0.4157303618029954	0.3659771473150691	0.37641087179240784	0.37135237007801825	0.3572626367632282	0.34065481083347604	0.3312108295275149	0.3362374823085499	0.30229211696016045	0.1764024068774126	0.11702956388763637	0.0	0.3618117821983534	0.4123775508300487	0.3965700952776894	0.4441344441512368	0.7829031860079009	0.42112353166223826	0.38926561989374736	0.39010545467998575	0.41550846050724266	0.3867183957638661
31236	0.27419884991455273	0.2612018483915457	0.279057803828123	0.3387765756957676	0.344285570812644	0.3074933420269643	0.3145333003730657	0.2647800858851394	0.27521381036247816	0.27015530864808857	0.27532704426992805	0.25871921834017586	0.3223540932470636	0.3273807460280985	0.35725171245156173	0.43207238378561474	0.37269954079583856	0.3618117821983534	0.0	0.311180489400119	0.2953730338477597	0.34293738272130714	0.6817061245779712	0.3199264702323086	0.2880685584638177	0.2889083932500561	0.314311399077313	0.28552133433393645
F6H1	0.3009290353438423	0.28793203382083526	0.3057879892574126	0.3655067611250572	0.37101575624193356	0.33422352745625394	0.3412634858023553	0.29151027131442897	0.3019439957917677	0.29688549407737813	0.3258928129016233	0.3092849869718711	0.3729198618787589	0.37794651465979384	0.407817481083257	0.48263815241731006	0.4232653094275339	0.4123775508300487	0.311180489400119	0.0	0.27375155578696264	0.3213159046605101	0.6600846465171741	0.3466566556615982	0.31479874389310725	0.31563857867934564	0.3410415845066026	0.312251519763226
S26Hp	0.285121579791483	0.27212457826847597	0.2899805337050533	0.3496993055726979	0.35520830068957426	0.3184160719038946	0.325456030249996	0.2757028157620697	0.2861365402394084	0.2810780385250188	0.310085357349264	0.29347753141951183	0.35711240632639957	0.3621390591074345	0.3920100255308977	0.4668306968649507	0.4074578538751745	0.3965700952776894	0.2953730338477597	0.27375155578696264	0.0	0.07091350204748868	0.5029974606110139	0.33084920010923885	0.29899128834074795	0.29983112312698634	0.32523412895424325	0.2964440642108667
S1Hp	0.3326859286650304	0.31968892714202335	0.33754488257860066	0.3972636544462453	0.40277264956312164	0.36598042077744203	0.3730203791235434	0.3232671646356171	0.3337008891129558	0.3286423873985662	0.35764970622281145	0.34104188029305926	0.404676755199947	0.4097034079809819	0.43957437440444513	0.5143950457384981	0.45502220274872196	0.4441344441512368	0.34293738272130714	0.3213159046605101	0.07091350204748868	0.0	0.5505618094845613	0.3784135489827863	0.3465556372142954	0.3473954720005338	0.3727984778277907	0.3440084130844141
S7Hp	0.6714546705216944	0.6584576689986874	0.6763136244352648	0.7360323963029094	0.7415413914197857	0.704749162634106	0.7117891209802074	0.6620359064922812	0.6724696309696199	0.6674111292552303	0.6964184480794755	0.6798106221497233	0.743445497056611	0.748472149837646	0.7783431162611092	0.8531637875951622	0.793790944605386	0.7829031860079009	0.6817061245779712	0.6600846465171741	0.5029974606110139	0.5505618094845613	0.0	0.7171822908394503	0.6853243790709594	0.6861642138571978	0.7115672196844547	0.6827771549410782
31300	0.28898847813307643	0.2759914766100694	0.2938474320466467	0.3535662039142913	0.3590751990311677	0.322282970245488	0.3293229285915894	0.2795697141036631	0.29000343858100186	0.28494493686661226	0.3346387937338129	0.3180309678040607	0.38166584271094844	0.38669249549198337	0.4165634619154466	0.4913841332494996	0.4320112902597234	0.42112353166223826	0.3199264702323086	0.3466566556615982	0.33084920010923885	0.3784135489827863	0.7171822908394503	0.0	0.2266020846793253	0.26849489111368813	0.29389789694094504	0.30031096255246015
31009	0.25713056636458553	0.2441335648415785	0.2619895202781558	0.32170829214580043	0.3272172872626768	0.2904250584769971	0.2974650168230985	0.2477118023351722	0.2581455268125109	0.2530870250981213	0.302780881965322	0.2861730560355698	0.34980793094245755	0.3548345837234925	0.3847055501469556	0.4595262214810087	0.4001533784912325	0.38926561989374736	0.2880685584638177	0.31479874389310725	0.29899128834074795	0.3465556372142954	0.6853243790709594	0.2266020846793253	0.0	0.23663697934519723	0.26203998517245414	0.26845305078396925
S10H1	0.2579704011508239	0.2449733996278169	0.2628293550643942	0.3225481269320388	0.3280571220489152	0.2912648932632355	0.2983048516093369	0.2485516371214106	0.2589853615987493	0.2539268598843597	0.3036207167515604	0.2870128908218082	0.35064776572869594	0.3556744185097309	0.385545384933194	0.4603660562672471	0.4009932132774709	0.39010545467998575	0.2889083932500561	0.31563857867934564	0.29983112312698634	0.3473954720005338	0.6861642138571978	0.26849489111368813	0.23663697934519723	0.0	0.025405005828256975	0.26929288557020764
31232	0.28337340697808083	0.2703764054550738	0.2882323608916511	0.3479511327592957	0.3534601278761721	0.3166678990904924	0.3237078574365938	0.2739546429486675	0.28438836742600626	0.27932986571161667	0.3290237225788173	0.3124158966490651	0.37605077155595285	0.38107742433698777	0.410948390760451	0.485769062094504	0.4263962191047278	0.41550846050724266	0.314311399077313	0.3410415845066026	0.32523412895424325	0.3727984778277907	0.7115672196844547	0.29389789694094504	0.26203998517245414	0.025405005828256975	0.0	0.29469589139746455
31360	0.09245068819551122	0.10209944028471221	0.11995539572128952	0.17967416758893415	0.1851831627058105	0.17951108338752253	0.20061398860959967	0.21943703233663386	0.2298707568139726	0.224812255099583	0.30023365783544076	0.2836258319056886	0.34726070681257626	0.3522873595936112	0.38215832601707433	0.4569789973511274	0.3976061543613512	0.3867183957638661	0.28552133433393645	0.312251519763226	0.2964440642108667	0.3440084130844141	0.6827771549410782	0.30031096255246015	0.26845305078396925	0.26929288557020764	0.29469589139746455	0.0
