	w20pp	f11pp	w12pp	S17H1	S18H1	f8pp	w13pp	w27pp	f21pp	f14ppB	f16ppA	w18pp	w23pp	f22ppB	w2pp	w4pp	f19pp	w22pp	w21pp	w14pp	f4pp	f1pp	w1pp	w19pp	f18pp	f2pp	w17pp	w31pp	f7pp	w11pp	f20ppB	f25pp	F7H1	f20ppA	S13Hp	31700	S25Hp	31360	f12ppB	f10pp
f4pp	0.21854878310675213	0.28214054306511804	0.34648259968229667	0.33152639539181816	0.35475694615374775	0.23075390817898916	0.2746022762298575	0.3348651714580283	0.281675387233803	0.17152728368386483	0.1883094873586048	0.17699654775755505	0.18747043321568668	0.14837587724206566	0.14379092513985572	0.14778767493155764	0.09192627809564002	0.09245142848301757	0.08111319095199877	0.08229581785569941	0.0	0.08606587496772714	0.11962783528118581	0.09261571232824034	0.16583114489579323	0.15893565154880424	0.16636637228578335	0.25871273837610975	0.1913118541510108	0.23306670129837043	0.2579843425217895	0.3145758065544296	0.340202791205099	0.2306398802479374	0.9946849141526727	1.2650087945981865	2.7272213948508255	0.5440584276953377	0.2702401294836344	0.2831441066629958
f1pp	0.21714950074512587	0.2807412607034918	0.3450833173206704	0.33012711303019193	0.3533576637921215	0.22935462581736293	0.2732029938682312	0.33346588909640207	0.2802761048721767	0.17012800132223857	0.18691020499697858	0.1755972653959288	0.1860711508540604	0.1469765948804394	0.14239164277822947	0.14638839256993139	0.11072005942664231	0.12440213583772744	0.11306389830670865	0.11424652521040929	0.08606587496772714	0.0	0.1092197360286116	0.09121642996661408	0.16443186253416697	0.15753636918717798	0.1649670899241571	0.2573134560144835	0.18991257178938453	0.23166741893674414	0.25658506016016325	0.3131765241928034	0.3388035088434727	0.22924059788631118	0.9932856317910465	1.26360951223656	2.7258221124891993	0.5426591453337115	0.2688408471220082	0.2817448243013695
w1pp	0.2507114610585845	0.31430322101695046	0.37864527763412903	0.3636890733436505	0.3869196241055802	0.2629165861308216	0.30676495418168986	0.3670278494098607	0.31383806518563534	0.20368996163569722	0.22047216531043723	0.20915922570938744	0.21963311116751907	0.18053855519389805	0.17595360309168812	0.17995035288339006	0.144282019740101	0.15796409615118612	0.14662585862016733	0.14780848552386797	0.11962783528118581	0.1092197360286116	0.0	0.12477839028007275	0.19799382284762562	0.19109832950063663	0.19852905023761575	0.29087541632794217	0.22347453210284318	0.2652293792502028	0.2901470204736219	0.34673848450626205	0.37236546915693136	0.26280255819976983	1.026847592104505	1.2971714725500187	2.759384072802658	0.5762211056471702	0.30240280743546677	0.3153067846148282
w19pp	0.19658122911255743	0.26017298907092334	0.32451504568810197	0.30955884139762346	0.33278939215955305	0.20878635418479446	0.2526347222356628	0.3128976174638336	0.2597078332396083	0.14955972968967013	0.1663419333644101	0.15502899376336035	0.16550287922149198	0.12640832324787096	0.12182337114566102	0.12582012093736294	0.1172698967871555	0.13095197319824065	0.11961373566722185	0.12079636257092248	0.09261571232824034	0.09121642996661408	0.12477839028007275	0.0	0.14386359090159853	0.13696809755460954	0.14439881829158865	0.23674518438191508	0.1693443001568161	0.21109914730417573	0.2360167885275948	0.2926082525602349	0.3182352372109043	0.2086723262537427	0.972717360158478	1.2430412406039917	2.705253840856631	0.522090873701143	0.2482725754894397	0.2611765526688011
f18pp	0.2470916226260602	0.3106833825844261	0.3750254392016047	0.3600692349111262	0.38329978567305584	0.25929674769829725	0.30314511574916553	0.3634080109773364	0.310218226753111	0.20007012320317288	0.2168523268779129	0.2055393872768631	0.21601327273499474	0.17691871676137375	0.1723337646591638	0.17633051445086573	0.1904853293547084	0.2041674057657935	0.19282916823477475	0.19401179513847538	0.16583114489579323	0.16443186253416697	0.19799382284762562	0.14386359090159853	0.0	0.1874784910681123	0.1949092118050914	0.28725557789541784	0.21985469367031885	0.26160954081767845	0.28652718204109756	0.3431186460737377	0.368745630724407	0.2591827197672455	1.0232277536719807	1.2935516341174944	2.7557642343701336	0.5726012672146459	0.29878296900294243	0.31168694618230386
f2pp	0.16689272684504472	0.23048448680341066	0.2948265434205892	0.2798703391301107	0.30310088989204037	0.17909785191728178	0.22294621996815006	0.2832091151963209	0.23001933097209554	0.11987122742215742	0.13665343109689743	0.12534049149584764	0.13581437695397924	0.12330835107910623	0.14549046340643984	0.14948721319814176	0.1835898360077194	0.1972719124188045	0.18593367488778573	0.18711630179148636	0.15893565154880424	0.15753636918717798	0.19109832950063663	0.13696809755460954	0.1874784910681123	0.0	0.105527460697781	0.20705668211440237	0.13965579788930338	0.181410645036663	0.2063282862600821	0.26291975029272224	0.28854673494339156	0.17898382398623003	0.9430288578909654	1.213352738336479	2.675565338589118	0.49240237143363036	0.218584073221927	0.23148805040128836
w17pp	0.17432344758202384	0.23791520754038978	0.3022572641575684	0.28730105986708987	0.31053161062901946	0.18652857265426087	0.2303769407051292	0.2906398359333	0.23745005170907468	0.12730194815913654	0.14408415183387652	0.13277121223282676	0.1432450976909584	0.13073907181608535	0.15292118414341896	0.15691793393512088	0.1910205567446985	0.20470263315578363	0.19336439562476485	0.19454702252846548	0.16636637228578335	0.1649670899241571	0.19852905023761575	0.14439881829158865	0.1949092118050914	0.105527460697781	0.0	0.2144874028513815	0.1470865186262825	0.18884136577364213	0.2137590069970612	0.27035047102970133	0.2959774556803707	0.18641454472320912	0.9504595786279444	1.220783459073458	2.682996059326097	0.49983309217060945	0.2260147939589061	0.23891877113826748
w31pp	0.16518848526401445	0.22878024522238039	0.29312230183955895	0.2781660975490805	0.3013966483110101	0.1773936103362515	0.2212419783871198	0.28150487361529064	0.22831508939106526	0.14239422770451374	0.16289393622999035	0.17899110560272927	0.2072925739899019	0.22308543790641178	0.24526755023374539	0.2492643000254473	0.28336692283502496	0.29704899924611006	0.28571076171509124	0.2868933886187919	0.25871273837610975	0.2573134560144835	0.29087541632794217	0.23674518438191508	0.28725557789541784	0.20705668211440237	0.2144874028513815	0.0	0.09457895982836388	0.16001077184774154	0.18492841307116062	0.24151987710380074	0.26714686175447006	0.17727958240519975	0.941324616309935	1.2116484967554486	2.673861097008088	0.4906981298526001	0.21687983164089672	0.2297838088202581
f7pp	0.09778760103891546	0.1613793609972814	0.22572141761445996	0.2107652133239815	0.2339957640859111	0.1099927261111525	0.1538410941620208	0.21410398939019165	0.16091420516596627	0.07499334347941475	0.09549305200489136	0.11159022137763028	0.1398916897648029	0.1556845536813128	0.1778666660086464	0.18186341580034832	0.21596603860992594	0.22964811502101107	0.21830987748999228	0.21949250439369292	0.1913118541510108	0.18991257178938453	0.22347453210284318	0.1693443001568161	0.21985469367031885	0.13965579788930338	0.1470865186262825	0.09457895982836388	0.0	0.09260988762264252	0.11752752884606162	0.17411899287870175	0.19974597752937107	0.10987869818010074	0.8739237320848361	1.1442476125303498	2.606460212782989	0.4232972456275011	0.14947894741579773	0.1623829245951591
w11pp	0.13954244818627506	0.203134208144641	0.26747626476181957	0.2525200604713411	0.2757506112332707	0.15174757325851213	0.19559594130938043	0.25585883653755126	0.2026690523133259	0.11674819062677437	0.137247899152251	0.1533450685249899	0.18164653691216254	0.1974394008286724	0.21962151315600603	0.22361826294770792	0.2577208857572856	0.2714029621683707	0.2600647246373519	0.26124735154105255	0.23306670129837043	0.23166741893674414	0.2652293792502028	0.21109914730417573	0.26160954081767845	0.181410645036663	0.18884136577364213	0.16001077184774154	0.09260988762264252	0.0	0.12072880765998924	0.17732027169262937	0.2029472563432987	0.15163354532746037	0.9156785792321956	1.1860024596777095	2.6482150599303482	0.4650520927748607	0.19123379456315734	0.2041377717425187
