	F6H1	S8Hp	S23Hp	S21H1	S25Hp	S18H1	S1Hp	S4Hp	F29H1	F7H1	S13Hp	S26Hp	w14pp	w10pp	w1pp	w2pp	S10H1	f24pp	w16pp	w24pp	s24H1	w11pp	S31Hp	S9H1	S7Hp	F14H1B	S3Hp
S13Hp	0.49311152904904393	0.36442774258110766	0.36116628639845116	0.45502053537594517	0.5605823613708842	0.48966291021821423	0.4147365467340858	0.5031336680594088	0.43904111892876124	0.34461931716231337	0.0	0.35616225190948625	0.32987201171362723	0.306479270815302	0.3398730257679897	0.3314297113764569	0.39403936946185203	0.3308103719797659	0.3334807369136282	0.3526590452362768	0.3286375823044157	0.31728501900591444	0.2847083070612699	0.393171740834855	0.41909587463735826	0.5048571334714294	0.5173205638600107
S26Hp	0.5768124058340856	0.44812861936614934	0.44486716318349284	0.5387214121609869	0.6442832381559259	0.573363787003256	0.49843742351912745	0.5868345448444505	0.5227419957138029	0.42832019394735504	0.35616225190948625	0.0	0.3440069125807364	0.3206141716824112	0.35400792663509884	0.34556461224356605	0.40817427032896114	0.34494527284687504	0.34761563778073734	0.3667939461033859	0.34277248317152487	0.33141991987302355	0.29884320792837904	0.4768726176198967	0.5027967514223999	0.588558010256471	0.6010214406450524
w14pp	0.5505221656382266	0.42183837917029027	0.41857692298763377	0.5124311719651278	0.6179929979600669	0.5470735468073968	0.47214718332326844	0.5605443046485914	0.49645175551794385	0.40202995375149597	0.32987201171362723	0.3440069125807364	0.0	0.03706466443655471	0.08489271779156746	0.0764494034000346	0.13905906148542968	0.07583006400334363	0.07850042893720591	0.0976787372598545	0.07365727432799343	0.06230471102949213	0.11789492807376967	0.45058237742403767	0.4765065112265409	0.562267770060612	0.5747312004491933
w10pp	0.5271294247399014	0.39844563827196505	0.39518418208930856	0.48903843106680256	0.5946002570617417	0.5236808059090716	0.4487544424249432	0.5371515637502662	0.47305901461961863	0.37863721285317076	0.306479270815302	0.3206141716824112	0.03706466443655471	0.0	0.06149997689324224	0.05305666250170939	0.11566632058710448	0.05243732310501843	0.05510768803888069	0.07428599636152929	0.05026453342966823	0.038911970131166915	0.09450218717544445	0.42718963652571246	0.4531137703282157	0.5388750291622868	0.5513384595508681
w1pp	0.5605231796925891	0.43183939322465276	0.42857793704199626	0.5224321860194903	0.6279940120144294	0.5570745608617593	0.4821481973776309	0.5705453187029539	0.5064527695723063	0.41203096780585846	0.3398730257679897	0.35400792663509884	0.08489271779156746	0.06149997689324224	0.0	0.05195340191005882	0.11456305999545391	0.05133406251336786	0.054004427447230136	0.07318273576987872	0.04916127283801766	0.05218113575846654	0.12789594212813213	0.46058339147840016	0.4865075252809034	0.5722687841149745	0.5847322145035558
w2pp	0.5520798653010561	0.4233960788331199	0.4201346226504634	0.5139888716279575	0.6195506976228965	0.5486312464702265	0.47370488298609803	0.5621020043114211	0.4980094551807735	0.4035876534143256	0.3314297113764569	0.34556461224356605	0.0764494034000346	0.05305666250170939	0.05195340191005882	0.0	0.09998065079306664	0.036751653310980605	0.03942201824484287	0.058602326568491514	0.03458086363663046	0.04373782136693368	0.11945262773659929	0.45214007708686726	0.4780642108893705	0.5638254697234416	0.5762889001120229
S10H1	0.6146895233864513	0.48600573691851506	0.48274428073585857	0.5765985297133526	0.6821603557082916	0.6112409045556216	0.5363145410714932	0.6247116623968163	0.5606191132661686	0.46619731149972077	0.39403936946185203	0.40817427032896114	0.13905906148542968	0.11566632058710448	0.11456305999545391	0.09998065079306664	0.0	0.09465350538340361	0.09732387031726589	0.1212119846538866	0.09719052172202555	0.10634747945232877	0.18206228582199435	0.5147497351722625	0.5406738689747657	0.6264351278088368	0.6388985581974181
f24pp	0.5514605259043652	0.42277673943642896	0.41951528325377246	0.5133695322312665	0.6189313582262055	0.5480119070735355	0.47308554358940713	0.5614826649147302	0.49739011578408254	0.40296831401763467	0.3308103719797659	0.34494527284687504	0.07583006400334363	0.05243732310501843	0.05133406251336786	0.036751653310980605	0.09465350538340361	0.0	0.01298663420089841	0.05798298717180056	0.0339615242399395	0.04311848197024272	0.1188332883399083	0.45152073769017637	0.4774448714926796	0.5632061303267507	0.575669560715332
w16pp	0.5541308908382274	0.4254471043702912	0.4221856481876347	0.5160398971651288	0.6216017231600678	0.5506822720073978	0.4757559085232693	0.5641530298485924	0.5000604807179447	0.4056386789514969	0.3334807369136282	0.34761563778073734	0.07850042893720591	0.05510768803888069	0.054004427447230136	0.03942201824484287	0.09732387031726589	0.01298663420089841	0.0	0.060653352105662826	0.036631889173801765	0.04578884690410499	0.12150365327377058	0.45419110262403856	0.4801152364265418	0.5658764952606129	0.5783399256491942
w24pp	0.5733091991608761	0.4446254126929398	0.4413639565102833	0.5352182054877773	0.6407800314827163	0.5698605803300464	0.494934216845918	0.583331338171241	0.5192387890405934	0.4248169872741455	0.3526590452362768	0.3667939461033859	0.0976787372598545	0.07428599636152929	0.07318273576987872	0.058602326568491514	0.1212119846538866	0.05798298717180056	0.060653352105662826	0.0	0.03467443592566748	0.06496715522675359	0.14068196159641919	0.4733694109466872	0.49929354474919047	0.5850548035832616	0.5975182339718429
s24H1	0.549287736229015	0.42060394976107873	0.41734249357842224	0.5111967425559163	0.6167585685508553	0.5458391173981854	0.47091275391405685	0.5593098752393799	0.4952173261087323	0.40079552434228444	0.3286375823044157	0.34277248317152487	0.07365727432799343	0.05026453342966823	0.04916127283801766	0.03458086363663046	0.09719052172202555	0.0339615242399395	0.036631889173801765	0.03467443592566748	0.0	0.04094569229489252	0.1166604986645581	0.4493479480148261	0.47527208181732933	0.5610333406514004	0.5734967710399818
w11pp	0.5379351729305137	0.4092513864625774	0.4059899302799209	0.4998441792574149	0.605406005252354	0.5344865540996839	0.45956019061555553	0.5479573119408786	0.483864762810231	0.3894429610437832	0.31728501900591444	0.33141991987302355	0.06230471102949213	0.038911970131166915	0.05218113575846654	0.04373782136693368	0.10634747945232877	0.04311848197024272	0.04578884690410499	0.06496715522675359	0.04094569229489252	0.0	0.10530793536605682	0.43799538471632476	0.463919518518828	0.5496807773528991	0.5621442077414804
S31Hp	0.5053584609858692	0.37667467451793296	0.37341321833527646	0.46726746731277047	0.5728292933077095	0.5019098421550395	0.42698347867091113	0.5153805999962342	0.45128805086558654	0.35686624909913867	0.2847083070612699	0.29884320792837904	0.11789492807376967	0.09450218717544445	0.12789594212813213	0.11945262773659929	0.18206228582199435	0.1188332883399083	0.12150365327377058	0.14068196159641919	0.1166604986645581	0.10530793536605682	0.0	0.40541867277168037	0.4313428065741836	0.5171040654082547	0.529567495796836
S9H1	0.34095499554870057	0.2328276769897338	0.2559432200311613	0.3936250663211765	0.4991868923161155	0.42826744116344556	0.3765415623542016	0.4649386836795247	0.40084613454887713	0.39655818809583593	0.393171740834855	0.4768726176198967	0.45058237742403767	0.42718963652571246	0.46058339147840016	0.45214007708686726	0.5147497351722625	0.45152073769017637	0.45419110262403856	0.4733694109466872	0.4493479480148261	0.43799538471632476	0.40541867277168037	0.0	0.2669393411370149	0.35270059997108594	0.3651640303596674
S7Hp	0.31119090287334783	0.2587518107922371	0.28186735383366457	0.41954920012367974	0.5251110261186187	0.4541915749659488	0.40246569615670486	0.4908628174820279	0.4267702683513804	0.4224823218983392	0.41909587463735826	0.5027967514223999	0.4765065112265409	0.4531137703282157	0.4865075252809034	0.4780642108893705	0.5406738689747657	0.4774448714926796	0.4801152364265418	0.49929354474919047	0.47527208181732933	0.463919518518828	0.4313428065741836	0.2669393411370149	0.0	0.3229365072957332	0.33539993768431464
F14H1B	0.314256708580603	0.3445130696263081	0.3676286126677356	0.5053104589577508	0.6108722849526899	0.5399528338000199	0.48822695499077595	0.576624076316099	0.5125315271854515	0.5082435807324103	0.5048571334714294	0.588558010256471	0.562267770060612	0.5388750291622868	0.5722687841149745	0.5638254697234416	0.6264351278088368	0.5632061303267507	0.5658764952606129	0.5850548035832616	0.5610333406514004	0.5496807773528991	0.5171040654082547	0.35270059997108594	0.3229365072957332	0.0	0.33846574339156976
S3Hp	0.24900640789795878	0.35697650001488945	0.38009204305631705	0.5177738893463322	0.6233357153412712	0.5524162641886012	0.5006903853793573	0.5890875067046804	0.5249949575740328	0.5207070111209916	0.5173205638600107	0.6010214406450524	0.5747312004491933	0.5513384595508681	0.5847322145035558	0.5762889001120229	0.6388985581974181	0.575669560715332	0.5783399256491942	0.5975182339718429	0.5734967710399818	0.5621442077414804	0.529567495796836	0.3651640303596674	0.33539993768431464	0.33846574339156976	0.0
