	S28Hp	s16pp	s1pp	w8pp	F8H1	w16pp	s9pp	f22ppA	s19pp	s6pp	530295	s4pp	s12pp	S31Hp	F6H1	S30H1	S26Hp	S27H1	S13Hp	F3H1	s24H1	F23HpA	S11Hp	S15Hp	s25pp	s22pp	s2pp	s3pp	s20pp	w21pp	w4pp	w30pp	s26pp	S1Hp	s30pp	s24pp	s29pp	s32pp	w6pp	S17H1	s13pp	s7pp	s15pp	F14H1A
S13Hp	0.33642185906026223	0.2722593432146872	0.2507265072882111	0.26900947010842274	0.33677772763865865	0.2860890040891669	0.27993112930506914	0.2621771999515801	0.27486489307478795	0.2717237006708695	0.28482633614375075	0.27609849679031745	0.24760040796831886	0.18396704301425312	0.3019660964603162	0.2807949184167632	0.27864335491210895	0.18075525558594496	0.0	0.22928387888722415	0.25066404040294754	0.18031611848153256	0.24060772957457427	0.21066719020634506	0.24813613699493786	0.25157722479839434	0.27107319780031586	0.2998356891164703	0.36464257510017883	0.3141048908705176	0.3010589379214089	0.41543283118177643	0.34353984079864913	0.42271223011201453	0.4937228629816704	0.4041268765171384	0.4930329675001275	0.6075546781609655	0.2904988088308794	0.3462322795006403	0.30401388997203743	0.2777751537924071	0.28409126197601076	0.30049498637617056
F3H1	0.3717310120620856	0.30756849621651056	0.28603566029003447	0.3043186231102461	0.372086880640482	0.32139815709099023	0.3152402823068925	0.2974863529534035	0.3101740460766113	0.30703285367269284	0.320135489145574	0.31140764979214075	0.2829095609701422	0.21927619601607642	0.3372752494621395	0.3161040714185865	0.31395250791393225	0.25218619053827784	0.22928387888722415	0.0	0.2683033364238245	0.1979554145024095	0.2759168825763976	0.24597634320816836	0.28344528999676116	0.28688637780021764	0.3063823508021392	0.33514484211829365	0.3999517281020022	0.34941404387234093	0.3363680909232323	0.4507419841835998	0.3788489938004725	0.4580213831138379	0.5290320159834938	0.43943602951896177	0.5283421205019508	0.642863831162789	0.3258079618327028	0.38154143250246364	0.3393230429738608	0.31308430679423044	0.3194004149778341	0.3358041393779939
s24H1	0.393111173577809	0.3289486577322339	0.3074158218057578	0.32569878462596946	0.3934670421562054	0.3427783186067136	0.33662044382261586	0.31886651446912684	0.33155420759233467	0.3284130151884162	0.3415156506612974	0.33278781130786417	0.3042897224858656	0.2406563575317998	0.3586554109778629	0.33748423293430985	0.33533266942965567	0.2735663520540012	0.25066404040294754	0.2683033364238245	0.0	0.15120147958231317	0.297297044092121	0.2673565047238918	0.3048254515124845	0.308266539315941	0.3277625123178626	0.35652500363401696	0.42133188961772555	0.3707942053880643	0.35774825243895564	0.4721221456993232	0.40022915531619585	0.47940154462956125	0.5504121774992171	0.46081619103468513	0.5497222820176741	0.6642439926785123	0.34718812334842614	0.402921594018187	0.36070320448958415	0.3344644683099538	0.3407805764935575	0.3571843008937173
F23HpA	0.32276325165639397	0.25860073581081894	0.23706789988434285	0.2553508627045545	0.3231191202347904	0.2724303966852986	0.2662725219012009	0.24851859254771186	0.2612062856709197	0.2580650932670012	0.2711677287398825	0.2624398893864492	0.2339418005644506	0.17030843561038486	0.28830748905644793	0.2671363110128949	0.2649847475082407	0.20321843013258623	0.18031611848153256	0.1979554145024095	0.15120147958231317	0.0	0.22694912217070604	0.1970085828024768	0.2344775295910696	0.23791861739452605	0.2574145903964476	0.28617708171260203	0.3509839676963106	0.3004462834666493	0.28740033051754066	0.40177422377790817	0.32988123339478087	0.40905362270814627	0.48006425557780213	0.39046826911327015	0.4793743600962592	0.5938960707570973	0.27684020142701116	0.332573672096772	0.29035528256816917	0.2641165463885388	0.2704326545721425	0.2868363789723023
S11Hp	0.30434010598593597	0.24017759014036086	0.2186447542138848	0.23692771703409643	0.3046959745643324	0.25400725101484056	0.24784937623074282	0.2300954468772538	0.24278314000046164	0.2396419475965432	0.2527445830694244	0.24401674371599114	0.21551865489399255	0.1799400302034827	0.3136295593502297	0.2924583813066767	0.29030681780202244	0.26351004122562793	0.24060772957457427	0.2759168825763976	0.297297044092121	0.22694912217070604	0.0	0.17858543713201874	0.21605438392061155	0.219495471724068	0.23899144472598954	0.2677539360421439	0.3325608220258525	0.28202313779619126	0.2689771848470826	0.38335107810745017	0.3114580877243228	0.3906304770376882	0.4616411099073441	0.3720451234428121	0.46095121442580117	0.5754729250866393	0.2584170557565531	0.31415052642631397	0.2719321368977111	0.2456934007180808	0.2520095089016845	0.2684132333018443
S15Hp	0.17648881035053351	0.11232629450495839	0.09079345857848231	0.10907642139869392	0.17684467892892985	0.12615595537943808	0.11999808059534031	0.10224415124185132	0.11493184436505915	0.11179065196114069	0.12489328743402192	0.1545813632760102	0.16485635800449053	0.1499994908352535	0.2836890199820004	0.2625178419384474	0.2603662784337932	0.23356950185739872	0.21066719020634506	0.24597634320816836	0.2673565047238918	0.1970085828024768	0.17858543713201874	0.0	0.08820308828520905	0.09164417608866553	0.11114014909058706	0.13990264040674147	0.20470952639045004	0.15417184216078877	0.1411258892116801	0.25549978247204763	0.18360679208892033	0.26277918140228573	0.3337898142719416	0.2441938278074096	0.3330999187903987	0.4476216294512368	0.13056576012115062	0.18629923079091149	0.14408084126230863	0.11784210508267831	0.12415821326628201	0.14056193766644182
s25pp	0.1287339202893593	0.06457140444378415	0.04303856851730807	0.061321531337519684	0.12908978886775563	0.07840106531826382	0.07224319053416609	0.05448926118067708	0.06717695430388491	0.06403576189996646	0.1453626774223742	0.192050310064603	0.2023253047930833	0.1874684376238463	0.32115796677059316	0.2999867887270402	0.297835225222386	0.2710384486459915	0.24813613699493786	0.28344528999676116	0.3048254515124845	0.2344775295910696	0.21605438392061155	0.08820308828520905	0.0	0.030876959110967255	0.0633852590294128	0.09214775034556723	0.15695463632927578	0.10641695209961453	0.09337099915050587	0.2077448924108734	0.13585190202774608	0.2150242913411115	0.28603492421076737	0.1964389377462354	0.28534502872922446	0.39986673939006256	0.08281087005997637	0.13854434072973726	0.0963259512011344	0.07008721502150407	0.07640332320510777	0.09280704760526759
s22pp	0.13217500809281577	0.06801249224724062	0.04647965632076455	0.06476261914097615	0.1325308766712121	0.0818421531217203	0.07568427833762255	0.05793034898413356	0.07061804210734139	0.06747684970342294	0.14880376522583066	0.19549139786805944	0.20576639259653978	0.19090952542730275	0.32459905457404964	0.3034278765304967	0.30127631302584246	0.274479536449448	0.25157722479839434	0.28688637780021764	0.308266539315941	0.23791861739452605	0.219495471724068	0.09164417608866553	0.030876959110967255	0.0	0.06682634683286928	0.0955888381490237	0.16039572413273226	0.10985803990307101	0.09681208695396235	0.21118598021432988	0.13929298983120256	0.21846537914456798	0.28947601201422385	0.19988002554969186	0.28878611653268094	0.40330782719351904	0.08625195786343284	0.14198542853319374	0.09976703900459087	0.07352830282496055	0.07984441100856425	0.09624813540872407
s2pp	0.12460480917090491	0.060442293325329785	0.05129341076906742	0.06957637358927903	0.13734463111951498	0.08665590757002317	0.08049803278592542	0.06274410343243642	0.07966421072265081	0.07652301831873234	0.1682997382277522	0.214987370869981	0.22526236559846133	0.2104054984292243	0.3440950275759712	0.32292384953241826	0.32077228602776403	0.2939755094513696	0.27107319780031586	0.3063823508021392	0.3277625123178626	0.2574145903964476	0.23899144472598954	0.11114014909058706	0.0633852590294128	0.06682634683286928	0.0	0.07568953367921977	0.1404964196629283	0.08995873543326707	0.07691278248415839	0.19128667574452593	0.1193936853613986	0.198566074674764	0.26957670754441987	0.17998072107988788	0.26888681206287696	0.38340852272371506	0.06635265339362889	0.13441522961128288	0.09219684008268003	0.06595810390304971	0.0722742120866534	0.08867793648681321
s3pp	0.15336730048705932	0.0892047846414842	0.08005590208522183	0.09833886490543345	0.16610712243566939	0.11541839888617758	0.10926052410207984	0.09150659474859084	0.10842670203880522	0.10528550963488675	0.19706222954390662	0.2437498621861354	0.25402485691461574	0.2391679897453787	0.3728575188921256	0.35168634084857264	0.34953477734391847	0.322738000767524	0.2998356891164703	0.33514484211829365	0.35652500363401696	0.28617708171260203	0.2677539360421439	0.13990264040674147	0.09214775034556723	0.0955888381490237	0.07568953367921977	0.0	0.12627615139604859	0.07573846716638734	0.08065966946401817	0.1950335627243857	0.1231405723412584	0.2023129616546238	0.2733235945242797	0.1837276080597477	0.27263369904273677	0.38715540970357487	0.09107406963645386	0.16317772092743732	0.12095933139883444	0.09472059521920412	0.10103670340280782	0.11744042780296762
s20pp	0.2181741864707679	0.15401167062519275	0.14486278806893038	0.163145750889142	0.23091400841937795	0.18022528486988615	0.17406741008578838	0.1563134807322994	0.17323358802251376	0.17009239561859532	0.26186911552761516	0.30855674816984396	0.3188317428983243	0.30397487572908727	0.4376644048758342	0.41649322683228124	0.414341663327627	0.38754488675123255	0.36464257510017883	0.3999517281020022	0.42133188961772555	0.3509839676963106	0.3325608220258525	0.20470952639045004	0.15695463632927578	0.16039572413273226	0.1404964196629283	0.12627615139604859	0.0	0.1236833870836189	0.14546655544772674	0.2598404487080943	0.18794745832496695	0.26711984763833235	0.3381304805079882	0.24853449404345623	0.3374405850264453	0.4519622956872834	0.1558809556201624	0.22798460691114586	0.185766217382543	0.15952748120291269	0.1658435893865164	0.1822473137866762
w21pp	0.16763650224110666	0.1034739863955315	0.09432510383926913	0.11260806665948075	0.18037632418971672	0.1296876006402249	0.12352972585612715	0.10577579650263814	0.12269590379285253	0.11955471138893406	0.21133143129795393	0.2580190639401827	0.26829405866866307	0.253437191499426	0.38712672064617293	0.36595554260262	0.36380397909796575	0.3370072025215713	0.3141048908705176	0.34941404387234093	0.3707942053880643	0.3004462834666493	0.28202313779619126	0.15417184216078877	0.10641695209961453	0.10985803990307101	0.08995873543326707	0.07573846716638734	0.1236833870836189	0.0	0.09492887121806548	0.20930276447843305	0.1374097740953057	0.2165821634086711	0.28759279627832696	0.19799680981379497	0.28690290079678404	0.4014246114576222	0.10534327139050116	0.1774469226814846	0.13522853315288175	0.10898979697325142	0.11530590515685513	0.13170962955701493
w4pp	0.15459054929199798	0.09042803344642283	0.08127915089016047	0.09956211371037207	0.16733037124060804	0.11664164769111622	0.11048377290701847	0.09272984355352948	0.10964995084374385	0.1065087584398254	0.19828547834884525	0.24497311099107402	0.25524810571955436	0.24039123855031733	0.3740807676970643	0.3529095896535113	0.3507580261488571	0.32396124957246264	0.3010589379214089	0.3363680909232323	0.35774825243895564	0.28740033051754066	0.2689771848470826	0.1411258892116801	0.09337099915050587	0.09681208695396235	0.07691278248415839	0.08065966946401817	0.14546655544772674	0.09492887121806548	0.0	0.17033071130355473	0.09843772092042742	0.1776101102337928	0.24862074310344867	0.1590247566389167	0.24793084762190576	0.3624525582827439	0.0922973184413925	0.16440096973237595	0.12218258020377308	0.09594384402414276	0.10225995220774646	0.11866367660790628
w30pp	0.2689644425523655	0.20480192670679037	0.19565304415052803	0.21393600697073964	0.2817042645009756	0.23101554095148377	0.22485766616738603	0.20710373681389704	0.2240238441041114	0.22088265170019294	0.3126593716092128	0.3593470042514416	0.36962199897992193	0.3547651318106849	0.48845466095743184	0.4672834829138789	0.4651319194092246	0.43833514283283015	0.41543283118177643	0.4507419841835998	0.4721221456993232	0.40177422377790817	0.38335107810745017	0.25549978247204763	0.2077448924108734	0.21118598021432988	0.19128667574452593	0.1950335627243857	0.2598404487080943	0.20930276447843305	0.17033071130355473	0.0	0.168702665234382	0.24787505454774736	0.3188856874174032	0.22928970095287124	0.31819579193586034	0.4327175025966985	0.20667121170176003	0.27877486299274346	0.2365564734641406	0.2103177372845103	0.216633845468114	0.23303756986827381
s26pp	0.1970714521692382	0.13290893632366305	0.12376005376740068	0.1420430165876123	0.20981127411784825	0.15912255056835645	0.15296467578425868	0.1352107464307697	0.15213085372098406	0.14898966131706562	0.24076638122608546	0.28745401386831426	0.2977290085967946	0.28287214142755757	0.4165616705743045	0.39539049253075154	0.3932389290260973	0.36644215244970285	0.34353984079864913	0.3788489938004725	0.40022915531619585	0.32988123339478087	0.3114580877243228	0.18360679208892033	0.13585190202774608	0.13929298983120256	0.1193936853613986	0.1231405723412584	0.18794745832496695	0.1374097740953057	0.09843772092042742	0.168702665234382	0.0	0.1549982568558471	0.22600888972550295	0.13641290326097094	0.22531899424396004	0.3398407049047982	0.1347782213186327	0.20688187260961616	0.1646634830810133	0.13842474690138298	0.14474085508498669	0.1611445794851465
S1Hp	0.2762438414826036	0.21208132563702844	0.2029324430807661	0.2212154059009777	0.2889836634312137	0.23829493988172185	0.2321370650976241	0.2143831357441351	0.2313032430343495	0.22816205063043102	0.31993877053945086	0.36662640318167966	0.37690139791016	0.36204453074092297	0.4957340598876699	0.47456288184411693	0.4724113183394627	0.44561454176306825	0.42271223011201453	0.4580213831138379	0.47940154462956125	0.40905362270814627	0.3906304770376882	0.26277918140228573	0.2150242913411115	0.21846537914456798	0.198566074674764	0.2023129616546238	0.26711984763833235	0.2165821634086711	0.1776101102337928	0.24787505454774736	0.1549982568558471	0.0	0.26359717931172644	0.1740011928471944	0.2629072838301835	0.37742899449102163	0.2139506106319981	0.28605426192298156	0.2438358723943787	0.21759713621474838	0.22391324439835208	0.2403169687985119
