	S15Hp	530394	530451	S13Hp	S1Hp	S3Hp	31600	F7H1	S6Hp	530444	530075	530215	S26Hp	530331	31009	f7pp	f8pp	w9pp	f26pp	f32pp	f22ppA	w1pp	s26pp	S20H1	S31Hp	S25Hp	f14ppB	S22Hp	530295	s12pp	S21H1	F14H1B
f22ppA	0.3421036864295111	0.354713901292654	0.29088998333491806	0.2618622745209282	0.4006355772496339	0.4091069013611395	0.3783235564450694	0.45053488259159513	0.41992955693238343	0.4286605320608638	0.4302956776329962	0.39592178708028836	0.4179028761695134	0.32020692364149156	0.3141611784461268	0.10307994003367119	0.11939312371713877	0.09567514327066749	0.06729950522764408	0.05800086804270124	0.0	0.07745046731568914	0.11799099396324626	0.1813050715526178	0.1806126457674753	0.1626642435677073	0.14332285819392046	0.36750835940789117	0.2635570873556835	0.3082137607292995	0.3199672190560419	0.382416085139329
w1pp	0.32018313925257735	0.3327933541157203	0.26896943615798435	0.23994172734399444	0.37871503007270013	0.3871863541842057	0.3564030092681356	0.4286143354146614	0.39800900975544967	0.40673998488393004	0.40837513045606244	0.3740012399033546	0.3959823289925796	0.2982863764645578	0.29224063126919303	0.08115939285673746	0.09747257654020502	0.07375459609373375	0.06230683772901651	0.07944235004983544	0.07745046731568914	0.0	0.09607044678631253	0.15938452437568407	0.15869209859054156	0.14074369639077358	0.12140231101698673	0.34558781223095747	0.24163654017874975	0.28629321355236576	0.29804667187910816	0.36049553796239525
s26pp	0.27705039370997653	0.2896606085731195	0.22583669061538353	0.1968089818013936	0.3355822845300993	0.3440536086416049	0.3132702637255348	0.38548158987206055	0.35487626421284885	0.3636072393413292	0.3652423849134616	0.3308684943607538	0.3528495834499788	0.255153630921957	0.2491078857265922	0.07772198105311723	0.10156845190740636	0.10182702576180895	0.10284736437657366	0.11998287669739258	0.11799099396324626	0.09607044678631253	0.0	0.11625177883308323	0.11555935304794072	0.09761095084817274	0.0782695654743859	0.30245506668835664	0.19850379463614892	0.24316046800976493	0.25491392633650733	0.3173627924197944
S20H1	0.3277409061703901	0.34035112103353304	0.2765272030757971	0.24749949426180717	0.38627279699051287	0.39474412110201845	0.36396077618594835	0.4361721023324741	0.4055667766732624	0.4142977518017428	0.4159328973738752	0.38155900682116733	0.40354009591039236	0.30584414338237054	0.29979839818700577	0.14103605864248875	0.1648825294967779	0.16514110335118048	0.16616144196594518	0.18329695428676412	0.1813050715526178	0.15938452437568407	0.11625177883308323	0.0	0.07424888081449171	0.11601860083615305	0.12896007793479947	0.3531455791487702	0.24919430709656248	0.2938509804701785	0.3056044387969209	0.368053304880208
S31Hp	0.3270484803852476	0.33965869524839054	0.2758347772906546	0.24680706847666467	0.38558037120537036	0.39405169531687595	0.36326835040080585	0.4354796765473316	0.4048743508881199	0.41360532601660027	0.4152404715887327	0.38086658103602483	0.40284767012524986	0.30515171759722803	0.29910597240186326	0.14034363285734625	0.1641901037116354	0.16444867756603798	0.16546901618080267	0.18260452850162162	0.1806126457674753	0.15869209859054156	0.11555935304794072	0.07424888081449171	0.0	0.11532617505101055	0.12826765214965696	0.3524531533636277	0.24850188131141998	0.293158554685036	0.3049120130117784	0.3673608790950655
S25Hp	0.3091000781854796	0.32171029304862253	0.2578863750908866	0.22885866627689672	0.3676319690056024	0.376103293117108	0.3453199482010379	0.41753127434756365	0.38692594868835195	0.3956569238168323	0.3972920693889647	0.3629181788362569	0.3848992679254819	0.2872033153974601	0.2811575702020953	0.12239523065757826	0.1462417015118674	0.14650027536627	0.14752061398103472	0.1646561263018536	0.1626642435677073	0.14074369639077358	0.09761095084817274	0.11601860083615305	0.11532617505101055	0.0	0.11031924994988898	0.3345047511638597	0.230553479111652	0.27521015248526803	0.2869636108120104	0.3494124768952975
f14ppB	0.2704932398054961	0.28310345466863907	0.2192795367109031	0.19025182789691322	0.3290251306256189	0.3374964547371245	0.3067131098210544	0.37892443596758013	0.34831911030836843	0.3570500854368488	0.3586852310089812	0.32431134045627336	0.3462924295454984	0.24859647701747659	0.24255073182211181	0.10305384528379144	0.12690031613808056	0.12715888999248315	0.12817922860724787	0.1453147409280668	0.14332285819392046	0.12140231101698673	0.0782695654743859	0.12896007793479947	0.12826765214965696	0.11031924994988898	0.0	0.2958979127838762	0.1919466407316685	0.2366033141052845	0.24835677243202692	0.310805638515314
S22Hp	0.3765959760468735	0.3892061909100164	0.32538227295228045	0.3861891225812515	0.5249624253099572	0.5334337494214627	0.5026504045053927	0.5748617306519184	0.5442564049927068	0.5529873801211871	0.5546225256933195	0.5202486351406117	0.5422297242298366	0.44453377170181485	0.43848802650645	0.32723934649776215	0.3510858173520513	0.3513443912064539	0.3523647298212186	0.3695002421420375	0.36750835940789117	0.34558781223095747	0.30245506668835664	0.3531455791487702	0.3524531533636277	0.3345047511638597	0.2958979127838762	0.0	0.29804937697304584	0.3427060503466619	0.3544595086734043	0.4169083747566914
530295	0.23196130062299716	0.24457151548614015	0.1807475975284042	0.2822378505290437	0.42101115325774946	0.42948247736925504	0.39869913245318495	0.4709104585997107	0.440305132940499	0.44903610806897937	0.45067125364111177	0.4162973630884039	0.43827845217762895	0.3405824996496071	0.33453675445424236	0.22328807444555443	0.24713454529984358	0.24739311915424617	0.2484134577690109	0.2655489700898298	0.2635570873556835	0.24163654017874975	0.19850379463614892	0.24919430709656248	0.24850188131141998	0.230553479111652	0.1919466407316685	0.29804937697304584	0.0	0.19807137492278565	0.20982483324952803	0.2722736993328151
s12pp	0.16242021994484043	0.17503043480798341	0.1690440740856633	0.3268945239026598	0.4656678266313655	0.4741391507428711	0.443355805826801	0.5155671319733267	0.48496180631411506	0.49369278144259543	0.49532792701472783	0.46095403646202	0.482935125551245	0.38523917302322314	0.3791934278278584	0.26794474781917044	0.2917912186734596	0.2920497925278622	0.2930701311426269	0.3102056434634458	0.3082137607292995	0.28629321355236576	0.24316046800976493	0.2938509804701785	0.293158554685036	0.27521015248526803	0.2366033141052845	0.3427060503466619	0.19807137492278565	0.0	0.14028375257137127	0.20273261865465836
S21H1	0.136819770278905	0.14942998514204794	0.1807975324124057	0.3386479822294021	0.4774212849581079	0.48589260906961346	0.4551092641535434	0.5273205903000691	0.4967152646408574	0.5054462397693378	0.5070813853414702	0.47270749478876234	0.49468858387798736	0.3969926313499655	0.39094688615460077	0.27969820614591284	0.303544677000202	0.3038032508546046	0.30482358946936927	0.3219591017901882	0.3199672190560419	0.29804667187910816	0.25491392633650733	0.3056044387969209	0.3049120130117784	0.2869636108120104	0.24835677243202692	0.3544595086734043	0.20982483324952803	0.14028375257137127	0.0	0.1771321689887229
F14H1B	0.1220238626426057	0.17962462849011895	0.2432463984956928	0.4010968483126892	0.539870151041395	0.5483414751529005	0.5175581302368305	0.5897694563833561	0.5591641307241445	0.5678951058526249	0.5695302514247573	0.5351563608720494	0.5571374499612745	0.4594414974332526	0.45339575223788786	0.34214707222919993	0.3659935430834891	0.36625211693789167	0.3672724555526564	0.3844079678734753	0.382416085139329	0.36049553796239525	0.3173627924197944	0.368053304880208	0.3673608790950655	0.3494124768952975	0.310805638515314	0.4169083747566914	0.2722736993328151	0.20273261865465836	0.1771321689887229	0.0
