	f7pp	w16pp	w28pp	w20pp	f16ppA	w18pp	w3pp	w14pp	w22pp	w19pp	f6ppA	w10pp	f18pp	w1pp	w13pp	31300	S6Hp	S26Hp	S19H1	w9pp	S28Hp	s1pp	S18H1	31267	31452	f4pp	w15pp	w29pp	w11pp	w23pp	f8pp	w32pp	w4pp	w2pp	f17ppB	s12pp	s17pp	w27pp	f10pp	w17pp
f6ppA	0.19970360465651094	0.2301467291856645	0.1975643668001546	0.18114580846847333	0.20174079292564107	0.18347314563225173	0.222631995405675	0.19265026238007155	0.15136690759982505	0.14332205874138537	0.0	0.12245532800538905	0.1757312577606772	0.17632302886267587	0.19568544477560157	0.36706174568676103	0.38195581835026066	0.36876660540734185	0.3747311480459886	0.2514220788282667	0.6612489117734979	0.6615856935151916	0.6643526069041155	0.6590517226576319	0.6656568970924387	0.1727678319588995	0.19698932526226393	0.18924800337052464	0.18450871931300863	0.19849513494203702	0.18627419558891534	0.21699599779989065	0.24769871537748725	0.2107410396477693	0.24101424166762328	0.26598884077483537	0.2769543967516805	0.2264113798427171	0.19250993678254164	0.14837547201409046
w10pp	0.1662202114136926	0.19666333594284616	0.16408097355733625	0.14766241522565499	0.1682573996828227	0.14998975238943335	0.18914860216285662	0.15916686913725317	0.11788351435700664	0.10983866549856697	0.12245532800538905	0.0	0.1422478645178588	0.1428396356198575	0.16220205153278316	0.3335783524439426	0.34847242510744225	0.33528321216452345	0.3412477548031702	0.21793868558544832	0.6277655185306794	0.6281023002723731	0.630869213661297	0.6255683294148136	0.6321735038496203	0.1392844387160811	0.16350593201944555	0.15576461012770626	0.15102532607019026	0.16501174169921864	0.15279080234609696	0.18351260455707225	0.21421532213466887	0.1772576464049509	0.2075308484248049	0.23250544753201696	0.24347100350886208	0.1929279865998987	0.15902654353972326	0.11489207877127211
f18pp	0.1645158240277107	0.1949589485568643	0.16237658617135436	0.1459580278396731	0.16655301229684083	0.14828536500345152	0.18744421477687476	0.1574624817512713	0.1400498822320873	0.14581082868837708	0.1757312577606772	0.1422478645178588	0.0	0.09087807070665241	0.13409855252242597	0.30547485343358544	0.32036892609708506	0.30717971315416626	0.313144255792813	0.1898351865750911	0.5996620195203223	0.599998801262016	0.6027657146509399	0.5974648304044563	0.6040700048392631	0.12124131294021039	0.1618015446334637	0.1540602227417244	0.1493209386842084	0.16330735431323679	0.1510864149601151	0.1818082171710904	0.212510934748687	0.17555325901896907	0.20582646103882304	0.23080106014603513	0.24176661612288025	0.19122359921391685	0.1573221561537414	0.11318769138529025
w1pp	0.1651075951297094	0.195550719658863	0.16296835727335307	0.1465497989416718	0.16714478339883954	0.14887713610545023	0.18803598587887346	0.15805425285327002	0.14064165333408601	0.1464025997903758	0.17632302886267587	0.1428396356198575	0.09087807070665241	0.0	0.13469032362442465	0.3060666245355841	0.3209606971990837	0.3077714842561649	0.31373602689481167	0.1904269576770898	0.600253790622321	0.6005905723640147	0.6033574857529386	0.598056601506455	0.6046617759412618	0.12183308404220908	0.1623933157354624	0.15465199384372308	0.14991270978620708	0.1638991254152355	0.1516781860621138	0.1823999882730891	0.2131027058506857	0.17614503012096774	0.20641823214082172	0.23139283124803384	0.24235838722487896	0.19181537031591556	0.1579139272557401	0.11377946248728896
w13pp	0.1844700110426351	0.21491313557178868	0.18233077318627877	0.1659122148545975	0.1865071993117652	0.16823955201837587	0.20739840179179914	0.1774166687661957	0.1600040692470117	0.16576501570330146	0.19568544477560157	0.16220205153278316	0.13409855252242597	0.13469032362442465	0.0	0.3016296389392585	0.3165237116027581	0.30333449865983936	0.3092990412984861	0.1859899720807642	0.5958168050259953	0.596153586767689	0.5989205001566129	0.5936196159101294	0.6002247903449361	0.14119549995513475	0.1817557316483881	0.17401440975664878	0.16927512569913278	0.1832615413281612	0.1710406019750395	0.20176240418601477	0.2324651217636114	0.19550744603389342	0.22578064805374742	0.25075524716095954	0.26172080313780466	0.21117778622884126	0.1772763431686658	0.13314187840021463
31300	0.35584631195379457	0.38628943648294817	0.35370707409743823	0.33728851576575697	0.3578835002229247	0.33961585292953533	0.3787747027029586	0.3487929696773552	0.3313803701581711	0.3371413166144609	0.36706174568676103	0.3335783524439426	0.30547485343358544	0.3060666245355841	0.3016296389392585	0.0	0.3136193339903572	0.3004301210474384	0.30639466368608514	0.2965724373460546	0.7063992702912858	0.7067360520329795	0.7095029654219034	0.7042020811754197	0.7108072556102265	0.3125718008662942	0.35313203255954756	0.34539071066780824	0.34065142661029224	0.35463784223932066	0.34241690288619897	0.37313870509717423	0.40384142267477086	0.3668837469450529	0.3971569489649069	0.42213154807211895	0.43309710404896407	0.3825540871400007	0.34865264407982527	0.30451817931137415
S6Hp	0.3707403846172942	0.4011835091464478	0.36860114676093786	0.3521825884292566	0.3727775728864243	0.35450992559303496	0.3936687753664582	0.3636870423408548	0.34627444282167075	0.3520353892779605	0.38195581835026066	0.34847242510744225	0.32036892609708506	0.3209606971990837	0.3165237116027581	0.3136193339903572	0.0	0.2333609003103102	0.23932544294895697	0.3114665100095542	0.7212933429547854	0.7216301246964791	0.724397038085403	0.7190961538389193	0.7257013282737261	0.32746587352979384	0.3680261052230472	0.36028478333130787	0.35554549927379187	0.3695319149028203	0.3573109755496986	0.38803277776067385	0.4187354953382705	0.3817778196085525	0.4120510216284065	0.43702562073561857	0.4479911767124637	0.39744815980350034	0.3635467167433249	0.3194122519748738
S26Hp	0.3575511716743754	0.387994296203529	0.35541193381801905	0.3389933754863378	0.3595883599435055	0.3413207126501162	0.3804795624235394	0.35049782939793594	0.33308522987875194	0.3388461763350417	0.36876660540734185	0.33528321216452345	0.30717971315416626	0.3077714842561649	0.30333449865983936	0.3004301210474384	0.2333609003103102	0.0	0.07354862687752999	0.2982772970666354	0.7081041300118666	0.7084409117535603	0.7112078251424842	0.7059069408960006	0.7125121153308074	0.31427666058687503	0.3548368922801284	0.34709557038838906	0.34235628633087306	0.3563427019599015	0.3441217626067798	0.37484356481775505	0.4055462823953517	0.3685886066656337	0.3988618086854877	0.4238364077926998	0.43480196376954494	0.38425894686058154	0.3503575038004061	0.30622303903195497
S19H1	0.36351571431302215	0.39395883884217575	0.3613764764566658	0.34495791812498455	0.3655529025821523	0.347285255288763	0.3864441050621862	0.3564623720365827	0.3390497725173987	0.3448107189736885	0.3747311480459886	0.3412477548031702	0.313144255792813	0.31373602689481167	0.3092990412984861	0.30639466368608514	0.23932544294895697	0.07354862687752999	0.0	0.3042418397052822	0.7140686726505133	0.714405454392207	0.7171723677811309	0.7118714835346474	0.7184766579694541	0.3202412032255218	0.36080143491877514	0.3530601130270358	0.3483208289695198	0.36230724459854824	0.35008630524542655	0.3808081074564018	0.41151082503399844	0.37455314930428046	0.40482635132413447	0.4298009504313466	0.4407665064081917	0.3902234894992283	0.35632204643905285	0.31218758167060173
w9pp	0.2402066450953002	0.2706497696244538	0.23806740723894387	0.2216488489072626	0.24224383336443034	0.22397618607104103	0.2631350358444643	0.23315330281886085	0.21574070329967682	0.2215016497559666	0.2514220788282667	0.21793868558544832	0.1898351865750911	0.1904269576770898	0.1859899720807642	0.2965724373460546	0.3114665100095542	0.2982772970666354	0.3042418397052822	0.0	0.510138992718002	0.5104757744596956	0.5132426878486196	0.5079418036021359	0.5145469780369428	0.1969321340077999	0.23749236570105325	0.22975104380931394	0.22501175975179794	0.23899817538082635	0.22677723602770467	0.2574990382386799	0.28820175581627655	0.2512440800865586	0.2815172821064126	0.3064918812136247	0.3174574371904698	0.2669144202815064	0.23301297722133096	0.18887851245287976
